Time	 FAIRTEN1	 FAIRTEN2	 ANCHTEN1	 CON2PX	 CON2PY	 CON2FZ	 
(s)	 (N)     	 (N)     	 (N)     	 (m)     	 (m)     	 (N)     	 
0	 909656	 909729	 735821	 -426.94	 739.47	 -15776.8	 
1.4013e-45	 909654	 909727	 735820	 -426.94	 739.47	 -15776.8	 
0.0333333	 910245	 909403	 735789	 -426.94	 739.47	 -15776.8	 
0.0666667	 909703	 909609	 735723	 -426.94	 739.47	 -15776.8	 
0.1	 911464	 908607	 735621	 -426.94	 739.47	 -15776.8	 
0.0833333	 908966	 909730	 735587	 -426.94	 739.47	 -15776.8	 
0.116667	 910163	 909134	 735519	 -426.94	 739.47	 -15776.8	 
0.15	 912382	 907876	 735417	 -426.94	 739.47	 -15776.8	 
0.133333	 908249	 909776	 735385	 -426.94	 739.47	 -15776.8	 
0.166667	 910518	 908637	 735335	 -426.94	 739.47	 -15776.8	 
0.2	 913002	 907196	 735341	 -426.94	 739.47	 -15776.8	 
0.183333	 908062	 909540	 735379	 -426.94	 739.47	 -15776.8	 
0.216667	 910965	 907987	 735513	 -426.94	 739.47	 -15776.8	 
0.25	 913638	 906434	 735819	 -426.94	 739.47	 -15776.8	 
0.233333	 907867	 909304	 735935	 -426.94	 739.47	 -15776.8	 
0.266667	 911435	 907296	 736166	 -426.94	 739.47	 -15776.8	 
0.3	 914287	 905684	 736476	 -426.94	 739.47	 -15776.8	 
0.283333	 907663	 909079	 736565	 -426.94	 739.47	 -15776.7	 
0.316667	 911907	 906661	 736725	 -426.94	 739.47	 -15776.7	 
0.35	 914932	 904989	 736937	 -426.94	 739.47	 -15776.7	 
0.333333	 907499	 908867	 737007	 -426.94	 739.47	 -15776.7	 
0.366667	 912423	 906056	 737150	 -426.94	 739.47	 -15776.7	 
0.4	 915714	 904245	 737375	 -426.94	 739.47	 -15776.7	 
0.383333	 907542	 908612	 737453	 -426.94	 739.47	 -15776.7	 
0.416667	 913169	 905343	 737611	 -426.94	 739.47	 -15776.7	 
0.45	 916760	 903372	 737848	 -426.94	 739.47	 -15776.7	 
0.433333	 907878	 908275	 737925	 -426.94	 739.47	 -15776.6	 
0.466667	 914128	 904535	 738077	 -426.94	 739.47	 -15776.6	 
0.5	 917902	 902496	 738296	 -426.94	 739.47	 -15776.6	 
0.483333	 908288	 907923	 738366	 -426.94	 739.47	 -15776.6	 
0.516667	 915071	 903803	 738507	 -426.94	 739.47	 -15776.6	 
0.55	 918943	 901758	 738724	 -426.94	 739.47	 -15776.6	 
0.533333	 908592	 907620	 738800	 -426.94	 739.47	 -15776.6	 
0.566667	 915887	 903236	 738962	 -426.94	 739.47	 -15776.6	 
0.6	 919835	 901167	 739234	 -426.94	 739.47	 -15776.6	 
0.583333	 908820	 907367	 739333	 -426.94	 739.47	 -15776.6	 
0.616667	 916555	 902787	 739544	 -426.94	 739.47	 -15776.6	 
0.65	 920578	 900672	 739881	 -426.94	 739.47	 -15776.5	 
0.633333	 909003	 907204	 739997	 -426.94	 739.47	 -15776.5	 
0.666667	 917061	 902424	 740232	 -426.94	 739.47	 -15776.5	 
0.7	 921139	 900274	 740573	 -426.94	 739.47	 -15776.5	 
0.683333	 909098	 907130	 740680	 -426.94	 739.47	 -15776.5	 
0.716667	 917392	 902154	 740885	 -426.94	 739.47	 -15776.5	 
0.75	 921553	 899999	 741154	 -426.94	 739.47	 -15776.5	 
0.733333	 909151	 907117	 741231	 -426.94	 739.47	 -15776.5	 
0.766667	 917645	 901995	 741371	 -426.94	 739.47	 -15776.5	 
0.8	 921947	 899828	 741535	 -426.94	 739.47	 -15776.5	 
0.783333	 909254	 907148	 741577	 -426.94	 739.47	 -15776.5	 
0.816667	 917945	 901925	 741646	 -426.94	 739.47	 -15776.5	 
0.85	 922391	 899731	 741706	 -426.94	 739.47	 -15776.5	 
0.833333	 909433	 907235	 741714	 -426.94	 739.47	 -15776.5	 
0.866667	 918294	 901938	 741717	 -426.94	 739.47	 -15776.5	 
0.9	 922814	 899739	 741689	 -426.94	 739.47	 -15776.5	 
0.883333	 909588	 907408	 741672	 -426.94	 739.47	 -15776.5	 
0.916667	 918557	 902067	 741634	 -426.94	 739.47	 -15776.5	 
0.95	 923063	 899892	 741569	 -426.94	 739.47	 -15776.5	 
0.933333	 909634	 907724	 741546	 -426.94	 739.47	 -15776.5	 
0.966667	 918581	 902350	 741506	 -426.94	 739.47	 -15776.5	 
1	 923019	 900214	 741454	 -426.94	 739.47	 -15776.6	 
0.983333	 909488	 908142	 741439	 -426.94	 739.47	 -15776.6	 
1.01667	 918298	 902783	 741414	 -426.94	 739.47	 -15776.6	 
1.05	 922675	 900671	 741377	 -426.94	 739.47	 -15776.6	 
1.03333	 909144	 908640	 741363	 -426.94	 739.47	 -15776.6	 
1.06667	 917752	 903348	 741330	 -426.94	 739.47	 -15776.6	 
1.1	 922089	 901266	 741259	 -426.94	 739.47	 -15776.6	 
1.08333	 908657	 909206	 741225	 -426.94	 739.47	 -15776.6	 
1.11667	 917029	 904038	 741144	 -426.94	 739.47	 -15776.6	 
1.15	 921358	 901987	 740977	 -426.94	 739.47	 -15776.6	 
1.13333	 908111	 909822	 740907	 -426.94	 739.47	 -15776.6	 
1.16667	 916215	 904828	 740750	 -426.94	 739.47	 -15776.7	 
1.2	 920538	 902789	 740464	 -426.94	 739.47	 -15776.7	 
1.18333	 907616	 910461	 740355	 -426.94	 739.47	 -15776.7	 
1.21667	 915359	 905649	 740121	 -426.94	 739.47	 -15776.7	 
1.25	 919674	 903590	 739732	 -426.94	 739.47	 -15776.7	 
1.23333	 907183	 911090	 739592	 -426.94	 739.47	 -15776.7	 
1.26667	 914478	 906430	 739304	 -426.94	 739.47	 -15776.7	 
1.3	 918761	 904353	 738850	 -426.94	 739.47	 -15776.8	 
1.28333	 906740	 911691	 738692	 -426.94	 739.47	 -15776.8	 
1.31667	 913553	 907160	 738374	 -426.94	 739.47	 -15776.8	 
1.35	 917769	 905091	 737888	 -426.94	 739.47	 -15776.8	 
1.33333	 906223	 912285	 737724	 -426.94	 739.47	 -15776.8	 
1.36667	 912566	 907875	 737400	 -426.94	 739.47	 -15776.8	 
1.4	 916705	 905834	 736921	 -426.94	 739.47	 -15776.8	 
1.38333	 905605	 912879	 736763	 -426.94	 739.47	 -15776.9	 
1.41667	 911538	 908579	 736455	 -426.94	 739.47	 -15776.9	 
1.45	 915600	 906541	 736011	 -426.94	 739.47	 -15776.9	 
1.43333	 904907	 913460	 735866	 -426.94	 739.47	 -15776.9	 
1.46667	 910499	 909218	 735585	 -426.94	 739.47	 -15776.9	 
1.5	 914481	 907164	 735181	 -426.94	 739.47	 -15776.9	 
1.48333	 904190	 914019	 735049	 -426.94	 739.47	 -15776.9	 
1.51667	 909459	 909765	 734793	 -426.94	 739.47	 -15776.9	 
1.55	 913334	 907693	 734425	 -426.94	 739.47	 -15776.9	 
1.53333	 903489	 914492	 734305	 -426.94	 739.47	 -15776.9	 
1.56667	 908380	 910201	 734072	 -426.94	 739.47	 -15777	 
1.6	 912152	 908111	 733735	 -426.94	 739.47	 -15777	 
1.58333	 902875	 914857	 733624	 -426.94	 739.47	 -15777	 
1.61667	 907300	 910522	 733409	 -426.94	 739.47	 -15777	 
1.65	 911028	 908403	 733094	 -426.94	 739.47	 -15777	 
1.63333	 902388	 915067	 732990	 -426.94	 739.47	 -15777	 
1.66667	 906355	 910683	 732785	 -426.94	 739.47	 -15777	 
1.7	 910094	 908513	 732478	 -426.94	 739.47	 -15777	 
1.68333	 902033	 915119	 732374	 -426.94	 739.47	 -15777	 
1.71667	 905647	 910667	 732167	 -426.94	 739.47	 -15777	 
1.75	 909363	 908474	 731857	 -426.94	 739.47	 -15777	 
1.73333	 901867	 915041	 731755	 -426.94	 739.47	 -15777	 
1.76667	 905163	 910486	 731556	 -426.94	 739.47	 -15777	 
1.8	 908825	 908259	 731283	 -426.94	 739.47	 -15777	 
1.78333	 901835	 914826	 731200	 -426.94	 739.47	 -15777	 
1.81667	 904858	 910120	 731052	 -426.94	 739.47	 -15777	 
1.85	 908434	 907878	 730880	 -426.94	 739.47	 -15777	 
1.83333	 901917	 914495	 730836	 -426.94	 739.47	 -15777	 
1.86667	 904668	 909595	 730773	 -426.94	 739.47	 -15777	 
1.9	 908142	 907363	 730733	 -426.94	 739.47	 -15776.9	 
1.88333	 902053	 914043	 730733	 -426.94	 739.47	 -15776.9	 
1.91667	 904568	 908953	 730756	 -426.94	 739.47	 -15776.9	 
1.95	 907941	 906743	 730837	 -426.94	 739.47	 -15776.9	 
