HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjVUndx B_0_N_0	BkNjVUndx B_0_N_4	BkNjVUndx B_0_N_5	BkNjVUndx B_0_N_9	BkNjVUndx B_0_N_13	BkNjVUndx B_0_N_16	BkNjVUndx B_0_N_18	BkNjVUndy B_0_N_0	BkNjVUndy B_0_N_4	BkNjVUndy B_0_N_5	BkNjVUndy B_0_N_9	BkNjVUndy B_0_N_13	BkNjVUndy B_0_N_16	BkNjVUndy B_0_N_18	BkNjVUndz B_0_N_0	BkNjVUndz B_0_N_4	BkNjVUndz B_0_N_5	BkNjVUndz B_0_N_9	BkNjVUndz B_0_N_13	BkNjVUndz B_0_N_16	BkNjVUndz B_0_N_18	BkNjVDisx B_0_N_0	BkNjVDisx B_0_N_4	BkNjVDisx B_0_N_5	BkNjVDisx B_0_N_9	BkNjVDisx B_0_N_13	BkNjVDisx B_0_N_16	BkNjVDisx B_0_N_18	BkNjVDisy B_0_N_0	BkNjVDisy B_0_N_4	BkNjVDisy B_0_N_5	BkNjVDisy B_0_N_9	BkNjVDisy B_0_N_13	BkNjVDisy B_0_N_16	BkNjVDisy B_0_N_18	BkNjVDisz B_0_N_0	BkNjVDisz B_0_N_4	BkNjVDisz B_0_N_5	BkNjVDisz B_0_N_9	BkNjVDisz B_0_N_13	BkNjVDisz B_0_N_16	BkNjVDisz B_0_N_18	BkNjSTVx  B_0_N_0	BkNjSTVx  B_0_N_4	BkNjSTVx  B_0_N_5	BkNjSTVx  B_0_N_9	BkNjSTVx  B_0_N_13	BkNjSTVx  B_0_N_16	BkNjSTVx  B_0_N_18	BkNjSTVy  B_0_N_0	BkNjSTVy  B_0_N_4	BkNjSTVy  B_0_N_5	BkNjSTVy  B_0_N_9	BkNjSTVy  B_0_N_13	BkNjSTVy  B_0_N_16	BkNjSTVy  B_0_N_18	BkNjSTVz  B_0_N_0	BkNjSTVz  B_0_N_4	BkNjSTVz  B_0_N_5	BkNjSTVz  B_0_N_9	BkNjSTVz  B_0_N_13	BkNjSTVz  B_0_N_16	BkNjSTVz  B_0_N_18	BPitch    B_0	BAzimuth  B_0	
(s)	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	
0.000000	0.000000	11.389151	11.389151	11.389151	11.389149	11.389150	11.389151	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	0.000000	11.389151	11.389151	11.389151	11.389149	11.389150	11.389151	0.000000	5.949548	7.215438	12.280558	17.342560	21.140234	24.939465	0.000000	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	-5.949548	-7.215438	-12.280558	-17.342560	-21.140234	-24.939465	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	0.000000	11.389133	11.389140	11.389176	11.389234	11.389290	11.389339	0.000000	0.062792	0.062793	0.062800	0.062804	0.062808	0.062814	0.000000	0.493685	0.493530	0.492672	0.491289	0.490041	0.488904	0.000000	11.444225	11.446935	11.458819	11.473556	11.487393	11.503465	0.000000	5.996262	7.256797	12.301987	17.346766	21.133390	24.923470	0.000000	0.506186	0.506010	0.505023	0.503502	0.502105	0.500682	0.000000	-0.055092	-0.057795	-0.069643	-0.084322	-0.098103	-0.114125	0.000000	-5.933470	-7.194004	-12.239187	-17.283962	-21.070583	-24.860657	0.000000	-0.012500	-0.012481	-0.012352	-0.012213	-0.012064	-0.011778	0.000000	3.619062	
0.100000	0.000000	11.388928	11.388931	11.388948	11.388985	11.389014	11.389031	0.000000	0.124532	0.124541	0.124589	0.124644	0.124689	0.124738	0.000000	0.486602	0.486523	0.486106	0.485272	0.484556	0.484162	0.000000	11.457042	11.458255	11.458570	11.448984	11.433290	11.408268	0.000000	6.009028	7.258777	12.266080	17.283625	21.057995	24.843420	0.000000	0.497488	0.497279	0.495898	0.493394	0.490911	0.488207	0.000000	-0.068113	-0.069324	-0.069621	-0.060000	-0.044275	-0.019236	0.000000	-5.884496	-7.134236	-12.141491	-17.158981	-20.933306	-24.718681	0.000000	-0.010886	-0.010756	-0.009792	-0.008123	-0.006355	-0.004045	0.000000	7.210414	
0.150000	0.000000	11.388518	11.388508	11.388449	11.388372	11.388297	11.388195	0.000000	0.185471	0.185501	0.185650	0.185832	0.185983	0.186140	0.000000	0.476662	0.476897	0.478254	0.480005	0.481729	0.484090	0.000000	11.463387	11.462718	11.450783	11.418071	11.375326	11.313287	0.000000	6.016520	7.253313	12.214323	17.196712	20.953232	24.728733	0.000000	0.480671	0.480508	0.478857	0.475062	0.470906	0.465931	0.000000	-0.074868	-0.074211	-0.062334	-0.029698	0.012971	0.074908	0.000000	-5.831049	-7.067812	-12.028673	-17.010880	-20.767250	-24.542593	0.000000	-0.004009	-0.003611	-0.000603	0.004943	0.010824	0.018159	0.000000	10.753460	
0.200000	0.000000	11.387924	11.387896	11.387722	11.387477	11.387241	11.386962	0.000000	0.244833	0.244887	0.245165	0.245515	0.245804	0.246108	0.000000	0.463917	0.464629	0.468683	0.474421	0.479891	0.486376	0.000000	11.464500	11.462721	11.443682	11.397966	11.340372	11.258383	0.000000	6.066533	7.298342	12.239987	17.204315	20.948328	24.712246	0.000000	0.461022	0.460982	0.459314	0.454319	0.448399	0.440849	0.000000	-0.076577	-0.074825	-0.055960	-0.010489	0.046869	0.128580	0.000000	-5.821700	-7.053455	-11.994823	-16.958799	-20.702524	-24.466139	0.000000	0.002895	0.003647	0.009369	0.020103	0.031492	0.045528	0.000000	14.268685	
0.250000	0.000000	11.387175	11.387123	11.386831	11.386406	11.385998	11.385524	0.000000	0.303101	0.303174	0.303549	0.304029	0.304429	0.304852	0.000000	0.447630	0.448884	0.455975	0.466163	0.475768	0.486773	0.000000	11.462468	11.461273	11.444496	11.401225	11.345985	11.267113	0.000000	6.156359	7.392228	12.345278	17.311583	21.049988	24.801590	0.000000	0.441635	0.441843	0.440955	0.436060	0.429670	0.421080	0.000000	-0.075293	-0.074150	-0.057665	-0.014819	0.040012	0.118411	0.000000	-5.853258	-7.089054	-12.041729	-17.007553	-20.745558	-24.496738	0.000000	0.005995	0.007040	0.015020	0.030104	0.046098	0.065693	0.000000	17.794299	
0.300000	0.000000	11.386287	11.386220	11.385834	11.385268	11.384724	11.384092	0.000000	0.360685	0.360763	0.361166	0.361691	0.362134	0.362603	0.000000	0.427039	0.428780	0.438572	0.452612	0.465740	0.480609	0.000000	11.452375	11.452600	11.444244	11.416035	11.378276	11.323357	0.000000	6.256999	7.498661	12.468479	17.438862	21.170687	24.906666	0.000000	0.415633	0.416197	0.416979	0.413909	0.408933	0.401709	0.000000	-0.066088	-0.066379	-0.058410	-0.030766	0.006448	0.060736	0.000000	-5.896315	-7.137898	-12.107313	-17.077171	-20.808554	-24.544064	0.000000	0.011405	0.012583	0.021593	0.038704	0.056807	0.078900	0.000000	21.345132	
0.350000	0.000000	11.385269	11.385194	11.384767	11.384141	11.383540	11.382837	0.000000	0.416856	0.416929	0.417302	0.417793	0.418210	0.418656	0.000000	0.402328	0.404379	0.415859	0.432168	0.447321	0.464488	0.000000	11.429394	11.430262	11.429492	11.420348	11.407073	11.386987	0.000000	6.336612	7.579530	12.550065	17.512426	21.231482	24.948437	0.000000	0.377130	0.378026	0.380648	0.380105	0.377480	0.373002	0.000000	-0.044125	-0.045068	-0.044725	-0.036207	-0.023533	-0.004149	0.000000	-5.919756	-7.162601	-12.132763	-17.094633	-20.813271	-24.529781	0.000000	0.025198	0.026353	0.035212	0.052063	0.069841	0.091486	0.000000	24.907610	
0.400000	0.000000	11.384111	11.384040	11.383629	11.383033	11.382462	11.381783	0.000000	0.471079	0.471139	0.471458	0.471877	0.472235	0.472619	0.000000	0.374239	0.376362	0.388210	0.404809	0.420170	0.437741	0.000000	11.400597	11.401291	11.404850	11.411285	11.419411	11.430481	0.000000	6.376892	7.616024	12.570268	17.513781	21.216604	24.915453	0.000000	0.333955	0.335026	0.338784	0.340012	0.339200	0.337057	0.000000	-0.016485	-0.017251	-0.021222	-0.028253	-0.036949	-0.048698	0.000000	-5.905814	-7.144885	-12.098809	-17.041904	-20.744370	-24.442833	0.000000	0.040284	0.041336	0.049426	0.064797	0.080970	0.100684	0.000000	28.464715	
