HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjFl    B_0_N_0	BkNjFl    B_0_N_4	BkNjFl    B_0_N_5	BkNjFl    B_0_N_9	BkNjFl    B_0_N_13	BkNjFl    B_0_N_16	BkNjFl    B_0_N_18	BkNjFd    B_0_N_0	BkNjFd    B_0_N_4	BkNjFd    B_0_N_5	BkNjFd    B_0_N_9	BkNjFd    B_0_N_13	BkNjFd    B_0_N_16	BkNjFd    B_0_N_18	BkNjMm    B_0_N_0	BkNjMm    B_0_N_4	BkNjMm    B_0_N_5	BkNjMm    B_0_N_9	BkNjMm    B_0_N_13	BkNjMm    B_0_N_16	BkNjMm    B_0_N_18	
(s)	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	
0.000000	0.000000	0.000000	0.000000	0.000000	-4837.673639	-13133.256974	-97556.235070	0.000000	119.754312	132.512559	162.317369	498.979656	1383.237406	10588.359534	0.000000	5.694396	10.438913	-1.513209	2830.740914	7407.305182	54728.935164	
0.050000	0.000000	0.000000	0.000000	0.000000	208.946579	207.386273	204.758278	0.000000	121.041397	133.900271	163.703550	10.281622	14.930416	19.964141	0.000000	5.748922	10.543927	-1.531741	-217.161752	-237.333274	-261.888315	
0.100000	0.000000	0.000000	0.000000	0.000000	208.104207	205.310629	200.953003	0.000000	121.359147	134.127080	163.301128	10.206117	14.826541	19.843091	0.000000	5.761399	10.564162	-1.531597	-216.082615	-235.230264	-258.515663	
0.150000	0.000000	0.000000	0.000000	0.000000	207.787907	206.311509	197.291605	0.000000	121.520101	134.158879	162.590009	10.087599	14.618530	19.665879	0.000000	5.767053	10.571090	-1.529386	-215.138204	-234.701296	-254.907428	
0.200000	0.000000	0.000000	0.000000	0.000000	206.177234	201.688465	195.019124	0.000000	121.893365	134.535367	162.760580	10.114462	14.678174	19.645692	0.000000	5.767098	10.568969	-1.527042	-214.098812	-231.757063	-253.204780	
0.250000	0.000000	0.000000	0.000000	0.000000	204.279631	200.358887	195.287368	0.000000	122.501049	135.301705	163.958352	10.281581	14.850225	19.788254	0.000000	5.763628	10.563244	-1.526477	-213.684343	-231.836331	-254.243768	
0.300000	0.000000	0.000000	0.000000	0.000000	205.217280	200.662772	193.772231	0.000000	123.051757	136.048361	165.342582	10.424045	15.036854	20.024406	0.000000	5.751793	10.543468	-1.525431	-215.234871	-233.169038	-254.600755	
0.350000	0.000000	0.000000	0.000000	0.000000	205.877302	205.497903	199.001979	0.000000	123.232513	136.337553	166.024339	10.501444	15.048013	20.035805	0.000000	5.727213	10.498960	-1.520638	-216.189455	-236.688038	-258.309540	
0.400000	0.000000	0.000000	0.000000	0.000000	205.177037	201.409186	201.279004	0.000000	123.029715	136.132464	165.853886	10.510680	15.117607	19.971372	0.000000	5.697351	10.443553	-1.513551	-215.722940	-234.184752	-259.509484	
0.450000	0.000000	0.000000	0.000000	0.000000	205.018160	203.911576	201.946461	0.000000	122.705332	135.747436	165.268214	10.452004	14.983822	19.853587	0.000000	5.674066	10.400444	-1.507762	-215.253702	-235.171643	-259.269994	
0.500000	0.000000	0.000000	0.000000	0.000000	204.425209	203.271825	201.294400	0.000000	122.464651	135.428102	164.623422	10.383464	14.884234	19.724812	0.000000	5.659938	10.374162	-1.503732	-214.402057	-234.119486	-258.046236	
0.550000	0.000000	0.000000	0.000000	0.000000	209.962064	203.088794	191.096174	0.000000	123.155408	136.158543	165.019991	10.203827	14.766849	19.746265	0.000000	5.688037	10.428399	-1.509740	-217.453126	-233.287024	-251.075086	
0.600000	0.000000	0.000000	0.000000	0.000000	212.794075	199.242435	176.125997	0.000000	123.797209	136.829647	165.334483	10.108965	14.706936	19.841376	0.000000	5.713407	10.476714	-1.514381	-218.765514	-230.182549	-241.222184	
0.650000	0.000000	0.000000	0.000000	0.000000	216.243754	199.277486	170.400268	0.000000	124.299341	137.362270	165.581453	10.056942	14.582688	19.780025	0.000000	5.732886	10.514449	-1.518062	-220.505402	-229.464775	-236.869430	
0.700000	0.000000	0.000000	0.000000	0.000000	223.447107	208.757860	182.764932	0.000000	124.732368	137.851530	165.916513	10.021898	14.309914	19.422329	0.000000	5.748349	10.546360	-1.522225	-224.754164	-234.602876	-243.338818	
0.750000	0.000000	0.000000	0.000000	0.000000	234.629404	227.689628	212.664513	0.000000	125.274521	138.512525	166.618104	10.017418	13.909503	18.799745	0.000000	5.763837	10.580629	-1.528158	-231.767330	-245.725460	-260.431039	
0.800000	0.000000	0.000000	0.000000	0.000000	246.337302	249.838565	250.068824	0.000000	126.067896	139.522620	167.953685	10.050709	13.516512	18.116386	0.000000	5.781866	10.621677	-1.535977	-239.427694	-259.188267	-282.382722	
0.850000	0.000000	0.000000	0.000000	0.000000	254.803015	267.731066	282.376646	0.000000	127.085807	140.845844	169.879242	10.112403	13.261447	17.593446	0.000000	5.802532	10.668476	-1.544679	-245.281411	-270.436162	-301.744195	
0.900000	0.000000	0.000000	0.000000	0.000000	260.330486	278.994376	303.105617	0.000000	128.133467	142.207459	171.883993	10.173823	13.208916	17.287581	0.000000	5.825588	10.718975	-1.553220	-249.280304	-277.753154	-314.343125	
0.950000	0.000000	0.000000	0.000000	0.000000	266.838510	287.059474	313.916387	0.000000	129.006890	143.298973	173.314801	10.203991	13.235480	17.090092	0.000000	5.851873	10.773497	-1.561304	-253.635734	-282.809250	-320.686471	
1.000000	0.000000	0.000000	0.000000	0.000000	277.151900	295.921910	319.813590	0.000000	129.668946	144.045430	173.952813	10.195258	13.205638	16.886776	0.000000	5.882515	10.833961	-1.569301	-260.064307	-287.871091	-323.574969	
