HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjPhi   B_0_N_0	BkNjPhi   B_0_N_4	BkNjPhi   B_0_N_5	BkNjPhi   B_0_N_9	BkNjPhi   B_0_N_13	BkNjPhi   B_0_N_16	BkNjPhi   B_0_N_18	BkNjVRel  B_0_N_0	BkNjVRel  B_0_N_4	BkNjVRel  B_0_N_5	BkNjVRel  B_0_N_9	BkNjVRel  B_0_N_13	BkNjVRel  B_0_N_16	BkNjVRel  B_0_N_18	BkNjTheta B_0_N_0	BkNjTheta B_0_N_4	BkNjTheta B_0_N_5	BkNjTheta B_0_N_9	BkNjTheta B_0_N_13	BkNjTheta B_0_N_16	BkNjTheta B_0_N_18	BkNjAxInd B_0_N_0	BkNjAxInd B_0_N_4	BkNjAxInd B_0_N_5	BkNjAxInd B_0_N_9	BkNjAxInd B_0_N_13	BkNjAxInd B_0_N_16	BkNjAxInd B_0_N_18	BkNjTnInd B_0_N_0	BkNjTnInd B_0_N_4	BkNjTnInd B_0_N_5	BkNjTnInd B_0_N_9	BkNjTnInd B_0_N_13	BkNjTnInd B_0_N_16	BkNjTnInd B_0_N_18	
(s)	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	
0.000000	89.708039	62.418005	57.644263	42.843246	3.665194	1.975182	0.635732	4.918551	10.230725	10.580138	13.233597	60.504528	99.898003	274.350983	13.454954	13.454954	13.454954	13.454954	12.756765	11.303658	10.323171	0.568143	0.203804	0.215263	0.209881	0.660394	0.697682	0.732726	0.986801	0.203804	0.215263	0.209882	2.481653	3.722684	10.000000	
0.050000	89.697896	62.348152	57.628205	42.969137	12.736915	10.940628	9.738489	4.948400	10.285425	10.635236	13.289726	19.461847	22.663784	25.960779	13.460713	13.460713	13.460714	13.460714	12.762526	11.309420	10.328934	0.567312	0.203901	0.215293	0.209490	0.626032	0.625573	0.618293	0.986711	0.203901	0.215293	0.209490	0.094374	0.052972	0.026653	
0.100000	89.690732	62.330059	57.652698	43.057704	12.746668	10.944443	9.736373	4.954934	10.298593	10.643787	13.272342	19.396042	22.575596	25.855312	13.466737	13.466739	13.466740	13.466746	12.768563	11.315462	10.334980	0.567312	0.203915	0.215234	0.209204	0.626214	0.625130	0.616742	0.986711	0.203915	0.215234	0.209204	0.094796	0.052768	0.025909	
0.150000	89.683198	62.320900	57.689875	43.166171	12.765228	10.950485	9.736574	4.959476	10.305208	10.644683	13.242263	19.304434	22.459782	25.718534	13.472997	13.473005	13.473009	13.473027	12.774859	11.321771	10.341302	0.567312	0.203936	0.215175	0.208873	0.626430	0.624922	0.615507	0.986711	0.203936	0.215175	0.208873	0.095268	0.052762	0.025359	
0.200000	89.649641	62.125761	57.528190	43.087142	12.753358	10.943028	9.726092	4.961008	10.321054	10.659320	13.247102	19.306355	22.444286	25.687836	13.479403	13.479419	13.479427	13.479463	12.781319	11.328250	10.347802	0.567324	0.204245	0.215526	0.209264	0.626061	0.624241	0.614435	0.985760	0.204296	0.215597	0.209344	0.094789	0.052168	0.024723	
0.250000	88.647085	61.664280	57.081329	42.760512	12.768792	10.973626	9.771709	4.992461	10.399492	10.751428	13.381357	19.420694	22.556240	25.790220	13.486045	13.486069	13.486079	13.486133	12.788011	11.334960	10.354530	0.564555	0.201519	0.212620	0.206201	0.623503	0.621496	0.611369	0.946570	0.198468	0.209831	0.204415	0.093787	0.051683	0.024517	
0.300000	87.601001	61.137740	56.566899	42.386388	12.802425	11.057660	9.909518	5.016239	10.475833	10.844024	13.526918	19.555717	22.690353	25.914425	13.493002	13.493029	13.493041	13.493104	12.794994	11.341953	10.361535	0.562234	0.198972	0.209886	0.203202	0.620352	0.617373	0.605877	0.908172	0.192534	0.203928	0.199337	0.092692	0.051158	0.024296	
0.350000	86.634789	60.700567	56.150285	42.107949	12.840220	11.157679	10.079421	5.031427	10.528330	10.907945	13.625307	19.626415	22.754452	25.966679	13.500160	13.500187	13.500200	13.500263	12.802154	11.349114	10.368697	0.560386	0.196695	0.207451	0.200519	0.617883	0.613624	0.600282	0.874865	0.187573	0.199029	0.195159	0.091938	0.050802	0.024147	
0.400000	85.934776	60.450425	55.924445	41.985508	12.886399	11.252645	10.232414	5.041980	10.553498	10.938050	13.665599	19.616404	22.733341	25.934122	13.507386	13.507411	13.507423	13.507482	12.809369	11.356326	10.375905	0.558744	0.194570	0.205190	0.198069	0.616218	0.610856	0.595877	0.851726	0.184008	0.195511	0.192096	0.091599	0.050643	0.024077	
0.450000	85.490199	60.358955	55.857243	41.986023	12.950094	11.335534	10.340918	5.054770	10.567103	10.953014	13.677147	19.563618	22.669088	25.861004	13.514678	13.514702	13.514712	13.514768	12.816651	11.363604	10.383179	0.556933	0.192398	0.202875	0.195597	0.614749	0.608787	0.592892	0.837043	0.181398	0.192903	0.189691	0.091483	0.050580	0.024040	
0.500000	85.100906	60.318398	55.843077	42.026837	13.013303	11.388663	10.385827	5.073725	10.584111	10.970461	13.686588	19.504589	22.599293	25.784161	13.522058	13.522081	13.522092	13.522147	12.824029	11.370981	10.390556	0.554809	0.190120	0.200445	0.193050	0.613365	0.607393	0.591408	0.824092	0.179004	0.190500	0.187427	0.091397	0.050524	0.024002	
0.550000	84.658084	60.268660	55.822583	42.060715	13.056124	11.404059	10.372957	5.097099	10.605248	10.991570	13.696778	19.445969	22.529280	25.706896	13.529471	13.529496	13.529507	13.529567	12.831454	11.378411	10.397991	0.552494	0.187820	0.197996	0.190538	0.612341	0.606780	0.591257	0.809639	0.176542	0.188046	0.185157	0.091300	0.050461	0.023960	
0.600000	84.229592	60.222454	55.804189	42.090484	13.083942	11.401952	10.340356	5.120176	10.623282	11.008980	13.701015	19.381460	22.452162	25.621206	13.536846	13.536875	13.536889	13.536958	12.838857	11.385824	10.405415	0.550194	0.185583	0.195619	0.188127	0.611658	0.606607	0.591647	0.795830	0.174167	0.185675	0.182962	0.091228	0.050412	0.023925	
0.650000	83.889811	60.194860	55.799111	42.124420	13.116466	11.414552	10.334568	5.139606	10.634767	11.019855	13.699658	19.312382	22.369635	25.528261	13.544170	13.544205	13.544221	13.544305	12.846222	11.393204	10.412812	0.548033	0.183433	0.193332	0.185788	0.610950	0.606193	0.591497	0.784789	0.171990	0.183469	0.180855	0.091182	0.050380	0.023899	
0.700000	83.593640	60.160122	55.782998	42.150750	13.168803	11.464215	10.385339	5.155744	10.644109	11.029721	13.702164	19.249676	22.292562	25.438036	13.551465	13.551508	13.551527	13.551627	12.853566	11.400566	10.420193	0.546009	0.181346	0.191102	0.183451	0.609815	0.604962	0.590022	0.775152	0.169836	0.181257	0.178708	0.091112	0.050343	0.023877	
0.750000	83.223546	60.060640	55.700934	42.130328	13.237253	11.548807	10.491161	5.171461	10.660148	11.048800	13.723260	19.212349	22.240334	25.369476	13.558744	13.558794	13.558817	13.558932	12.860891	11.407908	10.427553	0.544042	0.179284	0.188885	0.181069	0.608082	0.602752	0.587083	0.763644	0.167347	0.178698	0.176277	0.090918	0.050254	0.023837	
0.800000	82.720161	59.852231	55.506294	42.014703	13.297350	11.640044	10.618977	5.189216	10.688965	11.084315	13.774703	19.219719	22.234396	25.345495	13.565990	13.566045	13.566069	13.566195	12.868167	11.415196	10.434852	0.542054	0.177232	0.186671	0.178657	0.605939	0.599906	0.583224	0.748777	0.164279	0.175541	0.173339	0.090489	0.050056	0.023757	
0.850000	82.153406	59.560991	55.220802	41.805686	13.329381	11.708301	10.728795	5.209584	10.728041	11.133217	13.852201	19.269600	22.274622	25.368603	13.573180	13.573235	13.573260	13.573387	12.875359	11.422389	10.442047	0.539991	0.175191	0.184467	0.176263	0.603752	0.597020	0.579321	0.732565	0.160810	0.171943	0.169970	0.089830	0.049742	0.023630	
