HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjPhi   B_0_N_0	BkNjPhi   B_0_N_4	BkNjPhi   B_0_N_5	BkNjPhi   B_0_N_9	BkNjPhi   B_0_N_13	BkNjPhi   B_0_N_16	BkNjPhi   B_0_N_18	BkNjVRel  B_0_N_0	BkNjVRel  B_0_N_4	BkNjVRel  B_0_N_5	BkNjVRel  B_0_N_9	BkNjVRel  B_0_N_13	BkNjVRel  B_0_N_16	BkNjVRel  B_0_N_18	BkNjTheta B_0_N_0	BkNjTheta B_0_N_4	BkNjTheta B_0_N_5	BkNjTheta B_0_N_9	BkNjTheta B_0_N_13	BkNjTheta B_0_N_16	BkNjTheta B_0_N_18	BkNjAxInd B_0_N_0	BkNjAxInd B_0_N_4	BkNjAxInd B_0_N_5	BkNjAxInd B_0_N_9	BkNjAxInd B_0_N_13	BkNjAxInd B_0_N_16	BkNjAxInd B_0_N_18	BkNjTnInd B_0_N_0	BkNjTnInd B_0_N_4	BkNjTnInd B_0_N_5	BkNjTnInd B_0_N_9	BkNjTnInd B_0_N_13	BkNjTnInd B_0_N_16	BkNjTnInd B_0_N_18	
(s)	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	
0.000000	0.000000	62.418005	57.644263	42.843246	3.665194	1.975182	0.635732	0.000000	10.230725	10.580138	13.233597	60.504528	99.898003	274.350983	0.000000	13.454954	13.454954	13.454954	12.756765	11.303658	10.323171	0.110000	0.203804	0.215263	0.209881	0.660394	0.697682	0.732726	0.028000	0.203804	0.215263	0.209882	2.481653	3.722684	10.000000	
0.050000	0.000000	62.347469	57.627296	42.967675	12.736744	10.940448	9.738294	0.000000	10.285557	10.635393	13.289984	19.462442	22.664413	25.961384	0.000000	13.460713	13.460713	13.460714	12.762526	11.309420	10.328934	0.110000	0.203902	0.215294	0.209494	0.626017	0.625551	0.618261	0.028000	0.203902	0.215294	0.209494	0.094356	0.052954	0.026635	
0.100000	0.000000	62.323734	57.645840	43.050590	12.746109	10.944015	9.736039	0.000000	10.299048	10.644397	13.273639	19.399031	22.578911	25.858747	0.000000	13.466742	13.466743	13.466748	12.768565	11.315464	10.334982	0.110000	0.203922	0.215245	0.209223	0.626165	0.625077	0.616685	0.028000	0.203922	0.215245	0.209223	0.094735	0.052725	0.025878	
0.150000	0.000000	62.307417	57.675422	43.152029	12.762582	10.965686	9.736240	0.000000	10.305876	10.645658	13.244706	19.311026	22.460232	25.725592	0.000000	13.473009	13.473013	13.473030	12.774862	11.321773	10.341304	0.110000	0.203955	0.215201	0.208915	0.626379	0.624414	0.615450	0.028000	0.203955	0.215201	0.208915	0.095205	0.052350	0.025328	
0.200000	0.000000	62.114082	57.514994	43.074291	12.758586	10.950594	9.735927	0.000000	10.321692	10.660585	13.251652	19.311039	22.449404	25.693035	0.000000	13.479426	13.479433	13.479469	12.781324	11.328254	10.347804	0.110000	0.204227	0.215496	0.209156	0.625835	0.623950	0.614076	0.028000	0.204227	0.215496	0.209156	0.094739	0.052143	0.024714	
0.250000	0.000000	61.760271	57.179021	42.831573	12.739831	10.942769	9.738898	0.000000	10.347388	10.690905	13.300323	19.407343	22.542477	25.775400	0.000000	13.486075	13.486086	13.486138	12.788015	11.334963	10.354532	0.110000	0.204727	0.216117	0.209911	0.624620	0.622844	0.613022	0.028000	0.204727	0.216117	0.209911	0.093462	0.051430	0.024287	
0.300000	0.000000	61.350043	56.784977	42.547393	12.737773	10.941107	9.733405	0.000000	10.370621	10.720363	13.356349	19.519110	22.660950	25.893085	0.000000	13.493029	13.493041	13.493103	12.794992	11.341951	10.361531	0.110000	0.205327	0.216870	0.210821	0.623008	0.621995	0.613402	0.028000	0.205327	0.216870	0.210821	0.091742	0.050936	0.024640	
0.350000	0.000000	60.995413	56.451213	42.324493	12.740821	10.966516	9.757167	0.000000	10.378235	10.731750	13.383857	19.581327	22.717432	25.947901	0.000000	13.500179	13.500191	13.500254	12.802145	11.349106	10.368688	0.110000	0.205854	0.217515	0.211537	0.621860	0.621142	0.613817	0.028000	0.205854	0.217515	0.211537	0.090608	0.050448	0.025017	
0.400000	0.000000	60.779654	56.257208	42.217075	12.743839	10.954181	9.773810	0.000000	10.369692	10.723676	13.376985	19.579617	22.718323	25.933184	0.000000	13.507400	13.507412	13.507471	12.809358	11.356315	10.375894	0.110000	0.206170	0.217882	0.211866	0.621505	0.621957	0.614855	0.028000	0.206170	0.217882	0.211866	0.090415	0.051270	0.025740	
0.450000	0.000000	60.696818	56.195518	42.215111	12.755842	10.978236	9.787099	0.000000	10.356012	10.708500	13.353345	19.536472	22.661636	25.873825	0.000000	13.514692	13.514703	13.514758	12.816640	11.363593	10.383167	0.110000	0.206289	0.217994	0.211862	0.621558	0.621997	0.615639	0.028000	0.206289	0.217994	0.211862	0.090704	0.051486	0.026332	
0.500000	0.000000	60.671457	56.193653	42.261201	12.766831	10.988419	9.796617	0.000000	10.345851	10.695897	13.327271	19.481159	22.593576	25.795904	0.000000	13.522071	13.522082	13.522137	12.824017	11.370968	10.390542	0.110000	0.206361	0.218034	0.211738	0.621768	0.622134	0.615595	0.028000	0.206404	0.218074	0.211763	0.091151	0.051771	0.026469	
0.550000	0.000000	60.637381	56.192373	42.318349	12.818106	11.001450	9.769895	0.000000	10.374988	10.724703	13.343313	19.419359	22.518993	25.712772	0.000000	13.529482	13.529494	13.529553	12.831437	11.378392	10.397970	0.110000	0.203777	0.215295	0.208951	0.620664	0.621688	0.615973	0.028000	0.203593	0.215326	0.209307	0.091091	0.051731	0.026436	
