HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjFl    B_0_N_0	BkNjFl    B_0_N_4	BkNjFl    B_0_N_5	BkNjFl    B_0_N_9	BkNjFl    B_0_N_13	BkNjFl    B_0_N_16	BkNjFl    B_0_N_18	BkNjFd    B_0_N_0	BkNjFd    B_0_N_4	BkNjFd    B_0_N_5	BkNjFd    B_0_N_9	BkNjFd    B_0_N_13	BkNjFd    B_0_N_16	BkNjFd    B_0_N_18	BkNjMm    B_0_N_0	BkNjMm    B_0_N_4	BkNjMm    B_0_N_5	BkNjMm    B_0_N_9	BkNjMm    B_0_N_13	BkNjMm    B_0_N_16	BkNjMm    B_0_N_18	
(s)	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	
0.000000	0.000000	0.000000	0.000000	0.000000	-4837.673639	-13133.256974	-97556.235070	26.242125	119.754312	132.512559	162.317369	498.979656	1383.237406	10588.359534	0.000000	5.694396	10.438913	-1.513209	2830.740914	7407.305182	54728.935164	
0.050000	0.000000	0.000000	0.000000	0.000000	208.960619	207.412363	204.800400	26.561596	121.038300	133.896309	163.697207	10.280546	14.928959	19.962351	0.000000	5.748834	10.543787	-1.531750	-217.165780	-237.343194	-261.906927	
0.100000	0.000000	0.000000	0.000000	0.000000	208.127361	205.339705	200.988387	26.631794	121.348404	134.111723	163.269217	10.201517	14.820698	19.836340	0.000000	5.761445	10.564254	-1.531633	-216.072362	-235.216096	-258.499935	
0.150000	0.000000	0.000000	0.000000	0.000000	208.053987	203.183336	197.270980	26.680640	121.504358	134.134290	162.530027	10.073915	14.669942	19.653631	0.000000	5.767493	10.571894	-1.529484	-215.254612	-232.775177	-254.819849	
0.200000	0.000000	0.000000	0.000000	0.000000	205.272987	200.046277	192.382033	26.697122	121.878319	134.503427	162.648831	10.122960	14.697320	19.680378	0.000000	5.767422	10.568978	-1.526597	-213.475909	-230.699008	-251.576345	
0.250000	0.000000	0.000000	0.000000	0.000000	209.073682	206.992829	204.117683	27.036723	123.737856	136.837973	165.962331	10.220518	14.761877	19.667588	0.000000	5.813113	10.664103	-1.541724	-216.891044	-236.044754	-259.669524	
0.300000	0.000000	0.000000	0.000000	0.000000	216.160379	225.602268	240.724929	27.294876	125.561196	139.205142	169.592616	10.315787	14.668928	19.280206	0.000000	5.849371	10.744448	-1.556721	-222.618754	-248.775777	-282.836617	
0.350000	0.000000	0.000000	0.000000	0.000000	222.431626	246.443217	284.963969	27.460413	126.822783	140.851090	172.068668	10.404050	14.425847	18.636916	0.000000	5.866194	10.785188	-1.565164	-227.311649	-262.201750	-309.784333	
0.400000	0.000000	0.000000	0.000000	0.000000	228.183441	264.441248	322.912007	27.575720	127.429859	141.629653	173.087831	10.410643	14.091507	17.945843	0.000000	5.869697	10.796825	-1.567897	-230.993594	-273.051598	-332.064908	
0.450000	0.000000	0.000000	0.000000	0.000000	235.566649	278.759900	347.788467	27.715802	127.758625	142.017438	173.380489	10.379466	13.748441	17.399881	0.000000	5.875355	10.810973	-1.570206	-235.388043	-281.221820	-346.113431	
0.500000	0.000000	0.000000	0.000000	0.000000	242.616656	286.426828	355.563366	27.924053	128.170212	142.470224	173.619941	10.341298	13.576890	17.132653	0.000000	5.889657	10.840965	-1.574067	-239.513770	-285.287152	-349.926146	
0.550000	0.000000	0.000000	0.000000	0.000000	246.497755	286.243203	348.144900	28.181932	128.682654	143.019015	173.878567	10.294589	13.497468	17.118306	0.000000	5.907662	10.876900	-1.577752	-241.569915	-284.512460	-344.677429	
0.600000	0.000000	0.000000	0.000000	0.000000	247.922871	282.401747	335.467595	28.437696	129.120670	143.472448	173.986140	10.235201	13.399797	17.177045	0.000000	5.922551	10.905989	-1.579862	-241.971424	-281.392730	-336.205777	
0.650000	0.000000	0.000000	0.000000	0.000000	249.900449	281.355718	329.650268	28.653943	129.399989	143.756059	173.951699	10.173139	13.304424	17.109109	0.000000	5.931951	10.924942	-1.580896	-242.698833	-279.967679	-331.750766	
0.700000	0.000000	0.000000	0.000000	0.000000	254.928387	287.677535	338.395216	28.834158	129.627434	144.013576	174.015327	10.126315	13.236666	16.803868	0.000000	5.938259	10.939588	-1.582437	-245.476897	-283.189606	-336.011431	
0.750000	0.000000	0.000000	0.000000	0.000000	262.937495	301.340270	361.000403	29.010225	130.018382	144.512211	174.551577	10.112971	13.217907	16.610834	0.000000	5.945666	10.958593	-1.585904	-250.414532	-291.221120	-348.911676	
0.800000	0.000000	0.000000	0.000000	0.000000	270.919751	317.481368	389.784836	29.209767	130.722280	145.442758	175.862680	10.143122	13.257762	16.664242	0.000000	5.956462	10.986141	-1.591520	-255.699100	-301.228196	-366.094193	
0.850000	0.000000	0.000000	0.000000	0.000000	276.005401	330.531874	415.633290	29.439524	131.679794	146.728912	177.847079	10.206422	13.340023	16.766979	0.000000	5.970131	11.020137	-1.598257	-259.435014	-309.737690	-381.981812	
0.900000	0.000000	0.000000	0.000000	0.000000	279.312616	339.550342	434.118287	29.695680	132.641861	148.023404	179.874527	10.270214	13.419976	16.861965	0.000000	5.985682	11.057032	-1.604931	-262.053900	-315.811401	-393.523105	
0.950000	0.000000	0.000000	0.000000	0.000000	285.039848	348.073077	446.994388	29.983117	133.368789	148.967576	181.200120	10.300094	13.451267	16.892185	0.000000	6.003580	11.096335	-1.611127	-265.914407	-321.180580	-401.261258	
1.000000	0.000000	0.000000	0.000000	0.000000	295.583259	359.034206	457.650792	30.318901	133.841962	149.507845	181.632597	10.289240	13.425397	16.849143	0.000000	6.025448	11.140832	-1.617274	-272.469588	-327.532249	-407.095462	
1.050000	0.000000	0.000000	0.000000	0.000000	309.534945	372.226777	468.089378	30.713886	134.245640	149.901816	181.657816	10.262931	13.378207	16.780221	0.000000	6.052424	11.193620	-1.624176	-281.043012	-335.042101	-412.586075	
1.100000	0.000000	0.000000	0.000000	0.000000	324.743193	386.943504	480.377795	31.155377	134.728653	150.386230	181.816765	10.249329	13.350263	16.739176	0.000000	6.083661	11.254386	-1.632306	-290.513720	-343.625693	-419.384988	
1.150000	0.000000	0.000000	0.000000	0.000000	341.434598	404.689676	498.128162	31.614067	135.241240	150.919783	182.119657	10.250521	13.346669	16.735162	0.000000	6.116538	11.318668	-1.641354	-301.041615	-354.227353	-429.668054	
1.200000	0.000000	0.000000	0.000000	0.000000	361.177775	427.840763	524.459560	32.071356	135.648945	151.318519	182.217926	10.231469	13.343919	16.738868	0.000000	6.148991	11.382166	-1.650660	-313.383787	-368.072471	-445.001628	
1.250000	0.000000	0.000000	0.000000	0.000000	383.852363	455.886122	558.175484	32.540099	135.981123	151.605997	182.080407	10.185096	13.331745	16.733204	0.000000	6.181892	11.446255	-1.660191	-327.411083	-384.768352	-464.545221	
1.300000	0.000000	0.000000	0.000000	0.000000	406.510465	483.917422	592.812935	33.054053	136.477398	152.100627	182.238896	10.153044	13.288291	16.705457	0.000000	6.218487	11.517582	-1.670740	-341.541030	-401.351942	-484.555269	
1.350000	0.000000	0.000000	0.000000	0.000000	425.741247	507.551417	621.840783	33.635755	137.346699	153.092972	183.234257	10.164891	13.294548	16.704368	0.000000	6.261094	11.601151	-1.682949	-353.850793	-415.682496	-501.566795	
1.400000	0.000000	0.000000	0.000000	0.000000	441.251566	525.776123	643.331959	34.276940	138.529260	154.508904	184.962027	10.215033	13.343596	16.743877	0.000000	6.308888	11.695182	-1.696432	-364.110491	-427.093991	-514.490077	
1.450000	0.000000	0.000000	0.000000	0.000000	456.221040	542.073344	660.755932	34.949383	139.741876	155.958954	186.718454	10.264824	13.388104	16.771519	0.000000	6.359021	11.793283	-1.710146	-374.022303	-437.302610	-524.930327	
1.500000	0.000000	0.000000	0.000000	0.000000	474.185370	560.971643	679.673713	35.631523	140.744423	157.106218	187.874803	10.280612	13.388037	16.745143	0.000000	6.409236	11.890414	-1.723388	-385.552952	-448.714355	-535.801369	
1.550000	0.000000	0.000000	0.000000	0.000000	495.856176	584.285348	703.458389	36.318718	141.514067	157.918874	188.383464	10.270925	13.345661	16.672236	0.000000	6.458742	11.985111	-1.736139	-399.085628	-462.441411	-549.139864	
1.600000	0.000000	0.000000	0.000000	0.000000	519.596593	610.994717	732.379377	37.009594	142.153840	158.552122	188.584034	10.258720	13.290393	16.590854	0.000000	6.507043	12.077013	-1.748567	-413.740993	-478.106966	-565.413588	
1.650000	0.000000	0.000000	0.000000	0.000000	544.160141	639.769663	765.692409	37.691617	142.702308	159.077761	188.677246	10.246602	13.251585	16.523205	0.000000	6.553045	12.164480	-1.760595	-428.900428	-494.972048	-584.366185	
1.700000	0.000000	0.000000	0.000000	0.000000	569.875240	670.724180	802.898550	38.348695	143.099281	159.422163	188.555288	10.229199	13.224494	16.479940	0.000000	6.595957	12.246105	-1.772076	-444.718382	-513.019317	-605.482792	
1.750000	0.000000	0.000000	0.000000	0.000000	597.325202	704.071944	843.139156	38.979767	143.315009	159.538680	188.101621	10.199276	13.184751	16.437554	0.000000	6.636404	12.323022	-1.783109	-461.489351	-532.356546	-628.159514	
1.800000	0.000000	0.000000	0.000000	0.000000	624.828027	737.772213	883.364040	39.602125	143.442457	159.545705	187.489711	10.141573	13.137431	16.386617	0.000000	6.675823	12.397996	-1.793908	-478.096904	-551.820255	-650.736994	
1.850000	0.000000	0.000000	0.000000	0.000000	649.880874	768.061109	918.949911	40.233369	143.632549	159.651255	187.098835	10.092779	13.101881	16.346752	0.000000	6.714893	12.472407	-1.804453	-493.253626	-569.361937	-670.743195	
1.900000	0.000000	0.000000	0.000000	0.000000	670.525355	792.043917	946.953519	40.874575	143.963953	159.974411	187.184972	10.071351	13.076483	16.334156	0.000000	6.753108	12.545474	-1.814559	-505.897600	-583.318128	-686.643984	
1.950000	0.000000	0.000000	0.000000	0.000000	687.397679	810.921360	968.338849	41.511117	144.391921	160.462256	187.680246	10.074185	13.076014	16.342968	0.000000	6.789700	12.615948	-1.824213	-516.404224	-594.479653	-698.954726	
2.000000	0.000000	0.000000	0.000000	0.000000	703.066114	828.069186	986.940838	42.126019	144.800171	160.952529	188.274501	10.084308	13.084267	16.345657	0.000000	6.824143	12.682940	-1.833537	-526.222301	-604.690616	-709.654505	
2.050000	0.000000	0.000000	0.000000	0.000000	719.494195	846.280308	1006.717255	42.708745	145.079908	161.286514	188.644357	10.089472	13.079509	16.333717	0.000000	6.855541	12.744480	-1.842309	-536.399486	-615.411030	-720.896035	
2.100000	0.000000	0.000000	0.000000	0.000000	736.627091	865.930267	1028.758288	43.254552	145.171681	161.377610	188.623475	10.084485	13.051448	16.297568	0.000000	6.882270	12.796865	-1.849814	-546.809937	-626.769913	-733.218532	
2.150000	0.000000	0.000000	0.000000	0.000000	753.430365	885.852862	1052.132549	43.761657	145.066319	161.216285	188.215043	10.060987	13.001771	16.240611	0.000000	6.903066	12.837247	-1.855430	-556.831079	-638.090658	-746.114962	
2.200000	0.000000	0.000000	0.000000	0.000000	769.560735	905.466279	1075.917091	44.233210	144.789099	160.839418	187.496198	10.022903	12.935963	16.168749	0.000000	6.918531	12.866844	-1.859337	-566.289720	-649.076538	-759.105950	
2.250000	0.000000	0.000000	0.000000	0.000000	785.895296	925.240414	1100.028270	44.679944	144.380276	160.295609	186.521838	9.973181	12.869586	16.081313	0.000000	6.931048	12.890632	-1.862404	-575.746785	-659.990025	-772.135704	
2.300000	0.000000	0.000000	0.000000	0.000000	803.176364	945.672799	1124.201649	45.118241	143.881984	159.629990	185.319018	9.912270	12.795173	15.972674	0.000000	6.943042	12.913397	-1.865347	-585.654794	-671.111324	-785.000615	
2.350000	0.000000	0.000000	0.000000	0.000000	820.524231	965.826682	1146.780393	45.563565	143.339605	158.897943	183.962352	9.821036	12.706505	15.865756	0.000000	6.955462	12.936714	-1.868194	-595.366705	-681.918227	-796.709535	
2.400000	0.000000	0.000000	0.000000	0.000000	836.596810	983.893599	1166.154071	46.025563	142.811782	158.184910	182.632780	9.730005	12.613621	15.752635	0.000000	6.968139	12.960053	-1.870699	-604.282105	-691.460869	-806.500785	
2.450000	0.000000	0.000000	0.000000	0.000000	850.625354	999.188861	1182.040141	46.507054	142.363159	157.590246	181.555640	9.653175	12.532811	15.649177	0.000000	6.981156	12.983918	-1.873075	-612.072160	-699.505536	-814.415791	
2.500000	0.000000	0.000000	0.000000	0.000000	863.506340	1013.053912	1196.350065	47.005451	142.029495	157.168443	180.847886	9.598521	12.473189	15.569759	0.000000	6.995307	13.010561	-1.876051	-619.366863	-706.929295	-821.670247	
2.550000	0.000000	0.000000	0.000000	0.000000	876.819260	1027.611135	1211.891801	47.514242	141.784563	156.879194	180.415679	9.565496	12.419952	15.512927	0.000000	7.011006	13.041192	-1.880097	-627.063037	-714.859586	-829.826492	
2.600000	0.000000	0.000000	0.000000	0.000000	890.722348	1044.158033	1230.241166	48.024567	141.550037	156.607118	180.021657	9.578949	12.372208	15.465262	0.000000	7.027162	13.073355	-1.884781	-634.935205	-723.985799	-839.635708	
2.650000	0.000000	0.000000	0.000000	0.000000	905.266144	1062.076012	1250.905786	48.527812	141.249090	156.243411	179.464837	9.588622	12.317223	15.413226	0.000000	7.041627	13.102160	-1.889062	-643.089126	-733.823582	-850.693409	
2.700000	0.000000	0.000000	0.000000	0.000000	919.445364	1080.075655	1272.204062	49.018444	140.854137	155.752133	178.697125	9.590036	12.253323	15.335415	0.000000	7.052889	13.124229	-1.892215	-650.900421	-743.607266	-861.921667	
2.750000	0.000000	0.000000	0.000000	0.000000	933.004661	1097.608789	1293.374634	49.495294	140.384839	155.161935	177.776511	9.585146	12.185225	15.258466	0.000000	7.061160	13.140124	-1.894349	-658.256806	-753.064197	-873.071003	
2.800000	0.000000	0.000000	0.000000	0.000000	946.406581	1114.723242	1314.222225	49.960200	139.868955	154.507511	176.743885	9.576607	12.130021	15.182566	0.000000	7.067716	13.152685	-1.896003	-665.446692	-762.156891	-884.033174	
2.850000	0.000000	0.000000	0.000000	0.000000	959.782437	1130.988164	1334.487404	50.415635	139.314912	153.795401	175.583093	9.563559	12.116616	15.100882	0.000000	7.073354	13.163516	-1.897399	-672.504077	-770.433439	-894.596175	
2.900000	0.000000	0.000000	0.000000	0.000000	972.715180	1146.445651	1353.274047	50.863714	138.726138	153.030968	174.303555	9.544074	12.094425	15.009437	0.000000	7.077792	13.171845	-1.898264	-679.193705	-778.138322	-904.218940	
2.950000	0.000000	0.000000	0.000000	0.000000	984.305094	1160.100743	1369.446723	51.305950	138.129355	152.259144	173.021474	9.520562	12.066399	14.926579	0.000000	7.080463	13.176490	-1.898360	-685.067283	-784.799345	-912.285329	
3.000000	0.000000	0.000000	0.000000	0.000000	994.310484	1171.794651	1382.466882	51.743876	137.576761	151.561437	171.922948	9.500729	12.042309	14.901457	0.000000	7.081618	13.178331	-1.898003	-690.125016	-790.487148	-918.474083	
3.050000	0.000000	0.000000	0.000000	0.000000	1002.495959	1182.455509	1394.431114	52.178684	137.113055	151.002395	171.131632	9.556335	12.031280	14.889404	0.000000	7.082349	13.180095	-1.897896	-694.031860	-795.827908	-924.315943	
3.100000	0.000000	0.000000	0.000000	0.000000	1010.416547	1193.140239	1406.655245	52.611140	136.741656	150.580876	170.616687	9.643143	12.033979	14.890819	0.000000	7.083571	13.183794	-1.898474	-697.881232	-801.369538	-930.482018	
3.150000	0.000000	0.000000	0.000000	0.000000	1018.701907	1204.292010	1419.624631	53.042386	136.425564	150.236016	170.228011	9.733061	12.042625	14.897052	0.000000	7.085248	13.188969	-1.899506	-702.026228	-807.227324	-937.086995	
3.200000	0.000000	0.000000	0.000000	0.000000	1026.056869	1215.600371	1432.972137	53.475275	136.122120	149.900749	169.819007	9.834915	12.048346	14.898869	0.000000	7.086775	13.193773	-1.900420	-705.354700	-813.109894	-943.806185	
3.250000	0.000000	0.000000	0.000000	0.000000	1032.096888	1226.719352	1446.290554	53.914212	135.816636	149.549817	169.333209	9.947879	12.047926	14.893667	0.000000	7.088027	13.197546	-1.900943	-707.571452	-818.787587	-950.394018	
3.300000	0.000000	0.000000	0.000000	0.000000	1038.052573	1237.892991	1459.728512	54.363695	135.522990	149.198688	168.787245	10.062235	12.043729	14.884621	0.000000	7.089755	13.201828	-1.901333	-709.641146	-824.421023	-956.971548	
3.350000	0.000000	0.000000	0.000000	0.000000	1044.921573	1249.682779	1473.665915	54.826707	135.258703	148.866911	168.197911	10.226571	12.038412	14.874668	0.000000	7.093003	13.208844	-1.902021	-712.323684	-830.336798	-963.757493	
3.400000	0.000000	0.000000	0.000000	0.000000	1052.920543	1262.292853	1488.227524	55.305095	135.025941	148.554574	167.552558	10.450083	12.031712	14.863322	0.000000	7.098211	13.219475	-1.903140	-715.738354	-836.630963	-970.800174	
3.450000	0.000000	0.000000	0.000000	0.000000	1061.219453	1273.604428	1503.159027	55.801365	134.821427	148.258837	166.856637	10.693601	12.146333	14.850119	0.000000	7.105166	13.233143	-1.904533	-719.218090	-841.568076	-977.979704	
3.500000	0.000000	0.000000	0.000000	0.000000	1069.313944	1284.818482	1518.052552	56.319215	134.659253	148.006084	166.191541	11.026507	12.270995	14.839786	0.000000	7.113676	13.249479	-1.906156	-722.531086	-846.427023	-985.167630	
3.550000	0.000000	0.000000	0.000000	0.000000	1077.657174	1295.417159	1532.907288	56.861445	134.574344	147.852900	165.698389	11.341553	12.404609	14.841939	0.000000	7.124032	13.269363	-1.908320	-726.169475	-850.973155	-992.518403	
