HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjVUndx B_0_N_0	BkNjVUndx B_0_N_4	BkNjVUndx B_0_N_5	BkNjVUndx B_0_N_9	BkNjVUndx B_0_N_13	BkNjVUndx B_0_N_16	BkNjVUndx B_0_N_18	BkNjVUndy B_0_N_0	BkNjVUndy B_0_N_4	BkNjVUndy B_0_N_5	BkNjVUndy B_0_N_9	BkNjVUndy B_0_N_13	BkNjVUndy B_0_N_16	BkNjVUndy B_0_N_18	BkNjVUndz B_0_N_0	BkNjVUndz B_0_N_4	BkNjVUndz B_0_N_5	BkNjVUndz B_0_N_9	BkNjVUndz B_0_N_13	BkNjVUndz B_0_N_16	BkNjVUndz B_0_N_18	BkNjVDisx B_0_N_0	BkNjVDisx B_0_N_4	BkNjVDisx B_0_N_5	BkNjVDisx B_0_N_9	BkNjVDisx B_0_N_13	BkNjVDisx B_0_N_16	BkNjVDisx B_0_N_18	BkNjVDisy B_0_N_0	BkNjVDisy B_0_N_4	BkNjVDisy B_0_N_5	BkNjVDisy B_0_N_9	BkNjVDisy B_0_N_13	BkNjVDisy B_0_N_16	BkNjVDisy B_0_N_18	BkNjVDisz B_0_N_0	BkNjVDisz B_0_N_4	BkNjVDisz B_0_N_5	BkNjVDisz B_0_N_9	BkNjVDisz B_0_N_13	BkNjVDisz B_0_N_16	BkNjVDisz B_0_N_18	BkNjSTVx  B_0_N_0	BkNjSTVx  B_0_N_4	BkNjSTVx  B_0_N_5	BkNjSTVx  B_0_N_9	BkNjSTVx  B_0_N_13	BkNjSTVx  B_0_N_16	BkNjSTVx  B_0_N_18	BkNjSTVy  B_0_N_0	BkNjSTVy  B_0_N_4	BkNjSTVy  B_0_N_5	BkNjSTVy  B_0_N_9	BkNjSTVy  B_0_N_13	BkNjSTVy  B_0_N_16	BkNjSTVy  B_0_N_18	BkNjSTVz  B_0_N_0	BkNjSTVz  B_0_N_4	BkNjSTVz  B_0_N_5	BkNjSTVz  B_0_N_9	BkNjSTVz  B_0_N_13	BkNjSTVz  B_0_N_16	BkNjSTVz  B_0_N_18	BPitch    B_0	BAzimuth  B_0	
(s)	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	
0.000000	11.389151	11.389151	11.389151	11.389151	11.389149	11.389150	11.389151	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	11.389151	11.389151	11.389151	11.389151	11.389149	11.389150	11.389151	1.898855	5.949548	7.215438	12.280558	17.342560	21.140234	24.939465	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	0.497261	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-1.898855	-5.949548	-7.215438	-12.280558	-17.342560	-21.140234	-24.939465	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	11.389108	11.389132	11.389138	11.389176	11.389235	11.389291	11.389341	0.062792	0.062794	0.062795	0.062802	0.062807	0.062811	0.062817	0.494235	0.493680	0.493523	0.492654	0.491256	0.489995	0.488845	11.436244	11.444137	11.446856	11.458846	11.473814	11.487933	11.504392	1.963436	5.996043	7.256494	12.301386	17.345932	21.132431	24.922432	0.506728	0.506154	0.505975	0.504971	0.503422	0.501999	0.500547	-0.047136	-0.055005	-0.057718	-0.069670	-0.084579	-0.098642	-0.115051	-1.900643	-5.933249	-7.193698	-12.238584	-17.283125	-21.069620	-24.859615	-0.012493	-0.012474	-0.012453	-0.012317	-0.012167	-0.012004	-0.011702	0.000000	3.618843	
0.100000	11.388909	11.388929	11.388933	11.388951	11.388988	11.389019	11.389038	0.124486	0.124506	0.124516	0.124565	0.124621	0.124667	0.124718	0.487107	0.486594	0.486511	0.486070	0.485201	0.484456	0.484033	11.451341	11.457090	11.458313	11.458689	11.449226	11.433673	11.408828	2.012643	6.007442	7.256891	12.263154	17.279961	21.054010	24.839329	0.498154	0.497466	0.497249	0.495821	0.493238	0.490678	0.487887	-0.062432	-0.068161	-0.069379	-0.069737	-0.060239	-0.044654	-0.019789	-1.888157	-5.882936	-7.132376	-12.138589	-17.155340	-20.929342	-24.714611	-0.011046	-0.010872	-0.010738	-0.009750	-0.008037	-0.006222	-0.003854	0.000000	7.209671	
0.150000	11.388529	11.388519	11.388510	11.388451	11.388375	11.388300	11.388200	0.185367	0.185434	0.185464	0.185617	0.185804	0.185958	0.186120	0.476496	0.476660	0.476891	0.478229	0.479953	0.481658	0.484005	11.461829	11.463795	11.463118	11.451063	11.418045	11.374895	11.312252	2.063585	6.013293	7.249518	12.208582	17.189674	20.945698	24.721165	0.481117	0.480716	0.480538	0.478793	0.474832	0.470510	0.465337	-0.073300	-0.075275	-0.074608	-0.062612	-0.029670	0.013405	0.075947	-1.878218	-5.827860	-7.064054	-12.022964	-17.003870	-20.759739	-24.535044	-0.004621	-0.004056	-0.003648	-0.000564	0.005121	0.011148	0.018668	0.000000	10.751292	
0.200000	11.387981	11.387925	11.387895	11.387721	11.387476	11.387239	11.386954	0.244644	0.244771	0.244826	0.245112	0.245470	0.245767	0.246079	0.462642	0.463937	0.464651	0.468721	0.474488	0.479993	0.486524	11.465669	11.465293	11.463469	11.444053	11.397482	11.338821	11.255319	2.130273	6.064350	7.295770	12.236127	17.199709	20.943584	24.707758	0.460913	0.461121	0.461063	0.459268	0.454036	0.447865	0.440008	-0.077687	-0.077368	-0.075574	-0.056332	-0.010006	0.048417	0.131635	-1.885629	-5.819579	-7.050943	-11.991014	-16.954239	-20.697817	-24.461679	0.001729	0.002816	0.003588	0.009453	0.020452	0.032127	0.046516	0.000000	14.264854	
0.250000	11.387281	11.387175	11.387122	11.386828	11.386398	11.385983	11.385503	0.302864	0.303033	0.303107	0.303491	0.303980	0.304390	0.304822	0.445076	0.447673	0.448941	0.456113	0.466424	0.476150	0.487291	11.461987	11.463566	11.462326	11.445061	11.400635	11.343968	11.263110	2.206163	6.158185	7.394423	12.348857	17.316376	21.055574	24.807848	0.440743	0.441827	0.442027	0.441049	0.435957	0.429350	0.420478	-0.074705	-0.076392	-0.075204	-0.058232	-0.014236	0.042015	0.122393	-1.903299	-5.855153	-7.091316	-12.045366	-17.012396	-20.751184	-24.503027	0.004333	0.005846	0.006913	0.015063	0.030467	0.046800	0.066813	0.000000	17.790325	
0.300000	11.386433	11.386285	11.386217	11.385822	11.385246	11.384692	11.384048	0.360480	0.360659	0.360738	0.361147	0.361678	0.362127	0.362603	0.423348	0.427094	0.428868	0.438847	0.453158	0.466535	0.481676	11.448680	11.453473	11.453615	11.444385	11.414122	11.373847	11.315450	2.286560	6.262483	7.505168	12.478655	17.451902	21.185295	24.922277	0.413780	0.415836	0.416418	0.417270	0.414244	0.409276	0.402033	-0.062248	-0.067188	-0.067398	-0.058563	-0.028875	0.010845	0.068598	-1.926080	-5.901824	-7.144430	-12.117508	-17.090225	-20.823168	-24.559673	0.009568	0.011258	0.012450	0.021577	0.038914	0.057259	0.079643	0.000000	21.343195	
0.350000	11.385427	11.385265	11.385188	11.384747	11.384099	11.383477	11.382750	0.416717	0.416878	0.416950	0.417325	0.417818	0.418238	0.418688	0.397980	0.402425	0.404546	0.416411	0.433270	0.448920	0.466615	11.425371	11.429629	11.430282	11.427634	11.414392	11.396170	11.369276	2.360229	6.341852	7.585672	12.559473	17.524466	21.245062	24.963118	0.374350	0.377159	0.378125	0.381104	0.381037	0.378824	0.374775	-0.039944	-0.044364	-0.045094	-0.042888	-0.030293	-0.012692	0.013473	-1.943512	-5.924974	-7.168722	-12.142148	-17.106647	-20.826824	-24.544430	0.023630	0.025265	0.026421	0.035306	0.052233	0.070096	0.091840	0.000000	24.908351	
0.400000	11.384258	11.384103	11.384027	11.383591	11.382957	11.382350	11.381627	0.470977	0.471111	0.471171	0.471490	0.471911	0.472271	0.472659	0.369890	0.374465	0.376719	0.389280	0.406904	0.423185	0.441727	11.397666	11.398636	11.398932	11.399356	11.399259	11.399583	11.399939	2.410639	6.378417	7.617798	12.573064	17.517744	21.221605	24.921621	0.330767	0.333870	0.335075	0.339556	0.341777	0.341845	0.340641	-0.013408	-0.014533	-0.014905	-0.015765	-0.016301	-0.017233	-0.018311	-1.939662	-5.907307	-7.146627	-12.101574	-17.045834	-20.749334	-24.448963	0.039123	0.040595	0.041644	0.049724	0.065127	0.081341	0.101087	0.000000	28.466976	
