HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	RtArea    	RtAeroCp  	RtAeroCq  	RtAeroCt  	
(s)	(m^2)     	(-)       	(-)       	(-)       	
0.000000	12468.981589	0.503029	-0.071836	-1.589902	
0.050000	12468.981589	0.004427	-0.000636	0.042174	
0.100000	12468.981589	0.004438	-0.000645	0.040562	
0.150000	12468.981589	0.004400	-0.000648	0.039312	
0.200000	12468.981589	0.004401	-0.000649	0.038085	
0.250000	12468.981589	0.003967	-0.000581	0.039896	
0.300000	12468.981589	0.001283	-0.000187	0.049339	
0.350000	12468.981589	0.003488	0.000507	0.062855	
0.400000	12468.981589	0.008519	0.001243	0.076389	
0.450000	12468.981589	0.012150	0.001779	0.087380	
0.500000	12468.981589	0.014614	0.002152	0.094831	
0.550000	12468.981589	0.017549	0.002607	0.099610	
0.600000	12468.981589	0.022117	0.003321	0.103427	
0.650000	12468.981589	0.027695	0.004192	0.107761	
0.700000	12468.981589	0.032947	0.005007	0.113253	
0.750000	12468.981589	0.037717	0.005740	0.120161	
0.800000	12468.981589	0.041898	0.006376	0.127332	
0.850000	12468.981589	0.045545	0.006914	0.133255	
0.900000	12468.981589	0.048564	0.007341	0.136971	
0.950000	12468.981589	0.050754	0.007650	0.138393	
1.000000	12468.981589	0.051970	0.007850	0.138020	
1.050000	12468.981589	0.052324	0.007956	0.136723	
1.100000	12468.981589	0.052040	0.007975	0.135539	
1.150000	12468.981589	0.051196	0.007899	0.135220	
1.200000	12468.981589	0.049824	0.007736	0.135927	
1.250000	12468.981589	0.048049	0.007507	0.137098	
1.300000	12468.981589	0.046054	0.007230	0.137690	
1.350000	12468.981589	0.044065	0.006921	0.136940	
1.400000	12468.981589	0.042330	0.006624	0.134918	
1.450000	12468.981589	0.041066	0.006397	0.132368	
1.500000	12468.981589	0.040474	0.006292	0.130305	
1.550000	12468.981589	0.040698	0.006335	0.129598	
1.600000	12468.981589	0.041771	0.006526	0.130756	
1.650000	12468.981589	0.043590	0.006845	0.133843	
1.700000	12468.981589	0.045981	0.007267	0.138486	
1.750000	12468.981589	0.048698	0.007756	0.143936	
1.800000	12468.981589	0.051461	0.008257	0.149251	
1.850000	12468.981589	0.054040	0.008715	0.153591	
1.900000	12468.981589	0.056357	0.009104	0.156546	
1.950000	12468.981589	0.058493	0.009436	0.158263	
2.000000	12468.981589	0.060596	0.009748	0.159322	
2.050000	12468.981589	0.062903	0.010094	0.160520	
2.100000	12468.981589	0.065534	0.010507	0.162480	
2.150000	12468.981589	0.068445	0.010989	0.165452	
2.200000	12468.981589	0.071434	0.011510	0.169235	
2.250000	12468.981589	0.074212	0.012021	0.173299	
2.300000	12468.981589	0.076512	0.012473	0.177003	
2.350000	12468.981589	0.078133	0.012822	0.179759	
2.400000	12468.981589	0.079035	0.013043	0.181215	
2.450000	12468.981589	0.079265	0.013124	0.181363	
2.500000	12468.981589	0.079090	0.013100	0.180561	
2.550000	12468.981589	0.078889	0.013044	0.179424	
2.600000	12468.981589	0.078910	0.013018	0.178574	
2.650000	12468.981589	0.079236	0.013054	0.178406	
2.700000	12468.981589	0.079773	0.013148	0.178993	
2.750000	12468.981589	0.080220	0.013252	0.180129	
2.800000	12468.981589	0.080560	0.013360	0.181485	
2.850000	12468.981589	0.080755	0.013465	0.182751	
2.900000	12468.981589	0.080794	0.013556	0.183691	
2.950000	12468.981589	0.080722	0.013624	0.184172	
3.000000	12468.981589	0.080642	0.013668	0.184210	
3.050000	12468.981589	0.080648	0.013691	0.183931	
3.100000	12468.981589	0.080819	0.013712	0.183547	
3.150000	12468.981589	0.081211	0.013756	0.183296	
3.200000	12468.981589	0.081851	0.013843	0.183352	
3.250000	12468.981589	0.082726	0.013982	0.183801	
3.300000	12468.981589	0.083803	0.014175	0.184670	
3.350000	12468.981589	0.085023	0.014415	0.185923	
3.400000	12468.981589	0.086310	0.014691	0.187486	
3.450000	12468.981589	0.087573	0.014982	0.189230	
3.500000	12468.981589	0.088722	0.015258	0.190972	
3.550000	12468.981589	0.089695	0.015488	0.192506	
3.600000	12468.981589	0.090484	0.015658	0.193677	
3.650000	12468.981589	0.091141	0.015773	0.194440	
3.700000	12468.981589	0.091776	0.015862	0.194894	
3.750000	12468.981589	0.092511	0.015960	0.195247	
3.800000	12468.981589	0.093460	0.016101	0.195779	
3.850000	12468.981589	0.094666	0.016303	0.196714	
3.900000	12468.981589	0.096116	0.016571	0.198190	
3.950000	12468.981589	0.097724	0.016895	0.200208	
4.000000	12468.981589	0.099391	0.017254	0.202637	
4.050000	12468.981589	0.101009	0.017619	0.205217	
4.100000	12468.981589	0.102515	0.017959	0.207640	
4.150000	12468.981589	0.103934	0.018261	0.209677	
4.200000	12468.981589	0.105341	0.018529	0.211256	
4.250000	12468.981589	0.106845	0.018784	0.212478	
4.300000	12468.981589	0.108543	0.019054	0.213588	
4.350000	12468.981589	0.110476	0.019360	0.214858	
4.400000	12468.981589	0.112633	0.019712	0.216513	
4.450000	12468.981589	0.114941	0.020112	0.218666	
4.500000	12468.981589	0.117287	0.020548	0.221278	
4.550000	12468.981589	0.119552	0.021002	0.224173	
4.600000	12468.981589	0.121642	0.021449	0.227098	
4.650000	12468.981589	0.123544	0.021870	0.229814	
4.700000	12468.981589	0.125305	0.022253	0.232156	
4.750000	12468.981589	0.127006	0.022598	0.234080	
4.800000	12468.981589	0.128716	0.022914	0.235643	
4.850000	12468.981589	0.130489	0.023216	0.236998	
4.900000	12468.981589	0.132348	0.023518	0.238330	
4.950000	12468.981589	0.134276	0.023832	0.239778	
5.000000	12468.981589	0.136236	0.024166	0.241446	
5.050000	12468.981589	0.138101	0.024510	0.243394	
5.100000	12468.981589	0.139877	0.024870	0.245575	
5.150000	12468.981589	0.141543	0.025239	0.247871	
5.200000	12468.981589	0.143103	0.025603	0.250142	
5.250000	12468.981589	0.144523	0.025937	0.252208	
5.300000	12468.981589	0.145754	0.026215	0.253916	
5.350000	12468.981589	0.146759	0.026421	0.255186	
5.400000	12468.981589	0.147510	0.026552	0.256026	
5.450000	12468.981589	0.148198	0.026649	0.256588	
5.500000	12468.981589	0.148944	0.026747	0.257060	
5.550000	12468.981589	0.149851	0.026881	0.257687	
5.600000	12468.981589	0.150843	0.027051	0.258630	
5.650000	12468.981589	0.151969	0.027275	0.259979	
5.700000	12468.981589	0.153211	0.027549	0.261683	
5.750000	12468.981589	0.154490	0.027851	0.263596	
5.800000	12468.981589	0.155644	0.028133	0.265493	
5.850000	12468.981589	0.156596	0.028365	0.267151	
5.900000	12468.981589	0.157464	0.028557	0.268461	
5.950000	12468.981589	0.158251	0.028703	0.269408	
6.000000	12468.981589	0.159109	0.028836	0.270138	
6.050000	12468.981589	0.160137	0.028982	0.270854	
6.100000	12468.981589	0.161398	0.029168	0.271759	
6.150000	12468.981589	0.162842	0.029399	0.272988	
6.200000	12468.981589	0.164377	0.029671	0.274582	
6.250000	12468.981589	0.165844	0.029960	0.276461	
6.300000	12468.981589	0.167140	0.030243	0.278471	
6.350000	12468.981589	0.168167	0.030490	0.280425	
6.400000	12468.981589	0.169064	0.030708	0.282179	
6.450000	12468.981589	0.169962	0.030907	0.283670	
6.500000	12468.981589	0.170960	0.031096	0.284920	
6.550000	12468.981589	0.172131	0.031288	0.286022	
6.600000	12468.981589	0.173511	0.031493	0.287115	
6.650000	12468.981589	0.175077	0.031720	0.288316	
6.700000	12468.981589	0.176747	0.031969	0.289728	
6.750000	12468.981589	0.178426	0.032238	0.291419	
6.800000	12468.981589	0.180101	0.032535	0.293398	
6.850000	12468.981589	0.181784	0.032862	0.295618	
6.900000	12468.981589	0.183468	0.033211	0.298004	
6.950000	12468.981589	0.185196	0.033576	0.300458	
7.000000	12468.981589	0.186955	0.033940	0.302850	
7.050000	12468.981589	0.188703	0.034283	0.305074	
7.100000	12468.981589	0.190429	0.034595	0.307062	
7.150000	12468.981589	0.192067	0.034866	0.308812	
7.200000	12468.981589	0.193703	0.035116	0.310398	
7.250000	12468.981589	0.195316	0.035356	0.311942	
7.300000	12468.981589	0.197035	0.035623	0.313593	
7.350000	12468.981589	0.198868	0.035931	0.315455	
7.400000	12468.981589	0.200757	0.036274	0.317557	
7.450000	12468.981589	0.202627	0.036636	0.319857	
7.500000	12468.981589	0.204399	0.036993	0.322230	
7.550000	12468.981589	0.205981	0.037317	0.324501	
7.600000	12468.981589	0.207363	0.037593	0.326523	
7.650000	12468.981589	0.208551	0.037813	0.328248	
7.700000	12468.981589	0.209735	0.038009	0.329723	
7.750000	12468.981589	0.211008	0.038200	0.331055	
7.800000	12468.981589	0.212419	0.038406	0.332396	
7.850000	12468.981589	0.214009	0.038648	0.333916	
7.900000	12468.981589	0.215723	0.038926	0.335703	
7.950000	12468.981589	0.217403	0.039221	0.337741	
8.000000	12468.981589	0.218965	0.039517	0.339930	
8.050000	12468.981589	0.220210	0.039773	0.342118	
8.100000	12468.981589	0.221208	0.039989	0.344175	
8.150000	12468.981589	0.222017	0.040165	0.345990	
8.200000	12468.981589	0.222800	0.040317	0.347526	
8.250000	12468.981589	0.223629	0.040453	0.348805	
8.300000	12468.981589	0.224551	0.040581	0.349905	
8.350000	12468.981589	0.225563	0.040708	0.350919	
8.400000	12468.981589	0.226637	0.040840	0.351939	
8.450000	12468.981589	0.227729	0.040982	0.353044	
8.500000	12468.981589	0.228786	0.041134	0.354299	
8.550000	12468.981589	0.229793	0.041298	0.355736	
8.600000	12468.981589	0.230756	0.041473	0.357323	
8.650000	12468.981589	0.231727	0.041662	0.359021	
