HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	RtArea    	RtAeroCp  	RtAeroCq  	RtAeroCt  	
(s)	(m^2)     	(-)       	(-)       	(-)       	
0.000000	12468.981589	0.503029	-0.071836	-1.589910	
0.050000	12468.981589	0.004430	-0.000636	0.042173	
0.100000	12468.981589	0.004446	-0.000646	0.040574	
0.150000	12468.981589	0.004404	-0.000648	0.039356	
0.200000	12468.981589	0.004361	-0.000643	0.038494	
0.250000	12468.981589	0.004284	-0.000628	0.038043	
0.300000	12468.981589	0.004152	-0.000604	0.038049	
0.350000	12468.981589	0.003920	-0.000570	0.038681	
0.400000	12468.981589	0.003742	-0.000546	0.039676	
0.450000	12468.981589	0.003671	-0.000538	0.040910	
0.500000	12468.981589	0.003717	-0.000547	0.042391	
0.550000	12468.981589	0.000080	0.000012	0.048809	
0.600000	12468.981589	0.006269	0.000941	0.053371	
0.650000	12468.981589	0.012391	0.001876	0.058347	
0.700000	12468.981589	0.016972	0.002579	0.065690	
0.750000	12468.981589	0.020291	0.003088	0.075173	
0.800000	12468.981589	0.022641	0.003448	0.084716	
0.850000	12468.981589	0.024276	0.003691	0.091963	
0.900000	12468.981589	0.025215	0.003820	0.095533	
0.950000	12468.981589	0.025478	0.003851	0.095404	
1.000000	12468.981589	0.025237	0.003822	0.092631	
1.050000	12468.981589	0.024709	0.003767	0.088829	
1.100000	12468.981589	0.024014	0.003690	0.085642	
1.150000	12468.981589	0.023086	0.003573	0.084228	
1.200000	12468.981589	0.021879	0.003407	0.084817	
1.250000	12468.981589	0.020354	0.003189	0.086623	
1.300000	12468.981589	0.018831	0.002964	0.088366	
1.350000	12468.981589	0.017638	0.002780	0.089074	
1.400000	12468.981589	0.016897	0.002656	0.088517	
1.450000	12468.981589	0.016675	0.002612	0.087222	
1.500000	12468.981589	0.017074	0.002670	0.086157	
1.550000	12468.981589	0.018156	0.002843	0.086317	
1.600000	12468.981589	0.019831	0.003117	0.088335	
1.650000	12468.981589	0.021967	0.003470	0.092356	
1.700000	12468.981589	0.024423	0.003883	0.097961	
1.750000	12468.981589	0.027033	0.004329	0.104291	
1.800000	12468.981589	0.029611	0.004775	0.110302	
1.850000	12468.981589	0.031995	0.005186	0.115129	
1.900000	12468.981589	0.034131	0.005543	0.118383	
1.950000	12468.981589	0.036078	0.005857	0.120257	
2.000000	12468.981589	0.037937	0.006148	0.121374	
2.050000	12468.981589	0.039844	0.006446	0.122525	
2.100000	12468.981589	0.041861	0.006770	0.124344	
2.150000	12468.981589	0.043945	0.007118	0.127060	
2.200000	12468.981589	0.045978	0.007474	0.130484	
2.250000	12468.981589	0.047825	0.007815	0.134110	
2.300000	12468.981589	0.049338	0.008112	0.137328	
2.350000	12468.981589	0.050407	0.008340	0.139633	
2.400000	12468.981589	0.051016	0.008485	0.140771	
2.450000	12468.981589	0.051240	0.008552	0.140827	
2.500000	12468.981589	0.051241	0.008562	0.140179	
2.550000	12468.981589	0.051235	0.008556	0.139379	
2.600000	12468.981589	0.051383	0.008570	0.138942	
2.650000	12468.981589	0.051761	0.008628	0.139168	
2.700000	12468.981589	0.052325	0.008729	0.140075	
2.750000	12468.981589	0.052965	0.008858	0.141466	
2.800000	12468.981589	0.053513	0.008985	0.143037	
2.850000	12468.981589	0.054006	0.009115	0.144509	
2.900000	12468.981589	0.054453	0.009243	0.145683	
2.950000	12468.981589	0.054875	0.009366	0.146490	
3.000000	12468.981589	0.055295	0.009476	0.146963	
3.050000	12468.981589	0.055747	0.009574	0.147229	
3.100000	12468.981589	0.056279	0.009669	0.147468	
3.150000	12468.981589	0.056942	0.009777	0.147854	
3.200000	12468.981589	0.057781	0.009914	0.148505	
3.250000	12468.981589	0.058797	0.010088	0.149463	
3.300000	12468.981589	0.059967	0.010300	0.150726	
3.350000	12468.981589	0.061206	0.010539	0.152245	
3.400000	12468.981589	0.062475	0.010798	0.153941	
3.450000	12468.981589	0.063710	0.011062	0.155689	
3.500000	12468.981589	0.064844	0.011311	0.157357	
3.550000	12468.981589	0.065792	0.011520	0.158791	
