HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	HSSBrTqC  	YawMomCom 	
(s)	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	
0.050000	0.000000	-401673.074947	
0.100000	0.000000	241847.284247	
0.150000	0.000000	678863.446793	
0.200000	0.000000	506995.174511	
0.250000	0.000000	583151.476988	
0.300000	0.000000	960787.676189	
0.350000	0.000000	1048433.743839	
0.400000	0.000000	875053.523536	
0.450000	0.000000	787040.636004	
0.500000	0.000000	754584.236212	
0.550000	0.000000	627713.513640	
0.600000	0.000000	445357.787009	
0.650000	0.000000	284095.490404	
0.700000	0.000000	159549.995876	
0.750000	0.000000	74560.315968	
0.800000	0.000000	20551.788384	
0.850000	0.000000	-32563.741039	
0.900000	0.000000	-82994.039919	
0.950000	0.000000	-90157.895191	
1.000000	0.000000	-37841.530307	
1.050000	0.000000	55068.703497	
1.100000	0.000000	178652.449423	
1.150000	0.000000	342130.219305	
1.200000	0.000000	541954.220641	
1.250000	0.000000	743719.627820	
1.300000	0.000000	901529.486389	
1.350000	0.000000	983030.120163	
1.400000	0.000000	975295.554773	
1.450000	0.000000	878320.059677	
1.500000	0.000000	704304.657298	
1.550000	0.000000	482106.102096	
1.600000	0.000000	257544.077434	
1.650000	0.000000	74897.956578	
1.700000	0.000000	-42182.238399	
1.750000	0.000000	-88686.147377	
1.800000	0.000000	-67529.770001	
1.850000	0.000000	10344.285766	
1.900000	0.000000	119593.815784	
1.950000	0.000000	224806.533685	
2.000000	0.000000	297166.393882	
2.050000	0.000000	327774.844960	
2.100000	0.000000	325891.052795	
2.150000	0.000000	307519.029891	
2.200000	0.000000	288486.324583	
2.250000	0.000000	284958.991262	
2.300000	0.000000	313791.104337	
2.350000	0.000000	386336.148653	
2.400000	0.000000	499291.592909	
2.450000	0.000000	631611.370489	
2.500000	0.000000	751618.391188	
2.550000	0.000000	828350.558760	
2.600000	0.000000	839146.742587	
2.650000	0.000000	773538.667702	
2.700000	0.000000	635287.821044	
2.750000	0.000000	441821.389984	
2.800000	0.000000	222623.796977	
2.850000	0.000000	13694.219335	
2.900000	0.000000	-152912.163697	
2.950000	0.000000	-256370.019242	
3.000000	0.000000	-290426.544504	
3.050000	0.000000	-262331.667476	
3.100000	0.000000	-187663.444093	
3.150000	0.000000	-84279.972564	
3.200000	0.000000	32156.845884	
3.250000	0.000000	149879.360461	
3.300000	0.000000	260456.611692	
3.350000	0.000000	357575.867032	
3.400000	0.000000	436659.780385	
3.450000	0.000000	493417.329267	
3.500000	0.000000	520648.233792	
3.550000	0.000000	506906.619846	
3.600000	0.000000	439861.141710	
3.650000	0.000000	312556.234428	
3.700000	0.000000	128202.436435	
3.750000	0.000000	-98795.468959	
3.800000	0.000000	-345784.546082	
3.850000	0.000000	-585636.478686	
3.900000	0.000000	-789870.420740	
3.950000	0.000000	-932523.174114	
4.000000	0.000000	-994540.937451	
4.050000	0.000000	-969174.300181	
4.100000	0.000000	-864673.131828	
4.150000	0.000000	-703226.894072	
4.200000	0.000000	-515581.943675	
4.250000	0.000000	-334178.787683	
4.300000	0.000000	-187194.048649	
4.350000	0.000000	-93837.068675	
4.400000	0.000000	-61612.573891	
4.450000	0.000000	-85791.778386	
4.500000	0.000000	-151543.624604	
4.550000	0.000000	-238511.933349	
4.600000	0.000000	-327095.348392	
4.650000	0.000000	-403374.665871	
4.700000	0.000000	-462213.603442	
4.750000	0.000000	-505991.003772	
4.800000	0.000000	-541036.100392	
4.850000	0.000000	-574420.824835	
4.900000	0.000000	-610917.084825	
4.950000	0.000000	-650944.697867	
5.000000	0.000000	-689663.046961	
5.050000	0.000000	-717645.598491	
5.100000	0.000000	-723824.457584	
5.150000	0.000000	-698627.250643	
5.200000	0.000000	-637184.609425	
5.250000	0.000000	-540782.656116	
5.300000	0.000000	-416217.278247	
5.350000	0.000000	-274739.583158	
5.400000	0.000000	-130506.279840	
5.450000	0.000000	775.043060	
5.500000	0.000000	104891.201419	
5.550000	0.000000	172116.490003	
5.600000	0.000000	199037.167294	
5.650000	0.000000	188032.954491	
5.700000	0.000000	146376.473372	
5.750000	0.000000	83507.271898	
5.800000	0.000000	8164.159442	
5.850000	0.000000	-71844.387539	
5.900000	0.000000	-149146.933580	
5.950000	0.000000	-217136.137765	
6.000000	0.000000	-269367.700483	
6.050000	0.000000	-298900.025824	
6.100000	0.000000	-298478.053407	
6.150000	0.000000	-261320.581528	
6.200000	0.000000	-182649.002659	
6.250000	0.000000	-61618.710251	
6.300000	0.000000	96906.003352	
6.350000	0.000000	281849.771224	
6.400000	0.000000	476907.981186	
6.450000	0.000000	662690.722199	
6.500000	0.000000	819672.952254	
6.550000	0.000000	930656.646828	
6.600000	0.000000	983548.086049	
6.650000	0.000000	973710.384243	
6.700000	0.000000	905218.408504	
6.750000	0.000000	790862.404942	
6.800000	0.000000	649986.265602	
6.850000	0.000000	505561.173730	
6.900000	0.000000	380342.135283	
6.950000	0.000000	293747.769403	
7.000000	0.000000	258348.896174	
7.050000	0.000000	278383.294070	
7.100000	0.000000	349482.775467	
7.150000	0.000000	460209.706135	
7.200000	0.000000	595232.992455	
7.250000	0.000000	738693.882975	
7.300000	0.000000	876683.604302	
7.350000	0.000000	998956.054187	
7.400000	0.000000	1099053.407098	
7.450000	0.000000	1173508.096890	
7.500000	0.000000	1220735.001979	
7.550000	0.000000	1240167.888289	
7.600000	0.000000	1232252.139231	
7.650000	0.000000	1197801.778927	
7.700000	0.000000	1138291.103685	
7.750000	0.000000	1056964.215796	
7.800000	0.000000	958928.620137	
7.850000	0.000000	851208.071033	
7.900000	0.000000	742305.842633	
7.950000	0.000000	641095.800669	
8.000000	0.000000	555986.953481	
8.050000	0.000000	493790.086836	
8.100000	0.000000	458848.328246	
8.150000	0.000000	452289.434231	
8.200000	0.000000	471233.009643	
8.250000	0.000000	509232.447706	
