HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	BlPitchC  B_0	BlPitchC  B_2	GenTq     	GenPwr    	
(s)	(deg)     	(deg)     	(kN-m)    	(kW)      	
0.000000	0.000000	0.000000	43.093540	5071.820679	
0.050000	0.000000	0.000000	40.497947	4741.952868	
0.100000	0.000000	0.000000	39.549267	4574.220321	
0.150000	0.000000	0.000000	38.766154	4425.285580	
0.200000	0.000000	0.000000	38.010635	4329.716282	
0.250000	0.000000	0.000000	37.259715	4275.936619	
0.300000	0.000000	0.000000	36.514231	4218.306389	
0.350000	0.000000	0.000000	36.414684	4208.164766	
0.400000	0.000000	0.000000	37.009973	4262.784740	
0.450000	0.000000	0.000000	37.734188	4330.358722	
0.500000	0.000000	0.000000	38.478285	4392.910133	
0.550000	0.000000	0.000000	38.750391	4384.650216	
0.600000	0.000000	0.000000	38.241602	4280.707188	
0.650000	0.000000	0.000000	37.531803	4167.118796	
0.700000	0.000000	0.000000	36.788504	4068.755866	
0.750000	0.000000	0.000000	36.039620	3980.459293	
0.800000	0.000000	0.000000	35.289807	3897.771125	
0.850000	0.000000	0.000000	34.539838	3823.912317	
0.900000	0.000000	0.000000	33.789843	3757.066030	
0.950000	0.000000	0.000000	33.039844	3684.058143	
1.000000	0.000000	0.000000	32.619045	3629.618821	
1.050000	0.000000	0.000000	32.568413	3600.134428	
1.100000	0.000000	0.000000	32.534767	3568.297778	
1.150000	0.000000	0.000000	32.431561	3532.782158	
1.200000	0.000000	0.000000	32.239545	3489.987340	
1.250000	0.000000	0.000000	31.975971	3439.666708	
1.300000	0.000000	0.000000	31.680094	3391.855074	
1.350000	0.000000	0.000000	31.396553	3359.720783	
1.400000	0.000000	0.000000	31.162160	3346.774949	
1.450000	0.000000	0.000000	30.998957	3344.541326	
1.500000	0.000000	0.000000	30.910861	3342.070675	
1.550000	0.000000	0.000000	30.881910	3334.490108	
1.600000	0.000000	0.000000	30.878467	3321.784430	
1.650000	0.000000	0.000000	30.858302	3302.736911	
1.700000	0.000000	0.000000	30.784587	3273.684698	
1.750000	0.000000	0.000000	30.638191	3233.415651	
1.800000	0.000000	0.000000	30.422590	3186.985188	
1.850000	0.000000	0.000000	30.160607	3143.311429	
1.900000	0.000000	0.000000	29.886210	3109.484595	
1.950000	0.000000	0.000000	29.634966	3087.557314	
2.000000	0.000000	0.000000	29.435164	3075.378980	
2.050000	0.000000	0.000000	29.300828	3068.932128	
2.100000	0.000000	0.000000	29.227940	3063.889105	
2.150000	0.000000	0.000000	29.195330	3056.274820	
2.200000	0.000000	0.000000	29.170655	3042.852198	
2.250000	0.000000	0.000000	29.120144	3021.498009	
2.300000	0.000000	0.000000	29.019009	2991.752980	
2.350000	0.000000	0.000000	28.858737	2955.611123	
2.400000	0.000000	0.000000	28.648678	2917.775662	
2.450000	0.000000	0.000000	28.411972	2884.216012	
2.500000	0.000000	0.000000	28.178089	2859.292902	
2.550000	0.000000	0.000000	27.974750	2843.610896	
2.600000	0.000000	0.000000	27.820939	2834.457810	
2.650000	0.000000	0.000000	27.721998	2828.077071	
2.700000	0.000000	0.000000	27.667905	2821.374599	
2.750000	0.000000	0.000000	27.635888	2811.856948	
2.800000	0.000000	0.000000	27.597289	2796.987122	
2.850000	0.000000	0.000000	27.526593	2774.798585	
2.900000	0.000000	0.000000	27.409076	2745.654058	
2.950000	0.000000	0.000000	27.244420	2713.045980	
3.000000	0.000000	0.000000	27.045708	2682.094366	
3.050000	0.000000	0.000000	26.835023	2656.858190	
3.100000	0.000000	0.000000	26.637285	2638.727633	
3.150000	0.000000	0.000000	26.473651	2626.795289	
3.200000	0.000000	0.000000	26.355745	2619.126958	
3.250000	0.000000	0.000000	26.282315	2613.493465	
3.300000	0.000000	0.000000	26.239615	2607.336842	
3.350000	0.000000	0.000000	26.205766	2597.847551	
3.400000	0.000000	0.000000	26.157585	2582.819456	
3.450000	0.000000	0.000000	26.077537	2561.881726	
3.500000	0.000000	0.000000	25.958489	2537.019851	
3.550000	0.000000	0.000000	25.805138	2511.775310	
3.600000	0.000000	0.000000	25.632154	2489.621915	
3.650000	0.000000	0.000000	25.459887	2472.644811	
3.700000	0.000000	0.000000	25.308694	2461.208882	
3.750000	0.000000	0.000000	25.193243	2454.401916	
3.800000	0.000000	0.000000	25.118329	2450.554290	
3.850000	0.000000	0.000000	25.077487	2447.458009	
3.900000	0.000000	0.000000	25.055070	2442.551198	
3.950000	0.000000	0.000000	25.031055	2433.505315	
4.000000	0.000000	0.000000	24.987026	2419.195656	
4.050000	0.000000	0.000000	24.911307	2400.394613	
4.100000	0.000000	0.000000	24.801892	2379.541628	
4.150000	0.000000	0.000000	24.666595	2359.646553	
4.200000	0.000000	0.000000	24.520644	2343.093531	
4.250000	0.000000	0.000000	24.382357	2331.057898	
4.300000	0.000000	0.000000	24.267984	2323.585934	
4.350000	0.000000	0.000000	24.187115	2319.854562	
4.400000	0.000000	0.000000	24.140026	2318.279251	
4.450000	0.000000	0.000000	24.117850	2316.640738	
4.500000	0.000000	0.000000	24.105463	2312.577802	
4.550000	0.000000	0.000000	24.086049	2304.442619	
4.600000	0.000000	0.000000	24.045838	2292.022214	
4.650000	0.000000	0.000000	23.977758	2276.611044	
4.700000	0.000000	0.000000	23.883088	2260.366095	
4.750000	0.000000	0.000000	23.770843	2245.430499	
4.800000	0.000000	0.000000	23.655050	2233.335337	
4.850000	0.000000	0.000000	23.550658	2224.811629	
4.900000	0.000000	0.000000	23.469174	2219.780404	
4.950000	0.000000	0.000000	23.415423	2217.344942	
5.000000	0.000000	0.000000	23.386354	2215.874627	
5.050000	0.000000	0.000000	23.372221	2213.382809	
5.100000	0.000000	0.000000	23.359641	2208.186630	
5.150000	0.000000	0.000000	23.335491	2199.551321	
5.200000	0.000000	0.000000	23.290568	2187.953828	
5.250000	0.000000	0.000000	23.222037	2174.805912	
5.300000	0.000000	0.000000	23.134098	2161.860621	
5.350000	0.000000	0.000000	23.036679	2150.666677	
5.400000	0.000000	0.000000	22.942511	2142.260554	
5.450000	0.000000	0.000000	22.863395	2137.015368	
5.500000	0.000000	0.000000	22.806820	2134.555458	
5.550000	0.000000	0.000000	22.773909	2133.771480	
5.600000	0.000000	0.000000	22.759343	2133.055046	
5.650000	0.000000	0.000000	22.753107	2130.784873	
5.700000	0.000000	0.000000	22.743458	2125.899681	
5.750000	0.000000	0.000000	22.720263	2118.280829	
5.800000	0.000000	0.000000	22.677807	2108.715418	
5.850000	0.000000	0.000000	22.616309	2098.522000	
5.900000	0.000000	0.000000	22.541789	2089.105710	
5.950000	0.000000	0.000000	22.464256	2081.644766	
6.000000	0.000000	0.000000	22.394724	2076.862809	
6.050000	0.000000	0.000000	22.341999	2074.837373	
6.100000	0.000000	0.000000	22.310235	2074.924491	
6.150000	0.000000	0.000000	22.297900	2075.889199	
6.200000	0.000000	0.000000	22.298411	2076.282586	
6.250000	0.000000	0.000000	22.302142	2074.926719	
6.300000	0.000000	0.000000	22.299204	2071.292651	
6.350000	0.000000	0.000000	22.282217	2065.618272	
6.400000	0.000000	0.000000	22.248381	2058.760339	
6.450000	0.000000	0.000000	22.200190	2051.901658	
6.500000	0.000000	0.000000	22.144650	2046.244607	
6.550000	0.000000	0.000000	22.091152	2042.720899	
6.600000	0.000000	0.000000	22.048742	2041.750231	
6.650000	0.000000	0.000000	22.023553	2043.095997	
6.700000	0.000000	0.000000	22.017171	2045.900896	
6.750000	0.000000	0.000000	22.026329	2048.933075	
6.800000	0.000000	0.000000	22.043950	2050.958848	
6.850000	0.000000	0.000000	22.061161	2051.124585	
6.900000	0.000000	0.000000	22.069773	2049.183952	
6.950000	0.000000	0.000000	22.064513	2045.512089	
7.000000	0.000000	0.000000	22.044415	2040.939180	
7.050000	0.000000	0.000000	22.012976	2036.512915	
7.100000	0.000000	0.000000	21.977008	2033.238367	
7.150000	0.000000	0.000000	21.944575	2031.822232	
7.200000	0.000000	0.000000	21.922656	2032.465932	
7.250000	0.000000	0.000000	21.915208	2034.788781	
7.300000	0.000000	0.000000	21.922182	2037.948049	
7.350000	0.000000	0.000000	21.939685	2040.920784	
7.400000	0.000000	0.000000	21.961170	2042.831164	
7.450000	0.000000	0.000000	21.979368	2043.188035	
7.500000	0.000000	0.000000	21.988354	2041.977629	
7.550000	0.000000	0.000000	21.985231	2039.633623	
7.600000	0.000000	0.000000	21.970889	2036.912837	
7.650000	0.000000	0.000000	21.949630	2034.686620	
7.700000	0.000000	0.000000	21.927807	2033.691086	
7.750000	0.000000	0.000000	21.911911	2034.301697	
7.800000	0.000000	0.000000	21.906669	2036.423399	
7.850000	0.000000	0.000000	21.913748	2039.520712	
7.900000	0.000000	0.000000	21.931336	2042.790323	
7.950000	0.000000	0.000000	21.954746	2045.416775	
8.000000	0.000000	0.000000	21.977785	2046.812019	
8.050000	0.000000	0.000000	21.994562	2046.774330	
8.100000	0.000000	0.000000	22.001190	2045.529478	
8.150000	0.000000	0.000000	21.996890	2043.653788	
8.200000	0.000000	0.000000	21.984174	2041.926840	
8.250000	0.000000	0.000000	21.968055	2041.125735	
8.300000	0.000000	0.000000	21.954578	2041.800393	
8.350000	0.000000	0.000000	21.949095	2044.100942	
8.400000	0.000000	0.000000	21.954803	2047.738821	
8.450000	0.000000	0.000000	21.971923	2052.092864	
8.500000	0.000000	0.000000	21.997724	2056.411017	
8.550000	0.000000	0.000000	22.027361	2060.027490	
8.600000	0.000000	0.000000	22.055284	2062.528066	
