HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	OoPDefl   B_0	OoPDefl   B_2	IPDefl    B_0	IPDefl    B_2	TipDzb    B_0	TipDzb    B_2	TipDxb    B_0	TipDxb    B_2	TipDyb    B_0	TipDyb    B_2	Tip2Twr   B_0	Tip2Twr   B_2	
(s)	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.378846	55.506072	
0.050000	0.135125	0.123149	-0.020509	0.001317	-0.000497	-0.000442	0.135125	0.123149	-0.020509	0.001317	65.364150	57.278330	
0.100000	0.255921	0.236108	-0.070488	0.017821	-0.001495	-0.001297	0.255921	0.236108	-0.070488	0.017821	65.342771	58.821426	
0.150000	0.342540	0.319702	-0.175882	0.020816	-0.002338	-0.001803	0.342540	0.319702	-0.175882	0.020816	65.316858	60.139320	
0.200000	0.404668	0.386237	-0.310310	0.026815	-0.003202	-0.001994	0.404668	0.386237	-0.310310	0.026815	65.285640	61.231478	
0.250000	0.470521	0.460191	-0.417023	0.079177	-0.004371	-0.002479	0.470521	0.460191	-0.417023	0.079177	65.246797	62.094855	
0.300000	0.568426	0.564113	-0.461723	0.196359	-0.005788	-0.003944	0.568426	0.564113	-0.461723	0.196359	65.198401	62.728825	
0.350000	0.709726	0.707967	-0.453324	0.353627	-0.007798	-0.007132	0.709726	0.707967	-0.453324	0.353627	65.139851	63.136975	
0.400000	0.883402	0.880322	-0.423664	0.506269	-0.011268	-0.012474	0.883402	0.880322	-0.423664	0.506269	65.071640	63.324833	
0.450000	1.061024	1.049885	-0.400521	0.616684	-0.016567	-0.019270	1.061024	1.049885	-0.400521	0.616684	64.995598	63.424537	
0.500000	1.206360	1.178585	-0.398565	0.662659	-0.022423	-0.025319	1.206360	1.178585	-0.398565	0.662659	64.915329	63.528625	
0.550000	1.289402	1.238576	-0.423549	0.634736	-0.026452	-0.027898	1.289402	1.238576	-0.423549	0.634736	64.835127	63.640500	
0.600000	1.301573	1.226276	-0.475657	0.535188	-0.027279	-0.026045	1.301573	1.226276	-0.475657	0.535188	64.757148	63.760351	
0.650000	1.254016	1.157072	-0.549159	0.378600	-0.025460	-0.021179	1.254016	1.157072	-0.549159	0.378600	64.680570	63.885386	
0.700000	1.170794	1.057193	-0.633647	0.188308	-0.022657	-0.015853	1.170794	1.057193	-0.633647	0.188308	64.602620	64.011291	
0.750000	1.080228	0.955187	-0.715209	-0.007452	-0.020313	-0.011949	1.080228	0.955187	-0.715209	-0.007452	64.520512	64.133783	
0.800000	1.005411	0.873206	-0.774663	-0.175277	-0.018881	-0.009993	1.005411	0.873206	-0.774663	-0.175277	64.432806	64.249666	
0.850000	0.957344	0.821040	-0.789752	-0.279456	-0.017947	-0.009384	0.957344	0.821040	-0.789752	-0.279456	64.339625	64.357309	
0.900000	0.933319	0.794798	-0.747734	-0.295927	-0.016974	-0.009180	0.933319	0.794798	-0.747734	-0.295927	64.242012	64.456854	
0.950000	0.920855	0.780949	-0.658879	-0.227776	-0.015776	-0.008880	0.920855	0.780949	-0.658879	-0.227776	64.141263	64.549646	
1.000000	0.905076	0.764269	-0.553920	-0.104269	-0.014410	-0.008410	0.905076	0.764269	-0.553920	-0.104269	64.038593	64.637458	
1.050000	0.876167	0.735431	-0.465333	0.037867	-0.012866	-0.007812	0.876167	0.735431	-0.465333	0.037867	63.934938	64.721481	
1.100000	0.833582	0.694405	-0.411222	0.171684	-0.011207	-0.007156	0.833582	0.694405	-0.411222	0.171684	63.830491	64.801907	
1.150000	0.785363	0.648785	-0.396128	0.280846	-0.009720	-0.006572	0.785363	0.648785	-0.396128	0.280846	63.724577	64.878146	
1.200000	0.743725	0.609219	-0.421435	0.350627	-0.008833	-0.006148	0.743725	0.609219	-0.421435	0.350627	63.616159	64.949278	
1.250000	0.719794	0.584981	-0.487744	0.366848	-0.008859	-0.005781	0.719794	0.584981	-0.487744	0.366848	63.504458	65.014519	
1.300000	0.719862	0.581294	-0.585549	0.326652	-0.009944	-0.005425	0.719862	0.581294	-0.585549	0.326652	63.389489	65.073284	
1.350000	0.743847	0.598379	-0.689056	0.246240	-0.011887	-0.005282	0.743847	0.598379	-0.689056	0.246240	63.249709	65.125067	
1.400000	0.785915	0.631877	-0.765678	0.152863	-0.014067	-0.005563	0.785915	0.631877	-0.765678	0.152863	62.926936	65.169727	
1.450000	0.836910	0.674528	-0.794429	0.067161	-0.015805	-0.006233	0.836910	0.674528	-0.794429	0.067161	62.397516	65.207530	
1.500000	0.887723	0.719068	-0.775598	-0.006672	-0.016753	-0.007081	0.887723	0.719068	-0.775598	-0.006672	61.671044	65.238961	
1.550000	0.932355	0.761381	-0.724402	-0.075411	-0.016982	-0.007943	0.932355	0.761381	-0.724402	-0.075411	60.755664	65.264314	
1.600000	0.969243	0.801907	-0.658284	-0.145170	-0.016785	-0.008812	0.969243	0.801907	-0.658284	-0.145170	59.657717	65.283479	
