HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RootFxc   B_0	RootFxc   B_2	RootFyc   B_0	RootFyc   B_2	RootFzc   B_0	RootFzc   B_2	RootFxb   B_0	RootFxb   B_2	RootFyb   B_0	RootFyb   B_2	RootMxc   B_0	RootMxc   B_2	RootMyc   B_0	RootMyc   B_2	RootMzc   B_0	RootMzc   B_2	RootMxb   B_0	RootMxb   B_2	RootMyb   B_0	RootMyb   B_2	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	31.161064	38.514767	-23.867626	73.260895	432.466248	660.621521	31.161064	38.514767	-23.867626	73.260895	424.602356	-591.545715	-153.037567	34.771072	-12.451227	-11.615879	424.602356	-591.545715	-153.037567	34.771072	
0.100000	-1.496451	3.661711	-43.572510	73.419800	422.366089	638.010315	-1.496451	3.661711	-43.572510	73.419800	672.802551	-699.425598	-184.252075	-130.132980	-11.586582	-11.690332	672.802551	-699.425598	-184.252075	-130.132980	
0.150000	3.006196	10.411436	-65.003426	72.760727	417.928802	620.644592	3.006196	10.411436	-65.003426	72.760727	1210.765259	-736.271484	16.619825	93.344849	-12.200280	-11.031055	1210.765259	-736.271484	16.619825	93.344849	
0.200000	19.085114	30.636488	-68.231880	95.179642	417.611084	605.467407	19.085114	30.636488	-68.231880	95.179642	1707.558594	-1026.257690	478.783356	664.923096	-14.892944	-10.751617	1707.558594	-1026.257690	478.783356	664.923096	
0.250000	43.082626	53.579544	-70.283051	124.230072	419.783936	589.878845	43.082626	53.579544	-70.283051	124.230072	2177.980469	-1502.511230	1125.528076	1377.780151	-18.392212	-9.934998	2177.980469	-1502.511230	1125.528076	1377.780151	
0.300000	65.351532	75.472336	-82.436630	143.387558	418.858551	578.376404	65.351532	75.472336	-82.436630	143.387558	2576.417969	-2104.782715	1790.224487	2072.687500	-21.261719	-8.131561	2576.417969	-2104.782715	1790.224487	2072.687500	
0.350000	76.958618	90.636223	-101.507614	155.227585	415.215881	568.891724	76.958618	90.636223	-101.507614	155.227585	2809.846924	-2849.121338	2241.816406	2569.091064	-22.857605	-4.848572	2809.846924	-2849.121338	2241.816406	2569.091064	
0.400000	78.798721	93.665405	-117.979248	168.965927	415.291199	555.753296	78.798721	93.665405	-117.979248	168.965927	2844.330566	-3692.121826	2435.652344	2793.357422	-22.603577	0.206482	2844.330566	-3692.121826	2435.652344	2793.357422	
