HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	OoPDefl   B_0	OoPDefl   B_2	IPDefl    B_0	IPDefl    B_2	TipDzb    B_0	TipDzb    B_2	TipDxb    B_0	TipDxb    B_2	TipDyb    B_0	TipDyb    B_2	Tip2Twr   B_0	Tip2Twr   B_2	
(s)	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.378846	55.506072	
0.050000	0.135728	0.123737	-0.020961	0.000927	-0.000504	-0.000444	0.135728	0.123737	-0.020961	0.000927	65.364102	57.278313	
0.100000	0.257656	0.237810	-0.072028	0.016668	-0.001521	-0.001318	0.257656	0.237810	-0.072028	0.016668	65.342607	58.821323	
0.150000	0.345148	0.322095	-0.180227	0.017788	-0.002390	-0.001835	0.345148	0.322095	-0.180227	0.017788	65.316615	60.139224	
0.200000	0.407425	0.388567	-0.318103	0.021961	-0.003280	-0.002016	0.407425	0.388567	-0.318103	0.021961	65.285375	61.231373	
0.250000	0.473596	0.462432	-0.425639	0.075790	-0.004473	-0.002497	0.473596	0.462432	-0.425639	0.075790	65.246490	62.094428	
0.300000	0.572420	0.566190	-0.466736	0.199329	-0.005876	-0.003963	0.572420	0.566190	-0.466736	0.199329	65.198046	62.727918	
0.350000	0.713659	0.708845	-0.452681	0.365047	-0.007804	-0.007156	0.713659	0.708845	-0.452681	0.365047	65.139574	63.136064	
0.400000	0.885794	0.880004	-0.419445	0.523629	-0.011088	-0.012398	0.885794	0.880004	-0.419445	0.523629	65.071663	63.324615	
0.450000	1.063781	1.053237	-0.396284	0.635517	-0.016087	-0.019005	1.063781	1.053237	-0.396284	0.635517	64.995906	63.424279	
0.500000	1.218848	1.198808	-0.396191	0.679716	-0.021910	-0.025237	1.218848	1.198808	-0.396191	0.679716	64.915066	63.527198	
0.550000	1.327643	1.295655	-0.423410	0.647847	-0.026755	-0.029009	1.327643	1.295655	-0.423410	0.647847	64.832476	63.635762	
0.600000	1.379841	1.337081	-0.478871	0.541285	-0.029310	-0.029238	1.379841	1.337081	-0.478871	0.541285	64.750392	63.750461	
0.650000	1.380724	1.330771	-0.558507	0.373082	-0.029599	-0.026673	1.380724	1.330771	-0.558507	0.373082	64.668725	63.869567	
0.700000	1.347420	1.294430	-0.652047	0.166863	-0.028676	-0.023235	1.347420	1.294430	-0.652047	0.166863	64.585665	63.989894	
0.750000	1.301372	1.248918	-0.743134	-0.046095	-0.027658	-0.020646	1.301372	1.248918	-0.743134	-0.046095	64.499167	64.107812	
0.800000	1.260765	1.211465	-0.808753	-0.227837	-0.026979	-0.019565	1.260765	1.211465	-0.808753	-0.227837	64.408225	64.220293	
0.850000	1.234806	1.190364	-0.823781	-0.338971	-0.026382	-0.019536	1.234806	1.190364	-0.823781	-0.338971	64.313001	64.325595	
0.900000	1.221882	1.182950	-0.775530	-0.354607	-0.025437	-0.019671	1.221882	1.182950	-0.775530	-0.354607	64.214363	64.423647	
0.950000	1.212317	1.178220	-0.677418	-0.280139	-0.024057	-0.019426	1.212317	1.178220	-0.677418	-0.280139	64.113333	64.515706	
1.000000	1.194295	1.163284	-0.564310	-0.148332	-0.022363	-0.018732	1.194295	1.163284	-0.564310	-0.148332	64.010814	64.603410	
1.050000	1.160139	1.130084	-0.470748	0.002254	-0.020392	-0.017614	1.160139	1.130084	-0.470748	0.002254	63.907511	64.687938	
1.100000	1.109999	1.078607	-0.414067	0.145210	-0.018179	-0.016158	1.109999	1.078607	-0.414067	0.145210	63.803593	64.769487	
1.150000	1.051399	1.015732	-0.397468	0.264760	-0.016031	-0.014597	1.051399	1.015732	-0.397468	0.264760	63.698447	64.847436	
1.200000	0.995505	0.951520	-0.423064	0.344275	-0.014450	-0.013131	0.995505	0.951520	-0.423064	0.344275	63.591068	64.920944	
1.250000	0.952859	0.895733	-0.493657	0.365983	-0.013861	-0.011773	0.952859	0.895733	-0.493657	0.365983	63.480623	64.989144	
1.300000	0.930374	0.855712	-0.600032	0.325346	-0.014489	-0.010536	0.930374	0.855712	-0.600032	0.325346	63.367077	65.051189	
1.350000	0.929778	0.835019	-0.712779	0.240978	-0.016120	-0.009648	0.929778	0.835019	-0.712779	0.240978	63.224604	65.106306	
1.400000	0.947544	0.832694	-0.794112	0.144525	-0.018008	-0.009315	0.947544	0.832694	-0.794112	0.144525	62.893074	65.154069	
1.450000	0.976552	0.843971	-0.820722	0.058674	-0.019336	-0.009473	0.976552	0.843971	-0.820722	0.058674	62.353383	65.194574	
1.500000	1.009024	0.862969	-0.795118	-0.014397	-0.019812	-0.009883	1.009024	0.862969	-0.795118	-0.014397	61.615257	65.228160	
1.550000	1.039516	0.886118	-0.736534	-0.084832	-0.019626	-0.010422	1.039516	0.886118	-0.736534	-0.084832	60.686541	65.255055	
1.600000	1.066380	0.913884	-0.664435	-0.159741	-0.019142	-0.011113	1.066380	0.913884	-0.664435	-0.159741	59.573173	65.275113	
