HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	QD2_B1E1  	QD2_B1F1  	QD2_B1F2  	QD2_B2E1  	QD2_B2F1  	QD2_B2F2  	QD2_B3E1  	QD2_B3F1  	QD2_B3F2  	QD2_DRTR  	QD2_GEAZ  	QD2_HV    	QD2_P     	QD2_R     	QD2_RFRL  	QD2_SG    	QD2_SW    	QD2_TFA1  	QD2_TFA2  	QD2_TFRL  	QD2_TSS1  	QD2_TSS2  	QD2_Y     	QD2_YAW   	QD_B1E1   	QD_B1F1   	QD_B1F2   	QD_B2E1   	QD_B2F1   	QD_B2F2   	QD_B3E1   	QD_B3F1   	QD_B3F2   	QD_DRTR   	QD_GEAZ   	QD_HV     	QD_P      	QD_R      	QD_RFRL   	QD_SG     	QD_SW     	QD_TFA1   	QD_TFA2   	QD_TFRL   	QD_TSS1   	QD_TSS2   	QD_Y      	QD_YAW    	Q_B1E1    	Q_B1F1    	Q_B1F2    	Q_B2E1    	Q_B2F1    	Q_B2F2    	Q_B3E1    	Q_B3F1    	Q_B3F2    	Q_DRTR    	Q_GEAZ    	Q_HV      	Q_P       	Q_R       	Q_RFRL    	Q_SG      	Q_SW      	Q_TFA1    	Q_TFA2    	Q_TFRL    	Q_TSS1    	Q_TSS2    	Q_Y       	Q_YAW     	Q_TTMD    	QD_TTMD   	QD2_TTMD  	
(s)	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(rad/s^2) 	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(rad/s)   	(rad/s)   	(m/s)     	(rad/s)   	(rad/s)   	(rad/s)   	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(rad/s)   	(m/s)     	(m/s)     	(rad/s)   	(rad/s)   	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(rad)     	(rad)     	(m)       	(rad)     	(rad)     	(rad)     	(m)       	(m)       	(m)       	(m)       	(rad)     	(m)       	(m)       	(rad)     	(rad)     	(m)       	(m/s)     	(m/s^2)   	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.267109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.712389	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-7.715263	35.025440	20.608130	-25.942545	29.101835	21.936829	9.154643	28.793381	20.611998	0.592239	-0.721886	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.824394	0.042429	0.000000	0.043007	-0.019521	0.000000	0.025707	-0.385763	1.751272	1.030406	-1.297127	1.455092	1.096841	0.457732	1.439669	1.030600	0.029612	1.231015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041220	0.002121	0.000000	0.002150	-0.000976	0.000000	0.001285	-0.015637	0.067705	0.070559	-0.038043	0.055715	0.073803	0.004252	0.050002	0.072739	0.000763	4.774786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001729	0.000084	0.000000	0.000025	-0.000010	0.000000	-0.000013	0.000000	0.000000	0.000000	
0.100000	-17.331139	15.931484	-24.606392	-28.661390	23.653097	-31.197821	0.483342	11.094374	-21.756037	0.133809	-0.442239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.298086	-0.018503	0.000000	0.202500	-0.073379	0.000000	-0.034096	-1.252320	2.547846	-0.199913	-2.730197	2.637747	-0.463050	0.481899	1.994388	-0.057202	0.036302	1.208903	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056124	0.001196	0.000000	0.012275	-0.004645	0.000000	-0.000419	-0.054624	0.175710	0.091901	-0.137231	0.159148	0.089782	0.029916	0.134145	0.098996	0.002503	4.835719	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004167	0.000174	0.000000	0.000367	-0.000151	0.000000	-0.000007	0.000000	0.000000	0.000000	
0.150000	-19.405191	12.764124	-22.808359	-25.644768	20.297468	-28.053686	-3.891905	11.282428	-21.670687	-0.190303	-0.133858	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.236301	-0.036329	0.000000	0.261965	-0.031546	0.000000	-0.012865	-2.222580	3.186053	-1.340331	-4.012435	3.652620	-1.865734	0.287304	2.558509	-1.140736	0.026787	1.202210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.067939	-0.000620	0.000000	0.025374	-0.006222	0.000000	-0.001063	-0.144371	0.320392	0.051688	-0.309582	0.318634	0.028796	0.046977	0.248136	0.068018	0.004093	4.895941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007289	0.000187	0.000000	0.001313	-0.000444	0.000000	-0.000056	0.000000	0.000000	0.000000	
0.200000	0.825354	5.660413	-10.806049	-0.024951	8.845021	-10.581090	11.645646	6.391241	-10.505445	-0.155721	0.102901	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102888	-0.012266	0.000000	0.228151	0.069098	0.000000	0.022575	-2.181312	3.469073	-1.880633	-4.013683	4.094871	-2.394789	0.869586	2.878071	-1.666009	0.019001	1.207355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.073083	-0.001233	0.000000	0.036781	-0.002767	0.000000	0.000066	-0.259515	0.488003	-0.031701	-0.516928	0.513909	-0.081394	0.072163	0.386970	-0.006213	0.005221	4.956137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010848	0.000133	0.000000	0.002870	-0.000683	0.000000	-0.000072	0.000000	0.000000	0.000000	
0.250000	22.694151	-0.461511	4.774903	28.709244	-0.451449	9.196799	26.735855	-4.462606	8.139588	-0.097038	0.280557	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075412	0.023243	0.000000	0.230163	0.091432	0.000000	-0.001991	-1.046604	3.445997	-1.641888	-2.578220	4.072299	-1.934948	2.206379	2.654941	-1.259029	0.014149	1.221383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.069313	-0.000071	0.000000	0.048289	0.001804	0.000000	-0.000033	-0.342673	0.661981	-0.122741	-0.685453	0.719781	-0.193173	0.148048	0.526824	-0.082493	0.006069	5.016820	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014446	0.000096	0.000000	0.004986	-0.000696	0.000000	-0.000067	0.000000	0.000000	0.000000	
0.300000	26.461174	-4.992074	16.962587	38.141666	-6.659584	22.495152	23.803879	-8.864052	19.406389	-0.238384	0.403039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.257772	0.029698	0.000000	0.281352	0.014143	0.000000	-0.013587	0.276454	3.196394	-0.793759	-0.671137	3.739319	-0.810191	3.396573	2.211738	-0.288710	0.002230	1.241535	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056424	0.001414	0.000000	0.062357	0.002511	0.000000	-0.000713	-0.360373	0.829073	-0.185551	-0.765996	0.916210	-0.263573	0.290805	0.647784	-0.121759	0.006522	5.078376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017624	0.000133	0.000000	0.007746	-0.000571	0.000000	-0.000093	0.000000	0.000000	0.000000	
0.350000	13.587772	-8.575646	21.932213	29.616488	-9.088962	25.096914	5.872673	-5.452985	19.014868	-0.388008	0.396040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.395871	0.002624	0.000000	0.261946	-0.039981	0.000000	0.010086	0.955843	2.767612	0.302852	0.809687	3.284871	0.444655	3.690207	1.939089	0.662034	-0.017170	1.261337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.036631	0.001545	0.000000	0.075454	0.000512	0.000000	-0.000209	-0.326413	0.978592	-0.197752	-0.760349	1.091747	-0.271933	0.472092	0.751183	-0.111740	0.006153	5.140969	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019970	0.000213	0.000000	0.011213	-0.000498	0.000000	-0.000117	0.000000	0.000000	0.000000	
0.400000	-1.320923	-9.552699	17.367319	18.573738	-8.313507	17.394608	-13.359909	-3.761945	12.747302	-0.297910	0.215452	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.448419	-0.025192	0.000000	0.109485	0.005369	0.000000	0.014259	0.889797	2.289977	1.171218	1.738374	2.869196	1.314385	3.022211	1.750992	1.299399	-0.032066	1.272109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014210	0.000285	0.000000	0.080928	0.000781	0.000000	0.000504	-0.278109	1.104776	-0.158941	-0.695146	1.245383	-0.225662	0.643027	0.843817	-0.061298	0.004873	5.204359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021241	0.000261	0.000000	0.015163	-0.000482	0.000000	-0.000105	0.000000	0.000000	0.000000	
