HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RotThrust 	LSShftFya 	LSShftFza 	LSShftFys 	LSShftFzs 	LSShftTq  	RotPwr    	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kW)      	
0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	
0.050000	131.203430	-53.917797	-930.237183	4.905282	-931.785583	1013.854370	1278.091862	
0.100000	-5.600287	-134.396301	-960.696533	-12.765536	-969.967773	1602.641846	1995.617711	
0.150000	6.636266	-189.351761	-980.738586	-3.074859	-998.845764	3079.212402	3784.343148	
0.200000	52.956158	-245.746933	-994.385315	6.851171	-1024.278687	4198.222656	5148.515668	
0.250000	116.262077	-316.652100	-999.642151	3.915013	-1048.588379	5023.534180	6206.737460	
0.300000	174.291031	-369.238342	-1013.936584	25.110838	-1078.783569	5584.316895	6945.576552	
0.350000	207.804489	-416.916260	-1032.439819	56.695076	-1111.996826	5552.536621	6908.279356	
0.400000	214.925369	-491.387299	-1024.230103	56.226803	-1134.613403	4701.221680	5829.718924	
0.450000	203.760834	-571.754944	-982.499207	36.030430	-1136.182373	3306.204346	4084.894617	
0.500000	185.968613	-622.695923	-931.562988	34.885754	-1119.974487	1960.696655	2409.956981	
0.550000	172.309525	-653.917297	-884.346130	49.327686	-1098.746094	1128.016357	1374.157559	
0.600000	169.825378	-696.447754	-829.313110	47.215549	-1081.928955	954.241089	1150.005362	
0.650000	180.659042	-754.542358	-757.151367	19.738903	-1068.748291	1404.534302	1678.924046	
0.700000	201.608093	-807.017578	-676.756714	-11.783711	-1053.156494	2374.711670	2827.630461	
0.750000	225.300415	-840.110046	-603.313782	-27.651144	-1033.928345	3598.961182	4279.493519	
0.800000	242.127060	-863.567810	-540.861145	-31.120380	-1018.484985	4647.176758	5526.097059	
0.850000	245.545410	-895.269348	-480.567169	-38.535294	-1015.365540	5161.139648	6151.705163	
