HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NcIMUTVxs 	NcIMUTVys 	NcIMUTVzs 	
(s)	(m/s)     	(m/s)     	(m/s)     	
0.000000	0.000000	-0.000000	0.000000	
0.050000	-0.043326	-0.006899	-0.010745	
0.100000	-0.058783	-0.014759	-0.011603	
0.150000	-0.070900	-0.027672	-0.010349	
0.200000	-0.076200	-0.040957	-0.010100	
0.250000	-0.072406	-0.049810	-0.011511	
0.300000	-0.059122	-0.062128	-0.011993	
0.350000	-0.038454	-0.078863	-0.008902	
0.400000	-0.014876	-0.086680	-0.002863	
0.450000	0.006648	-0.079580	0.002678	
0.500000	0.023418	-0.068252	0.005042	
0.550000	0.036453	-0.063098	0.005074	
0.600000	0.049240	-0.061630	0.005956	
0.650000	0.064799	-0.056704	0.009579	
0.700000	0.083664	-0.049107	0.014710	
0.750000	0.104251	-0.047061	0.018627	
0.800000	0.124539	-0.055599	0.020302	
0.850000	0.143081	-0.070272	0.021378	
0.900000	0.158739	-0.082225	0.023905	
0.950000	0.170152	-0.087141	0.027680	
1.000000	0.176135	-0.086931	0.030349	
1.050000	0.176775	-0.083913	0.030124	
1.100000	0.173840	-0.076616	0.027856	
1.150000	0.169660	-0.062171	0.026032	
1.200000	0.165353	-0.040800	0.025995	
1.250000	0.160108	-0.016268	0.026575	
1.300000	0.152164	0.007299	0.025571	
1.350000	0.140444	0.027844	0.022278	
1.400000	0.125273	0.045138	0.018180	
1.450000	0.107770	0.059524	0.015154	
1.500000	0.088849	0.071291	0.013405	
1.550000	0.068973	0.080494	0.011461	
1.600000	0.048682	0.086840	0.008094	
1.650000	0.028976	0.089977	0.003853	
1.700000	0.010881	0.090271	0.000442	
1.750000	-0.005384	0.088999	-0.001235	
1.800000	-0.020610	0.087272	-0.002064	
1.850000	-0.035786	0.084889	-0.003662	
1.900000	-0.051031	0.080876	-0.006561	
1.950000	-0.065319	0.075260	-0.009688	
2.000000	-0.077248	0.069811	-0.011655	
