HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NacYaw    	YawRate   	YawAccel  	
(s)	(deg)     	(deg/s)   	(deg/s^2) 	
0.000000	0.000000	0.000000	0.000000	
0.050000	-0.000727	0.073645	1.472902	
0.100000	-0.000410	-0.024032	-1.953545	
0.150000	-0.003222	-0.060887	-0.737104	
0.200000	-0.004099	0.003785	1.293442	
0.250000	-0.003845	-0.001919	-0.114081	
0.300000	-0.005341	-0.040843	-0.778479	
0.350000	-0.006721	-0.011948	0.577897	
0.400000	-0.006033	0.028900	0.816962	
0.450000	-0.004837	0.018837	-0.201258	
0.500000	-0.004470	0.001057	-0.355602	
0.550000	-0.004105	0.012399	0.226848	
0.600000	-0.003044	0.027033	0.292689	
0.650000	-0.001784	0.023238	-0.075912	
0.700000	-0.000924	0.011635	-0.232061	
0.750000	-0.000487	0.005705	-0.118600	
0.800000	-0.000195	0.006262	0.011138	
0.850000	0.000159	0.008014	0.035051	
0.900000	0.000511	0.005225	-0.055777	
0.950000	0.000586	-0.002834	-0.161180	
1.000000	0.000249	-0.010401	-0.151346	
1.050000	-0.000366	-0.014014	-0.072255	
1.100000	-0.001138	-0.017114	-0.062000	
1.150000	-0.002134	-0.022651	-0.110749	
1.200000	-0.003392	-0.026902	-0.085022	
1.250000	-0.004706	-0.024504	0.047955	
1.300000	-0.005734	-0.015541	0.179261	
1.350000	-0.006245	-0.004185	0.227121	
1.400000	-0.006188	0.006796	0.219620	
1.450000	-0.005589	0.017132	0.206723	
1.500000	-0.004502	0.025843	0.174216	
1.550000	-0.003084	0.029979	0.082718	
1.600000	-0.001627	0.027260	-0.054373	
1.650000	-0.000448	0.019168	-0.161848	
1.700000	0.000285	0.009649	-0.190379	
1.750000	0.000561	0.001074	-0.171486	
1.800000	0.000426	-0.006512	-0.151728	
1.850000	-0.000060	-0.012587	-0.121491	
1.900000	-0.000766	-0.015010	-0.048467	
1.950000	-0.001467	-0.012477	0.050661	
2.000000	-0.001951	-0.006687	0.115807	
2.050000	-0.002142	-0.001066	0.112419	
2.100000	-0.002110	0.002168	0.064672	
2.150000	-0.001976	0.002992	0.016487	
2.200000	-0.001844	0.002022	-0.019400	
2.250000	-0.001807	-0.000810	-0.056641	
2.300000	-0.001965	-0.005659	-0.096979	
2.350000	-0.002398	-0.011474	-0.116298	
2.400000	-0.003100	-0.015942	-0.089365	
2.450000	-0.003942	-0.016833	-0.017821	
2.500000	-0.004718	-0.013364	0.069376	
2.550000	-0.005226	-0.006272	0.141847	
2.600000	-0.005317	0.002997	0.185378	
2.650000	-0.004922	0.012758	0.195209	
2.700000	-0.004064	0.021183	0.168508	
2.750000	-0.002850	0.026593	0.108204	
2.800000	-0.001465	0.027745	0.023046	
2.850000	-0.000136	0.024388	-0.067140	
2.900000	0.000930	0.017507	-0.137630	
2.950000	0.001598	0.008831	-0.173528	
3.000000	0.001824	0.000228	-0.172056	
3.050000	0.001653	-0.006799	-0.140528	
3.100000	0.001185	-0.011502	-0.094077	
3.150000	0.000537	-0.013959	-0.049136	
3.200000	-0.000191	-0.014726	-0.015335	
3.250000	-0.000928	-0.014364	0.007239	
3.300000	-0.001624	-0.013175	0.023774	
3.350000	-0.002241	-0.011268	0.038153	
3.400000	-0.002745	-0.008745	0.050452	
3.450000	-0.003109	-0.005568	0.063546	
3.500000	-0.003290	-0.001311	0.085140	
3.550000	-0.003218	0.004543	0.117076	
3.600000	-0.002812	0.011900	0.147131	
3.650000	-0.002021	0.019724	0.156483	
3.700000	-0.000860	0.026450	0.134526	
3.750000	0.000580	0.030653	0.084066	
3.800000	0.002150	0.031505	0.017034	
3.850000	0.003677	0.028747	-0.055160	
3.900000	0.004979	0.022506	-0.124818	
3.950000	0.005894	0.013353	-0.183058	
4.000000	0.006300	0.002431	-0.218438	
4.050000	0.006151	-0.008500	-0.218621	
4.100000	0.005493	-0.017484	-0.179678	
4.150000	0.004468	-0.022930	-0.108919	
4.200000	0.003273	-0.024129	-0.023991	
4.250000	0.002117	-0.021325	0.056090	
4.300000	0.001181	-0.015450	0.117491	
4.350000	0.000587	-0.007867	0.151669	
4.400000	0.000383	-0.000127	0.154789	
4.450000	0.000540	0.006303	0.128610	
4.500000	0.000964	0.010377	0.081469	
4.550000	0.001526	0.011731	0.027078	
4.600000	0.002096	0.010804	-0.018541	
4.650000	0.002585	0.008574	-0.044598	
4.700000	0.002955	0.006221	-0.047054	
4.750000	0.003225	0.004589	-0.032634	
4.800000	0.003437	0.003945	-0.012892	
4.850000	0.003638	0.004120	0.003499	
4.900000	0.003861	0.004661	0.010821	
4.950000	0.004107	0.004962	0.006026	
5.000000	0.004349	0.004376	-0.011720	
5.050000	0.004529	0.002429	-0.038931	
5.100000	0.004575	-0.000909	-0.066760	
5.150000	0.004425	-0.005253	-0.086892	
5.200000	0.004047	-0.009871	-0.092357	
5.250000	0.003446	-0.013947	-0.081517	
5.300000	0.002667	-0.016846	-0.057977	
5.350000	0.001780	-0.018122	-0.025515	
5.400000	0.000874	-0.017543	0.011567	
5.450000	0.000044	-0.015067	0.049518	
5.500000	-0.000619	-0.011002	0.081298	
5.550000	-0.001051	-0.006046	0.099122	
5.600000	-0.001229	-0.001041	0.100113	
5.650000	-0.001169	0.003322	0.087258	
5.700000	-0.000915	0.006590	0.065346	
5.750000	-0.000526	0.008649	0.041182	
5.800000	-0.000059	0.009686	0.020744	
5.850000	0.000438	0.009853	0.003341	
5.900000	0.000922	0.009175	-0.013553	
5.950000	0.001350	0.007685	-0.029800	
6.000000	0.001683	0.005353	-0.046641	
6.050000	0.001876	0.002111	-0.064841	
6.100000	0.001882	-0.002056	-0.083346	
6.150000	0.001659	-0.007019	-0.099262	
6.200000	0.001174	-0.012422	-0.108060	
6.250000	0.000419	-0.017657	-0.104685	
6.300000	-0.000577	-0.021915	-0.085167	
6.350000	-0.001746	-0.024410	-0.049901	
6.400000	-0.002984	-0.024566	-0.003127	
6.450000	-0.004167	-0.022174	0.047841	
6.500000	-0.005170	-0.017397	0.095543	
6.550000	-0.005884	-0.010716	0.133618	
6.600000	-0.006231	-0.002914	0.156043	
6.650000	-0.006181	0.004969	0.157658	
6.700000	-0.005756	0.011795	0.136519	
6.750000	-0.005037	0.016523	0.094557	
6.800000	-0.004146	0.018483	0.039204	
6.850000	-0.003231	0.017467	-0.020309	
6.900000	-0.002434	0.013728	-0.074793	
6.950000	-0.001880	0.007899	-0.116569	
7.000000	-0.001650	0.000967	-0.138646	
7.050000	-0.001773	-0.005957	-0.138486	
7.100000	-0.002220	-0.011841	-0.117669	
7.150000	-0.002921	-0.015944	-0.082071	
7.200000	-0.003778	-0.017973	-0.040574	
7.250000	-0.004688	-0.018061	-0.001758	
7.300000	-0.005562	-0.016593	0.029361	
7.350000	-0.006336	-0.014082	0.050216	
7.400000	-0.006968	-0.010989	0.061850	
7.450000	-0.007438	-0.007628	0.067228	
7.500000	-0.007737	-0.004166	0.069236	
7.550000	-0.007861	-0.000684	0.069639	
7.600000	-0.007812	0.002705	0.067788	
7.650000	-0.007597	0.005935	0.064593	
7.700000	-0.007225	0.008894	0.059175	
7.750000	-0.006716	0.011348	0.049090	
7.800000	-0.006100	0.013040	0.033847	
7.850000	-0.005423	0.013749	0.014169	
7.900000	-0.004737	0.013333	-0.008315	
7.950000	-0.004099	0.011812	-0.030429	
8.000000	-0.003561	0.009327	-0.049691	
8.050000	-0.003168	0.006140	-0.063748	
8.100000	-0.002944	0.002605	-0.070688	
8.150000	-0.002899	-0.000832	-0.068755	
8.200000	-0.003014	-0.003681	-0.056964	
8.250000	-0.003250	-0.005526	-0.036908	
8.300000	-0.003550	-0.006155	-0.012579	
8.350000	-0.003852	-0.005588	0.011329	
8.400000	-0.004100	-0.004034	0.031091	
8.450000	-0.004254	-0.001832	0.044043	
8.500000	-0.004287	0.000680	0.050240	
8.550000	-0.004193	0.003185	0.050095	
8.600000	-0.003977	0.005478	0.045852	
8.650000	-0.003652	0.007554	0.041521	
8.700000	-0.003224	0.009538	0.039685	
8.750000	-0.002696	0.011561	0.040471	
8.800000	-0.002063	0.013671	0.042185	
8.850000	-0.001324	0.015762	0.041830	
8.900000	-0.000487	0.017473	0.034208	
8.950000	0.000416	0.018354	0.017620	
9.000000	0.001335	0.018042	-0.006238	
9.050000	0.002202	0.016300	-0.034827	
9.100000	0.002947	0.013156	-0.062896	
9.150000	0.003504	0.008891	-0.085289	
9.200000	0.003829	0.004009	-0.097647	
9.250000	0.003907	-0.000857	-0.097324	
9.300000	0.003755	-0.005029	-0.083430	
9.350000	0.003423	-0.007896	-0.057340	
9.400000	0.002989	-0.009033	-0.022742	
9.450000	0.002545	-0.008274	0.015175	
9.500000	0.002183	-0.005753	0.050417	
9.550000	0.001984	-0.001857	0.077936	
9.600000	0.002004	0.002879	0.094722	
9.650000	0.002269	0.007797	0.098342	
9.700000	0.002772	0.012251	0.089097	
9.750000	0.003476	0.015712	0.069205	
9.800000	0.004321	0.017825	0.042261	
9.850000	0.005236	0.018455	0.012600	
9.900000	0.006147	0.017642	-0.016257	
9.950000	0.006985	0.015590	-0.041030	
10.000000	0.007696	0.012579	-0.060228	
10.050000	0.008238	0.008938	-0.072816	
10.100000	0.008589	0.004986	-0.079048	
10.150000	0.008740	0.001014	-0.079438	
10.200000	0.008698	-0.002688	-0.074031	
10.250000	0.008481	-0.005855	-0.063353	
10.300000	0.008124	-0.008237	-0.047643	
10.350000	0.007672	-0.009594	-0.027136	
10.400000	0.007180	-0.009766	-0.003434	
10.450000	0.006709	-0.008720	0.020928	
10.500000	0.006319	-0.006561	0.043167	
