HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	Azimuth   	RotSpeed  	RotAccel  	GenSpeed  	GenAccel  	
(s)	(deg)     	(rpm)     	(deg/s^2) 	(rpm)     	(deg/s^2) 	
0.000000	0.000001	12.100000	0.000000	1173.700000	0.000000	
0.050000	3.618853	12.038098	-7.428223	1140.266500	-4012.018599	
0.100000	7.209675	11.890832	-17.671783	1119.784547	-2457.829783	
0.150000	10.751292	11.736058	-18.573060	1113.585048	-743.942235	
0.200000	14.264851	11.710837	-3.026398	1118.350835	571.889295	
0.250000	17.790321	11.798462	10.514846	1131.344562	1559.246889	
0.300000	21.343194	11.877079	9.434014	1150.010967	2239.964954	
0.350000	24.908362	11.880914	0.460240	1168.353175	2201.070233	
0.400000	28.466972	11.841542	-4.724526	1178.331625	1197.414567	
0.450000	32.013152	11.798385	-5.179072	1174.912316	-410.322316	
0.500000	35.544551	11.737356	-7.323348	1158.494974	-1970.076909	
0.550000	39.051088	11.633021	-12.520164	1134.122985	-2924.635995	
0.600000	42.521972	11.508352	-14.960404	1108.516264	-3072.813441	
0.650000	45.959196	11.414847	-11.220466	1087.655786	-2503.247757	
0.700000	49.376094	11.370594	-5.310356	1076.418091	-1348.526517	
0.750000	52.784550	11.354986	-1.872896	1077.144333	87.153865	
0.800000	56.190519	11.355355	0.044170	1088.212752	1328.205613	
0.850000	59.600313	11.382071	3.205932	1104.723179	1981.247799	
0.900000	63.022211	11.431318	5.909662	1120.955455	1947.879062	
0.950000	66.457577	11.463630	3.877381	1132.217112	1351.390130	
1.000000	69.894583	11.439932	-2.843754	1134.829793	313.527256	
1.050000	73.316016	11.364642	-9.034720	1126.650438	-981.520346	
1.100000	76.711904	11.275791	-10.662103	1108.634526	-2161.907686	
1.150000	80.082903	11.199088	-9.204419	1085.381879	-2790.316322	
1.200000	83.432209	11.129319	-8.372248	1063.713006	-2600.264931	
1.250000	86.760342	11.059265	-8.406494	1049.538543	-1700.942158	
1.300000	90.069432	11.007393	-6.224643	1045.481992	-486.789227	
1.350000	93.369460	11.001576	-0.698161	1050.843945	643.435193	
1.400000	96.675232	11.041616	4.804837	1062.952534	1453.027694	
1.450000	99.995667	11.092339	6.086862	1078.079602	1815.259768	
