HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-2159.165404	301.532768	-2173.892578	164.647331	
0.100000	-1944.499210	189.957496	-1952.965124	-55.580576	
0.150000	-2004.124524	232.082620	-2012.238673	-145.853109	
0.200000	-2155.398969	287.107241	-2159.686321	-252.845060	
0.250000	-2268.558773	419.400133	-2288.219767	-293.777985	
0.300000	-2374.108480	537.914466	-2407.061309	-363.042287	
0.350000	-2498.703157	646.334196	-2538.495720	-466.160537	
0.400000	-2551.089431	831.319945	-2638.892973	-485.175447	
0.450000	-2517.113739	1052.685077	-2692.370382	-441.757583	
0.500000	-2481.374325	1241.570282	-2740.773666	-432.290947	
0.550000	-2454.435475	1446.157762	-2817.175090	-423.262931	
0.600000	-2365.611938	1728.092969	-2911.470123	-325.216957	
0.650000	-2191.656080	2058.024894	-3002.975419	-144.782767	
0.700000	-1987.418249	2366.950349	-3090.505090	32.650132	
0.750000	-1802.201356	2612.403568	-3170.428002	144.804633	
0.800000	-1627.735945	2780.534597	-3216.051178	194.708268	
0.850000	-1430.263525	2874.336415	-3202.917486	220.872078	
0.900000	-1202.005460	2891.926381	-3122.517923	240.702101	
0.950000	-980.988324	2828.136833	-2984.569819	230.301572	
1.000000	-812.940393	2694.396209	-2809.651577	162.793438	
1.050000	-701.578975	2527.197571	-2622.228000	53.495667	
1.100000	-611.708147	2366.345674	-2443.590190	-51.431937	
1.150000	-516.915595	2238.802246	-2294.375132	-123.618483	
1.200000	-422.364645	2156.182061	-2190.340638	-172.971493	
1.250000	-342.197972	2120.368199	-2136.318089	-221.823639	
1.300000	-271.767600	2129.451246	-2129.120671	-274.347887	
1.350000	-183.861583	2179.408592	-2164.834972	-311.636956	
1.400000	-53.676452	2263.785031	-2242.199383	-316.458111	
1.450000	121.616656	2369.254741	-2354.400814	-291.469685	
1.500000	326.143553	2477.642821	-2486.096072	-253.790804	
1.550000	538.979216	2569.978308	-2616.614893	-220.485230	
1.600000	747.300994	2632.134244	-2729.038492	-197.324849	
1.650000	949.481417	2652.496536	-2811.752882	-176.915187	
1.700000	1145.647256	2618.340804	-2854.209638	-147.322859	
1.750000	1325.207270	2518.565731	-2844.020532	-104.372911	
1.800000	1467.482857	2352.453302	-2772.092553	-55.178104	
1.850000	1556.086612	2133.504195	-2640.671939	-9.820799	
1.900000	1592.546105	1882.212840	-2465.361777	30.352180	
1.950000	1592.288548	1617.148996	-2268.343171	71.930343	
2.000000	1571.759169	1357.325509	-2073.420915	116.987042	
2.050000	1535.201856	1123.096398	-1895.953019	153.468246	
2.100000	1483.779358	937.310604	-1747.526280	162.186626	
2.150000	1430.308400	814.917825	-1640.682503	134.292413	
2.200000	1396.051924	753.195785	-1584.406382	76.947196	
2.250000	1400.006609	738.929365	-1583.044041	2.587825	
2.300000	1447.443429	760.285105	-1632.755210	-85.066966	
2.350000	1532.836642	810.259404	-1723.338000	-190.301590	
2.400000	1647.883061	878.711001	-1841.055774	-313.313770	
2.450000	1785.622490	943.122152	-1971.005476	-439.391255	
2.500000	1936.681708	972.307714	-2097.895575	-543.095884	
2.550000	2086.044406	941.615075	-2207.797976	-603.197164	
2.600000	2215.758535	842.911291	-2290.389081	-611.720753	
2.650000	2311.104186	680.162452	-2340.869843	-569.344080	
2.700000	2364.969158	460.220210	-2361.557331	-477.419809	
2.750000	2376.742069	190.568805	-2360.328156	-337.744477	
2.800000	2348.308257	-113.767228	-2345.567603	-160.643038	
2.850000	2283.183395	-425.226147	-2322.249350	30.021092	
2.900000	2188.103419	-710.167812	-2291.454669	203.397213	
2.950000	2073.835836	-940.986052	-2252.806052	333.338999	
3.000000	1952.467057	-1104.928055	-2206.203922	407.010935	
3.050000	1835.135058	-1204.512649	-2153.538898	425.255148	
3.100000	1729.747045	-1248.791203	-2096.577381	394.801013	
3.150000	1642.222597	-1248.136043	-2037.221657	323.213298	
3.200000	1577.125336	-1215.237341	-1978.865065	219.589357	
3.250000	1535.640500	-1168.919946	-1927.393302	98.589599	
3.300000	1513.372381	-1131.526755	-1889.501422	-20.818011	
3.350000	1501.293074	-1123.345046	-1871.193095	-120.086799	
3.400000	1488.228611	-1155.366609	-1874.728481	-187.324543	
3.450000	1464.721735	-1229.632991	-1899.936324	-218.286381	
3.500000	1423.041801	-1344.686582	-1946.370588	-211.827429	
3.550000	1355.496325	-1499.133241	-2014.236590	-166.197640	
3.600000	1253.873396	-1689.109502	-2102.109971	-80.143420	
3.650000	1113.113034	-1903.917493	-2205.026469	42.208317	
3.700000	934.030589	-2123.874629	-2312.471850	189.026194	
3.750000	724.032527	-2325.340868	-2411.067122	343.786532	
3.800000	492.676358	-2488.635868	-2488.579916	492.958434	
3.850000	250.146666	-2598.575469	-2534.203790	626.880208	
3.900000	6.676370	-2645.883170	-2540.326021	739.922566	
3.950000	-224.869321	-2626.427459	-2503.089103	826.578315	
4.000000	-429.505896	-2542.213465	-2423.095720	880.869845	
4.050000	-595.139114	-2403.146202	-2306.335458	900.065863	
4.100000	-717.271195	-2227.343617	-2165.071448	887.695259	
4.150000	-800.052129	-2037.347268	-2015.862396	852.739903	
4.200000	-852.501246	-1855.215426	-1876.318933	804.990819	
4.250000	-885.115628	-1700.168921	-1763.149472	751.869508	
4.300000	-908.693404	-1587.099736	-1690.397588	697.972537	
4.350000	-935.481026	-1525.818625	-1668.643454	647.206563	
4.400000	-977.929261	-1519.406313	-1703.345820	602.953997	
4.450000	-1045.694328	-1562.979688	-1793.014957	566.991297	
4.500000	-1142.177586	-1644.781376	-1928.889437	537.829566	
4.550000	-1264.777469	-1747.649220	-2095.555934	512.430796	
4.600000	-1407.811116	-1852.271755	-2274.533942	489.221562	
4.650000	-1565.650636	-1938.763744	-2447.118410	470.827446	
4.700000	-1733.161415	-1987.925274	-2596.268894	463.769878	
4.750000	-1903.709505	-1984.686740	-2708.862552	474.505770	
4.800000	-2068.161603	-1920.571081	-2776.595959	506.360284	
4.850000	-2216.590799	-1795.405467	-2797.236252	558.771976	
4.900000	-2341.021078	-1617.236911	-2775.153402	627.978828	
4.950000	-2436.973886	-1400.103658	-2719.899651	708.009751	
5.000000	-2503.082833	-1162.153997	-2644.111454	790.379782	
5.050000	-2540.005220	-924.524981	-2561.474695	863.261635	
5.100000	-2551.140322	-708.164167	-2484.870686	913.909337	
5.150000	-2543.780561	-531.333979	-2426.119822	931.170381	
5.200000	-2529.200157	-406.671880	-2395.386125	907.943719	
5.250000	-2520.187928	-338.398317	-2399.129750	842.636939	
5.300000	-2528.003610	-322.830907	-2439.274659	738.215033	
5.350000	-2560.523985	-349.077342	-2513.109041	602.013992	
5.400000	-2621.015235	-400.459624	-2613.772651	445.288616	
5.450000	-2710.045254	-455.418352	-2733.317332	284.126837	
5.500000	-2823.090292	-490.904923	-2862.214582	136.212743	
