HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	
(s)	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	
0.050000	268.875885	-18.664240	-5769.100098	1661.090210	21017.208984	-13.417813	
0.100000	24.739700	-28.773359	-5773.247559	659.539307	323.289001	-37.513439	
0.150000	33.036575	44.701942	-5797.683105	-1617.705200	279.425507	243.627014	
0.200000	10.509470	159.060837	-5832.053711	-4786.981445	-681.483826	600.865662	
0.250000	-20.756868	197.114914	-5869.077637	-5904.715332	-1834.967285	641.985535	
0.300000	-29.611261	139.116180	-5903.630371	-4411.624512	-2247.772705	759.375305	
0.350000	-15.203530	83.386902	-5930.897949	-2673.319336	-2099.653076	1020.752747	
0.400000	1.557142	92.093544	-5946.311523	-2222.777588	-1856.602173	1055.204224	
0.450000	0.600022	102.710876	-5947.971191	-1620.855957	-1981.813843	882.497192	
0.500000	-15.210707	31.177862	-5938.187500	1039.463867	-2409.861816	785.533752	
0.550000	-24.724630	-91.356033	-5921.634766	4833.616211	-2586.708984	751.068665	
0.600000	-13.858875	-146.689224	-5902.053223	6749.714355	-2120.189453	611.575806	
0.650000	8.419709	-82.981461	-5882.535645	5478.859375	-1235.160767	381.297577	
0.700000	21.698223	21.072460	-5865.595703	2999.165283	-486.007416	189.159317	
0.750000	18.431305	62.772377	-5852.644043	1959.555176	-79.036880	89.384033	
0.800000	12.421227	36.828560	-5844.982422	2644.683350	343.244568	42.062675	
0.850000	22.913744	15.348802	-5843.315918	3396.147217	1298.509399	-10.472938	
0.900000	52.270832	35.206749	-5846.830566	3344.450195	2858.870605	-80.277756	
0.950000	83.492935	52.499428	-5853.456543	3554.372070	4571.597168	-122.114525	
1.000000	99.716690	10.688419	-5861.060059	5380.181152	5973.021973	-89.238068	
1.050000	102.798752	-82.648689	-5868.390137	8562.899414	7087.126465	8.295531	
1.100000	109.798805	-165.646317	-5874.329590	11447.755859	8339.430664	128.687210	
1.150000	132.307281	-191.470245	-5877.471191	12719.980469	10003.614258	260.562988	
1.200000	163.388947	-167.337067	-5876.689941	12446.967773	11865.679688	425.990448	
1.250000	186.519104	-129.417023	-5871.596191	11519.731445	13466.533203	627.579163	
1.300000	195.133362	-100.217339	-5863.164062	10580.919922	14619.547852	823.668518	
1.350000	199.757477	-77.671867	-5853.958008	9683.475586	15598.958984	955.822693	
1.400000	215.098267	-53.243893	-5847.169434	8689.973633	16791.699219	991.387756	
1.450000	242.754379	-28.316708	-5845.185547	7684.086914	18237.039062	931.942932	
1.500000	269.640442	-14.162675	-5848.914062	6987.842773	19585.369141	795.342957	
1.550000	282.867188	-22.208099	-5858.055664	6908.487305	20487.105469	606.278320	
1.600000	283.566345	-53.515041	-5871.668457	7447.896484	20955.259766	397.220551	
1.650000	284.140930	-93.122292	-5888.126465	8160.895020	21298.712891	205.073792	
1.700000	293.081238	-115.903595	-5904.857422	8341.701172	21731.648438	59.611839	
1.750000	305.211761	-104.532562	-5918.625977	7519.533203	22119.544922	-23.369610	
1.800000	308.107971	-64.641388	-5926.434082	5855.377441	22143.517578	-39.302082	
1.850000	296.460083	-19.201437	-5926.373047	3986.358887	21671.958984	6.557973	
1.900000	277.683441	14.148988	-5918.067383	2431.900879	20907.654297	92.874390	
1.950000	262.987274	37.154728	-5902.590820	1220.832520	20157.210938	183.890518	
2.000000	254.979141	59.993462	-5882.031738	150.761780	19505.746094	246.603058	
2.050000	246.103485	80.620453	-5859.049316	-703.279785	18780.482422	269.781799	
2.100000	228.842072	82.655365	-5836.609375	-946.303833	17802.580078	264.117950	
2.150000	205.370132	55.812840	-5817.910156	-374.386383	16638.414062	245.346344	
2.200000	185.612473	13.133575	-5805.896973	604.943787	15557.205078	224.295944	
2.250000	176.494827	-17.389341	-5802.505859	1201.939819	14750.932617	212.399170	
2.300000	174.942612	-17.767590	-5808.306641	897.580627	14152.031250	229.691299	
2.350000	172.182800	6.755320	-5822.658203	-200.531036	13539.361328	297.483795	
2.400000	163.870850	38.754997	-5843.963379	-1622.960083	12803.090820	421.755280	
2.450000	154.196732	67.910233	-5869.823242	-3031.196533	12053.234375	582.234009	
2.500000	149.802567	96.043961	-5897.039551	-4367.655762	11463.629883	740.226074	
2.550000	151.122894	125.636375	-5921.909668	-5598.957031	11044.214844	857.859619	
2.600000	151.349945	149.018646	-5940.739258	-6463.527832	10612.620117	910.496216	
2.650000	143.960236	152.279343	-5950.661621	-6578.778320	9993.005859	885.253540	
2.700000	129.850296	129.134064	-5950.351562	-5796.716797	9204.740234	777.342407	
2.750000	116.025482	88.880341	-5940.175781	-4405.656250	8431.592773	593.113464	
2.800000	107.741714	50.044678	-5921.832520	-2955.237793	7819.717773	356.432831	
2.850000	103.251717	26.757893	-5898.019043	-1892.609619	7338.113770	107.616791	
2.900000	96.859680	20.912397	-5872.060059	-1330.069336	6854.416016	-109.721161	
2.950000	86.230286	25.858604	-5847.592773	-1123.335083	6321.833984	-263.824249	
3.000000	75.405952	35.442455	-5828.042969	-1101.511597	5859.145996	-342.031158	
3.050000	70.275238	48.248589	-5815.952148	-1185.840088	5629.992188	-348.681671	
3.100000	72.167435	63.679783	-5812.487793	-1303.356445	5678.363770	-296.293274	
3.150000	76.864952	76.069893	-5817.363281	-1252.786987	5899.935059	-199.737442	
3.200000	79.881493	75.119850	-5829.156250	-732.422852	6177.484375	-74.566177	
3.250000	81.636269	53.619572	-5845.771973	449.341797	6516.327637	62.332928	
3.300000	86.636429	14.774270	-5864.747559	2182.075928	7025.799316	195.565491	
3.350000	97.899300	-28.818890	-5883.416992	4084.896729	7773.407715	313.944061	
3.400000	113.271568	-63.977020	-5899.160645	5746.709473	8691.139648	412.216797	
3.450000	127.706009	-84.964714	-5909.868164	6951.449707	9633.294922	488.298645	
3.500000	138.677292	-93.608925	-5914.437500	7698.836914	10518.233398	537.129272	
3.550000	148.463516	-93.282501	-5913.025391	8059.874023	11390.135742	547.295288	
3.600000	160.981277	-84.697823	-5906.882324	8068.334473	12340.890625	504.225220	
3.650000	177.062485	-68.101006	-5897.892090	7767.692871	13386.719727	398.533997	
3.700000	193.621002	-48.117481	-5888.080566	7324.111328	14446.560547	232.052292	
3.750000	207.248459	-34.085876	-5879.261719	7022.201172	15429.889648	17.811165	
3.800000	217.918396	-34.155685	-5872.861816	7103.940918	16331.144531	-225.529938	
3.850000	228.467514	-48.874447	-5869.742188	7595.657227	17216.486328	-474.396484	
3.900000	240.855209	-70.856979	-5870.023438	8296.921875	18129.357422	-702.615967	
3.950000	253.621063	-90.678986	-5873.056641	8935.873047	19024.326172	-881.978394	
4.000000	263.465881	-102.926094	-5877.647949	9335.987305	19808.480469	-987.260437	
4.050000	268.955475	-107.090202	-5882.367188	9452.991211	20438.142578	-1004.424805	
4.100000	272.023712	-104.150063	-5885.852539	9297.354492	20958.349609	-936.118591	
4.150000	275.681152	-93.970642	-5887.000000	8870.450195	21444.806641	-800.833801	
4.200000	280.708740	-76.616592	-5885.156738	8193.197266	21916.861328	-626.584900	
4.250000	285.164795	-55.398048	-5880.312500	7376.399414	22324.285156	-444.187195	
4.300000	287.088562	-37.149395	-5873.188477	6618.477051	22616.162109	-282.149506	
4.350000	287.096924	-28.363539	-5865.184082	6097.921387	22807.324219	-163.640762	
4.400000	287.908356	-30.543468	-5858.107910	5848.400391	22967.710938	-102.203903	
4.450000	291.416229	-39.190891	-5853.745605	5732.454102	23145.990234	-98.680710	
4.500000	296.747040	-47.206726	-5853.456543	5535.063965	23319.037109	-140.755020	
4.550000	301.370026	-49.291962	-5857.924805	5088.727539	23420.587891	-208.355942	
