HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwHtMLxt  N_0	TwHtMLxt  N_1	TwHtMLxt  N_2	TwHtMLxt  N_3	TwHtMLxt  N_4	TwHtMLxt  N_5	TwHtMLxt  N_7	TwHtMLxt  N_8	TwHtMLxt  N_9	TwHtMLxt  N_10	TwHtMLyt  N_0	TwHtMLyt  N_1	TwHtMLyt  N_2	TwHtMLyt  N_3	TwHtMLyt  N_4	TwHtMLyt  N_5	TwHtMLyt  N_7	TwHtMLyt  N_8	TwHtMLyt  N_9	TwHtMLyt  N_10	TwHtMLzt  N_0	TwHtMLzt  N_1	TwHtMLzt  N_2	TwHtMLzt  N_3	TwHtMLzt  N_4	TwHtMLzt  N_5	TwHtMLzt  N_7	TwHtMLzt  N_8	TwHtMLzt  N_9	TwHtMLzt  N_10	TwHtFLxt  N_0	TwHtFLxt  N_1	TwHtFLxt  N_2	TwHtFLxt  N_3	TwHtFLxt  N_4	TwHtFLxt  N_5	TwHtFLxt  N_7	TwHtFLxt  N_8	TwHtFLxt  N_9	TwHtFLxt  N_10	TwHtFLyt  N_0	TwHtFLyt  N_1	TwHtFLyt  N_2	TwHtFLyt  N_3	TwHtFLyt  N_4	TwHtFLyt  N_5	TwHtFLyt  N_7	TwHtFLyt  N_8	TwHtFLyt  N_9	TwHtFLyt  N_10	TwHtFLzt  N_0	TwHtFLzt  N_1	TwHtFLzt  N_2	TwHtFLzt  N_3	TwHtFLzt  N_4	TwHtFLzt  N_5	TwHtFLzt  N_7	TwHtFLzt  N_8	TwHtFLzt  N_9	TwHtFLzt  N_10	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-2543.430420	-2442.377197	-2099.786865	-1781.245361	-1485.916016	-1212.946411	-730.675476	-519.668274	-327.608307	-116.459656	
0.050000	1660.105591	1515.282471	1373.860962	1242.511963	1129.674072	1043.304199	967.995667	977.408691	1009.248230	1052.148926	21012.570312	18925.613281	16835.417969	14736.862305	12624.471680	10495.378906	6202.301270	4063.404785	1958.185913	-93.741821	16.437468	16.472206	16.494370	16.502851	16.497746	16.480677	16.423861	16.392708	16.365589	16.346071	268.900024	268.760468	268.733154	269.416351	271.019165	273.360046	277.799194	278.062164	275.658875	266.747253	-18.713778	-18.889248	-18.966949	-18.262325	-16.400400	-13.318064	-4.642514	-0.143410	3.573642	5.804771	-5858.117188	-5757.062500	-5414.471191	-5095.929688	-4800.601562	-4527.634766	-4045.371338	-3834.369873	-3642.315430	-3431.172119	
0.100000	651.376953	430.606506	222.994751	52.938503	-48.700371	-52.969032	294.669006	638.857178	1062.322632	1522.640137	316.892365	125.799080	-62.386833	-240.902390	-400.634399	-531.837585	-675.745911	-678.529541	-634.232544	-549.867615	27.493677	27.502758	27.504631	27.503258	27.503624	27.509720	27.535711	27.541906	27.531755	27.504356	24.645302	24.860901	24.971819	24.331909	22.526396	19.376316	9.425257	3.261023	-3.083214	-10.292278	-28.681702	-29.240295	-29.466492	-26.830198	-19.952101	-8.610941	23.144136	39.481655	52.823627	60.416401	-5863.009277	-5761.955566	-5419.365723	-5100.824707	-4805.496094	-4532.527832	-4050.260254	-3839.256348	-3647.199707	-3436.056641	
0.150000	-1631.844360	-1282.015625	-925.101257	-552.397949	-153.005966	282.676392	1277.708008	1827.281128	2392.912842	2956.068359	276.901764	21.987875	-227.737778	-461.461639	-664.966248	-823.736755	-963.894165	-937.068726	-850.967407	-720.185852	-252.156631	-252.150452	-252.151337	-252.152039	-252.144135	-252.121826	-252.047119	-252.022659	-252.030472	-252.074310	32.916084	33.209160	33.335712	32.234043	29.263382	24.210234	8.972322	0.121334	-8.362163	-16.563660	44.839733	44.921223	45.037678	46.181274	48.864082	53.119209	64.355118	69.580147	73.170273	73.366478	-5887.871094	-5786.814941	-5444.222168	-5125.680664	-4830.352539	-4557.386719	-4075.130859	-3864.133057	-3672.083252	-3460.944824	
0.200000	-4817.601074	-3577.376465	-2346.675293	-1152.790283	-30.551367	985.880127	2610.461182	3210.649658	3692.701660	4096.135742	-671.764832	-753.850525	-833.587341	-907.130859	-969.411804	-1015.215271	-1041.517700	-1018.689026	-973.432007	-910.835388	-600.742432	-600.759888	-600.766724	-600.760254	-600.738831	-600.704468	-600.623718	-600.597473	-600.594727	-600.620300	10.640945	10.672358	10.639327	10.169280	9.035134	7.158434	1.553276	-1.712539	-4.869258	-7.984620	159.739914	160.970764	161.649353	159.143951	151.950302	139.707977	103.836975	84.059204	66.289169	51.746075	-5922.244141	-5821.176758	-5478.575195	-5160.028320	-4864.701172	-4591.739746	-4109.494629	-3898.497559	-3706.442871	-3495.292480	
0.250000	-5958.591797	-4413.223145	-2881.775635	-1400.193604	-14.326581	1231.099243	3184.164551	3884.176758	4433.114258	4884.477539	-1861.638794	-1699.743774	-1539.907104	-1388.332764	-1253.127563	-1142.410034	-1017.161316	-1005.657898	-1023.722168	-1062.378906	-630.047485	-630.084961	-630.089783	-630.066650	-630.026428	-629.983765	-629.942078	-629.952087	-629.976501	-630.010864	-20.833918	-21.138954	-21.367737	-20.891531	-19.339573	-16.600504	-8.298059	-3.559502	0.855328	4.821235	199.130692	200.583328	201.354416	197.933350	188.325439	172.071671	124.759392	98.897308	75.907387	57.695324	-5958.772461	-5857.701660	-5515.097168	-5196.548828	-4901.221680	-4628.262207	-4146.023438	-3935.029785	-3742.976074	-3531.825195	
0.300000	-4456.015625	-3359.990967	-2265.554688	-1181.860962	-120.723328	905.627441	2815.220215	3688.680176	4509.270996	5286.930176	-2510.529541	-2257.369141	-2007.376099	-1769.442139	-1555.418701	-1377.586548	-1168.524902	-1145.974243	-1175.463135	-1245.932861	-740.971252	-741.018616	-741.021484	-740.985901	-740.926147	-740.863586	-740.817810	-740.858765	-740.935974	-741.030640	-32.603909	-33.000607	-33.297836	-32.602657	-30.365641	-26.383289	-13.954142	-6.515349	0.828508	8.483635	141.113113	141.698273	142.030334	141.306808	139.036148	135.046768	122.712128	115.356339	108.099968	100.546738	-5992.218262	-5891.153809	-5548.557617	-5230.012207	-4934.684082	-4661.723145	-4179.481934	-3968.493652	-3776.451660	-3565.317627	
0.350000	-2611.087646	-1977.091553	-1335.310791	-674.372986	20.070475	760.934448	2404.852783	3298.173096	4217.483887	5140.077637	-2464.407471	-2311.711182	-2159.249512	-2009.878540	-1867.912109	-1738.671021	-1542.102539	-1486.723389	-1467.317627	-1484.326172	-984.441223	-984.490723	-984.496704	-984.460510	-984.390259	-984.304443	-984.195129	-984.223450	-984.318481	-984.457764	-19.624187	-19.842556	-20.067144	-20.016859	-19.470314	-18.265051	-13.509114	-9.901942	-5.511425	1.077685	81.489052	81.404541	81.388733	82.711922	86.042000	91.445587	106.069008	113.125328	118.305489	119.681839	-6018.202637	-5917.145508	-5574.551270	-5256.009277	-4960.681641	-4687.716309	-4205.469727	-3994.481689	-3802.443359	-3591.315918	
0.400000	-2028.218628	-1368.292358	-707.617310	-47.740032	609.415222	1261.615234	2541.573975	3164.785400	3774.383789	4370.595703	-2199.119629	-2177.431885	-2152.692627	-2121.024658	-2078.144531	-2021.103149	-1868.107544	-1784.408813	-1711.444336	-1661.081543	-1007.544006	-1007.576050	-1007.575073	-1007.539856	-1007.474976	-1007.393860	-1007.270264	-1007.275085	-1007.338562	-1007.446716	-2.701701	-2.729253	-2.867765	-3.516154	-4.835221	-6.743526	-10.908703	-12.057660	-11.734699	-7.862844	84.953827	85.157425	85.238953	85.134834	84.792320	84.175102	82.076431	80.636589	79.011246	76.902061	-6032.110352	-5931.053223	-5588.461914	-5269.920410	-4974.594727	-4701.630371	-4219.376953	-4008.381836	-3816.333496	-3605.194824	
