HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwHtALxt  N_0	TwHtALxt  N_1	TwHtALxt  N_2	TwHtALxt  N_3	TwHtALxt  N_4	TwHtALxt  N_5	TwHtALxt  N_7	TwHtALxt  N_8	TwHtALxt  N_9	TwHtALxt  N_10	TwHtALyt  N_0	TwHtALyt  N_1	TwHtALyt  N_2	TwHtALyt  N_3	TwHtALyt  N_4	TwHtALyt  N_5	TwHtALyt  N_7	TwHtALyt  N_8	TwHtALyt  N_9	TwHtALyt  N_10	TwHtALzt  N_0	TwHtALzt  N_1	TwHtALzt  N_2	TwHtALzt  N_3	TwHtALzt  N_4	TwHtALzt  N_5	TwHtALzt  N_7	TwHtALzt  N_8	TwHtALzt  N_9	TwHtALzt  N_10	TwHtTDxt  N_0	TwHtTDxt  N_1	TwHtTDxt  N_2	TwHtTDxt  N_3	TwHtTDxt  N_4	TwHtTDxt  N_5	TwHtTDxt  N_7	TwHtTDxt  N_8	TwHtTDxt  N_9	TwHtTDxt  N_10	TwHtTDyt  N_0	TwHtTDyt  N_1	TwHtTDyt  N_2	TwHtTDyt  N_3	TwHtTDyt  N_4	TwHtTDyt  N_5	TwHtTDyt  N_7	TwHtTDyt  N_8	TwHtTDyt  N_9	TwHtTDyt  N_10	TwHtTDzt  N_0	TwHtTDzt  N_1	TwHtTDzt  N_2	TwHtTDzt  N_3	TwHtTDzt  N_4	TwHtTDzt  N_5	TwHtTDzt  N_7	TwHtTDzt  N_8	TwHtTDzt  N_9	TwHtTDzt  N_10	
(s)	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	0.000000	0.009844	0.034293	0.063572	0.084927	0.083080	-0.056354	-0.223268	-0.466231	-0.781883	0.000000	0.010785	0.040094	0.081861	0.128014	0.168817	0.192472	0.157154	0.084064	-0.023490	-0.000000	-0.000000	-0.000001	-0.000001	-0.000002	-0.000004	-0.000010	-0.000018	-0.000034	-0.000059	0.000000	0.000019	0.000065	0.000119	0.000156	0.000144	-0.000155	-0.000501	-0.001000	-0.001644	0.000000	0.000005	0.000020	0.000042	0.000065	0.000086	0.000097	0.000079	0.000041	-0.000015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.100000	-0.000000	-0.010147	-0.038895	-0.082711	-0.136685	-0.194684	-0.294774	-0.323360	-0.331020	-0.316560	0.000000	0.040193	0.149280	0.304419	0.475210	0.625021	0.704067	0.564997	0.283079	-0.129141	-0.000000	-0.000002	-0.000007	-0.000017	-0.000031	-0.000046	-0.000084	-0.000121	-0.000187	-0.000294	0.000000	0.000033	0.000112	0.000195	0.000229	0.000152	-0.000612	-0.001418	-0.002550	-0.003992	0.000000	0.000083	0.000310	0.000632	0.000988	0.001301	0.001476	0.001197	0.000625	-0.000216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000004	0.000000	0.000000	
0.150000	-0.000000	-0.016815	-0.063662	-0.133215	-0.215487	-0.298157	-0.409293	-0.411622	-0.366371	-0.272606	0.000000	0.015782	0.058041	0.116746	0.178624	0.227745	0.219443	0.132631	-0.019282	-0.230446	-0.000000	-0.000003	-0.000013	-0.000033	-0.000058	-0.000082	-0.000119	-0.000158	-0.000246	-0.000407	0.000000	0.000011	0.000018	-0.000027	-0.000181	-0.000517	-0.002027	-0.003326	-0.005027	-0.007102	0.000000	0.000243	0.000901	0.001837	0.002865	0.003765	0.004223	0.003367	0.001645	-0.000868	0.000000	0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	0.000000	
0.200000	-0.000000	-0.005883	-0.022335	-0.046909	-0.076256	-0.106234	-0.149409	-0.153758	-0.142472	-0.115143	-0.000000	-0.041432	-0.155257	-0.320475	-0.508945	-0.686611	-0.862295	-0.796056	-0.604140	-0.297271	0.000000	-0.000001	-0.000010	-0.000024	-0.000030	-0.000007	0.000176	0.000304	0.000392	0.000393	-0.000000	-0.000043	-0.000194	-0.000493	-0.000988	-0.001733	-0.004192	-0.005989	-0.008178	-0.010714	0.000000	0.000366	0.001355	0.002754	0.004278	0.005586	0.006084	0.004638	0.001841	-0.002187	0.000000	-0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	0.000000	
0.250000	0.000000	0.010084	0.037973	0.078895	0.126387	0.172504	0.225069	0.214878	0.172835	0.098648	-0.000000	-0.054209	-0.202923	-0.418266	-0.662918	-0.891741	-1.106869	-1.008136	-0.741594	-0.321618	0.000000	-0.000001	-0.000011	-0.000030	-0.000040	-0.000015	0.000205	0.000372	0.000509	0.000561	-0.000000	-0.000090	-0.000381	-0.000909	-0.001716	-0.002846	-0.006240	-0.008557	-0.011280	-0.014349	0.000000	0.000355	0.001308	0.002640	0.004058	0.005211	0.005220	0.003427	0.000215	-0.004290	0.000000	-0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	0.000000	
0.300000	0.000000	0.014321	0.054395	0.114304	0.185948	0.259307	0.365964	0.377827	0.351995	0.287445	-0.000000	-0.010488	-0.040006	-0.084540	-0.138602	-0.195469	-0.288153	-0.310853	-0.312783	-0.295523	0.000000	-0.000001	-0.000007	-0.000021	-0.000040	-0.000060	-0.000077	-0.000074	-0.000071	-0.000082	-0.000000	-0.000103	-0.000441	-0.001060	-0.002015	-0.003366	-0.007484	-0.010325	-0.013684	-0.017490	0.000000	0.000260	0.000946	0.001871	0.002793	0.003420	0.002544	0.000508	-0.002770	-0.007176	0.000000	0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	-0.000008	
0.350000	0.000000	0.004586	0.018388	0.041297	0.072966	0.112811	0.213521	0.272085	0.334264	0.398456	0.000000	0.020602	0.076019	0.153621	0.236671	0.305048	0.311465	0.212266	0.032037	-0.221991	-0.000000	-0.000000	-0.000000	-0.000004	-0.000018	-0.000049	-0.000180	-0.000266	-0.000343	-0.000396	-0.000000	-0.000091	-0.000404	-0.001004	-0.001971	-0.003396	-0.007969	-0.011248	-0.015203	-0.019755	0.000000	0.000189	0.000668	0.001271	0.001781	0.001938	0.000096	-0.002368	-0.006009	-0.010716	0.000000	0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	-0.000008	
0.400000	-0.000000	-0.006210	-0.021857	-0.041180	-0.056649	-0.059225	0.013516	0.106291	0.243456	0.423182	-0.000000	-0.004005	-0.015282	-0.032312	-0.053013	-0.074836	-0.110669	-0.119700	-0.120900	-0.114865	-0.000000	-0.000000	-0.000002	-0.000004	-0.000006	-0.000007	-0.000005	-0.000009	-0.000024	-0.000055	-0.000000	-0.000083	-0.000377	-0.000960	-0.001926	-0.003383	-0.008196	-0.011716	-0.016005	-0.020978	0.000000	0.000146	0.000495	0.000882	0.001090	0.000865	-0.001960	-0.005011	-0.009291	-0.014683	0.000000	0.000000	0.000000	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	-0.000008	
