HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	YawBrFxn  	YawBrFyn  	YawBrFzn  	YawBrFxp  	YawBrFyp  	YawBrMxn  	YawBrMyn  	YawBrMzn  	YawBrMxp  	YawBrMyp  	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	
0.050000	257.554474	5.370233	-3314.508057	257.554535	5.366965	1049.828613	-98.268044	13.324021	1049.827393	-98.281364	
0.100000	-14.214166	58.624722	-3318.655029	-14.213746	58.624825	1518.161133	-543.334045	37.523956	1518.157227	-543.344910	
0.150000	-20.224169	69.963425	-3343.111084	-20.220234	69.964561	2940.752441	-711.042603	-243.545135	2940.712158	-711.208008	
0.200000	-9.830249	47.437912	-3377.449707	-9.826856	47.438618	4068.482910	-900.582214	-600.751160	4068.418213	-900.873230	
0.250000	6.321200	54.427677	-3414.478271	6.324852	54.427254	4867.118652	-1049.594360	-641.960815	4867.047363	-1049.921021	
0.300000	15.590631	99.401016	-3449.085693	15.599896	99.399567	5324.581543	-1235.293579	-759.479492	5324.466309	-1235.789917	
0.350000	11.229374	119.161522	-3476.377441	11.243351	119.160202	5234.506348	-1487.585815	-1020.844727	5234.332031	-1488.199829	
0.400000	3.036321	75.034134	-3491.758301	3.044222	75.033813	4471.444824	-1686.231445	-1055.191040	4471.267578	-1686.702271	
0.450000	1.570925	10.529913	-3493.374756	1.571814	10.529780	3222.992676	-1747.607422	-882.460693	3222.845215	-1747.879395	
0.500000	7.387709	-9.946038	-3483.589600	7.386932	-9.946615	1934.363647	-1723.936035	-785.518921	1934.229248	-1724.087036	
0.550000	13.068847	12.951291	-3467.017090	13.069775	12.950355	1067.575806	-1715.985596	-750.987732	1067.452881	-1716.062134	
0.600000	13.587098	22.602516	-3447.432617	13.588299	22.601795	888.517822	-1762.266846	-611.360718	888.424133	-1762.314087	
0.650000	13.081556	-8.468820	-3427.922363	13.081292	-8.469227	1415.057983	-1825.038818	-381.008606	1415.001221	-1825.082886	
0.700000	19.975170	-41.726479	-3410.948730	19.974497	-41.726799	2459.643311	-1853.535156	-188.892685	2459.613525	-1853.574829	
0.750000	36.812016	-32.385910	-3398.006348	36.811737	-32.386223	3667.063232	-1831.014893	-89.147629	3667.047607	-1831.046143	
0.800000	56.008617	6.870371	-3390.403564	56.008640	6.870181	4637.203613	-1779.227661	-41.812046	4637.197266	-1779.243408	
0.850000	68.298378	25.015266	-3388.768066	68.298309	25.015455	5117.274414	-1731.861084	10.771215	5117.279297	-1731.846924	
0.900000	72.698792	-0.755456	-3392.243408	72.698799	-0.754807	5062.764160	-1683.739746	80.639900	5062.779297	-1683.694580	
0.950000	77.236176	-43.268608	-3398.794434	77.236626	-43.267818	4531.192871	-1589.093994	122.525154	4531.208984	-1589.047607	
1.000000	89.863869	-67.492622	-3406.349609	89.864159	-67.492233	3595.816406	-1413.652222	89.666817	3595.822510	-1413.636597	
1.050000	110.007874	-71.278290	-3413.621338	110.007423	-71.278992	2423.354492	-1181.956177	-7.864408	2423.346924	-1181.971680	
1.100000	130.013306	-76.511208	-3419.468262	130.011780	-76.513786	1357.098755	-960.284973	-128.255722	1357.079712	-960.311951	
1.150000	144.211731	-93.887199	-3422.517822	144.208221	-93.892570	800.986816	-800.157227	-260.142334	800.957031	-800.187073	
1.200000	154.949799	-110.369583	-3421.657959	154.943283	-110.378754	966.393555	-696.442444	-425.600159	966.352295	-696.499634	
1.250000	168.772156	-109.275841	-3416.504150	168.763168	-109.289703	1726.187378	-608.015503	-627.198608	1726.137573	-608.157288	
1.300000	188.001389	-90.373062	-3408.035400	187.992340	-90.391876	2733.174805	-517.881409	-823.251709	2733.122803	-518.154907	
1.350000	207.888321	-67.026024	-3398.803955	207.880997	-67.048683	3663.790039	-460.339813	-955.366638	3663.739746	-460.739136	
1.400000	222.235794	-51.270332	-3391.988281	222.230255	-51.294334	4335.659668	-485.086487	-990.925049	4335.606934	-485.554749	
1.450000	230.591354	-46.558037	-3389.964355	230.586792	-46.580528	4644.502930	-596.730713	-931.486206	4644.444824	-597.183777	
1.500000	238.656281	-50.361961	-3393.635986	238.652328	-50.380714	4492.092285	-745.977356	-794.891052	4492.033691	-746.330322	
1.550000	251.495560	-57.746933	-3402.720947	251.492432	-57.760468	3843.435547	-876.773926	-605.861633	3843.388428	-876.980774	
1.600000	267.547516	-63.195801	-3416.284424	267.545715	-63.203400	2842.728271	-976.049072	-396.885956	2842.700684	-976.129822	
1.650000	280.128723	-63.642376	-3432.710938	280.128235	-63.644566	1816.997925	-1066.615479	-204.828888	1816.989624	-1066.629761	
1.700000	284.473114	-60.662117	-3449.435303	284.473389	-60.660702	1122.043091	-1157.767822	-59.428696	1122.048828	-1157.762329	
1.750000	282.200134	-56.974411	-3463.220703	282.200684	-56.971649	959.177734	-1214.573242	23.506296	959.189636	-1214.563843	
1.800000	278.548676	-50.423771	-3471.054443	278.549042	-50.421700	1310.206543	-1183.752930	39.386791	1310.215332	-1183.743164	
1.850000	276.060120	-34.824883	-3471.027588	276.060089	-34.825172	2005.902100	-1045.770874	-6.519988	2005.901001	-1045.772949	
1.900000	272.127716	-8.818996	-3462.772461	272.127625	-8.822637	2831.601074	-834.245728	-92.850296	2831.589844	-834.283569	
1.950000	262.888824	18.636719	-3447.360596	262.889313	18.629986	3584.164307	-603.160034	-183.827530	3584.148926	-603.251831	
2.000000	248.558197	35.124920	-3426.864014	248.559402	35.116455	4081.423096	-385.397003	-246.434830	4081.409912	-385.535950	
2.050000	233.872375	36.920258	-3403.927734	233.873764	36.911514	4178.518555	-177.898651	-269.453064	4178.512207	-178.054871	
2.100000	223.145996	31.736914	-3381.530029	223.147171	31.728697	3815.706787	23.553661	-263.619080	3815.707520	23.413162	
2.150000	216.019714	28.908916	-3362.869873	216.020706	28.901468	3072.943115	192.631760	-244.718231	3072.949707	192.525787	
2.200000	208.500565	29.637789	-3350.893066	208.501511	29.631077	2171.245361	284.593964	-223.602188	2171.254395	284.524078	
2.250000	197.861359	28.990107	-3347.541504	197.862274	28.983868	1395.629150	270.537201	-211.703018	1395.637695	270.493195	
2.300000	185.742447	25.592131	-3353.382812	185.743317	25.585762	976.726990	162.235550	-229.056519	976.732544	162.202072	
2.350000	176.072311	25.696918	-3367.769287	176.073380	25.689548	1002.744202	-2.830014	-296.977783	1002.744080	-2.871989	
2.400000	170.557281	36.455032	-3389.101807	170.559250	36.445805	1412.719971	-194.361313	-421.440308	1412.709473	-194.437744	
2.450000	166.896561	57.118782	-3414.985596	166.900482	57.107300	2054.222656	-403.820679	-582.151123	2054.194824	-403.962006	
2.500000	161.594421	78.806808	-3442.227783	161.600906	78.793503	2749.500244	-627.219177	-740.372070	2749.448486	-627.445618	
2.550000	153.869858	92.558228	-3467.120605	153.878296	92.544189	3323.975098	-842.577698	-858.181824	3323.898193	-842.880859	
2.600000	146.152328	96.200386	-3485.966797	146.161255	96.186821	3620.058105	-1010.763123	-910.917603	3619.964355	-1011.098999	
2.650000	140.838135	93.431023	-3495.906250	140.846146	93.418922	3533.125244	-1101.230957	-885.707031	3533.030762	-1101.534424	
2.700000	137.243530	87.952576	-3495.614502	137.249771	87.942841	3067.502197	-1115.661133	-777.780273	3067.423096	-1115.878662	
2.750000	132.322723	79.967300	-3485.454102	132.326691	79.960724	2363.913330	-1082.690186	-593.493408	2363.859375	-1082.807739	
2.800000	124.211983	68.109879	-3467.125732	124.213730	68.106705	1656.518799	-1029.296631	-356.716644	1656.492432	-1029.338989	
2.850000	114.427612	53.441422	-3443.324951	114.427742	53.441151	1168.165894	-961.244812	-107.791405	1168.163574	-961.247620	
2.900000	106.304001	40.395390	-3417.376465	106.303345	40.397114	1026.626099	-870.754272	109.643082	1026.640259	-870.737610	
2.950000	101.586464	33.611950	-3392.918701	101.585526	33.614784	1240.622559	-759.480286	263.817352	1240.643799	-759.445679	
3.000000	99.088982	33.878902	-3373.376709	99.087898	33.882057	1730.218506	-647.358276	342.066437	1730.239136	-647.303162	
3.050000	96.674797	37.226765	-3361.295166	96.673729	37.229553	2365.266357	-559.362244	348.730133	2365.282471	-559.294006	
3.100000	94.133583	38.041435	-3357.837402	94.132790	38.043381	2987.135010	-503.312439	296.335083	2987.145508	-503.250641	
3.150000	93.544510	33.219582	-3362.713135	93.544189	33.220459	3428.477539	-467.377838	199.761322	3428.481934	-467.345703	
3.200000	96.882065	23.538067	-3374.502197	96.882141	23.537745	3555.311523	-437.804688	74.556053	3555.310059	-437.816559	
3.250000	103.754372	11.414070	-3391.107422	103.754562	11.412391	3323.161621	-415.961639	-62.401192	3323.154785	-416.015442	
3.300000	111.850952	-2.037144	-3410.062256	111.850891	-2.040314	2807.731445	-414.875793	-195.705719	2807.719727	-414.955383	
3.350000	119.454445	-17.272327	-3428.697754	119.453766	-17.277000	2179.850098	-442.198944	-314.147217	2179.832764	-442.284180	
3.400000	127.108360	-33.924767	-3444.393555	127.106728	-33.930859	1636.003052	-487.351990	-412.462433	1635.979614	-487.430389	
3.450000	136.592300	-49.030613	-3455.047363	136.589630	-49.038025	1327.148560	-530.817932	-488.565826	1327.119751	-530.889954	
3.500000	148.557953	-58.505360	-3459.566895	148.554581	-58.513889	1321.955078	-563.197327	-537.394836	1321.922607	-563.273254	
3.550000	161.599579	-60.627365	-3458.107422	161.596191	-60.636440	1606.999512	-593.138855	-547.528748	1606.966064	-593.229126	
3.600000	173.747498	-57.777847	-3451.924561	173.744644	-57.786373	2103.093750	-635.151978	-504.392151	2103.062500	-635.255188	
3.650000	184.524765	-54.501789	-3442.897461	184.522842	-54.508301	2681.645264	-692.846008	-398.601593	2681.620850	-692.940613	
3.700000	195.229095	-53.971619	-3433.045166	195.228287	-53.974552	3186.466309	-753.356140	-231.999985	3186.455078	-753.403992	
3.750000	207.176086	-56.413052	-3424.176514	207.176666	-56.410957	3471.614990	-799.923035	-17.641121	3471.623047	-799.887939	
3.800000	220.047699	-60.597214	-3417.722168	220.049973	-60.588955	3452.515869	-825.953125	225.796036	3452.546875	-825.823547	
3.850000	232.126511	-66.050880	-3414.544434	232.130753	-66.035980	3141.794678	-833.079041	474.733765	3141.848145	-832.877441	
3.900000	242.116669	-73.242302	-3414.764893	242.123032	-73.221260	2646.468750	-821.101013	703.007874	2646.540039	-820.871033	
3.950000	250.313599	-81.788269	-3417.737793	250.322006	-81.762520	2123.918213	-781.130188	882.410583	2123.998291	-780.911682	
4.000000	257.927307	-89.194633	-3422.268555	257.937134	-89.166267	1723.992676	-701.435791	987.711731	1724.069824	-701.246155	
4.050000	265.461395	-91.988358	-3426.939453	265.471283	-91.959862	1546.782104	-579.950928	1004.867554	1546.844238	-579.784851	
4.100000	272.098480	-88.290970	-3430.387695	272.106964	-88.264885	1627.000000	-430.140289	936.529846	1627.041260	-429.984283	
