HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
0.000000	0.000000	-0.000000	0.000000	
0.050000	-0.001645	-0.000015	0.000000	
0.100000	-0.003993	-0.000216	0.000000	
0.150000	-0.007103	-0.000868	0.000000	
0.200000	-0.010715	-0.002187	0.000000	
0.250000	-0.014351	-0.004290	0.000000	
0.300000	-0.017491	-0.007175	-0.000008	
0.350000	-0.019757	-0.010715	-0.000008	
0.400000	-0.020980	-0.014681	-0.000008	
0.450000	-0.021182	-0.018779	-0.000008	
0.500000	-0.020495	-0.022686	-0.000008	
0.550000	-0.019062	-0.026131	-0.000008	
0.600000	-0.016969	-0.028986	-0.000008	
0.650000	-0.014205	-0.031316	-0.000008	
0.700000	-0.010670	-0.033358	-0.000015	
0.750000	-0.006230	-0.035425	-0.000015	
0.800000	-0.000785	-0.037816	-0.000015	
0.850000	0.005655	-0.040736	-0.000015	
0.900000	0.012953	-0.044275	-0.000023	
0.950000	0.020871	-0.048383	-0.000031	
1.000000	0.029145	-0.052858	-0.000031	
1.050000	0.037552	-0.057362	-0.000038	
1.100000	0.045931	-0.061486	-0.000046	
1.150000	0.054184	-0.064852	-0.000061	
1.200000	0.062240	-0.067195	-0.000069	
1.250000	0.070035	-0.068399	-0.000084	
1.300000	0.077490	-0.068469	-0.000092	
1.350000	0.084495	-0.067496	-0.000099	
1.400000	0.090906	-0.065629	-0.000114	
1.450000	0.096563	-0.063047	-0.000114	
1.500000	0.101325	-0.059934	-0.000122	
1.550000	0.105113	-0.056437	-0.000122	
1.600000	0.107916	-0.052651	-0.000122	
1.650000	0.109779	-0.048628	-0.000122	
1.700000	0.110762	-0.044416	-0.000114	
1.750000	0.110917	-0.040084	-0.000114	
1.800000	0.110276	-0.035737	-0.000114	
1.850000	0.108868	-0.031490	-0.000107	
