HawtC2_ProjectName: 5MW_PowerProduction_Spar 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	YawBrFxn  	YawBrFyn  	YawBrFzn  	YawBrFxp  	YawBrFyp  	YawBrMxn  	YawBrMyn  	YawBrMzn  	YawBrMxp  	YawBrMyp  	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	
0.050000	257.455505	5.528081	-3314.712646	257.455566	5.524940	1052.237061	-96.609451	16.346087	1052.235840	-96.622299	
0.100000	-13.994814	58.899376	-3319.600098	-13.994318	58.899494	1523.119141	-551.007324	27.504425	1523.114502	-551.020142	
0.150000	-19.688057	70.671143	-3344.489746	-19.684065	70.672256	2956.957275	-720.993164	-252.074142	2956.916504	-721.160156	
0.200000	-9.220792	48.276283	-3378.828369	-9.217333	48.276943	4097.297363	-910.932495	-600.620361	4097.231934	-911.225952	
0.250000	6.084619	53.952660	-3415.358398	6.088254	53.952248	4885.733398	-1061.667358	-630.011536	4885.661621	-1061.996582	
0.300000	11.929530	97.137886	-3448.858398	11.938448	97.136787	5288.125488	-1244.389648	-741.031677	5288.011230	-1244.875122	
0.350000	5.720219	117.173615	-3474.861084	5.733584	117.172958	5141.050781	-1482.312988	-984.458984	5140.881836	-1482.899414	
0.400000	-3.165339	75.665276	-3488.736084	-3.157606	75.665596	4371.180176	-1659.194336	-1007.447754	4371.010742	-1659.640991	
0.450000	-5.034874	12.788445	-3488.688965	-5.033827	12.788857	3176.515869	-1692.784058	-838.868591	3176.377197	-1693.044434	
0.500000	0.083773	-9.505936	-3477.399170	0.083061	-9.505942	1961.162964	-1645.994873	-741.382385	1961.039673	-1646.141724	
0.550000	5.448482	10.481916	-3460.063477	5.449182	10.481551	1152.995117	-1633.590576	-717.721313	1152.885864	-1633.667725	
0.600000	3.782366	20.322124	-3440.634521	3.783317	20.321947	980.635986	-1686.016479	-565.205994	980.557068	-1686.062378	
0.650000	2.073543	-7.300280	-3422.214355	2.073375	-7.300327	1476.260742	-1778.792480	-320.222198	1476.219971	-1778.826294	
0.700000	8.363897	-38.612865	-3406.787842	8.363708	-38.612907	2477.141602	-1855.687866	-104.729584	2477.132324	-1855.700073	
0.750000	23.492508	-31.972139	-3395.251465	23.492701	-31.971996	3641.084229	-1891.529907	26.056095	3641.095703	-1891.507935	
0.800000	39.213688	2.648928	-3388.428711	39.213654	2.649457	4567.440918	-1896.947388	100.625557	4567.466797	-1896.885742	
0.850000	46.588253	19.285784	-3386.770020	46.587860	19.286741	5001.277832	-1895.301025	166.933701	5001.316895	-1895.198242	
0.900000	45.410263	-3.854724	-3389.508545	45.410366	-3.853521	4906.276367	-1874.389404	237.500687	4906.325684	-1874.259521	
0.950000	44.188778	-43.239830	-3394.922119	44.189945	-43.238640	4363.572754	-1791.328125	272.130402	4363.621094	-1791.210327	
1.000000	50.877373	-66.985146	-3401.380127	50.878704	-66.984138	3471.024658	-1622.053467	229.072998	3471.056885	-1621.984375	
1.050000	64.870934	-72.125008	-3407.933350	64.871475	-72.124519	2393.202393	-1400.603516	119.164070	2393.212891	-1400.585449	
1.100000	78.835541	-77.921402	-3413.650146	78.834930	-77.922012	1430.513428	-1199.411621	-15.845287	1430.504150	-1199.422729	
1.150000	87.542244	-94.045563	-3417.216064	87.539757	-94.047874	932.335938	-1069.104492	-161.468582	932.307678	-1069.129150	
1.200000	93.224434	-108.732262	-3417.365967	93.219086	-108.736847	1086.694214	-998.945618	-336.700317	1086.644897	-998.999023	
1.250000	101.766655	-107.049759	-3413.485840	101.758873	-107.057159	1787.176514	-940.748718	-543.980225	1787.108154	-940.878662	
1.300000	115.033562	-89.443245	-3406.317139	115.025406	-89.453735	2725.543945	-870.059509	-744.051758	2725.464355	-870.308167	
1.350000	128.532425	-68.785271	-3398.216309	128.525513	-68.798195	3594.010254	-815.303772	-880.154114	3593.928223	-815.665161	
1.400000	136.761673	-55.656433	-3392.150391	136.756119	-55.670090	4204.238281	-824.749939	-918.378967	4204.155762	-825.169800	
1.450000	139.893585	-51.687443	-3390.368408	139.888931	-51.700039	4455.667969	-909.792908	-862.674194	4455.586426	-910.194092	
1.500000	143.649231	-53.688580	-3393.767334	143.645340	-53.699017	4280.084961	-1031.474609	-735.377747	4280.009766	-1031.785645	
1.550000	152.770996	-58.337685	-3402.125244	152.768036	-58.345409	3675.302979	-1143.594482	-564.375610	3675.245117	-1143.780396	
1.600000	165.642883	-62.672295	-3414.534180	165.641113	-62.676991	2782.874756	-1235.272217	-379.812317	2782.839600	-1235.351074	
1.650000	176.087936	-64.154099	-3429.431885	176.087250	-64.155991	1883.609375	-1326.279541	-213.209045	1883.595215	-1326.299805	
1.700000	179.839966	-62.066422	-3444.436768	179.839951	-62.066463	1274.621582	-1421.458984	-90.318504	1274.621216	-1421.459351	
1.750000	178.447601	-56.985996	-3456.615723	178.447769	-56.985455	1126.857178	-1485.512451	-24.881155	1126.861572	-1485.509033	
1.800000	176.557907	-47.927353	-3463.281250	176.557907	-47.927338	1431.355713	-1467.615601	-19.279682	1431.355835	-1467.615479	
1.850000	176.255463	-32.138111	-3462.830322	176.255234	-32.139488	2046.781494	-1349.044189	-65.231445	2046.770996	-1349.060181	
1.900000	175.119095	-9.604734	-3455.124268	175.118927	-9.607992	2779.615967	-1160.793823	-142.287399	2779.594482	-1160.845581	
1.950000	169.849457	13.583222	-3441.291992	169.849869	13.578230	3436.841309	-953.824768	-221.888977	3436.813477	-953.925781	
2.000000	160.859711	29.031195	-3423.248535	160.860794	29.025177	3850.039307	-758.240845	-280.585999	3850.010986	-758.384888	
2.050000	152.363693	33.650791	-3403.301025	152.365097	33.644440	3901.402100	-573.268311	-311.621674	3901.378174	-573.430969	
2.100000	147.972443	31.933437	-3384.011475	147.973816	31.927063	3560.402832	-395.005768	-323.500671	3560.385742	-395.159119	
2.150000	147.047653	30.185411	-3368.090088	147.048965	30.179062	2911.947266	-243.789001	-327.765411	2911.936768	-243.914749	
2.200000	145.889297	30.182362	-3357.995605	145.890594	30.176046	2144.028809	-157.145142	-330.889465	2144.021973	-157.237946	
2.250000	142.109619	29.871410	-3355.313965	142.110931	29.865095	1486.342285	-157.812775	-339.733734	1486.335327	-157.878845	
2.300000	137.177185	29.059437	-3360.459961	137.178574	29.052866	1124.743530	-234.482529	-368.002075	1124.732300	-234.536407	
2.350000	134.454208	31.825390	-3372.795898	134.455963	31.818029	1137.053467	-354.239044	-432.287994	1137.034058	-354.301300	
2.400000	135.234818	42.328903	-3390.897949	135.237564	42.320110	1480.995850	-491.883118	-537.476501	1480.963867	-491.979370	
2.450000	137.395981	59.475029	-3412.715576	137.400558	59.464436	2028.945068	-641.645569	-668.473572	2028.895630	-641.801941	
2.500000	137.925888	77.059631	-3435.574219	137.932693	77.047440	2618.842529	-802.488831	-796.618469	2618.771484	-802.720276	
2.550000	136.226715	88.991432	-3456.365967	136.235275	88.978333	3091.697754	-956.978027	-894.205322	3091.605713	-957.275330	
2.600000	134.356934	93.502510	-3472.019287	134.366135	93.489288	3317.770020	-1071.826294	-942.806030	3317.664551	-1072.152832	
2.650000	134.190353	92.436401	-3480.191406	134.199051	92.423767	3225.920654	-1120.586914	-932.189697	3225.815186	-1120.890625	
2.700000	134.957642	87.773834	-3479.833008	134.964981	87.762566	2834.834229	-1104.048462	-857.394287	2834.741943	-1104.285278	
2.750000	134.028046	79.895569	-3471.285889	134.033463	79.886482	2261.943848	-1045.927368	-721.745178	2261.872803	-1046.080811	
2.800000	129.901688	68.935562	-3456.027588	129.905090	68.929138	1686.949463	-969.969910	-542.072327	1686.901489	-970.053284	
2.850000	123.962471	56.669434	-3436.290283	123.964256	56.665535	1285.465210	-881.979370	-349.605499	1285.437378	-882.019836	
2.900000	118.997902	46.351254	-3414.849365	118.998680	46.349255	1163.627319	-776.956482	-179.334778	1163.614258	-776.976013	
2.950000	116.380272	40.516743	-3394.690674	116.380577	40.515873	1336.565918	-657.283325	-57.227100	1336.561035	-657.293335	
3.000000	115.040970	39.082462	-3378.602539	115.041130	39.081989	1740.982788	-540.625854	6.524377	1740.980591	-540.633057	
3.050000	113.250175	39.433884	-3368.646729	113.250420	39.433186	2263.020508	-447.509064	14.827221	2263.017822	-447.523071	
3.100000	110.928123	38.273373	-3365.758057	110.928596	38.272003	2764.357422	-384.058014	-23.364353	2764.352783	-384.092163	
3.150000	109.821426	33.574524	-3369.684814	109.822128	33.572212	3109.686035	-339.980499	-97.113167	3109.678955	-340.046021	
3.200000	111.488129	25.161224	-3379.261719	111.488907	25.157776	3201.822266	-303.190521	-194.056732	3201.812988	-303.289551	
3.250000	115.523346	13.872717	-3392.779541	115.523911	13.867995	3016.398193	-274.283051	-300.287384	3016.387207	-274.406311	
3.300000	120.062698	0.509634	-3408.229980	120.062721	0.503616	2615.807129	-263.879486	-402.600189	2615.793945	-264.010620	
3.350000	123.838203	-14.274719	-3423.458496	123.837364	-14.281920	2128.468994	-278.323853	-491.730713	2128.452637	-278.447632	
3.400000	127.414330	-29.248333	-3436.370850	127.412437	-29.256559	1702.812256	-309.598389	-563.964050	1702.792236	-309.708344	
3.450000	132.251892	-42.253456	-3445.295654	132.248962	-42.262585	1457.929810	-342.042572	-618.331848	1457.906128	-342.143188	
3.500000	138.825775	-51.102203	-3449.358398	138.822159	-51.112057	1453.025024	-367.227692	-651.288330	1452.998901	-367.330811	
3.550000	145.969437	-55.083614	-3448.648682	145.965591	-55.093754	1680.008301	-390.276917	-654.019470	1679.981079	-390.393646	
3.600000	152.163467	-55.584335	-3444.079834	152.159927	-55.593990	2072.166504	-420.398987	-615.339172	2072.139893	-420.530518	
3.650000	157.141739	-55.148117	-3437.051758	157.138870	-55.156311	2522.299072	-458.128082	-527.718994	2522.275146	-458.259613	
3.700000	162.017807	-55.823048	-3429.101074	162.015808	-55.828823	2907.034668	-492.851349	-391.923248	2907.017090	-492.954987	
3.750000	167.857315	-58.352875	-3421.672363	167.856430	-58.355400	3119.907227	-512.508240	-216.440414	3119.899414	-512.555176	
3.800000	174.416763	-62.593243	-3415.958008	174.417252	-62.591888	3104.409180	-513.672119	-15.071476	3104.413086	-513.648071	
3.850000	180.436478	-68.271599	-3412.727295	180.438568	-68.266113	2873.348145	-501.064453	194.609985	2873.363281	-500.977112	
3.900000	185.052917	-75.053482	-3412.183350	185.056702	-75.044174	2504.136475	-478.446686	391.798340	2504.160400	-478.320648	
3.950000	188.637909	-81.976540	-3413.922607	188.643250	-81.964233	2110.647217	-441.361115	553.217651	2110.676270	-441.223450	
4.000000	192.193863	-87.224464	-3417.097412	192.200272	-87.210365	1805.507690	-381.809235	658.362610	1805.535767	-381.676788	
4.050000	196.085541	-88.854706	-3420.657227	196.092117	-88.840202	1668.122437	-297.924042	695.647095	1668.144531	-297.800659	
