HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjPhi   B_0_N_0	BkNjPhi   B_0_N_4	BkNjPhi   B_0_N_5	BkNjPhi   B_0_N_9	BkNjPhi   B_0_N_13	BkNjPhi   B_0_N_16	BkNjPhi   B_0_N_18	BkNjVRel  B_0_N_0	BkNjVRel  B_0_N_4	BkNjVRel  B_0_N_5	BkNjVRel  B_0_N_9	BkNjVRel  B_0_N_13	BkNjVRel  B_0_N_16	BkNjVRel  B_0_N_18	BkNjTheta B_0_N_0	BkNjTheta B_0_N_4	BkNjTheta B_0_N_5	BkNjTheta B_0_N_9	BkNjTheta B_0_N_13	BkNjTheta B_0_N_16	BkNjTheta B_0_N_18	BkNjAxInd B_0_N_0	BkNjAxInd B_0_N_4	BkNjAxInd B_0_N_5	BkNjAxInd B_0_N_9	BkNjAxInd B_0_N_13	BkNjAxInd B_0_N_16	BkNjAxInd B_0_N_18	BkNjTnInd B_0_N_0	BkNjTnInd B_0_N_4	BkNjTnInd B_0_N_5	BkNjTnInd B_0_N_9	BkNjTnInd B_0_N_13	BkNjTnInd B_0_N_16	BkNjTnInd B_0_N_18	
(s)	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(deg)     	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	(-)       	
0.000000	89.488510	61.482358	57.113707	39.526066	3.222810	3.271975	2.460608	5.641098	12.691119	12.838192	14.292310	71.016518	76.191925	96.743965	13.454954	13.454954	13.454954	13.454954	12.756765	11.303658	10.323171	0.569851	0.205131	0.216244	0.221072	0.668757	0.680658	0.699187	0.986982	0.205131	0.216244	0.221072	2.647085	2.247158	2.666180	
0.050000	89.521268	62.334123	57.882274	40.234691	12.680696	11.177438	10.025647	5.629138	12.611523	12.808043	14.470492	21.286339	24.796322	27.424604	13.460652	13.460652	13.460652	13.460653	12.762464	11.309358	10.328872	0.567313	0.203921	0.214831	0.218533	0.620919	0.650377	0.655798	0.986712	0.203921	0.214831	0.218533	0.088293	0.077307	0.054304	
0.100000	89.550071	62.001787	57.621381	40.702590	12.735234	11.200673	10.064128	5.514357	12.513001	12.749172	14.376040	21.007782	24.594589	27.321770	13.466633	13.466636	13.466637	13.466642	12.768459	11.315359	10.334877	0.567313	0.204397	0.215321	0.216937	0.625215	0.651747	0.657017	0.986712	0.204397	0.215321	0.216937	0.093562	0.079138	0.055662	
0.150000	89.516801	60.648692	56.583524	40.986292	12.752779	11.184530	10.021897	5.250849	12.313163	12.601169	14.093362	20.463745	23.997610	26.841742	13.472990	13.472999	13.473003	13.473022	12.774857	11.321770	10.341304	0.567313	0.206360	0.217241	0.215914	0.626048	0.649582	0.654566	0.986712	0.206360	0.217241	0.215914	0.094793	0.076789	0.053518	
0.200000	89.482684	60.514656	56.280953	40.904278	12.695974	11.070298	9.916492	5.074503	11.678446	12.055493	13.848149	20.109211	23.639544	26.714483	13.479379	13.479397	13.479404	13.479444	12.781303	11.328237	10.347792	0.567302	0.206599	0.217890	0.216291	0.621293	0.639559	0.643576	0.984365	0.206624	0.217965	0.216424	0.088945	0.065724	0.043713	
0.250000	90.353779	61.976481	57.721334	41.098286	11.892159	9.895821	8.879129	5.248105	11.569309	11.976356	13.969791	20.427311	24.154312	27.465868	13.486042	13.486067	13.486078	13.486134	12.788016	11.334968	10.354541	0.557706	0.203385	0.213666	0.211704	0.631743	0.659010	0.661208	1.011427	0.213390	0.223136	0.212978	0.086762	0.063705	0.042155	
0.300000	88.129166	61.659683	57.730480	41.439611	11.396116	9.169698	8.482333	5.447721	11.830976	12.263306	13.991429	20.220821	24.081484	27.526943	13.493071	13.493099	13.493112	13.493177	12.795069	11.342031	10.361614	0.547209	0.197839	0.207161	0.207864	0.642922	0.675686	0.670033	0.941282	0.205444	0.216464	0.211114	0.087186	0.063530	0.041853	
0.350000	90.148703	61.770366	57.637822	40.857990	10.265390	8.520395	8.537765	5.726963	11.843949	12.299450	13.930925	20.164787	23.755371	27.057962	13.500314	13.500342	13.500355	13.500420	12.802313	11.349276	10.368861	0.533177	0.195068	0.204280	0.208027	0.666096	0.693726	0.671689	1.005274	0.203323	0.212869	0.207882	0.086752	0.064132	0.042466	
0.400000	90.000904	61.412294	57.373384	40.229637	9.039486	8.541720	8.842074	5.943100	11.814939	12.322783	13.853496	20.233732	23.641071	27.077307	13.507637	13.507663	13.507675	13.507737	12.809626	11.356585	10.376167	0.522334	0.193567	0.201904	0.208635	0.692154	0.693719	0.663119	1.000033	0.199359	0.208716	0.204850	0.085810	0.064297	0.042326	
0.450000	90.749295	60.124755	55.771414	40.086776	8.001766	8.067076	8.632888	5.581819	11.462763	12.012944	13.525065	19.345261	23.216393	27.025957	13.515043	13.515067	13.515078	13.515137	12.817023	11.363979	10.383559	0.536279	0.197901	0.206494	0.210711	0.725895	0.708911	0.668072	1.026842	0.195352	0.203372	0.206073	0.089619	0.065295	0.042229	
0.500000	95.781867	62.502050	57.610767	41.276974	10.177439	8.879160	9.107500	5.765703	11.274104	11.736959	13.645967	19.153000	22.739283	26.267891	13.522535	13.522558	13.522569	13.522628	12.824515	11.371471	10.391051	0.527900	0.194626	0.204399	0.202985	0.677902	0.692909	0.661861	1.264888	0.207880	0.212791	0.205250	0.091081	0.066769	0.043406	
0.550000	98.115203	63.961129	59.121503	42.358255	11.058377	9.103836	9.291590	5.688170	10.887308	11.254614	13.148599	18.871887	22.439909	25.969074	13.530078	13.530104	13.530116	13.530179	12.832072	11.379034	10.398620	0.530884	0.195773	0.206152	0.203229	0.662471	0.689952	0.659220	1.411600	0.219721	0.224700	0.211763	0.092592	0.067591	0.043792	
0.600000	98.162707	63.115306	57.996400	41.906209	11.759906	8.870793	9.051933	5.680067	10.854043	11.256208	13.342289	18.727839	22.009539	25.532866	13.537642	13.537672	13.537686	13.537759	12.839665	11.386637	10.406235	0.529683	0.195135	0.205701	0.199974	0.649854	0.699009	0.668017	1.418306	0.212709	0.216605	0.205795	0.093321	0.068774	0.044378	
0.650000	101.851241	64.784481	59.833338	43.593467	11.782579	8.383720	8.870152	5.425019	10.483305	10.875102	13.140255	18.379515	21.353466	24.968153	13.545194	13.545230	13.545247	13.545335	12.847259	11.394248	10.413863	0.542349	0.196114	0.205815	0.195062	0.652962	0.716420	0.676683	1.695873	0.226387	0.229265	0.210418	0.094928	0.070774	0.045249	
0.700000	98.323647	63.112580	58.432603	43.716930	12.787375	9.878281	9.744607	5.462525	10.524308	10.866251	13.080487	18.131166	20.770302	24.193539	13.552697	13.552741	13.552761	13.552867	12.854814	11.401822	10.421458	0.536456	0.195537	0.206011	0.193128	0.636923	0.687878	0.662405	1.414736	0.213017	0.219767	0.209068	0.096426	0.073105	0.046743	
0.750000	94.181151	62.569437	58.349097	45.007818	14.044018	11.145719	10.459261	5.477643	10.590158	10.873171	13.079657	18.238823	21.058187	24.184088	13.560162	13.560214	13.560238	13.560361	12.862329	11.409355	10.429010	0.532290	0.193155	0.203776	0.187336	0.613169	0.658076	0.645918	1.175155	0.206587	0.216844	0.210289	0.095986	0.072165	0.046710	
0.800000	96.024352	62.935965	58.811501	46.182512	14.405776	10.830177	9.888849	5.368648	10.492422	10.753256	12.947721	18.454866	21.689320	24.866302	13.567623	13.567679	13.567705	13.567837	12.869817	11.416854	10.436519	0.536472	0.191936	0.202513	0.183569	0.603471	0.657094	0.651377	1.268556	0.207850	0.218581	0.212947	0.094506	0.069597	0.045110	
0.850000	90.469298	61.296884	57.349875	45.660409	14.185951	10.245759	9.306012	5.430379	10.620044	10.852316	13.000717	18.580532	21.981283	25.152454	13.575046	13.575101	13.575127	13.575257	12.877234	11.424267	10.443930	0.530768	0.190285	0.201361	0.182013	0.604429	0.665654	0.661558	1.017110	0.194967	0.207818	0.208152	0.093272	0.068229	0.044325	
0.900000	88.235519	60.864260	57.094658	45.691660	14.333396	9.570384	8.191639	5.472749	10.587831	10.792973	12.950644	18.468611	21.964695	25.129461	13.582373	13.582423	13.582445	13.582562	12.884520	11.431539	10.451185	0.527410	0.189299	0.200497	0.180271	0.602437	0.680013	0.688780	0.939711	0.191176	0.205319	0.206372	0.093524	0.067909	0.044073	
0.950000	91.228624	61.710411	57.549214	44.883936	14.707503	9.518989	7.907774	5.574366	10.476906	10.694185	13.093694	18.534185	22.071852	25.362915	13.589614	13.589655	13.589674	13.589771	12.891704	11.438701	10.458324	0.521208	0.187607	0.198979	0.178499	0.594501	0.679543	0.693753	1.048012	0.194907	0.206610	0.199830	0.092902	0.067351	0.043499	
1.000000	89.922480	61.756829	57.865219	45.217546	15.412785	9.535470	7.251573	5.442773	10.461819	10.719687	13.240275	18.710215	22.271048	25.756020	13.596750	13.596782	13.596797	13.596874	12.898783	11.445758	10.465359	0.525511	0.185716	0.195903	0.173870	0.580040	0.676630	0.708088	0.997166	0.193244	0.205418	0.196587	0.091837	0.066519	0.042628	
1.050000	87.223954	58.445061	54.314959	42.695936	14.217215	8.970871	6.300920	4.959906	10.456809	10.872717	13.476442	18.402061	22.061890	25.896864	13.603748	13.603773	13.603785	13.603846	12.905734	11.452692	10.472275	0.547355	0.188805	0.198101	0.175714	0.601966	0.691157	0.734698	0.914626	0.176132	0.186496	0.184934	0.092480	0.066876	0.042208	
1.100000	88.924309	58.975856	54.474747	42.220551	13.772925	8.944169	6.048834	5.393201	10.631000	11.033883	13.530971	18.386396	22.108681	25.970007	13.610529	13.610549	13.610558	13.610607	12.912479	11.459424	10.478993	0.524930	0.183492	0.193398	0.174315	0.608590	0.690841	0.741797	0.961935	0.174108	0.182905	0.180983	0.091945	0.066549	0.042013	
1.150000	85.963771	57.499333	52.950341	40.555051	11.577911	8.122002	6.681915	5.359520	10.752581	11.179244	13.419811	18.205770	21.988699	25.777216	13.617032	13.617048	13.617056	13.617098	12.918962	11.465900	10.485461	0.525530	0.182210	0.192323	0.178178	0.649755	0.711540	0.723677	0.870760	0.164818	0.173742	0.176279	0.091661	0.066612	0.042355	
1.200000	84.999874	57.265450	52.750821	39.356438	10.006538	7.378699	6.711128	5.290272	10.598968	10.993934	13.362941	18.607559	22.246967	25.830324	13.623233	13.623250	13.623258	13.623299	12.925162	11.472100	10.491660	0.527582	0.182800	0.193278	0.180418	0.676379	0.728070	0.722103	0.845595	0.164168	0.173621	0.172354	0.088692	0.065539	0.042200	
1.250000	82.325718	56.165236	51.703333	39.243303	9.348734	6.587041	6.064221	5.393867	10.882227	11.319218	13.359249	18.203562	22.006323	25.731997	13.629141	13.629160	13.629169	13.629215	12.931084	11.478027	10.497592	0.522543	0.178862	0.188958	0.178815	0.695081	0.751645	0.742339	0.776951	0.155033	0.164432	0.170248	0.090393	0.066095	0.042244	
1.300000	79.925262	55.950635	51.665480	39.186677	7.909010	5.810632	6.006101	5.460179	10.918875	11.327604	13.012949	17.567699	21.611683	25.572781	13.634721	13.634743	13.634753	13.634804	12.936679	11.483627	10.503199	0.519597	0.176852	0.186928	0.180874	0.735657	0.777282	0.745188	0.722979	0.152254	0.162479	0.171951	0.093375	0.067240	0.042474	
1.350000	79.883461	54.858683	50.143202	37.243037	6.439701	5.428648	6.513039	5.700864	11.060830	11.478854	13.182419	17.783371	21.786697	25.725309	13.639904	13.639927	13.639937	13.639990	12.941867	11.488818	10.508391	0.507307	0.175017	0.186209	0.183407	0.771161	0.787408	0.728236	0.712086	0.145547	0.154656	0.164571	0.091727	0.066600	0.042219	
1.400000	80.708664	54.965766	50.175376	36.679017	5.439699	5.420801	6.836508	5.511151	10.762243	11.149245	12.787062	17.494188	21.773270	25.856600	13.644644	13.644665	13.644674	13.644723	12.946595	11.493542	10.513112	0.513503	0.176938	0.188611	0.188068	0.802085	0.787662	0.717286	0.734333	0.147782	0.156951	0.166019	0.093194	0.066605	0.041966	
