HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjFl    B_0_N_0	BkNjFl    B_0_N_4	BkNjFl    B_0_N_5	BkNjFl    B_0_N_9	BkNjFl    B_0_N_13	BkNjFl    B_0_N_16	BkNjFl    B_0_N_18	BkNjFd    B_0_N_0	BkNjFd    B_0_N_4	BkNjFd    B_0_N_5	BkNjFd    B_0_N_9	BkNjFd    B_0_N_13	BkNjFd    B_0_N_16	BkNjFd    B_0_N_18	BkNjMm    B_0_N_0	BkNjMm    B_0_N_4	BkNjMm    B_0_N_5	BkNjMm    B_0_N_9	BkNjMm    B_0_N_13	BkNjMm    B_0_N_16	BkNjMm    B_0_N_18	
(s)	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N/m)     	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	(N-m/m)   	
0.000000	0.000000	0.000000	0.000000	0.000000	-6801.015418	-7186.566442	-11134.631636	34.518503	184.279982	195.111151	189.327648	728.899285	666.788622	1013.581385	0.000000	8.636918	15.223158	-1.580718	4107.248562	3633.459509	5338.730069	
0.050000	0.000000	0.000000	0.000000	0.000000	239.464544	307.547738	313.724934	34.372288	181.975686	194.195851	194.077780	12.473630	16.882833	20.857387	0.000000	8.641277	15.361805	-1.660886	-253.007535	-320.517361	-343.080167	
0.100000	0.000000	0.000000	0.000000	0.000000	242.088065	306.806095	320.935197	32.984838	179.143603	192.414738	191.552477	12.001804	16.538544	20.541951	0.000000	8.462785	15.148404	-1.665413	-252.140827	-317.929092	-346.212833	
0.150000	0.000000	0.000000	0.000000	0.000000	231.640168	286.807317	295.934165	29.907745	173.467276	187.973231	184.093479	11.356093	15.833506	20.056851	0.000000	8.020535	14.518505	-1.615594	-240.495169	-299.435798	-325.910217	
0.200000	0.000000	0.000000	0.000000	0.000000	213.117194	250.864904	261.647996	27.932620	156.044482	172.045903	177.743068	11.142116	15.821987	20.391899	0.000000	7.198553	13.211583	-1.555239	-225.414730	-273.706381	-304.047493	
0.250000	0.000000	0.000000	0.000000	0.000000	80.198367	-17.802887	-33.017064	29.876493	153.141598	169.794540	180.879372	13.825987	22.495749	28.498996	0.000000	7.229451	13.386897	-1.592645	-142.404449	-112.901641	-135.370442	
0.300000	0.000000	0.000000	0.000000	0.000000	-5.923869	-191.209714	-152.992175	32.192475	160.147254	178.028473	181.440137	15.806492	28.479929	32.145309	0.000000	7.522234	14.036607	-1.615375	-84.334124	-3.351612	-63.343125	
0.350000	0.000000	0.000000	0.000000	0.000000	-199.469757	-342.068756	-134.009666	35.577335	160.498654	179.079444	179.874306	23.674145	36.089784	30.653590	0.000000	7.550910	14.094166	-1.570325	44.291814	96.283775	-69.575753	
0.400000	0.000000	0.000000	0.000000	0.000000	-382.417493	-335.486790	-48.935845	38.313409	159.713387	179.759559	177.880336	22.130695	35.566244	28.193134	0.000000	7.471074	14.078378	-1.519525	143.664606	93.254974	-121.356376	
0.450000	0.000000	0.000000	0.000000	0.000000	-383.934220	-415.828504	-110.691521	33.796845	150.333902	170.833595	169.546156	22.922175	33.527702	29.905553	0.000000	6.886949	12.983098	-1.440781	147.842946	137.631573	-83.352637	
0.500000	0.000000	0.000000	0.000000	0.000000	-197.226886	-240.154695	21.637259	36.060284	145.426113	163.074317	172.590864	22.285363	29.134124	24.544653	0.000000	6.916834	12.823128	-1.526870	51.519795	41.464981	-155.238177	
0.550000	0.000000	0.000000	0.000000	0.000000	-59.910426	-187.839472	67.761426	35.096989	135.618627	149.946233	160.238968	15.375986	25.900456	22.620330	0.000000	6.590436	12.106070	-1.467828	-37.580602	11.006316	-179.978295	
