HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	BkNjVUndx B_0_N_0	BkNjVUndx B_0_N_4	BkNjVUndx B_0_N_5	BkNjVUndx B_0_N_9	BkNjVUndx B_0_N_13	BkNjVUndx B_0_N_16	BkNjVUndx B_0_N_18	BkNjVUndy B_0_N_0	BkNjVUndy B_0_N_4	BkNjVUndy B_0_N_5	BkNjVUndy B_0_N_9	BkNjVUndy B_0_N_13	BkNjVUndy B_0_N_16	BkNjVUndy B_0_N_18	BkNjVUndz B_0_N_0	BkNjVUndz B_0_N_4	BkNjVUndz B_0_N_5	BkNjVUndz B_0_N_9	BkNjVUndz B_0_N_13	BkNjVUndz B_0_N_16	BkNjVUndz B_0_N_18	BkNjVDisx B_0_N_0	BkNjVDisx B_0_N_4	BkNjVDisx B_0_N_5	BkNjVDisx B_0_N_9	BkNjVDisx B_0_N_13	BkNjVDisx B_0_N_16	BkNjVDisx B_0_N_18	BkNjVDisy B_0_N_0	BkNjVDisy B_0_N_4	BkNjVDisy B_0_N_5	BkNjVDisy B_0_N_9	BkNjVDisy B_0_N_13	BkNjVDisy B_0_N_16	BkNjVDisy B_0_N_18	BkNjVDisz B_0_N_0	BkNjVDisz B_0_N_4	BkNjVDisz B_0_N_5	BkNjVDisz B_0_N_9	BkNjVDisz B_0_N_13	BkNjVDisz B_0_N_16	BkNjVDisz B_0_N_18	BkNjSTVx  B_0_N_0	BkNjSTVx  B_0_N_4	BkNjSTVx  B_0_N_5	BkNjSTVx  B_0_N_9	BkNjSTVx  B_0_N_13	BkNjSTVx  B_0_N_16	BkNjSTVx  B_0_N_18	BkNjSTVy  B_0_N_0	BkNjSTVy  B_0_N_4	BkNjSTVy  B_0_N_5	BkNjSTVy  B_0_N_9	BkNjSTVy  B_0_N_13	BkNjSTVy  B_0_N_16	BkNjSTVy  B_0_N_18	BkNjSTVz  B_0_N_0	BkNjSTVz  B_0_N_4	BkNjSTVz  B_0_N_5	BkNjSTVz  B_0_N_9	BkNjSTVz  B_0_N_13	BkNjSTVz  B_0_N_16	BkNjSTVz  B_0_N_18	BPitch    B_0	BAzimuth  B_0	
(s)	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(deg)     	(deg)     	
0.000000	13.113750	14.029114	13.755398	11.677638	12.053024	13.617724	13.807463	1.969527	1.673234	1.678660	1.872428	2.098777	2.285702	1.424427	0.441372	-1.152604	-1.327608	-1.460653	-0.878815	-0.068242	0.271684	13.113750	14.029114	13.755398	11.677638	12.053024	13.617724	13.807463	3.868381	7.622782	8.894098	14.152986	19.441336	23.425936	26.363892	0.441372	-1.152604	-1.327608	-1.460653	-0.878815	-0.068242	0.271684	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-1.898855	-5.949548	-7.215438	-12.280558	-17.342560	-21.140234	-24.939465	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	12.981038	13.999929	13.784589	11.930140	12.302971	13.734914	13.872725	1.626712	1.407527	1.463183	1.878023	1.775747	1.483888	0.724644	0.485249	-0.717421	-0.866917	-1.077264	-0.803135	-0.380288	-0.045742	13.009264	14.030827	13.815967	11.960563	12.326448	13.748308	13.870710	3.539415	7.355693	8.672697	14.136045	19.082298	22.580357	25.614828	0.490419	-0.712270	-0.861784	-1.072265	-0.798358	-0.375747	-0.041530	-0.028226	-0.030897	-0.031378	-0.030422	-0.023478	-0.013394	0.002015	-1.912703	-5.948166	-7.209514	-12.258023	-17.306551	-21.096468	-24.890184	-0.005170	-0.005151	-0.005133	-0.005000	-0.004776	-0.004541	-0.004212	0.000000	3.622605	
0.100000	12.701053	13.838339	13.672125	11.926521	12.329824	13.718803	13.962631	1.375759	1.510509	1.579968	1.795286	1.600887	1.446036	0.785416	0.652364	-0.323046	-0.516881	-1.092568	-0.968473	-0.576691	-0.237582	12.744041	13.886964	13.721581	11.972323	12.356634	13.718183	13.920485	3.258624	7.383275	8.700800	13.917837	18.737818	22.356859	25.482935	0.662174	-0.313427	-0.507404	-1.084179	-0.962125	-0.572505	-0.236088	-0.042989	-0.048625	-0.049456	-0.045802	-0.026810	0.000621	0.042146	-1.882864	-5.872766	-7.120831	-12.122551	-17.136930	-20.910824	-24.697519	-0.009810	-0.009619	-0.009477	-0.008389	-0.006347	-0.004186	-0.001494	0.000000	7.211977	
0.150000	12.086154	13.470573	13.384616	11.745715	12.066233	13.310000	13.607984	1.461915	1.792339	1.819323	1.570777	1.258448	1.137839	0.590641	0.917840	-0.118512	-0.355087	-1.157213	-1.050180	-0.520851	-0.153468	12.135008	13.523169	13.437160	11.788931	12.079788	13.283562	13.522484	3.332347	7.604779	8.865720	13.568169	18.230785	21.862999	25.089445	0.921828	-0.115151	-0.352174	-1.157730	-1.057179	-0.534724	-0.175801	-0.048854	-0.052595	-0.052543	-0.043215	-0.013555	0.026439	0.085500	-1.870432	-5.812440	-7.046397	-11.997391	-16.972338	-20.725161	-24.498804	-0.003988	-0.003361	-0.002913	0.000517	0.006999	0.013872	0.022334	0.000000	10.745279	
0.200000	11.680790	12.767151	12.776427	11.540429	11.675391	12.642525	13.020110	1.046639	1.431271	1.513435	1.378022	1.077592	1.091748	0.776331	0.894138	0.108983	-0.134142	-1.064376	-1.135102	-0.883148	-0.637096	11.727119	12.813036	12.820950	11.570278	11.670131	12.593185	12.907579	2.930470	7.245170	8.557486	13.357338	18.015175	21.768917	25.213224	0.886936	0.100608	-0.143348	-1.079921	-1.162620	-0.923365	-0.692899	-0.046330	-0.045885	-0.044522	-0.029849	0.005260	0.049339	0.112531	-1.883831	-5.813899	-7.044050	-11.979316	-16.937582	-20.677170	-24.436893	0.007202	0.008375	0.009206	0.015545	0.027518	0.040217	0.055802	0.000000	14.253928	
0.250000	11.824316	12.778190	12.835546	11.619617	11.431239	12.212247	12.606620	0.936514	1.060493	1.147534	1.339674	1.393745	1.636238	1.559122	0.942231	0.301956	0.077391	-0.774321	-0.853079	-0.825115	-0.855215	11.865418	12.820329	12.876898	11.649274	11.430784	12.173656	12.513203	2.835883	6.910230	8.232873	13.376245	18.393072	22.369865	26.039036	0.930292	0.288431	0.062745	-0.797529	-0.892448	-0.881603	-0.932683	-0.041102	-0.042139	-0.041352	-0.029658	0.000455	0.038590	0.093417	-1.899368	-5.849737	-7.085339	-12.036572	-16.999327	-20.733627	-24.479914	0.011939	0.013525	0.014646	0.023208	0.039370	0.056489	0.077469	0.000000	17.778171	
0.300000	11.991493	12.942203	13.038909	11.655100	11.175535	11.847960	12.362967	1.107816	1.175383	1.221840	1.193460	1.163889	1.557555	1.605754	0.669388	-0.068361	-0.266454	-0.512746	-0.242978	-0.534142	-0.701185	12.025012	12.981139	13.078559	11.689850	11.189302	11.832978	12.305324	3.028852	7.068417	8.356239	13.295624	18.232536	22.353624	26.132126	0.654024	-0.085459	-0.284782	-0.540482	-0.288484	-0.598430	-0.788486	-0.033518	-0.038937	-0.039650	-0.034750	-0.013767	0.014982	0.057644	-1.921036	-5.893034	-7.134399	-12.102164	-17.068647	-20.796070	-24.526373	0.015364	0.017098	0.018328	0.027737	0.045506	0.064289	0.087301	0.000000	21.326471	
0.350000	12.247842	12.938603	13.029890	11.484278	10.756308	11.509470	12.288216	0.879812	1.118518	1.208579	1.180314	1.179588	1.283974	1.162251	0.736426	0.007650	-0.197223	-0.559066	-0.246231	-0.634616	-0.878828	12.267905	12.964100	13.056243	11.507241	10.762159	11.491765	12.235515	2.817980	7.032043	8.363947	13.301588	18.258080	22.077333	25.668079	0.710564	-0.019873	-0.225936	-0.596900	-0.301316	-0.707905	-0.974447	-0.020064	-0.025496	-0.026353	-0.022963	-0.005852	0.017705	0.052701	-1.938169	-5.913525	-7.155368	-12.121274	-17.078491	-20.793360	-24.505829	0.025862	0.027523	0.028713	0.037834	0.055085	0.073289	0.095619	0.000000	24.882363	
0.400000	12.440178	12.861853	13.001274	11.310568	10.348953	11.508784	12.429811	0.881843	1.167700	1.265276	1.221653	1.384811	1.248014	1.253878	0.458490	-0.216074	-0.376822	-0.689138	-0.336691	-0.612889	-0.781698	12.441957	12.864709	13.003798	11.306189	10.326664	11.464642	12.354775	2.813073	7.061205	8.396448	13.301416	18.403255	21.966465	25.669050	0.419829	-0.256231	-0.418064	-0.738741	-0.402152	-0.695065	-0.884434	-0.001779	-0.002856	-0.002524	0.004380	0.022289	0.044143	0.075036	-1.931230	-5.893505	-7.131172	-12.079763	-17.018444	-20.718451	-24.415173	0.038661	0.040157	0.041241	0.049603	0.065461	0.082175	0.102736	0.000000	28.433762	
