HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.AeroL @CopyRight 赵子祯
Time	RtArea    	RtAeroCp  	RtAeroCq  	RtAeroCt  	
(s)	(m^2)     	(-)       	(-)       	(-)       	
0.000000	12468.981589	0.266578	-0.042492	-0.745257	
0.050000	12468.981589	0.002539	-0.000401	0.044377	
0.100000	12468.981589	0.002652	-0.000414	0.045958	
0.150000	12468.981589	0.003206	-0.000476	0.049665	
0.200000	12468.981589	0.003671	-0.000535	0.049742	
0.250000	12468.981589	0.001002	-0.000148	0.054542	
0.300000	12468.981589	0.000266	0.000039	0.050999	
0.350000	12468.981589	0.001641	0.000251	0.042378	
0.400000	12468.981589	0.004886	0.000770	0.042806	
0.450000	12468.981589	0.012272	0.001882	0.066848	
0.500000	12468.981589	0.015993	0.002479	0.074108	
0.550000	12468.981589	0.018003	0.002795	0.073080	
0.600000	12468.981589	0.020151	0.003165	0.075915	
0.650000	12468.981589	0.030704	0.004698	0.097777	
0.700000	12468.981589	0.040564	0.006345	0.113670	
0.750000	12468.981589	0.057919	0.009144	0.132540	
0.800000	12468.981589	0.068537	0.010584	0.148131	
0.850000	12468.981589	0.066933	0.010432	0.147005	
0.900000	12468.981589	0.065019	0.010180	0.145096	
0.950000	12468.981589	0.063715	0.010083	0.140179	
1.000000	12468.981589	0.059557	0.009319	0.130070	
1.050000	12468.981589	0.057507	0.008574	0.121890	
1.100000	12468.981589	0.049074	0.007697	0.102500	
1.150000	12468.981589	0.052215	0.008176	0.100943	
1.200000	12468.981589	0.054754	0.008603	0.112220	
1.250000	12468.981589	0.051680	0.008192	0.116442	
1.300000	12468.981589	0.049212	0.007847	0.115801	
1.350000	12468.981589	0.047839	0.007810	0.110177	
1.400000	12468.981589	0.051952	0.008295	0.113066	
1.450000	12468.981589	0.061596	0.009786	0.128308	
1.500000	12468.981589	0.066590	0.010696	0.136417	
1.550000	12468.981589	0.074118	0.011587	0.152626	
1.600000	12468.981589	0.076839	0.011939	0.157819	
1.650000	12468.981589	0.085775	0.013204	0.180433	
1.700000	12468.981589	0.092760	0.013872	0.197123	
1.750000	12468.981589	0.087673	0.013406	0.192933	
1.800000	12468.981589	0.080271	0.012649	0.181317	
1.850000	12468.981589	0.071862	0.011694	0.167018	
1.900000	12468.981589	0.070993	0.011551	0.163552	
1.950000	12468.981589	0.075717	0.012281	0.169681	
2.000000	12468.981589	0.081114	0.013362	0.172692	
2.050000	12468.981589	0.088713	0.014799	0.172125	
