HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.ControL @CopyRight 赵子祯
Time	HSSBrTqC  	YawMomCom 	
(s)	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	
0.050000	0.000000	-675324.109848	
0.100000	0.000000	177403.911386	
0.150000	0.000000	1372269.894259	
0.200000	0.000000	108800.068572	
0.250000	0.000000	492514.326236	
0.300000	0.000000	1261702.032587	
0.350000	0.000000	1229547.622113	
0.400000	0.000000	805013.237858	
0.450000	0.000000	580927.263908	
0.500000	0.000000	294039.048261	
0.550000	0.000000	-12364.759942	
0.600000	0.000000	-77329.038984	
0.650000	0.000000	62016.501076	
0.700000	0.000000	69563.582697	
0.750000	0.000000	182320.780165	
0.800000	0.000000	533687.769844	
0.850000	0.000000	801105.124955	
0.900000	0.000000	813164.970104	
0.950000	0.000000	952303.740156	
1.000000	0.000000	1028591.102025	
1.050000	0.000000	1272101.368900	
1.100000	0.000000	1559665.648434	
1.150000	0.000000	1897241.030929	
1.200000	0.000000	2046799.068943	
1.250000	0.000000	2134846.617049	
1.300000	0.000000	2093059.269186	
1.350000	0.000000	2023483.824782	
1.400000	0.000000	1808215.226356	
1.450000	0.000000	1760455.705496	
1.500000	0.000000	1539099.250377	
1.550000	0.000000	1233178.811272	
1.600000	0.000000	1153782.760921	
1.650000	0.000000	850523.149277	
1.700000	0.000000	632917.763257	
1.750000	0.000000	582672.470838	
1.800000	0.000000	680272.629726	
1.850000	0.000000	920509.279686	
1.900000	0.000000	1093138.018398	
1.950000	0.000000	1006101.721904	
2.000000	0.000000	793575.605613	
2.050000	0.000000	549460.519817	
2.100000	0.000000	215208.120951	
2.150000	0.000000	-238701.592318	
2.200000	0.000000	-771333.242709	
2.250000	0.000000	-975640.649609	
2.300000	0.000000	-1267082.906962	
2.350000	0.000000	-1154551.368116	
2.400000	0.000000	-875657.655546	
2.450000	0.000000	-668912.624551	
2.500000	0.000000	-541079.886287	
2.550000	0.000000	-571636.737464	
2.600000	0.000000	-683101.647775	
2.650000	0.000000	-833186.809350	
2.700000	0.000000	-1042545.520041	
2.750000	0.000000	-1269340.587299	
2.800000	0.000000	-1376279.272583	
2.850000	0.000000	-1220308.414108	
2.900000	0.000000	-1057491.120285	
2.950000	0.000000	-1015169.824520	
3.000000	0.000000	-1019662.132777	
3.050000	0.000000	-920236.775956	
3.100000	0.000000	-977549.456706	
3.150000	0.000000	-918931.492823	
3.200000	0.000000	-746896.273503	
3.250000	0.000000	-761346.683884	
3.300000	0.000000	-657938.393647	
3.350000	0.000000	-676873.002979	
3.400000	0.000000	-803954.590748	
3.450000	0.000000	-649010.592107	
3.500000	0.000000	-347273.513021	
3.550000	0.000000	-241383.886252	
3.600000	0.000000	-177095.028945	
3.650000	0.000000	28827.950121	
3.700000	0.000000	-152633.837252	
3.750000	0.000000	-568905.564394	
3.800000	0.000000	-992853.228923	
3.850000	0.000000	-1572623.058339	
3.900000	0.000000	-2094467.571485	
3.950000	0.000000	-2229433.666726	
4.000000	0.000000	-2212018.690055	
4.050000	0.000000	-1993389.001949	
4.100000	0.000000	-1908964.383776	
4.150000	0.000000	-1874113.263504	
4.200000	0.000000	-1911406.315696	
4.250000	0.000000	-1979185.701778	
4.300000	0.000000	-2102124.552427	
4.350000	0.000000	-2042705.093970	
4.400000	0.000000	-1978341.210363	
4.450000	0.000000	-1917328.890199	
4.500000	0.000000	-1776196.229816	
4.550000	0.000000	-1431682.942902	
4.600000	0.000000	-1140811.746947	
4.650000	0.000000	-908367.909393	
4.700000	0.000000	-802341.629035	
4.750000	0.000000	-871796.953246	
4.800000	0.000000	-1045799.886304	
4.850000	0.000000	-1149695.744131	
4.900000	0.000000	-1257845.786000	
4.950000	0.000000	-1261603.686073	
5.000000	0.000000	-1177479.800691	
5.050000	0.000000	-1128067.250780	
5.100000	0.000000	-1222854.329882	
5.150000	0.000000	-1265448.256060	
5.200000	0.000000	-1244622.196183	
5.250000	0.000000	-1199196.707300	
5.300000	0.000000	-1132557.765783	
5.350000	0.000000	-757022.151342	
5.400000	0.000000	-461825.888192	
5.450000	0.000000	-267268.283733	
5.500000	0.000000	158715.554035	
5.550000	0.000000	407215.262183	
5.600000	0.000000	465732.956470	
5.650000	0.000000	405019.029857	
5.700000	0.000000	310036.611494	
5.750000	0.000000	-129036.284177	
5.800000	0.000000	-731916.693190	
5.850000	0.000000	-1237832.768386	
5.900000	0.000000	-1524462.941044	
5.950000	0.000000	-1801583.714657	
6.000000	0.000000	-1721848.310370	
6.050000	0.000000	-1548685.271923	
6.100000	0.000000	-1404858.295916	
6.150000	0.000000	-1225362.201115	
6.200000	0.000000	-1268108.950265	
6.250000	0.000000	-1143342.122316	
6.300000	0.000000	-1088194.538584	
6.350000	0.000000	-1015486.728488	
6.400000	0.000000	-869413.172970	
6.450000	0.000000	-712832.734093	
6.500000	0.000000	-535514.760912	
6.550000	0.000000	-271794.951249	
6.600000	0.000000	-25640.963744	
6.650000	0.000000	251451.747761	
6.700000	0.000000	592887.486148	
6.750000	0.000000	699501.874935	
6.800000	0.000000	735620.642923	
6.850000	0.000000	729978.762394	
6.900000	0.000000	540346.921441	
6.950000	0.000000	457727.003891	
7.000000	0.000000	517032.282247	
7.050000	0.000000	418398.105621	
7.100000	0.000000	401917.414386	
7.150000	0.000000	407614.923648	
7.200000	0.000000	303964.260077	
7.250000	0.000000	312887.762941	
7.300000	0.000000	320807.733364	
7.350000	0.000000	378060.144051	
7.400000	0.000000	477668.392271	
7.450000	0.000000	389061.092006	
7.500000	0.000000	255622.962893	
7.550000	0.000000	-25405.416030	
7.600000	0.000000	-238389.504228	
7.650000	0.000000	-510596.871254	
7.700000	0.000000	-760373.213663	
7.750000	0.000000	-1033228.018029	
7.800000	0.000000	-1461873.848656	
7.850000	0.000000	-1836755.462290	
7.900000	0.000000	-2072748.400502	
7.950000	0.000000	-2284838.830679	
