HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	HydroFxi  	HydroFyi  	HydroFzi  	HydroMxi  	HydroMyi  	HydroMzi  	MoorFxi   	MoorFyi   	MoorFzi   	MoorMxi   	MoorMyi   	MoorMzi   	
(s)	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	
0.000000	-0.078687	0.000000	79102.468375	0.000000	5.384306	0.000000	-0.078687	0.000000	-1605.631625	0.000000	5.384306	0.000000	
0.050000	-0.011506	0.007161	79102.686474	0.605043	0.303182	0.099956	-0.011707	0.007158	-1605.406966	0.472027	0.954293	0.099956	
0.100000	-0.068543	0.034089	79102.913726	4.654903	3.493739	0.266891	-0.068551	0.034034	-1605.162507	2.202318	4.740247	0.266891	
0.150000	-0.088628	-0.057254	79103.186257	-1.704580	4.460826	0.456840	-0.088626	-0.057079	-1604.867371	-3.836506	6.081168	0.456840	
0.200000	-0.099780	-0.224969	79103.485524	-24.157039	6.105731	0.883294	-0.099765	-0.222219	-1604.541585	-14.524912	6.799237	0.883294	
0.250000	-0.088331	-0.364861	79103.805278	-57.564332	6.094840	1.359158	-0.088330	-0.357302	-1604.194720	-22.914100	6.023264	1.359158	
0.300000	-0.066927	-0.444104	79104.132251	-96.175089	3.656734	1.969221	-0.066946	-0.432441	-1603.843381	-27.108755	4.629086	1.969221	
0.350000	-0.061202	-0.527054	79104.438218	-141.737168	0.692117	2.830157	-0.061241	-0.510463	-1603.518566	-31.335930	4.312646	2.830157	
0.400000	-0.075589	-0.627627	79104.694607	-196.275184	-0.716898	3.921531	-0.075593	-0.603976	-1603.250778	-36.404534	5.322242	3.921531	
0.450000	-0.095275	-0.673867	79104.905663	-253.944987	-0.560363	5.164883	-0.095267	-0.646507	-1603.036578	-37.934341	6.656493	5.164883	
0.500000	-0.090732	-0.633197	79105.089774	-304.960907	-2.094528	6.507356	-0.090734	-0.611331	-1602.857165	-34.336659	6.386392	6.507356	
0.550000	-0.055935	-0.565189	79105.247502	-343.796569	-8.470388	7.883546	-0.056110	-0.553004	-1602.710830	-29.448964	4.187020	7.883546	
0.600000	-0.025442	-0.533505	79105.367898	-371.567502	-18.030292	9.236825	-0.025869	-0.527611	-1602.606794	-27.059622	2.360909	9.236825	
0.650000	-0.030230	-0.533801	79105.438973	-391.807052	-26.120454	10.558596	-0.030540	-0.530437	-1602.555190	-26.768085	2.872026	10.558596	
