HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	PRPSurge  	PRPSway   	PRPHeave  	PRPRoll   	PRPPitch  	PRPYaw    	PRPTVxi   	PRPTVyi   	PRPTVzi   	PRPRVxi   	PRPRVyi   	PRPRVzi   	PRPTAxi   	PRPTAyi   	PRPTAzi   	PRPRAxi   	PRPRAyi   	PRPRAzi   	
(s)	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	(m/s)     	(m/s)     	(m/s)     	(deg/s)   	(deg/s)   	(deg/s)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg/s^2) 	(deg/s^2) 	(deg/s^2) 	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-0.000011	-0.000002	0.000020	0.000002	-0.000007	-0.000161	-0.001654	-0.000188	0.000597	0.000126	-0.001125	-0.045545	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.100000	-0.000021	-0.000042	0.000071	0.000028	-0.000014	-0.001085	-0.000348	-0.000843	0.001171	0.000558	-0.000242	-0.015339	-0.005482	-0.004576	0.013552	0.003068	-0.003771	-0.358255	
0.150000	-0.000026	-0.000038	0.000139	0.000024	-0.000019	-0.001889	0.000142	0.001584	0.001511	-0.001103	0.000084	-0.022627	-0.004462	-0.010845	0.010219	0.007156	-0.003081	0.069486	
0.200000	-0.000009	0.000157	0.000219	-0.000110	-0.000008	-0.003722	0.000421	0.006176	0.001645	-0.004235	0.000263	-0.033674	0.009685	0.035564	0.007067	-0.024439	0.006441	-0.151000	
0.250000	0.000006	0.000575	0.000300	-0.000396	0.000001	-0.005756	0.000078	0.010220	0.001575	-0.006994	0.000015	-0.051695	0.009647	0.092687	0.002827	-0.063223	0.006332	-0.315710	
0.300000	-0.000008	0.001151	0.000374	-0.000790	-0.000011	-0.008452	-0.000603	0.012689	0.001323	-0.008680	-0.000465	-0.063663	-0.004360	0.094586	-0.001418	-0.064497	-0.003258	-0.215505	
0.350000	-0.000048	0.001842	0.000430	-0.001263	-0.000041	-0.012247	-0.000849	0.015112	0.000924	-0.010321	-0.000654	-0.083783	-0.015247	0.056406	-0.005181	-0.038496	-0.010718	-0.281129	
0.400000	-0.000082	0.002672	0.000464	-0.001829	-0.000069	-0.017096	-0.000466	0.017994	0.000439	-0.012254	-0.000417	-0.106857	-0.009048	0.039996	-0.008137	-0.027113	-0.006565	-0.440373	
0.450000	-0.000094	0.003617	0.000474	-0.002471	-0.000083	-0.022741	-0.000094	0.019288	-0.000055	-0.013089	-0.000188	-0.121836	0.006409	0.051199	-0.009904	-0.034318	0.003887	-0.441243	
0.500000	-0.000105	0.004543	0.000460	-0.003098	-0.000097	-0.028966	-0.000566	0.017157	-0.000498	-0.011580	-0.000532	-0.128496	0.010697	0.034660	-0.010164	-0.022647	0.006778	-0.297865	
0.550000	-0.000164	0.005291	0.000426	-0.003601	-0.000145	-0.035468	-0.001814	0.012680	-0.000851	-0.008462	-0.001399	-0.130110	-0.004865	-0.031366	-0.009071	0.022564	-0.003775	-0.158145	
0.600000	-0.000282	0.005816	0.000376	-0.003947	-0.000234	-0.041981	-0.002690	0.008642	-0.001095	-0.005630	-0.002009	-0.129604	-0.025046	-0.093540	-0.007189	0.065084	-0.017412	-0.040908	
0.650000	-0.000413	0.006184	0.000318	-0.004183	-0.000332	-0.048447	-0.002354	0.006336	-0.001225	-0.003966	-0.001788	-0.128874	-0.023378	-0.095665	-0.004904	0.066771	-0.016173	0.026854	
0.700000	-0.000503	0.006465	0.000255	-0.004355	-0.000403	-0.054953	-0.001190	0.004877	-0.001255	-0.002877	-0.000997	-0.130215	0.002121	-0.053147	-0.002590	0.038053	0.001277	0.023749	
0.750000	-0.000533	0.006671	0.000194	-0.004470	-0.000433	-0.061515	-0.000175	0.003330	-0.001191	-0.001731	-0.000296	-0.132607	0.025433	-0.022760	-0.000539	0.017447	0.017282	-0.021655	
0.800000	-0.000530	0.006803	0.000137	-0.004531	-0.000438	-0.068225	0.000311	0.002100	-0.001061	-0.000799	0.000061	-0.137204	0.025964	-0.023792	0.001299	0.018095	0.017868	-0.042362	
0.850000	-0.000498	0.006898	0.000088	-0.004561	-0.000423	-0.075349	0.001177	0.001874	-0.000905	-0.000546	0.000690	-0.147510	0.011885	-0.026510	0.002685	0.019911	0.008588	-0.092304	
0.900000	-0.000389	0.007001	0.000047	-0.004592	-0.000353	-0.083084	0.003452	0.002172	-0.000761	-0.000643	0.002295	-0.160636	0.012696	-0.009788	0.003288	0.008613	0.009456	-0.203538	
0.950000	-0.000127	0.007103	0.000011	-0.004618	-0.000176	-0.091467	0.007202	0.001646	-0.000654	-0.000171	0.004919	-0.175985	0.039920	0.007049	0.003033	-0.002686	0.028289	-0.269936	
1.000000	0.000341	0.007135	-0.000020	-0.004589	0.000146	-0.100606	0.011501	-0.000712	-0.000596	0.001556	0.007935	-0.190459	0.074658	-0.003755	0.002223	0.004838	0.052247	-0.293289	
