HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.HydroL @CopyRight 赵子祯
Time	SpnSpaFxi SparN_0	SpnSpaFxi SparN_1	SpnSpaFxi SparN_2	SpnSpaFxi SparN_3	SpnSpaFyi SparN_0	SpnSpaFyi SparN_1	SpnSpaFyi SparN_2	SpnSpaFyi SparN_3	SpnSpaFzi SparN_0	SpnSpaFzi SparN_1	SpnSpaFzi SparN_2	SpnSpaFzi SparN_3	SpnSpaMxi SparN_0	SpnSpaMxi SparN_1	SpnSpaMxi SparN_2	SpnSpaMxi SparN_3	SpnSpaMyi SparN_0	SpnSpaMyi SparN_1	SpnSpaMyi SparN_2	SpnSpaMyi SparN_3	SpnSpaMzi SparN_0	SpnSpaMzi SparN_1	SpnSpaMzi SparN_2	SpnSpaMzi SparN_3	
(s)	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN)      	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	(KN-m)    	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	0.000000	0.000123	0.000175	0.000200	0.000000	0.000002	0.000002	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000035	0.000040	0.000041	0.000000	0.002323	0.002731	0.002784	0.000000	0.000000	0.000000	0.000000	
0.100000	0.000000	0.000005	0.000007	0.000008	0.000000	0.000034	0.000048	0.000055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000776	0.000882	0.000896	0.000000	0.000077	0.000095	0.000097	0.000000	0.000000	0.000000	0.000000	
0.150000	0.000000	-0.000001	-0.000002	-0.000002	0.000000	-0.000105	-0.000152	-0.000175	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001548	-0.001920	-0.001968	0.000000	-0.000039	-0.000042	-0.000043	0.000000	0.000000	0.000000	0.000000	
0.200000	0.000000	-0.000010	-0.000013	-0.000015	0.000000	-0.001674	-0.002396	-0.002750	0.000000	0.000000	0.000000	0.000000	0.000000	-0.029405	-0.035077	-0.035818	0.000000	-0.000279	-0.000306	-0.000310	0.000000	0.000000	0.000000	0.000000	
0.250000	0.000000	-0.000001	-0.000001	-0.000001	0.000000	-0.004611	-0.006589	-0.007559	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082466	-0.098006	-0.100036	0.000000	-0.000068	-0.000070	-0.000070	0.000000	0.000000	0.000000	0.000000	
0.300000	0.000000	0.000009	0.000016	0.000019	0.000000	-0.007118	-0.010167	-0.011663	0.000000	0.000000	0.000000	0.000000	0.000000	-0.127812	-0.151771	-0.154901	0.000000	-0.000244	-0.000191	-0.000184	0.000000	0.000000	0.000000	0.000000	
0.350000	0.000000	0.000019	0.000032	0.000039	0.000000	-0.010143	-0.014469	-0.016591	0.000000	0.000000	0.000000	0.000000	0.000000	-0.184724	-0.218716	-0.223155	0.000000	-0.000450	-0.000346	-0.000332	0.000000	0.000000	0.000000	0.000000	
0.400000	0.000000	-0.000002	0.000002	0.000004	0.000000	-0.014506	-0.020642	-0.023651	0.000000	0.000000	0.000000	0.000000	0.000000	-0.270844	-0.319069	-0.325364	0.000000	-0.000767	-0.000737	-0.000733	0.000000	0.000000	0.000000	0.000000	
