HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RootFxc   B_0	RootFxc   B_2	RootFyc   B_0	RootFyc   B_2	RootFzc   B_0	RootFzc   B_2	RootFxb   B_0	RootFxb   B_2	RootFyb   B_0	RootFyb   B_2	RootMxc   B_0	RootMxc   B_2	RootMyc   B_0	RootMyc   B_2	RootMzc   B_0	RootMzc   B_2	RootMxb   B_0	RootMxb   B_2	RootMyb   B_0	RootMyb   B_2	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-6.160227	28.283861	-16.443178	77.967224	429.256744	665.669739	-6.160227	28.283861	-16.443178	77.967224	292.770355	-692.402527	-1085.445923	-153.826248	-14.281937	-12.149015	292.770355	-692.402527	-1085.445923	-153.826248	
0.100000	19.065222	6.628839	-51.890347	68.236420	424.025513	631.982300	19.065222	6.628839	-51.890347	68.236420	746.432312	-655.106628	304.746796	8.433947	-14.019615	-11.580795	746.432312	-655.106628	304.746796	8.433947	
0.150000	22.714729	20.257792	-68.833008	69.827560	417.661285	619.949890	22.714729	20.257792	-68.833008	69.827560	1270.515137	-693.479736	497.490723	333.389282	-14.756165	-10.824341	1270.515137	-693.479736	497.490723	333.389282	
0.200000	34.570877	41.186897	-67.882454	95.735382	415.994171	607.887512	34.570877	41.186897	-67.882454	95.735382	1764.805908	-975.786926	915.311523	895.608398	-17.451828	-10.884125	1764.805908	-975.786926	915.311523	895.608398	
0.250000	51.911919	58.057083	-72.153328	123.438858	418.322632	589.173157	51.911919	58.057083	-72.153328	123.438858	2282.702148	-1406.364990	1492.825684	1559.260620	-21.406708	-10.854279	2282.702148	-1406.364990	1492.825684	1559.260620	
0.300000	60.333687	68.956879	-84.946732	138.807281	417.500000	576.595459	60.333687	68.956879	-84.946732	138.807281	2668.616699	-1975.472046	1777.067383	1926.528931	-26.446960	-9.273346	2668.616699	-1975.472046	1777.067383	1926.528931	
0.350000	57.908691	84.541473	-102.158234	149.715088	414.330048	566.882263	57.908691	84.541473	-102.158234	149.715088	2864.939453	-2714.293457	1920.020142	2335.902344	-29.381775	-5.770355	2864.939453	-2714.293457	1920.020142	2335.902344	
0.400000	57.581936	87.639160	-116.653015	165.942947	414.848236	553.444946	57.581936	87.639160	-116.653015	165.942947	2864.786865	-3580.162109	2158.425781	2548.386963	-29.186523	-0.714279	2864.786865	-3580.162109	2158.425781	2548.386963	
