HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	OoPDefl   B_0	OoPDefl   B_2	IPDefl    B_0	IPDefl    B_2	TipDzb    B_0	TipDzb    B_2	TipDxb    B_0	TipDxb    B_2	TipDyb    B_0	TipDyb    B_2	Tip2Twr   B_0	Tip2Twr   B_2	
(s)	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	65.378846	55.506072	
0.050000	0.090179	0.094198	-0.012839	0.009851	-0.000161	-0.000222	0.090179	0.094198	-0.012839	0.009851	65.367941	57.280493	
0.100000	0.192303	0.185888	-0.063673	0.025083	-0.000603	-0.000636	0.192303	0.185888	-0.063673	0.025083	65.348431	58.826185	
0.150000	0.304707	0.262713	-0.185260	0.013904	-0.001554	-0.001006	0.304707	0.262713	-0.185260	0.013904	65.320443	60.145811	
0.200000	0.432044	0.342951	-0.336125	0.006815	-0.003431	-0.001394	0.432044	0.342951	-0.336125	0.006815	65.283509	61.237445	
0.250000	0.590543	0.438895	-0.450770	0.057545	-0.006299	-0.002170	0.590543	0.438895	-0.450770	0.057545	65.236540	62.097898	
0.300000	0.796901	0.564221	-0.496730	0.181128	-0.010399	-0.003914	0.796901	0.564221	-0.496730	0.181128	65.178413	62.728064	
0.350000	1.036874	0.731460	-0.488017	0.344226	-0.016269	-0.007611	1.036874	0.731460	-0.488017	0.344226	65.110299	63.133143	
0.400000	1.277265	0.931872	-0.457720	0.499656	-0.023875	-0.013950	1.277265	0.931872	-0.457720	0.499656	65.034910	63.318972	
0.450000	1.495659	1.133344	-0.433195	0.612034	-0.032534	-0.022272	1.495659	1.133344	-0.433195	0.612034	64.954300	63.415138	
0.500000	1.684858	1.294025	-0.430117	0.660576	-0.041522	-0.029839	1.684858	1.294025	-0.430117	0.660576	64.869566	63.515783	
0.550000	1.834406	1.387355	-0.455485	0.634072	-0.049628	-0.033517	1.834406	1.387355	-0.455485	0.634072	64.782599	63.624428	
0.600000	1.931076	1.407418	-0.511022	0.531515	-0.055310	-0.032135	1.931076	1.407418	-0.511022	0.531515	64.695795	63.741693	
0.650000	1.968925	1.370838	-0.594684	0.363046	-0.057919	-0.027397	1.968925	1.370838	-0.594684	0.363046	64.610076	63.864660	
0.700000	1.950651	1.313080	-0.699077	0.148385	-0.057829	-0.022517	1.950651	1.313080	-0.699077	0.148385	64.525159	63.987826	
0.750000	1.888165	1.273297	-0.803548	-0.079538	-0.055933	-0.019974	1.888165	1.273297	-0.803548	-0.079538	64.440091	64.105572	
0.800000	1.801189	1.281889	-0.872636	-0.274149	-0.052896	-0.020586	1.801189	1.281889	-0.872636	-0.274149	64.353808	64.213751	
0.850000	1.701592	1.353469	-0.874079	-0.391275	-0.048527	-0.023991	1.701592	1.353469	-0.874079	-0.391275	64.266277	64.310287	
0.900000	1.594747	1.477700	-0.804909	-0.413283	-0.042923	-0.029542	1.594747	1.477700	-0.804909	-0.413283	64.177473	64.395688	
0.950000	1.487160	1.621958	-0.694320	-0.355398	-0.036954	-0.036414	1.487160	1.621958	-0.694320	-0.355398	64.086642	64.472863	
1.000000	1.381085	1.749245	-0.578605	-0.245779	-0.031351	-0.043055	1.381085	1.749245	-0.578605	-0.245779	63.993316	64.545912	
1.050000	1.273640	1.828954	-0.477771	-0.105678	-0.026185	-0.047318	1.273640	1.828954	-0.477771	-0.105678	63.897841	64.618872	
1.100000	1.165596	1.848148	-0.401144	0.046658	-0.021543	-0.047890	1.165596	1.848148	-0.401144	0.046658	63.800206	64.693976	
1.150000	1.066312	1.817040	-0.364962	0.181689	-0.017850	-0.045573	1.066312	1.817040	-0.364962	0.181689	63.699394	64.770165	
1.200000	0.987453	1.758051	-0.388863	0.264663	-0.015553	-0.042131	0.987453	1.758051	-0.388863	0.264663	63.594207	64.844593	
1.250000	0.932637	1.690141	-0.473132	0.278039	-0.014653	-0.038679	0.932637	1.690141	-0.473132	0.278039	63.484752	64.914908	
1.300000	0.895602	1.626932	-0.588525	0.233727	-0.014786	-0.035847	0.895602	1.626932	-0.588525	0.233727	63.372604	64.979406	
1.350000	0.867103	1.578566	-0.693610	0.159340	-0.015264	-0.034146	0.867103	1.578566	-0.693610	0.159340	63.236722	65.036750	
1.400000	0.850063	1.543591	-0.760273	0.077483	-0.015708	-0.033279	0.850063	1.543591	-0.760273	0.077483	62.917258	65.086939	
1.450000	0.854183	1.512700	-0.781171	-0.002848	-0.016103	-0.032577	0.854183	1.512700	-0.781171	-0.002848	62.388862	65.130878	
1.500000	0.884562	1.481720	-0.761702	-0.080567	-0.016602	-0.031646	0.884562	1.481720	-0.761702	-0.080567	61.658056	65.168940	
1.550000	0.931339	1.458583	-0.709940	-0.155631	-0.017134	-0.030726	0.931339	1.458583	-0.709940	-0.155631	60.732984	65.200270	
1.600000	0.981692	1.460822	-0.635162	-0.227375	-0.017498	-0.030658	0.981692	1.460822	-0.635162	-0.227375	59.622699	65.222909	
