HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	QD2_B1E1  	QD2_B1F1  	QD2_B1F2  	QD2_B2E1  	QD2_B2F1  	QD2_B2F2  	QD2_B3E1  	QD2_B3F1  	QD2_B3F2  	QD2_DRTR  	QD2_GEAZ  	QD2_HV    	QD2_P     	QD2_R     	QD2_RFRL  	QD2_SG    	QD2_SW    	QD2_TFA1  	QD2_TFA2  	QD2_TFRL  	QD2_TSS1  	QD2_TSS2  	QD2_Y     	QD2_YAW   	QD_B1E1   	QD_B1F1   	QD_B1F2   	QD_B2E1   	QD_B2F1   	QD_B2F2   	QD_B3E1   	QD_B3F1   	QD_B3F2   	QD_DRTR   	QD_GEAZ   	QD_HV     	QD_P      	QD_R      	QD_RFRL   	QD_SG     	QD_SW     	QD_TFA1   	QD_TFA2   	QD_TFRL   	QD_TSS1   	QD_TSS2   	QD_Y      	QD_YAW    	Q_B1E1    	Q_B1F1    	Q_B1F2    	Q_B2E1    	Q_B2F1    	Q_B2F2    	Q_B3E1    	Q_B3F1    	Q_B3F2    	Q_DRTR    	Q_GEAZ    	Q_HV      	Q_P       	Q_R       	Q_RFRL    	Q_SG      	Q_SW      	Q_TFA1    	Q_TFA2    	Q_TFRL    	Q_TSS1    	Q_TSS2    	Q_Y       	Q_YAW     	Q_TTMD    	QD_TTMD   	QD2_TTMD  	
(s)	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(rad/s^2) 	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(m/s^2)   	(m/s^2)   	(rad/s^2) 	(rad/s^2) 	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(rad/s)   	(rad/s)   	(m/s)     	(rad/s)   	(rad/s)   	(rad/s)   	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(rad/s)   	(m/s)     	(m/s)     	(rad/s)   	(rad/s)   	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(rad)     	(rad)     	(m)       	(rad)     	(rad)     	(rad)     	(m)       	(m)       	(m)       	(m)       	(rad)     	(m)       	(m)       	(rad)     	(rad)     	(m)       	(m/s)     	(m/s^2)   	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.267109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.712389	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-3.779558	36.872639	2.787560	-25.314365	23.646135	14.885611	12.524671	32.606983	5.617798	0.642987	-0.754499	0.013552	-0.000066	0.000054	0.000000	-0.005482	-0.004576	-0.493145	0.020371	0.000000	0.042290	-0.021110	-0.006253	0.074948	-0.188978	1.843632	0.139378	-1.265718	1.182307	0.744281	0.626234	1.630349	0.280890	0.032149	1.229384	0.000678	-0.000003	0.000003	0.000000	-0.000274	-0.000229	-0.024657	0.001019	0.000000	0.002115	-0.001056	-0.000313	0.003747	-0.005653	0.066176	0.025368	-0.031373	0.053161	0.051849	0.014299	0.048004	0.043829	0.000870	4.774745	0.000020	0.000000	0.000000	0.000000	0.000007	-0.000002	-0.000914	-0.000033	0.000000	0.000049	-0.000010	-0.000006	-0.000021	0.000000	0.000000	0.000000	
0.100000	-22.995607	23.442265	-14.899757	-32.093937	28.641840	-28.780834	-6.066949	5.882013	-11.241396	0.086465	-0.456254	0.010219	-0.000054	0.000125	0.000000	-0.004462	-0.010845	-0.228365	0.024006	0.000000	0.208641	-0.084675	0.001213	-0.098073	-1.338758	3.015745	-0.605610	-2.870415	2.614399	-0.694761	0.322886	1.924450	-0.281180	0.036473	1.206571	0.001189	-0.000006	0.000009	0.000000	-0.000497	-0.000771	-0.036076	0.002219	0.000000	0.012547	-0.005289	-0.000252	-0.001156	-0.041155	0.188262	0.012780	-0.132632	0.149228	0.052398	0.040861	0.134892	0.045118	0.002693	4.835569	0.000067	-0.000000	0.000000	0.000000	-0.000016	-0.000032	-0.002444	0.000062	0.000000	0.000384	-0.000171	-0.000019	0.000025	0.000000	0.000000	0.000000	
0.150000	-22.203163	16.765400	-8.330896	-27.722277	20.683334	-21.269487	-6.477265	10.997054	-13.285093	-0.185753	-0.146716	0.007067	0.000112	-0.000427	0.000000	0.009685	0.035564	-0.150094	-0.026824	0.000000	0.335834	-0.017724	-0.002635	-0.013438	-2.448916	3.854015	-1.022155	-4.256529	3.648566	-1.758236	-0.000977	2.474303	-0.945435	0.027185	1.199236	0.001542	-0.000000	-0.000012	0.000000	-0.000013	0.001007	-0.043580	0.000878	0.000000	0.029338	-0.006175	-0.000384	-0.001828	-0.140538	0.362939	-0.030552	-0.315706	0.310122	-0.013278	0.044617	0.242879	0.014832	0.004270	4.895659	0.000136	-0.000000	0.000000	0.000000	-0.000030	-0.000043	-0.004461	0.000146	0.000000	0.001415	-0.000489	-0.000034	-0.000090	0.000000	0.000000	0.000000	
0.200000	2.313630	5.368557	2.545355	1.768862	7.854350	-4.434831	14.258453	7.965772	-5.645770	-0.107971	0.093433	0.002827	0.000111	-0.001103	0.000000	0.009647	0.092687	-0.021395	-0.033113	0.000000	0.410695	0.089405	-0.005510	0.052326	-2.333235	4.122443	-0.894887	-4.168086	4.041283	-1.979977	0.711945	2.872591	-1.227723	0.021786	1.203907	0.001683	0.000005	-0.000068	0.000000	0.000469	0.005642	-0.044650	-0.000778	0.000000	0.049873	-0.001705	-0.000659	0.000788	-0.266171	0.563105	-0.079723	-0.535331	0.501262	-0.108388	0.058007	0.383557	-0.045646	0.005473	4.955694	0.000217	-0.000000	-0.000001	0.000000	-0.000016	0.000118	-0.006698	0.000141	0.000000	0.003378	-0.000695	-0.000062	-0.000066	0.000000	0.000000	0.000000	
0.250000	24.497936	1.830866	10.475523	31.478952	2.258814	11.313090	29.044317	-5.742389	9.827720	-0.109424	0.291874	-0.001418	-0.000057	-0.001126	0.000000	-0.004360	0.094586	0.115392	0.004390	0.000000	0.455029	0.075334	-0.003761	-0.017804	-1.108338	4.213986	-0.371111	-2.594138	4.154224	-1.414323	2.164161	2.585472	-0.736337	0.016315	1.218501	0.001612	0.000002	-0.000124	0.000000	0.000251	0.010371	-0.038880	-0.000559	0.000000	0.072624	0.002061	-0.000847	-0.000102	-0.354564	0.771924	-0.112687	-0.707314	0.708767	-0.196912	0.129161	0.519765	-0.095746	0.006460	5.016217	0.000301	0.000000	-0.000006	0.000000	0.000006	0.000526	-0.008810	0.000097	0.000000	0.006441	-0.000664	-0.000099	-0.000057	0.000000	0.000000	0.000000	
0.300000	27.271328	2.451194	12.144073	38.242786	-5.268036	22.133301	23.616987	-7.285944	17.528254	-0.306738	0.429272	-0.005181	-0.000187	-0.000672	0.000000	-0.015247	0.056406	0.211775	0.035766	0.000000	0.433273	-0.017567	-0.004907	-0.023129	0.255228	4.336546	0.236093	-0.681999	3.890822	-0.307658	3.345011	2.221174	0.140076	0.000978	1.239964	0.001353	-0.000007	-0.000157	0.000000	-0.000511	0.013191	-0.028292	0.001230	0.000000	0.094288	0.001183	-0.001093	-0.001258	-0.373676	0.986533	-0.115415	-0.787223	0.911895	-0.241399	0.270555	0.637845	-0.110645	0.006942	5.077664	0.000376	-0.000000	-0.000013	0.000000	-0.000001	0.001123	-0.010503	0.000114	0.000000	0.010630	-0.000568	-0.000146	-0.000109	0.000000	0.000000	0.000000	
0.350000	15.256105	-3.063714	7.127664	29.192665	-10.207077	24.414619	5.323561	-2.517676	18.170158	-0.424907	0.422436	-0.008137	-0.000115	-0.000473	0.000000	-0.009048	0.039996	0.265231	0.016153	0.000000	0.326364	-0.031042	-0.007686	0.020600	1.018034	4.183360	0.592476	0.777634	3.380468	0.913073	3.611189	2.095291	1.048584	-0.020267	1.261086	0.000946	-0.000013	-0.000181	0.000000	-0.000963	0.015191	-0.015030	0.002037	0.000000	0.110606	-0.000369	-0.001477	-0.000228	-0.338350	1.200507	-0.093262	-0.782569	1.093164	-0.224616	0.448975	0.746251	-0.080741	0.006452	5.140216	0.000433	-0.000001	-0.000022	0.000000	-0.000041	0.001830	-0.011591	0.000207	0.000000	0.015784	-0.000562	-0.000211	-0.000141	0.000000	0.000000	0.000000	
0.400000	1.376981	-8.414968	2.441150	20.370029	-9.764478	13.633442	-12.255677	-2.697225	13.133892	-0.270724	0.225359	-0.009904	0.000068	-0.000599	0.000000	0.006409	0.051199	0.280739	-0.033665	0.000000	0.147317	0.050203	-0.007701	0.025220	1.086883	3.762612	0.714534	1.796136	2.892244	1.594746	2.998405	1.960429	1.705278	-0.033803	1.272354	0.000451	-0.000009	-0.000211	0.000000	-0.000643	0.017751	-0.000993	0.000354	0.000000	0.117972	0.002141	-0.001862	0.001033	-0.283470	1.399693	-0.059453	-0.717070	1.249627	-0.158060	0.617108	0.848620	-0.010435	0.005037	5.203615	0.000469	-0.000001	-0.000032	0.000000	-0.000084	0.002652	-0.011990	0.000276	0.000000	0.021543	-0.000537	-0.000295	-0.000113	0.000000	0.000000	0.000000	
