HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	RotThrust 	LSShftFya 	LSShftFza 	LSShftFys 	LSShftFzs 	LSShftTq  	RotPwr    	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kW)      	
0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	
0.050000	53.751431	-30.735603	-949.403015	29.313007	-949.447998	734.590820	926.710840	
0.100000	22.038982	-160.526688	-945.863342	-40.512527	-958.532715	1768.575195	2198.416818	
0.150000	38.084808	-191.402969	-979.780090	-5.374074	-998.286133	3255.694336	3992.850346	
0.200000	78.366348	-236.864410	-1004.687683	17.801544	-1032.078125	4390.333496	5381.204119	
0.250000	129.082764	-321.130890	-1003.583923	0.631599	-1053.710205	5333.083984	6585.378466	
0.300000	157.852814	-365.670258	-1009.714294	26.584253	-1073.559937	5943.820801	7375.941840	
0.350000	174.826096	-409.922058	-1023.773804	58.888931	-1101.218018	5849.155273	7257.744957	
0.400000	179.897934	-492.471832	-1016.775208	51.066135	-1128.606445	4884.388672	6049.564575	
0.450000	177.716339	-575.460083	-979.194824	30.429953	-1135.363647	3426.568604	4231.563919	
0.500000	164.159286	-620.121399	-929.214600	34.849216	-1116.591064	2024.639771	2484.093491	
0.550000	170.302429	-651.093811	-868.481018	40.613194	-1084.681030	1118.073486	1358.014685	
0.600000	187.260849	-700.463196	-802.773987	25.249426	-1065.109009	880.378601	1058.746456	
0.650000	211.309250	-765.581360	-738.738647	-2.333831	-1063.881714	1399.006836	1670.540418	
0.700000	232.993118	-816.643127	-678.750122	-17.789331	-1061.739746	2513.254150	2986.188953	
0.750000	250.259766	-847.077026	-608.661987	-29.025183	-1042.672729	3801.413330	4503.471882	
0.800000	260.711761	-863.815125	-531.236816	-40.842007	-1013.272278	4750.467773	5633.945434	
0.850000	259.527222	-887.985474	-464.432800	-50.402962	-1000.837402	5262.107910	6273.299712	
