HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	PtfmFxt   	PtfmFyt   	PtfmFzt   	PtfmFxi   	PtfmFyi   	PtfmFzi   	PtfmMxt   	PtfmMyt   	PtfmMzt   	PtfmMxi   	PtfmMyi   	PtfmMzi   	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	
0.050000	12.268241	10.946751	79099.664062	12.275167	10.944727	79099.664062	144.967682	-107.187599	0.099972	144.967010	-107.188507	0.099956	
0.100000	9.842369	27.001049	79100.632812	9.827806	26.970892	79100.632812	427.774994	-75.619949	0.266838	427.773529	-75.628250	0.266891	
0.150000	-23.671005	-79.907600	79101.609375	-23.702942	-79.944862	79101.609375	-713.591736	346.984863	0.456936	-713.580017	347.009003	0.456840	
0.200000	-24.320152	-212.617081	79102.859375	-24.350424	-212.500946	79102.859375	-2205.385010	405.574707	0.884361	-2205.360107	405.710510	0.883294	
0.250000	7.451212	-217.678391	79104.132812	7.430817	-217.178070	79104.132812	-2298.578125	100.554161	1.359764	-2298.568115	100.781006	1.359158	
0.300000	32.126385	-130.511612	79105.289062	32.099274	-129.451538	79105.289062	-1409.464233	-135.085663	1.967548	-1409.484009	-134.879501	1.969221	
0.350000	17.322155	-95.319077	79106.257812	17.251591	-93.590508	79106.257812	-1200.042847	60.369740	2.832251	-1200.030029	60.622501	2.830157	
0.400000	-18.818308	-125.643463	79106.906250	-18.951902	-123.131721	79106.906250	-1821.061157	485.520996	3.939154	-1820.918091	486.057526	3.921532	
0.450000	-28.931776	-92.083099	79107.171875	-29.087852	-88.680832	79107.171875	-1760.079956	610.098145	5.193729	-1759.839111	610.792542	5.164884	
0.500000	7.205038	56.801704	79107.117188	7.099286	61.079533	79107.117188	-377.017731	199.521011	6.518806	-376.917023	199.711502	6.507356	
0.550000	54.532784	197.606583	79106.867188	54.466438	202.582947	79106.851562	970.941162	-370.085876	7.857755	970.712036	-370.686005	7.883546	
0.600000	51.708828	199.959412	79106.484375	51.548206	205.418701	79106.468750	828.256958	-410.188660	9.205065	827.956055	-410.795013	9.236826	
0.650000	-5.990922	99.770210	79106.031250	-6.360071	105.577408	79106.023438	-390.205597	141.258316	10.571218	-390.086029	141.589127	10.558597	
0.700000	-58.352528	28.864388	79105.570312	-58.888378	34.939987	79105.570312	-1203.992920	613.665771	11.930738	-1203.404053	614.821045	11.875380	
0.750000	-57.628868	31.582409	79105.085938	-58.202660	37.823643	79105.085938	-1148.480835	470.779602	13.239236	-1147.975098	472.013031	13.193544	
0.800000	-22.613033	38.132977	79104.609375	-23.174860	44.428894	79104.609375	-1059.352661	-84.043144	14.542329	-1059.452026	-82.781006	14.540756	
0.850000	-21.743483	-1.070492	79104.234375	-22.326611	5.264422	79104.234375	-1525.619263	-281.270905	15.974968	-1525.987549	-279.265015	15.986010	
0.900000	-81.891541	-41.268486	79104.000000	-82.446114	-34.811962	79104.000000	-2047.641602	185.131836	17.600401	-2047.371582	188.098007	17.572521	
0.950000	-159.540009	-17.925108	79103.867188	-159.835129	-11.297918	79103.867188	-1896.540283	842.567993	19.382860	-1895.194580	845.592041	19.308346	
1.000000	-195.369629	68.981613	79103.781250	-195.080826	75.672470	79103.773438	-1062.733521	1044.548340	21.294788	-1060.900024	1046.412109	21.213057	
1.050000	-180.968567	164.919510	79103.679688	-179.831635	171.431595	79103.664062	-130.909653	708.411316	23.353804	-129.544006	708.664062	23.299927	
1.100000	-165.414215	225.261459	79103.554688	-163.267349	231.346817	79103.539062	445.855408	393.478973	25.647327	446.688019	392.536011	25.609438	
1.150000	-184.583511	241.084763	79103.320312	-181.297699	246.539261	79103.312500	610.715454	503.913483	28.244865	611.888000	502.492035	28.191872	
1.200000	-218.298584	222.850388	79102.960938	-213.711075	227.445511	79102.960938	496.919830	811.039734	31.165180	499.000031	809.764038	31.098536	
1.250000	-221.085175	184.816299	79102.507812	-214.996323	188.240509	79102.515625	255.912949	794.950256	34.393375	258.164001	794.224060	34.347107	
1.300000	-195.288589	138.799957	79101.984375	-187.495193	140.772293	79102.000000	1.861116	478.699493	37.943623	3.360000	478.692017	37.935062	
1.350000	-184.148453	87.565407	79101.492188	-174.471451	87.980721	79101.515625	-257.959778	342.897491	41.808086	-256.772003	343.784027	41.839466	
1.400000	-226.092606	29.070709	79101.148438	-214.354630	28.044243	79101.179688	-577.658264	829.288818	45.922947	-574.503052	831.472046	46.027184	
1.450000	-299.186676	-27.186077	79100.921875	-285.119446	-29.507189	79100.976562	-882.459473	1710.458252	50.213650	-875.327515	1714.112061	50.447815	
1.500000	-343.925781	-54.765369	79100.859375	-327.079590	-58.416088	79100.929688	-894.297729	2336.985107	54.731583	-883.649048	2341.024170	55.076866	
1.550000	-328.930420	-37.002396	79100.960938	-308.730530	-42.195423	79101.046875	-434.052460	2366.725342	59.543148	-422.314026	2368.840088	59.856255	
1.600000	-281.097260	5.791749	79101.226562	-257.063690	-1.115436	79101.312500	280.946808	2094.900635	64.594025	292.202759	2093.356201	64.728088	
1.650000	-250.237030	35.485039	79101.695312	-222.127136	26.902884	79101.781250	838.207336	2065.151123	69.701530	850.171021	2060.256104	69.662910	
1.700000	-258.458649	31.210129	79102.296875	-226.192200	21.141380	79102.398438	1014.632568	2519.000732	74.647491	1030.296265	2512.636230	74.600655	
1.750000	-275.985168	2.651275	79102.945312	-239.451324	-8.841399	79103.062500	930.776550	3116.670166	79.416237	951.486145	3110.408203	79.501038	
1.800000	-259.570953	-28.858517	79103.570312	-218.545761	-41.970417	79103.695312	828.051025	3361.272217	84.164536	851.814026	3355.324219	84.354607	
1.850000	-215.574661	-57.493050	79104.054688	-169.836700	-72.379913	79104.156250	764.818420	3318.787598	88.952301	789.687012	3312.952148	89.182594	
1.900000	-176.435684	-94.502945	79104.328125	-125.901535	-111.060440	79104.398438	590.733459	3344.664551	93.669167	617.220032	3339.868164	94.027199	
1.950000	-160.374313	-142.993423	79104.421875	-105.033440	-160.909943	79104.484375	233.099564	3636.292725	98.215561	263.460022	3634.200195	98.912064	
2.000000	-159.999039	-183.368027	79104.367188	-99.699539	-202.317825	79104.421875	-124.310837	4111.463867	102.683235	-88.208008	4112.368164	103.810661	
2.050000	-150.216873	-190.391418	79104.187500	-84.576538	-210.234329	79104.234375	-203.944122	4482.625000	107.329659	-162.664001	4484.280273	108.671814	
2.100000	-115.006279	-157.289780	79103.929688	-43.567860	-178.067352	79103.960938	77.660858	4555.017578	112.287186	121.516006	4554.030273	113.435371	
2.150000	-71.390060	-101.427025	79103.710938	6.128217	-123.090477	79103.710938	539.085938	4504.610352	117.332535	584.278015	4498.953613	118.025589	
2.200000	-50.272816	-48.677094	79103.617188	33.321808	-70.923645	79103.601562	901.271301	4667.785645	122.009987	949.894043	4658.125488	122.341148	
2.250000	-61.964363	-14.695107	79103.656250	27.516853	-37.131268	79103.671875	1043.627197	5143.309570	126.033188	1099.041504	5131.748047	126.286720	
2.300000	-89.738533	4.278976	79103.945312	5.473256	-18.134769	79103.992188	1040.568726	5742.163086	129.445618	1104.304077	5730.238770	129.812958	
2.350000	-111.898605	15.998640	79104.421875	-11.021251	-6.434508	79104.500000	1002.332520	6225.241211	132.382904	1073.228760	6213.400879	132.878876	
2.400000	-127.021431	19.329002	79105.062500	-20.550962	-3.199832	79105.171875	937.656494	6584.521484	134.880493	1014.311340	6573.136719	135.512985	
2.450000	-145.226730	7.575027	79105.804688	-33.308758	-15.009664	79105.929688	739.671021	6947.520020	136.803223	822.092041	6938.230469	137.772995	
2.500000	-176.006226	-16.676031	79106.570312	-58.741486	-39.144157	79106.726562	392.153168	7437.085938	138.108994	481.822510	7431.785156	139.703644	
2.550000	-212.335770	-35.967533	79107.234375	-89.584877	-58.207050	79107.460938	50.897507	7985.947266	139.053238	148.513000	7984.688477	141.328583	
2.600000	-241.106018	-31.690395	79107.757812	-112.466568	-53.747620	79108.031250	-86.806747	8451.402344	139.995285	17.658001	8451.786133	142.641190	
2.650000	-261.184601	-0.019238	79108.000000	-126.176849	-21.984163	79108.328125	29.169945	8824.597656	141.040710	139.181076	8823.506836	143.615723	
2.700000	-280.471069	47.926163	79107.945312	-138.733093	26.011282	79108.335938	297.697754	9193.647461	142.003754	412.975006	9189.156250	144.220184	
2.750000	-310.431519	98.176071	79107.585938	-161.757538	76.355064	79108.054688	576.528625	9694.028320	142.564789	698.438049	9685.980469	144.411469	
2.800000	-350.999908	142.360062	79106.937500	-195.262329	120.619850	79107.515625	805.418213	10333.360352	142.555435	935.356018	10322.388672	144.146057	
2.850000	-388.550385	176.846268	79106.101562	-225.637634	154.953598	79106.789062	1013.594238	10962.187500	142.048813	1150.992065	10948.596680	143.412491	
2.900000	-411.363617	198.410034	79105.203125	-241.181381	175.951447	79105.960938	1187.536377	11460.725586	141.075623	1330.284058	11445.020508	142.243423	
2.950000	-413.036682	201.092117	79104.390625	-235.556519	177.564377	79105.171875	1224.935669	11762.349609	139.456833	1370.120117	11746.308594	140.673920	
3.000000	-404.494202	181.434052	79103.742188	-219.733383	156.484543	79104.531250	1034.914062	11987.438477	136.922195	1181.152100	11973.892578	138.717484	
3.050000	-405.075684	147.012527	79103.312500	-212.958511	120.555725	79104.109375	714.659485	12337.943359	133.580261	863.000061	12328.424805	136.383621	
3.100000	-423.951294	114.411240	79103.109375	-224.190826	86.501282	79103.968750	445.030701	12904.359375	129.825058	597.486023	12898.160156	133.691681	
3.150000	-458.755859	95.327560	79103.171875	-250.907013	66.005531	79104.140625	326.115906	13661.910156	125.928658	484.218018	13657.176758	130.639816	
3.200000	-499.849792	90.869034	79103.460938	-283.431580	60.066814	79104.570312	402.741028	14504.782227	122.115936	566.634033	14499.260742	127.251778	
3.250000	-536.364014	99.218185	79103.976562	-310.895447	66.741531	79105.218750	620.337036	15329.529297	118.369453	788.928040	15321.736328	123.562187	
3.300000	-562.150024	118.463882	79104.570312	-327.160126	84.043190	79105.929688	940.533875	16085.831055	114.654366	1112.168091	16074.840820	119.579262	
3.350000	-570.260071	142.495941	79105.171875	-325.346313	105.779976	79106.609375	1330.786377	16692.871094	110.974724	1503.014038	16678.216797	115.328224	
3.400000	-569.105469	160.775421	79105.757812	-313.985199	121.496254	79107.257812	1656.957642	17248.662109	106.887131	1828.432129	17231.304688	110.813187	
3.450000	-573.418396	164.019058	79106.187500	-307.903076	122.051941	79107.734375	1856.648438	17912.572266	102.063278	2027.552124	17894.009766	106.026222	
3.500000	-584.823608	149.855469	79106.429688	-308.732208	105.095848	79108.062500	2014.607544	18680.322266	96.784264	2184.936035	18661.144531	101.010788	
3.550000	-596.550232	121.273315	79106.531250	-309.652649	73.580376	79108.226562	2121.329834	19480.615234	91.102791	2290.368164	19461.441406	95.831535	
3.600000	-599.742981	79.461525	79106.570312	-301.784149	28.667017	79108.304688	2070.672607	20229.201172	84.687981	2237.008057	20211.457031	90.516907	
3.650000	-594.738586	28.835392	79106.570312	-285.424835	-25.157236	79108.296875	1932.482910	20916.929688	77.796936	2094.716309	20901.277344	85.095718	
3.700000	-592.584900	-18.065121	79106.570312	-271.536377	-75.199768	79108.289062	1804.385620	21666.478516	70.748505	1962.121094	21652.732422	79.600761	
3.750000	-602.165771	-51.274242	79106.507812	-268.950623	-111.391518	79108.281250	1667.520264	22600.050781	63.341827	1821.058105	22588.166016	73.996445	
3.800000	-610.919373	-71.264618	79106.476562	-265.132874	-134.273605	79108.312500	1513.416260	23574.925781	55.567204	1661.750122	23564.900391	68.208015	
3.850000	-596.979065	-81.413727	79106.640625	-238.273819	-147.335129	79108.429688	1361.342529	24323.722656	47.654095	1501.662109	24315.429688	62.156467	
3.900000	-566.193481	-82.967461	79106.945312	-194.285828	-151.752945	79108.625000	1201.961426	24901.712891	39.431343	1331.858032	24895.072266	55.738297	
3.950000	-544.593811	-77.503067	79107.296875	-159.267731	-148.959473	79108.906250	1171.398682	25563.029297	31.266436	1289.698120	25557.306641	48.877731	
4.000000	-549.634338	-69.184509	79107.585938	-150.729919	-143.069885	79109.242188	1321.424683	26480.921875	23.310171	1427.374023	26475.398438	41.570633	
4.050000	-568.155396	-62.026566	79107.812500	-155.535126	-138.197571	79109.609375	1574.494873	27512.654297	15.396711	1666.328125	27507.228516	33.845844	
4.100000	-574.775818	-58.208511	79108.101562	-148.309540	-136.616531	79109.953125	1830.933472	28386.105469	7.364635	1905.956055	28381.156250	25.760595	
4.150000	-567.298828	-62.373749	79108.421875	-126.877228	-142.944916	79110.242188	1924.353027	29097.093750	-1.649542	1980.212036	29093.341797	17.354500	
4.200000	-566.539612	-76.229462	79108.632812	-112.060524	-158.821793	79110.460938	1796.985840	29885.814453	-12.272934	1831.958130	29883.693359	8.650357	
4.250000	-583.621582	-89.941704	79108.664062	-114.964584	-174.407730	79110.585938	1614.512695	30863.427734	-23.745375	1626.700073	30862.796875	-0.340223	
4.300000	-609.005005	-89.227676	79108.523438	-126.046883	-175.452164	79110.625000	1519.327759	31926.615234	-35.127762	1506.364014	31927.248047	-9.623794	
4.350000	-623.275330	-68.763641	79108.351562	-125.928101	-156.642197	79110.578125	1669.790527	32841.199219	-45.129208	1629.308105	32843.261719	-19.204765	
4.400000	-619.824829	-36.502533	79108.234375	-108.045067	-125.918259	79110.492188	2014.554688	33521.503906	-53.828789	1944.722046	33525.660156	-29.060373	
4.450000	-621.650085	-2.312088	79108.109375	-95.415314	-93.203445	79110.445312	2401.191895	34232.941406	-62.408859	2300.029541	34239.921875	-39.162487	
4.500000	-649.898865	31.466068	79107.906250	-109.183899	-60.966930	79110.484375	2796.376953	35214.992188	-71.337936	2660.958740	35225.519531	-49.482109	
4.550000	-702.682007	68.717804	79107.648438	-147.450165	-25.418222	79110.664062	3353.406006	36439.332031	-79.476807	3180.303467	36454.886719	-59.966839	
4.600000	-750.900513	107.683678	79107.539062	-181.073547	11.747251	79110.968750	4052.124023	37592.187500	-86.453300	3839.192139	37614.562500	-70.539856	
4.650000	-773.894104	136.075317	79107.687500	-189.294662	38.361988	79111.351562	4696.315918	38459.722656	-93.308121	4443.216309	38489.812500	-81.124779	
4.700000	-787.764587	142.022064	79107.945312	-188.093918	42.495907	79111.757812	5029.225098	39251.843750	-102.206833	4735.040039	39288.441406	-91.662163	
4.750000	-813.152100	131.555756	79108.226562	-198.094604	30.042938	79112.257812	5057.512695	40207.132812	-113.537155	4719.673340	40248.218750	-102.120758	
4.800000	-857.716064	123.576233	79108.445312	-227.064697	19.813375	79112.859375	4963.479492	41418.863281	-126.154373	4578.153320	41463.261719	-112.506805	
4.850000	-906.118225	127.307541	79108.578125	-259.732941	21.136564	79113.437500	4950.892578	42706.128906	-138.268173	4515.365234	42754.421875	-122.840981	
4.900000	-934.753906	137.069809	79108.617188	-272.440521	28.576002	79113.789062	5069.023926	43787.808594	-149.058899	4583.475098	43841.343750	-133.127655	
