HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NcIMUTVxs 	NcIMUTVys 	NcIMUTVzs 	
(s)	(m/s)     	(m/s)     	(m/s)     	
0.000000	0.000000	-0.000000	0.000000	
0.050000	-0.026512	-0.014036	-0.005365	
0.100000	-0.039096	-0.013982	-0.008984	
0.150000	-0.045814	-0.026157	-0.007402	
0.200000	-0.045771	-0.042583	-0.004351	
0.250000	-0.040242	-0.051044	-0.003864	
0.300000	-0.030973	-0.064368	-0.005713	
0.350000	-0.018153	-0.080527	-0.005440	
0.400000	-0.002639	-0.084114	-0.000472	
0.450000	0.013001	-0.073736	0.006175	
0.500000	0.026395	-0.063086	0.008898	
0.550000	0.037532	-0.055804	0.005807	
0.600000	0.050156	-0.046081	0.002611	
0.650000	0.068538	-0.032129	0.005940	
0.700000	0.091905	-0.022359	0.014808	
0.750000	0.116023	-0.021324	0.022232	
0.800000	0.136670	-0.027447	0.022991	
0.850000	0.153153	-0.036896	0.020280	
0.900000	0.166818	-0.043626	0.020762	
0.950000	0.177273	-0.046615	0.026116	
1.000000	0.182233	-0.046343	0.031430	
1.050000	0.180990	-0.040830	0.031442	
1.100000	0.176118	-0.028759	0.027330	
1.150000	0.171424	-0.010754	0.024520	
1.200000	0.167699	0.010634	0.025313	
1.250000	0.163028	0.033541	0.025687	
1.300000	0.155751	0.055294	0.021596	
1.350000	0.145518	0.073149	0.013700	
1.400000	0.134494	0.086312	0.007786	
1.450000	0.124533	0.096400	0.007790	
1.500000	0.114932	0.100956	0.011156	
1.550000	0.104077	0.101430	0.012022	
1.600000	0.092584	0.096886	0.007916	
1.650000	0.083138	0.087248	0.001826	
1.700000	0.078632	0.075983	-0.000979	
1.750000	0.079775	0.063658	0.000966	
1.800000	0.085229	0.049626	0.003678	
1.850000	0.093338	0.032471	0.004136	
1.900000	0.103227	0.012788	0.003054	
1.950000	0.116103	-0.007192	0.003268	
2.000000	0.132816	-0.023893	0.006703	
