HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	NacYaw    	YawRate   	YawAccel  	
(s)	(deg)     	(deg/s)   	(deg/s^2) 	
0.000000	0.000000	0.000000	0.000000	
0.050000	-0.001194	0.214710	4.294201	
0.100000	0.001423	-0.066249	-5.619175	
0.150000	-0.005146	-0.104745	-0.769932	
0.200000	-0.003765	0.045159	2.998079	
0.250000	-0.003257	-0.005845	-1.020075	
0.300000	-0.006255	-0.072104	-1.325174	
0.350000	-0.008074	-0.013090	1.180269	
0.400000	-0.006483	0.059161	1.445020	
0.450000	-0.003898	0.055710	-0.069015	
0.500000	-0.001652	0.041013	-0.293935	
0.550000	0.000140	0.023221	-0.355847	
0.600000	0.000718	-0.002334	-0.511101	
0.650000	-0.000009	-0.023824	-0.429795	
0.700000	-0.000666	-0.009350	0.289485	
0.750000	-0.001218	-0.015553	-0.124066	
0.800000	-0.002869	-0.044826	-0.585468	
0.850000	-0.004887	-0.030668	0.283160	
0.900000	-0.005580	-0.008851	0.436342	
0.950000	-0.006080	-0.004471	0.087617	
1.000000	-0.006472	-0.014274	-0.196078	
1.050000	-0.007740	-0.034400	-0.402503	
1.100000	-0.009681	-0.045820	-0.228405	
1.150000	-0.011923	-0.041616	0.084077	
1.200000	-0.013303	-0.017679	0.478742	
1.250000	-0.013780	0.002931	0.412191	
1.300000	-0.013430	0.011663	0.174649	
1.350000	-0.012821	0.018149	0.129724	
1.400000	-0.011634	0.024273	0.122473	
1.450000	-0.010899	0.012004	-0.245386	
1.500000	-0.009846	0.031199	0.383906	
1.550000	-0.008065	0.030334	-0.017289	
1.600000	-0.007049	0.021531	-0.176075	
1.650000	-0.005580	0.030714	0.183673	
1.700000	-0.004123	0.023181	-0.150657	
1.750000	-0.003504	0.002234	-0.418943	
1.800000	-0.003998	-0.024117	-0.527020	
1.850000	-0.005541	-0.035577	-0.229208	
1.900000	-0.006964	-0.019804	0.315462	
1.950000	-0.006907	0.020344	0.802959	
2.000000	-0.005433	0.039429	0.381701	
2.050000	-0.003556	0.040763	0.026678	
2.100000	-0.001469	0.043506	0.054865	
2.150000	0.001195	0.065208	0.434039	
2.200000	0.004532	0.057614	-0.151890	
2.250000	0.006549	0.034831	-0.455651	
2.300000	0.008068	0.012571	-0.445195	
2.350000	0.007742	-0.025274	-0.756906	
2.400000	0.005972	-0.042153	-0.337579	
2.450000	0.004212	-0.032130	0.200468	
2.500000	0.003191	-0.006865	0.505290	
2.550000	0.003340	0.013464	0.406589	
2.600000	0.004192	0.023934	0.209399	
2.650000	0.005297	0.022134	-0.036010	
2.700000	0.006524	0.026720	0.091732	
2.750000	0.007938	0.028299	0.031580	
2.800000	0.008854	0.003572	-0.494549	
2.850000	0.008208	-0.025179	-0.575011	
2.900000	0.006890	-0.028994	-0.076313	
2.950000	0.006124	-0.004994	0.480011	
3.000000	0.006163	0.003387	0.167610	
3.050000	0.005990	-0.002377	-0.115273	
3.100000	0.006103	0.003244	0.112425	
3.150000	0.005934	-0.011921	-0.303311	
3.200000	0.005022	-0.017004	-0.101655	
3.250000	0.004644	-0.004610	0.247884	
3.300000	0.004256	-0.006407	-0.035950	
3.350000	0.004195	0.003727	0.202689	
3.400000	0.004769	0.011609	0.157637	
3.450000	0.004453	-0.020753	-0.647250	
3.500000	0.002741	-0.041377	-0.412481	
3.550000	0.001354	-0.019671	0.434123	
3.600000	0.000783	-0.009297	0.207480	
3.650000	0.000023	-0.005823	0.069485	
3.700000	0.000633	0.030177	0.720000	
3.750000	0.003020	0.062738	0.651227	
3.800000	0.006133	0.068281	0.110863	
3.850000	0.009750	0.076035	0.155065	
3.900000	0.013195	0.053075	-0.459195	
3.950000	0.014637	0.007600	-0.909495	
4.000000	0.014403	-0.021264	-0.577281	
4.050000	0.012985	-0.032756	-0.229844	
4.100000	0.011907	-0.016067	0.333793	
4.150000	0.011608	0.006052	0.442379	
4.200000	0.012003	0.010623	0.091422	
4.250000	0.012562	0.016685	0.121235	
4.300000	0.013315	0.007344	-0.186827	
4.350000	0.013211	-0.008843	-0.323729	
4.400000	0.012673	-0.013917	-0.101497	
4.450000	0.012108	-0.012229	0.033767	
4.500000	0.011286	-0.025627	-0.267956	
4.550000	0.009455	-0.040337	-0.294208	
4.600000	0.007409	-0.043671	-0.066675	
4.650000	0.005651	-0.025866	0.356099	
4.700000	0.004868	-0.003568	0.445972	
4.750000	0.005230	0.019929	0.469926	
4.800000	0.006432	0.027460	0.150620	
4.850000	0.007424	0.014758	-0.254034	
4.900000	0.008037	0.007639	-0.142375	
4.950000	0.008145	-0.003857	-0.229920	
5.000000	0.007660	-0.015526	-0.233383	
5.050000	0.007134	-0.003161	0.247298	
5.100000	0.007481	0.012587	0.314948	
5.150000	0.008001	0.009402	-0.063691	
5.200000	0.008111	-0.002863	-0.245305	
5.250000	0.007790	-0.010864	-0.160006	
5.300000	0.007192	-0.020743	-0.197580	
5.350000	0.005296	-0.050390	-0.592959	
5.400000	0.003029	-0.039466	0.218487	
5.450000	0.001470	-0.032808	0.133170	
5.500000	-0.000692	-0.044673	-0.237304	
5.550000	-0.002568	-0.028067	0.332119	
5.600000	-0.003242	0.001099	0.583316	
5.650000	-0.002815	0.016365	0.305328	
5.700000	-0.001934	0.029917	0.271030	
5.750000	0.000392	0.060455	0.610754	
5.800000	0.004069	0.083197	0.454855	
5.850000	0.007757	0.062901	-0.405933	
5.900000	0.010057	0.036770	-0.522605	
5.950000	0.011547	0.010828	-0.518847	
6.000000	0.011303	-0.019549	-0.607542	
6.050000	0.010065	-0.030487	-0.218756	
6.100000	0.008823	-0.022944	0.150856	
6.150000	0.007814	-0.010270	0.253476	
6.200000	0.007756	-0.001522	0.174971	
6.250000	0.007351	-0.009299	-0.155537	
6.300000	0.006925	-0.007741	0.031143	
6.350000	0.006460	-0.013582	-0.116810	
6.400000	0.005622	-0.018111	-0.090579	
6.450000	0.004620	-0.022638	-0.090544	
6.500000	0.003447	-0.026385	-0.074929	
6.550000	0.001898	-0.034172	-0.155746	
6.600000	0.000232	-0.033619	0.011059	
6.650000	-0.001524	-0.038610	-0.099824	
6.700000	-0.003580	-0.037929	0.013624	
6.750000	-0.004730	-0.010362	0.551345	
6.800000	-0.004924	0.001822	0.243679	
6.850000	-0.004707	0.014340	0.250355	
6.900000	-0.003658	0.023607	0.185337	
6.950000	-0.002846	0.008136	-0.309412	
7.000000	-0.002961	-0.006358	-0.289890	
7.050000	-0.002848	0.004512	0.217411	
7.100000	-0.002632	0.004265	-0.004948	
7.150000	-0.002543	0.002316	-0.038971	
7.200000	-0.002135	0.009944	0.152559	
7.250000	-0.001920	0.000531	-0.188277	
7.300000	-0.001989	-0.003748	-0.085571	
7.350000	-0.002338	-0.011799	-0.161015	
7.400000	-0.002939	-0.006285	0.110280	
7.450000	-0.002733	0.010151	0.328711	
7.500000	-0.001854	0.030110	0.399193	
7.550000	-0.000103	0.036432	0.126438	
7.600000	0.001519	0.033756	-0.053531	
7.650000	0.003192	0.032247	-0.030167	
7.700000	0.004792	0.033370	0.022455	
7.750000	0.006499	0.036390	0.060397	
7.800000	0.008876	0.054889	0.369980	
7.850000	0.011485	0.047464	-0.148491	
7.900000	0.013330	0.030567	-0.337958	
7.950000	0.014577	0.013207	-0.347199	
8.000000	0.014541	-0.015417	-0.572479	
8.050000	0.013631	-0.019308	-0.077817	
8.100000	0.012870	-0.016686	0.052446	
8.150000	0.011896	-0.021848	-0.103234	
8.200000	0.010677	-0.024015	-0.043357	
8.250000	0.009925	-0.013262	0.215069	
8.300000	0.008677	-0.037996	-0.494686	
8.350000	0.006144	-0.052948	-0.299033	
8.400000	0.004207	-0.033804	0.382885	
8.450000	0.002763	-0.022398	0.228105	
8.500000	0.001570	-0.021443	0.019101	
8.550000	0.000639	-0.011859	0.191681	
8.600000	0.000598	0.007255	0.382280	
8.650000	0.001107	0.011929	0.093494	
8.700000	0.001303	0.004148	-0.155634	
8.750000	0.002136	0.023957	0.396181	
8.800000	0.003481	0.024875	0.018368	
8.850000	0.004001	-0.002049	-0.538488	
8.900000	0.003326	-0.018125	-0.321514	
8.950000	0.002880	-0.012120	0.120100	
9.000000	0.001680	-0.027669	-0.310982	
9.050000	0.000595	-0.016472	0.223937	
9.100000	0.000216	0.000278	0.334997	
9.150000	0.000920	0.028997	0.574395	
9.200000	0.002242	0.025048	-0.078980	
9.250000	0.003180	0.015601	-0.188957	
9.300000	0.003701	0.002246	-0.267089	
9.350000	0.003822	0.003689	0.028866	
9.400000	0.004450	0.021466	0.355523	
9.450000	0.005805	0.027234	0.115376	
9.500000	0.006893	0.028056	0.016435	
9.550000	0.008658	0.038101	0.200903	
9.600000	0.010445	0.031908	-0.123867	
9.650000	0.011724	0.026652	-0.105108	
9.700000	0.013286	0.034523	0.157406	
9.750000	0.015651	0.057618	0.461899	
9.800000	0.018347	0.044750	-0.257346	
9.850000	0.019790	0.021228	-0.470448	
9.900000	0.020785	0.008915	-0.246268	
9.950000	0.020605	-0.015606	-0.490417	
10.000000	0.019782	-0.016033	-0.008539	
10.050000	0.018994	-0.021049	-0.100310	
10.100000	0.017541	-0.034915	-0.277317	
10.150000	0.015644	-0.040791	-0.117525	
10.200000	0.013811	-0.033231	0.151192	
10.250000	0.012419	-0.021958	0.225472	
10.300000	0.011627	-0.010808	0.223001	
10.350000	0.011080	-0.011206	-0.007974	
10.400000	0.010460	-0.008449	0.055140	
10.450000	0.010137	-0.013813	-0.107266	
10.500000	0.008917	-0.031780	-0.359352	
10.550000	0.006943	-0.046254	-0.289467	
10.600000	0.005289	-0.017347	0.578125	
