HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	PtfmTDxt  	PtfmTDyt  	PtfmTDzt  	PtfmSurge 	PtfmSway  	PtfmHeave 	PtfmRoll  	PtfmPitch 	PtfmYaw   	
(s)	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(deg)     	(deg)     	(deg)     	
0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	0.000007	-0.000002	0.000020	0.000007	-0.000002	0.000020	0.000001	0.000005	-0.000358	
0.100000	-0.000016	-0.000032	0.000067	-0.000016	-0.000032	0.000067	0.000022	-0.000011	-0.001112	
0.150000	-0.000030	-0.000043	0.000136	-0.000030	-0.000043	0.000136	0.000028	-0.000021	-0.001937	
0.200000	-0.000016	0.000118	0.000217	-0.000016	0.000118	0.000217	-0.000083	-0.000012	-0.003528	
0.250000	0.000006	0.000526	0.000301	0.000006	0.000526	0.000301	-0.000363	0.000001	-0.005654	
0.300000	-0.000001	0.001123	0.000376	-0.000001	0.001123	0.000376	-0.000771	-0.000006	-0.008379	
0.350000	-0.000042	0.001830	0.000434	-0.000041	0.001830	0.000433	-0.001255	-0.000037	-0.012065	
0.400000	-0.000085	0.002652	0.000469	-0.000084	0.002652	0.000469	-0.001815	-0.000070	-0.016877	
0.450000	-0.000102	0.003594	0.000478	-0.000101	0.003594	0.000478	-0.002456	-0.000087	-0.022599	
0.500000	-0.000109	0.004547	0.000464	-0.000107	0.004547	0.000464	-0.003101	-0.000098	-0.028898	
0.550000	-0.000157	0.005332	0.000429	-0.000154	0.005332	0.000429	-0.003629	-0.000138	-0.035448	
0.600000	-0.000272	0.005865	0.000379	-0.000268	0.005865	0.000379	-0.003981	-0.000224	-0.041997	
0.650000	-0.000416	0.006211	0.000320	-0.000410	0.006212	0.000319	-0.004202	-0.000330	-0.048469	
0.700000	-0.000520	0.006471	0.000256	-0.000514	0.006472	0.000256	-0.004360	-0.000410	-0.054945	
0.750000	-0.000555	0.006677	0.000194	-0.000548	0.006678	0.000193	-0.004475	-0.000443	-0.061495	
0.800000	-0.000544	0.006816	0.000137	-0.000536	0.006816	0.000136	-0.004540	-0.000443	-0.068198	
0.850000	-0.000508	0.006905	0.000087	-0.000499	0.006906	0.000087	-0.004567	-0.000424	-0.075275	
0.900000	-0.000411	0.006996	0.000046	-0.000401	0.006997	0.000045	-0.004590	-0.000362	-0.082963	
0.950000	-0.000168	0.007099	0.000011	-0.000157	0.007099	0.000010	-0.004616	-0.000197	-0.091345	
1.000000	0.000288	0.007148	-0.000020	0.000301	0.007148	-0.000020	-0.004598	0.000117	-0.100480	
1.050000	0.000968	0.007037	-0.000049	0.000982	0.007035	-0.000049	-0.004465	0.000589	-0.110414	
