HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	Azimuth   	RotSpeed  	RotAccel  	GenSpeed  	GenAccel  	
(s)	(deg)     	(rpm)     	(deg/s^2) 	(rpm)     	(deg/s^2) 	
0.000000	0.000001	12.100000	0.000000	1173.700000	0.000000	
0.050000	3.622596	12.046756	-6.389143	1138.756046	-4193.271448	
0.100000	7.211970	11.870196	-21.187341	1117.625146	-2535.716284	
0.150000	10.745254	11.711453	-19.049051	1110.830034	-815.402708	
0.200000	14.253922	11.704513	-0.832942	1115.157338	519.272536	
0.250000	17.778191	11.791626	10.453602	1128.675235	1622.145343	
0.300000	21.326474	11.850131	7.020629	1148.556497	2385.758458	
0.350000	24.882353	11.848952	-0.141617	1168.121290	2347.766432	
0.400000	28.433778	11.827291	-2.599205	1178.558541	1252.477215	
0.450000	31.977471	11.792689	-4.152144	1174.920266	-436.594588	
0.500000	35.505236	11.716329	-9.163249	1157.987698	-2031.909851	
0.550000	39.002922	11.598598	-14.127674	1132.671938	-3037.888260	
0.600000	42.464434	11.484018	-13.749692	1105.649725	-3242.668816	
0.650000	45.896577	11.402722	-9.755551	1083.845807	-2616.471533	
0.700000	49.308557	11.346248	-6.776962	1072.730569	-1333.831142	
0.750000	52.706549	11.312895	-4.002267	1073.965080	148.143751	
0.800000	56.100770	11.325246	1.482113	1085.213376	1349.800477	
0.850000	59.506576	11.384335	7.090660	1102.154557	2032.932133	
0.900000	62.931752	11.442953	7.034217	1119.966411	2137.428091	
0.950000	66.367637	11.452684	1.167595	1133.338441	1604.641675	
1.000000	69.798360	11.414488	-4.583438	1137.147096	457.039550	
1.050000	73.214793	11.362048	-6.292745	1128.656905	-1018.816551	
1.100000	76.615080	11.303928	-6.974523	1109.724054	-2271.954142	
1.150000	79.994876	11.222734	-9.743248	1086.290978	-2811.960792	
1.200000	83.346532	11.121088	-12.197427	1064.811146	-2577.585426	
1.250000	86.669009	11.037265	-10.058873	1049.966868	-1781.307509	
1.300000	89.973973	11.005897	-3.764166	1044.428903	-664.559537	
1.350000	93.277499	11.022789	2.027235	1048.962143	543.992670	
1.400000	96.589742	11.058568	4.293288	1061.850086	1546.543736	
1.450000	99.912396	11.090443	3.825084	1078.643524	2015.213806	
