HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	LSSGagMya 	LSSGagMza 	LSSGagMys 	LSSGagMzs 	
(s)	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-3030.037251	333.720758	-3045.068693	141.603676	
0.100000	-1526.297321	220.433161	-1541.895215	27.077075	
0.150000	-1722.573328	193.029662	-1728.358401	-131.516108	
0.200000	-1918.933271	191.230822	-1906.941949	-287.135460	
0.250000	-2001.800047	283.023624	-1992.621749	-341.707221	
0.300000	-2175.037385	430.837039	-2182.785515	-389.686453	
0.350000	-2497.935676	469.412119	-2463.569743	-625.184138	
0.400000	-2489.158608	653.659244	-2500.121537	-610.387657	
0.450000	-2306.960555	873.921555	-2419.710268	-480.423891	
0.500000	-1858.294667	1097.790653	-2150.339628	-185.585246	
0.550000	-1525.107652	1249.885488	-1971.810215	11.461588	
0.600000	-1442.331361	1586.287309	-2134.956847	196.434081	
0.650000	-1509.698473	1854.190608	-2382.149344	206.343235	
0.700000	-1609.783173	1929.956694	-2512.909157	37.714464	
0.750000	-1552.519898	1953.869209	-2495.054309	-51.251554	
0.800000	-1451.977143	2026.195390	-2491.598885	-75.091709	
0.850000	-1468.033356	2178.017221	-2621.707925	-159.774038	
0.900000	-1509.801521	2018.588099	-2484.519557	-425.864099	
0.950000	-1703.094820	2067.391626	-2576.726367	-731.519101	
1.000000	-1828.707429	2131.616032	-2631.984231	-980.110407	
1.050000	-1770.949363	1660.714152	-2101.381034	-1215.907884	
1.100000	-1642.913401	1376.467262	-1719.399176	-1279.645725	
1.150000	-1785.296071	1081.129549	-1374.858661	-1570.314191	
1.200000	-1794.160209	447.908168	-652.770427	-1730.180310	
1.250000	-1932.016089	79.125490	-191.250018	-1924.154568	
1.300000	-1827.404803	-46.489863	45.659755	-1827.425808	
1.350000	-1618.840949	91.234868	1.466980	-1621.409185	
1.400000	-1235.576757	741.461353	-594.768772	-1312.503304	
1.450000	-820.528251	1372.497265	-1210.761247	-1044.544136	
1.500000	-823.208139	1851.267979	-1613.461152	-1225.401290	
1.550000	-326.590336	2117.930048	-1936.743320	-917.232578	
1.600000	-257.029848	2123.397751	-1909.032930	-964.611438	
1.650000	-192.210903	2109.593238	-1862.890186	-1008.448477	
1.700000	-34.986585	2043.952668	-1813.280776	-943.917609	
1.750000	148.829153	1874.531271	-1700.777474	-802.105457	
1.800000	353.172668	1675.140953	-1596.908524	-617.018040	
1.850000	228.487362	1699.018187	-1505.220930	-820.475904	
1.900000	120.187924	1699.882185	-1388.701801	-987.700418	
1.950000	129.818188	1476.842951	-1173.719295	-905.704771	
2.000000	152.449878	1248.094338	-978.063270	-790.172740	
2.050000	264.337687	693.039923	-653.407021	-351.052360	
2.100000	363.976160	54.607812	-321.558896	179.053976	
2.150000	348.014935	-485.269878	-12.886592	597.022012	
2.200000	330.201437	-950.832948	209.800119	984.428614	
2.250000	255.656349	-1218.636321	345.675401	1196.220289	
2.300000	335.719186	-1357.978575	264.122197	1373.700478	
2.350000	437.188129	-1361.304372	94.508649	1426.657312	
2.400000	484.139017	-1080.929824	-117.426743	1178.562950	
2.450000	456.457364	-939.013500	-192.664815	1026.148048	
2.500000	380.828571	-744.660338	-215.603896	808.124044	
2.550000	460.791424	-683.567816	-348.169384	747.242547	
2.600000	462.740704	-845.454913	-374.183359	888.205970	
2.650000	328.555823	-1145.678104	-274.445149	1159.830600	
2.700000	326.702733	-1246.638955	-337.016072	1243.890426	
2.750000	349.516475	-1470.853515	-442.117406	1445.719371	
2.800000	475.216408	-1577.194207	-658.411511	1509.922860	
2.850000	530.456923	-1731.524486	-821.208615	1614.056337	
2.900000	303.751905	-1710.274876	-682.347906	1597.406267	
2.950000	183.002029	-1504.658081	-594.771981	1394.177924	
3.000000	-176.824657	-1291.314402	-259.174828	1277.336487	
3.050000	-419.406020	-1150.633959	-49.836020	1223.673369	
3.100000	-507.922090	-1224.365716	-67.549359	1323.817638	
3.150000	-540.230460	-1136.654467	-68.707693	1256.627123	
3.200000	-187.331590	-1196.911805	-468.693242	1117.147098	
3.250000	261.412159	-1143.731917	-866.935675	790.494261	
3.300000	325.087384	-1441.131732	-1141.448140	937.890373	
3.350000	421.572301	-1492.838577	-1297.393913	850.329002	
3.400000	278.326094	-1616.263622	-1324.481945	967.223526	
3.450000	255.340058	-1662.760575	-1393.143468	942.932701	
3.500000	266.627705	-1631.059957	-1424.567492	837.886317	
3.550000	537.648328	-1804.099129	-1768.006778	646.522763	
3.600000	613.342199	-2089.983500	-2079.954953	646.534730	
3.650000	701.039269	-2279.413155	-2319.169887	555.545770	
3.700000	730.358199	-2560.571312	-2608.428778	534.833690	
3.750000	545.931964	-2710.261990	-2693.262772	624.417491	
3.800000	73.331439	-3006.536211	-2826.533323	1027.300996	
3.850000	-419.295635	-3010.392278	-2726.574290	1343.154040	
3.900000	-1017.418053	-2943.247624	-2572.866243	1754.481493	
3.950000	-1478.419233	-2867.318979	-2491.857390	2048.874952	
4.000000	-1843.042224	-2756.061027	-2430.159636	2255.438074	
4.050000	-1914.475375	-2517.651020	-2301.959074	2169.047848	
4.100000	-1970.665149	-2463.140032	-2356.179213	2097.379281	
4.150000	-1940.207108	-2583.486794	-2583.991195	1939.535481	
4.200000	-2115.139303	-2464.156046	-2572.776285	1981.590593	
4.250000	-2537.176805	-2391.779534	-2646.253107	2270.511384	
4.300000	-2847.061205	-2334.798220	-2755.081956	2442.654343	
4.350000	-3156.394675	-1961.604261	-2580.488371	2674.284375	
4.400000	-3154.000488	-1781.125258	-2543.770557	2578.634500	
4.450000	-3055.651608	-1781.015225	-2646.170008	2346.657645	
4.500000	-3175.359479	-1914.630033	-2934.756974	2266.256025	
4.550000	-3012.508370	-1766.675581	-2848.728864	2020.171644	
4.600000	-2699.425574	-1833.471222	-2867.166913	1558.162407	
4.650000	-2487.740529	-2089.958426	-3059.799531	1092.888596	
4.700000	-2587.021295	-2308.137854	-3349.803493	893.865690	
4.750000	-2605.365853	-2293.638619	-3391.225007	740.474750	
4.800000	-2772.363669	-2177.776594	-3441.576847	764.369438	
4.850000	-3200.589953	-1766.148843	-3461.047063	1176.525056	
4.900000	-3682.188062	-1250.829807	-3498.496331	1698.119414	
4.950000	-3551.479908	-1116.479252	-3396.042405	1525.264515	
5.000000	-3522.044668	-1055.847953	-3410.859892	1373.189382	
5.050000	-3503.054274	-851.821456	-3344.347399	1346.228788	
5.100000	-3613.780377	-650.066942	-3395.352774	1397.703972	
5.150000	-3664.852005	-460.347993	-3415.039663	1407.325185	
5.200000	-3788.002477	-298.110739	-3521.894247	1426.216315	
5.250000	-3982.067962	-190.771654	-3726.860777	1415.545357	
5.300000	-4282.975949	-81.640795	-4039.344302	1426.268889	
5.350000	-4513.283928	-25.717170	-4311.191376	1335.673068	
5.400000	-4637.986897	-165.334862	-4530.997547	1004.150712	
5.450000	-4634.863034	-268.903271	-4595.092019	662.868687	
