HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwrBsFxt  	TwrBsFyt  	TwrBsFzt  	TwrBsMxt  	TwrBsMyt  	TwrBsMzt  	
(s)	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	-0.000000	
0.050000	113.050507	-12.110736	-5777.060547	846.185608	7339.825195	169.001236	
0.100000	-7.743414	-31.288300	-5779.519043	680.656738	-242.802719	-369.365173	
0.150000	19.100761	53.988960	-5804.770996	-1967.943359	102.533348	229.696884	
0.200000	22.084829	161.909119	-5837.045410	-5055.718262	21.548679	751.971130	
0.250000	1.925244	170.024750	-5869.192871	-5397.200195	-413.612152	634.983093	
0.300000	-23.697685	104.579163	-5896.548828	-3511.071289	-1612.757446	760.635925	
0.350000	-11.360493	81.605148	-5918.311523	-2342.006104	-1522.616333	1227.916992	
0.400000	23.624289	111.659805	-5932.148926	-2163.823975	-376.085480	1225.039917	
0.450000	38.987164	91.133293	-5933.648926	-480.367828	274.559570	930.898743	
0.500000	1.093702	-22.621290	-5925.162109	3623.397217	-1190.503296	540.164185	
0.550000	-38.572105	-131.105499	-5911.502930	7380.455078	-2088.965088	272.469452	
0.600000	-34.934013	-131.770905	-5895.585938	8068.726074	-1635.842163	33.942856	
0.650000	14.209961	-53.321571	-5880.529297	6421.814453	270.141235	12.736905	
0.700000	56.031940	-0.066681	-5866.845703	5184.386719	2019.811890	231.759171	
0.750000	50.431053	-4.550646	-5854.787109	5261.813477	2374.223633	294.163696	
0.800000	13.504709	-10.933580	-5845.828125	5336.202637	1812.234497	269.155365	
0.850000	4.490564	20.596430	-5843.027832	4594.574219	2077.683594	387.271759	
0.900000	46.794243	53.154770	-5844.670898	4085.954590	4300.110352	624.663147	
0.950000	100.293411	37.373577	-5849.730469	4978.003418	6488.156250	857.788574	
1.000000	118.010300	-26.180290	-5855.700195	7178.656738	7475.526855	1033.926758	
1.050000	100.143402	-98.324867	-5860.892090	9795.487305	8119.976074	1210.734253	
1.100000	90.745659	-142.265091	-5866.373535	11568.455078	9052.338867	1293.358521	
1.150000	103.870514	-152.595291	-5868.328125	12078.286133	10016.164062	1664.863037	
1.200000	133.952148	-138.922897	-5866.386230	11640.465820	11905.522461	1955.166260	
1.250000	129.276886	-110.398308	-5859.715332	10388.998047	12141.280273	2271.881348	
1.300000	103.765495	-77.008492	-5851.373535	8787.739258	11905.038086	2287.138672	
1.350000	92.467834	-40.608700	-5843.601074	6944.944336	12270.564453	2181.854492	
1.400000	122.442123	1.448223	-5839.821289	4845.678223	13370.975586	1922.974243	
1.450000	185.787979	42.334827	-5839.891113	2869.064941	15763.396484	1611.894409	
1.500000	214.400253	61.513943	-5842.962402	1486.602295	16445.880859	1737.199341	
1.550000	200.214371	46.111801	-5850.347168	1176.952026	15781.232422	1246.007690	
1.600000	159.805908	10.996058	-5860.678223	1491.112915	14292.478516	1099.504883	
1.650000	143.930450	-13.230632	-5876.091797	1528.865234	13829.772461	1004.504944	
1.700000	142.365677	-11.620330	-5892.161133	827.389465	12744.510742	794.662781	
1.750000	157.779053	9.204911	-5908.232910	-409.595337	12571.201172	584.349854	
1.800000	142.168839	31.494829	-5919.758789	-1711.618530	11322.336914	414.530304	
1.850000	108.642609	51.505184	-5922.562500	-2966.242920	9655.351562	721.226318	
1.900000	80.249542	78.508369	-5916.730469	-4311.022461	8106.402344	1054.252930	
1.950000	73.042023	113.581268	-5905.143066	-5596.912109	7416.625977	1146.048096	
2.000000	74.786316	143.085907	-5887.674316	-6509.065430	6805.770996	1121.360840	
2.050000	65.329338	147.947174	-5867.423340	-6510.034180	5791.457520	734.328674	
2.100000	31.383512	122.055321	-5846.212402	-5461.358887	3946.534424	224.651855	
2.150000	-3.208112	78.877663	-5827.617188	-3690.645508	2560.913330	-194.037796	
2.200000	-16.985210	39.630810	-5815.438477	-1982.250000	2120.128662	-677.250244	
2.250000	-11.402719	14.818696	-5810.750000	-647.628845	2174.082275	-977.429749	
2.300000	5.311099	3.215425	-5816.241211	186.760086	2634.545898	-1211.664429	
2.350000	13.130353	-2.377807	-5830.308105	721.790894	2877.260010	-1322.926147	
2.400000	25.748726	-0.704121	-5851.622559	990.214294	3927.786133	-1048.149292	
2.450000	32.388638	12.791544	-5877.044434	912.636353	4633.919922	-829.979126	
2.500000	50.179760	36.263226	-5903.438965	559.131226	5815.934082	-542.514587	
2.550000	69.032394	56.596451	-5928.020020	318.114227	6788.020020	-431.836884	
2.600000	82.476242	57.481503	-5947.352539	811.308594	7809.613281	-539.380371	
2.650000	94.150284	36.211472	-5957.985840	2154.657959	9212.383789	-798.860046	
2.700000	103.116676	1.858214	-5957.303711	3979.800049	10361.138672	-868.567688	
2.750000	119.256706	-35.741333	-5948.168945	5968.973145	11668.047852	-1095.968872	
2.800000	142.682404	-68.222054	-5929.267578	7689.097168	12996.937500	-1230.735596	
2.850000	162.856659	-94.361702	-5905.798828	9154.531250	14115.063477	-1378.886353	
2.900000	171.894699	-111.885109	-5879.483398	10250.497070	14957.950195	-1365.322998	
2.950000	169.413864	-114.474121	-5855.818359	10665.643555	15436.362305	-1145.729492	
3.000000	162.265610	-100.835159	-5836.547852	10465.719727	16095.222656	-1060.000000	
3.050000	147.118484	-74.474037	-5823.140625	9553.728516	15665.035156	-1032.148071	
3.100000	159.273468	-49.831383	-5820.795898	8696.419922	16659.259766	-1110.020630	
3.150000	177.056824	-36.449844	-5825.750977	8164.709961	17732.496094	-1068.667969	
3.200000	202.101700	-31.701078	-5839.611328	7802.221191	18849.902344	-907.540649	
3.250000	220.621872	-36.546082	-5857.308105	7696.075195	19566.367188	-555.496765	
3.300000	233.419067	-48.659298	-5878.167480	7804.518066	20083.123047	-712.495972	
3.350000	238.378143	-65.862129	-5896.188965	8074.206055	20573.208984	-588.813965	
3.400000	231.246292	-79.727524	-5910.843262	8144.329590	20419.263672	-681.179382	
3.450000	231.150101	-82.655800	-5918.432129	7755.143066	20418.310547	-674.789795	
3.500000	236.800797	-73.083641	-5920.215332	6902.026855	20557.398438	-511.370789	
3.550000	242.240479	-51.512924	-5917.356934	5446.363770	20299.191406	-217.167191	
3.600000	241.287704	-21.585880	-5911.341309	3737.843506	19882.222656	-195.799133	
3.650000	228.991806	14.002147	-5902.696289	1795.655396	18975.591797	-111.543671	
3.700000	219.910187	47.316326	-5894.802734	-136.895859	18124.191406	-69.829498	
3.750000	221.787170	66.501457	-5886.354492	-1489.056152	17691.222656	-233.429672	
3.800000	224.640930	76.835472	-5880.734375	-2574.469238	17053.626953	-767.099854	
3.850000	209.058456	79.439980	-5878.841309	-3283.701416	15984.155273	-1186.084961	
3.900000	175.429565	75.502037	-5879.595215	-3637.340576	14211.324219	-1744.021118	
3.950000	155.912933	70.355698	-5883.271484	-3937.663818	13190.811523	-2138.865479	
4.000000	152.577133	63.908558	-5888.522949	-3981.060791	12452.080078	-2354.645996	
4.050000	154.520432	58.828037	-5893.835938	-3930.129883	11787.553711	-2240.072754	
4.100000	160.003738	57.468582	-5899.442871	-3811.505371	11911.193359	-2072.302979	
4.150000	152.703537	63.445614	-5902.354980	-3924.906982	11615.282227	-1808.049072	
4.200000	144.142288	75.525032	-5901.875488	-4078.405029	11276.624023	-1757.473755	
4.250000	150.776199	88.029716	-5898.980469	-4113.567871	11402.138672	-1926.784302	
4.300000	158.777557	90.108803	-5892.983887	-3811.687744	11303.075195	-2024.073242	
4.350000	164.285614	76.624413	-5886.084961	-2822.563965	11775.986328	-2202.625732	
4.400000	150.145782	55.346653	-5877.929199	-1563.682861	11454.401367	-2075.062500	
4.450000	140.372345	34.877697	-5871.173828	-296.776398	11350.342773	-1855.891357	
