HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TwHtALxt  N_0	TwHtALxt  N_1	TwHtALxt  N_2	TwHtALxt  N_3	TwHtALxt  N_4	TwHtALxt  N_5	TwHtALxt  N_7	TwHtALxt  N_8	TwHtALxt  N_9	TwHtALxt  N_10	TwHtALyt  N_0	TwHtALyt  N_1	TwHtALyt  N_2	TwHtALyt  N_3	TwHtALyt  N_4	TwHtALyt  N_5	TwHtALyt  N_7	TwHtALyt  N_8	TwHtALyt  N_9	TwHtALyt  N_10	TwHtALzt  N_0	TwHtALzt  N_1	TwHtALzt  N_2	TwHtALzt  N_3	TwHtALzt  N_4	TwHtALzt  N_5	TwHtALzt  N_7	TwHtALzt  N_8	TwHtALzt  N_9	TwHtALzt  N_10	TwHtTDxt  N_0	TwHtTDxt  N_1	TwHtTDxt  N_2	TwHtTDxt  N_3	TwHtTDxt  N_4	TwHtTDxt  N_5	TwHtTDxt  N_7	TwHtTDxt  N_8	TwHtTDxt  N_9	TwHtTDxt  N_10	TwHtTDyt  N_0	TwHtTDyt  N_1	TwHtTDyt  N_2	TwHtTDyt  N_3	TwHtTDyt  N_4	TwHtTDyt  N_5	TwHtTDyt  N_7	TwHtTDyt  N_8	TwHtTDyt  N_9	TwHtTDyt  N_10	TwHtTDzt  N_0	TwHtTDzt  N_1	TwHtTDzt  N_2	TwHtTDzt  N_3	TwHtTDzt  N_4	TwHtTDzt  N_5	TwHtTDzt  N_7	TwHtTDzt  N_8	TwHtTDzt  N_9	TwHtTDzt  N_10	
(s)	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m/s^2)   	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	(m)       	
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
0.050000	-0.006140	-0.002791	0.005761	0.014713	0.017846	0.007746	-0.084036	-0.179692	-0.313674	-0.483973	-0.005111	0.006173	0.037564	0.082510	0.132284	0.176364	0.202138	0.164184	0.085472	-0.030430	0.013552	0.013552	0.013551	0.013551	0.013550	0.013549	0.013546	0.013541	0.013532	0.013517	-0.000000	-0.000021	-0.000083	-0.000179	-0.000301	-0.000439	-0.000711	-0.000821	-0.000901	-0.000947	0.000000	0.000005	0.000020	0.000041	0.000064	0.000083	0.000089	0.000066	0.000023	-0.000039	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	
0.100000	-0.005000	0.002273	0.022240	0.049634	0.077473	0.097305	0.075832	0.017673	-0.079088	-0.213512	-0.012094	0.033530	0.159102	0.338295	0.536059	0.710148	0.805476	0.647902	0.326020	-0.145757	0.010219	0.010216	0.010209	0.010196	0.010176	0.010153	0.010090	0.010033	0.009939	0.009796	0.000000	0.000003	0.000004	-0.000012	-0.000066	-0.000181	-0.000688	-0.001123	-0.001691	-0.002382	0.000000	0.000094	0.000351	0.000716	0.001120	0.001477	0.001682	0.001372	0.000731	-0.000213	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	
0.150000	0.010808	-0.000515	-0.033554	-0.082875	-0.141081	-0.199058	-0.273403	-0.270504	-0.232030	-0.157391	0.039830	0.050393	0.072446	0.100124	0.125752	0.140181	0.096544	0.021937	-0.093226	-0.245167	0.007067	0.007068	0.007060	0.007042	0.007020	0.007001	0.006977	0.006943	0.006854	0.006683	0.000000	0.000019	0.000059	0.000082	0.000045	-0.000107	-0.000985	-0.001809	-0.002925	-0.004315	0.000000	0.000267	0.000993	0.002024	0.003158	0.004150	0.004661	0.003725	0.001834	-0.000926	-0.000000	-0.000000	-0.000001	-0.000000	-0.000002	-0.000000	-0.000000	-0.000004	0.000000	0.000000	
0.200000	0.010746	-0.001994	-0.038494	-0.091864	-0.152813	-0.209955	-0.262084	-0.233466	-0.157882	-0.035264	0.103723	0.057689	-0.084084	-0.294566	-0.537479	-0.768879	-1.006964	-0.930524	-0.693910	-0.310693	0.002827	0.002836	0.002836	0.002827	0.002829	0.002864	0.003104	0.003273	0.003402	0.003433	0.000000	-0.000002	-0.000030	-0.000119	-0.000317	-0.000676	-0.002108	-0.003273	-0.004764	-0.006556	0.000000	0.000368	0.001362	0.002765	0.004286	0.005577	0.005973	0.004430	0.001504	-0.002683	0.000000	-0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	0.000000	-0.000000	
0.250000	-0.004937	-0.002575	0.005028	0.017083	0.032470	0.049770	0.083527	0.096733	0.105803	0.110274	0.105842	0.067642	-0.053184	-0.233994	-0.444345	-0.647324	-0.871235	-0.822143	-0.640385	-0.337115	-0.001418	-0.001410	-0.001411	-0.001423	-0.001431	-0.001414	-0.001241	-0.001101	-0.000977	-0.000914	-0.000000	-0.000039	-0.000173	-0.000433	-0.000853	-0.001476	-0.003489	-0.004939	-0.006691	-0.008712	0.000000	0.000324	0.001190	0.002384	0.003626	0.004579	0.004181	0.002210	-0.001151	-0.005777	0.000000	-0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	-0.000000	-0.000000	
0.300000	-0.017124	-0.002208	0.041883	0.107911	0.186025	0.264076	0.365421	0.363007	0.313355	0.215631	0.063123	0.074665	0.095793	0.120570	0.141275	0.148736	0.085087	-0.002429	-0.132255	-0.300385	-0.005180	-0.005177	-0.005175	-0.005180	-0.005196	-0.005226	-0.005322	-0.005369	-0.005400	-0.005411	-0.000000	-0.000047	-0.000210	-0.000523	-0.001029	-0.001775	-0.004178	-0.005904	-0.007988	-0.010388	0.000000	0.000233	0.000837	0.001623	0.002346	0.002712	0.001133	-0.001343	-0.005116	-0.010063	0.000000	0.000000	-0.000001	0.000000	-0.000002	0.000000	0.000000	-0.000004	-0.000000	-0.000000	
0.350000	-0.010199	-0.002184	0.022161	0.059754	0.106310	0.156477	0.243207	0.267969	0.274536	0.261847	0.044727	0.063340	0.106775	0.165077	0.225110	0.271125	0.253741	0.161416	0.003595	-0.213788	-0.008137	-0.008135	-0.008133	-0.008137	-0.008151	-0.008185	-0.008325	-0.008419	-0.008510	-0.008586	-0.000000	-0.000019	-0.000108	-0.000323	-0.000732	-0.001418	-0.003950	-0.005932	-0.008425	-0.011383	0.000000	0.000186	0.000645	0.001184	0.001554	0.001459	-0.001375	-0.004641	-0.009301	-0.015223	0.000000	0.000000	0.000000	0.000000	-0.000002	0.000000	-0.000000	-0.000004	-0.000000	-0.000008	
0.400000	0.007077	-0.003535	-0.032696	-0.073062	-0.114885	-0.146341	-0.126156	-0.050837	0.077870	0.258809	0.057192	0.031895	-0.045668	-0.160218	-0.291285	-0.414106	-0.527978	-0.472337	-0.324991	-0.093777	-0.009903	-0.009902	-0.009905	-0.009912	-0.009914	-0.009897	-0.009776	-0.009692	-0.009633	-0.009627	0.000000	0.000005	-0.000018	-0.000141	-0.000452	-0.001056	-0.003585	-0.005692	-0.008418	-0.011713	0.000000	0.000123	0.000390	0.000609	0.000536	-0.000120	-0.004391	-0.008509	-0.014096	-0.021007	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	-0.000004	-0.000000	-0.000008	
