HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	YawBrFxn  	YawBrFyn  	YawBrFzn  	YawBrFxp  	YawBrFyp  	YawBrMxn  	YawBrMyn  	YawBrMzn  	YawBrMxp  	YawBrMyp  	
(s)	(kN)      	(kN)      	(kN)      	(kN)      	(kN)      	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	(kN-m)    	
0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	
0.050000	99.285927	12.417454	-3319.059326	99.286186	12.415384	747.430115	-1331.212891	-168.981995	747.402344	-1331.228516	
0.100000	-0.392465	67.120674	-3322.380859	-0.394131	67.120667	1690.072998	-42.888577	369.325592	1690.074097	-42.846611	
0.150000	-14.922833	68.903137	-3348.425293	-14.916646	68.904480	3121.604248	-403.505707	-229.686844	3121.567871	-403.786041	
0.200000	-10.098742	45.701550	-3381.725098	-10.095738	45.702213	4255.102051	-677.937500	-751.903320	4255.057617	-678.217041	
0.250000	11.272223	70.791199	-3414.968994	11.276246	70.790558	5143.551270	-769.431702	-635.027100	5143.507812	-769.724060	
0.300000	19.427746	119.779915	-3443.328613	19.440821	119.777786	5642.625000	-989.902832	-760.726013	5642.516602	-990.518799	
0.350000	17.436110	115.461563	-3465.849121	17.452381	115.459106	5520.248047	-1369.568726	-1227.943115	5520.055176	-1370.346680	
0.400000	8.605289	49.069519	-3480.074463	8.610842	49.068542	4690.414551	-1531.838257	-1225.091431	4690.241211	-1532.369019	
0.450000	5.746030	-6.611487	-3481.609619	5.745580	-6.611878	3372.351318	-1487.241211	-931.002991	3372.250000	-1487.470581	
0.500000	3.727807	-8.775099	-3472.822021	3.727554	-8.775207	2018.034302	-1144.592896	-539.979736	2018.001343	-1144.651123	
0.550000	21.766008	3.694025	-3458.653564	21.766001	3.694078	1117.105835	-801.108398	-272.281982	1117.107788	-801.105652	
0.600000	33.068882	-20.372162	-3442.160400	33.069138	-20.371748	947.916382	-876.882568	-33.788258	947.927368	-876.870728	
0.650000	31.126987	-62.271656	-3426.490234	31.126980	-62.271664	1546.019653	-1149.630615	-12.733326	1546.019531	-1149.630737	
0.700000	30.703512	-68.507874	-3412.280762	30.702717	-68.508232	2647.663574	-1296.300415	-231.849045	2647.648438	-1296.331055	
0.750000	45.837769	-32.611965	-3399.808350	45.837074	-32.612938	3852.149414	-1179.190186	-294.074341	3852.124023	-1179.271973	
0.800000	73.830788	-2.967699	-3390.543457	73.830643	-2.971396	4738.315918	-996.373474	-268.783142	4738.265625	-996.610779	
0.850000	93.163284	-10.415728	-3387.579346	93.162399	-10.423674	5251.923340	-1036.119385	-386.656555	5251.834961	-1036.567383	
0.900000	95.346565	-38.127670	-3389.233154	95.342850	-38.136951	5305.557129	-956.291626	-624.445862	5305.463867	-956.808289	
0.950000	88.936798	-57.297588	-3394.444824	88.930725	-57.307022	4759.784668	-1164.954712	-857.191284	4759.660645	-1165.459839	
1.000000	92.803513	-66.003418	-3400.627441	92.796051	-66.013901	3618.469727	-1253.609741	-1032.635132	3618.328125	-1254.018311	
1.050000	115.932076	-81.100082	-3406.003174	115.921120	-81.115738	2255.440918	-634.489868	-1209.740356	2255.354736	-634.794495	
1.100000	142.008224	-100.575508	-3411.626709	141.991226	-100.599495	1205.260254	-165.958893	-1292.735352	1205.232056	-166.162521	
1.150000	142.467255	-113.570770	-3413.678711	142.443619	-113.600410	704.306213	153.288254	-1664.089111	704.338074	153.141693	
1.200000	137.083206	-113.386757	-3411.727539	137.056870	-113.418571	867.732178	818.944153	-1955.000244	867.922302	818.742615	
1.250000	135.423950	-97.801086	-3404.954590	135.400421	-97.833641	1475.328979	1301.416382	-2271.560547	1475.641968	1301.061401	
1.300000	152.446106	-70.339050	-3396.409424	152.429596	-70.374779	2404.333740	1661.817383	-2286.766846	2404.723389	1661.253784	
1.350000	175.728577	-37.952339	-3388.423828	175.720062	-37.991661	3431.831787	1742.136597	-2181.780029	3432.221680	1741.368652	
1.400000	183.474030	-11.600092	-3384.525879	183.471664	-11.637346	4277.425781	1143.951294	-1922.822998	4277.657715	1143.082642	
1.450000	187.039932	1.247569	-3384.529297	187.040161	1.211990	4727.665039	452.162598	-1611.902954	4727.750977	451.263275	
1.500000	180.968292	5.439853	-3387.644531	180.969223	5.408753	4453.641113	-22.905762	-1737.010620	4453.636719	-23.671127	
1.550000	189.861633	10.905722	-3395.186768	189.863190	10.878998	3676.984619	-318.181274	-1245.585083	3676.939697	-318.698822	
1.600000	200.017105	16.178215	-3405.792236	200.019089	16.153606	2596.315674	-230.893738	-1099.106323	2596.287354	-231.213150	
1.650000	209.150146	17.284868	-3421.633057	209.151840	17.264500	1597.348389	-179.419937	-1004.321899	1597.330811	-179.575500	
1.700000	183.207855	13.847304	-3438.264404	183.208847	13.834120	906.011108	-273.823456	-794.517090	905.991455	-273.888641	
1.750000	160.282196	15.479001	-3454.864502	160.283142	15.469198	742.595642	-317.912506	-584.256042	742.576233	-317.957947	
1.800000	146.022919	30.028589	-3466.792725	146.025009	30.018400	1019.208862	-281.274353	-414.472504	1019.189270	-281.345459	
1.850000	142.008118	56.506290	-3469.755371	142.013580	56.492554	1640.202637	-165.563004	-721.237793	1640.186646	-165.721619	
1.900000	132.977661	83.199265	-3463.810547	132.987762	83.183098	2489.289551	-20.269754	-1054.332397	2489.286865	-20.572306	
1.950000	118.267517	98.279373	-3451.910156	118.279358	98.265114	3359.321045	193.018127	-1146.057739	3359.344482	192.613159	
2.000000	94.602425	103.053085	-3433.971191	94.612198	103.044121	3970.202148	361.395447	-1121.292969	3970.236328	361.019012	
2.050000	69.879364	102.128555	-3413.135986	69.885696	102.124214	4127.229004	679.667175	-734.160461	4127.271484	679.411072	
2.100000	52.027992	96.382378	-3391.272705	52.030460	96.381042	3720.907227	1067.193970	-224.461212	3720.934326	1067.098511	
2.150000	48.587822	84.042320	-3372.083252	48.586067	84.043327	3002.807861	1475.245239	194.258377	3002.777100	1475.307739	
2.200000	47.895988	65.692245	-3359.503906	47.890793	65.696037	2205.440918	1756.619141	677.410522	2205.302246	1756.793579	
2.250000	38.621609	41.992313	-3354.674316	38.616814	41.996723	1537.930420	1867.673218	977.504395	1537.716919	1867.848999	
2.300000	32.817924	23.413094	-3360.334717	32.814625	23.417715	1176.765015	1723.652954	1211.677856	1176.522217	1723.818604	
2.350000	34.581501	15.461194	-3374.836426	34.579414	15.465866	1179.238403	1501.502808	1322.917847	1179.035400	1501.662109	
2.400000	54.320675	17.118000	-3396.796631	54.318890	17.123661	1595.642456	1271.140869	1048.048218	1595.510010	1271.307129	
2.450000	67.895042	20.962486	-3423.014893	67.893494	20.967478	2294.227539	1149.720093	829.814880	2294.143066	1149.888672	
2.500000	79.567909	21.408840	-3450.250000	79.566727	21.413273	3055.027344	1054.590820	542.206787	3054.968506	1054.760986	
2.550000	87.129555	18.784006	-3475.620605	87.128456	18.789083	3654.461426	838.969055	431.554718	3654.412598	839.182068	
2.600000	99.383064	12.776411	-3495.556396	99.382126	12.783682	3945.028076	771.803528	539.104919	3944.971436	772.092163	
2.650000	120.304428	2.409276	-3506.483154	120.304207	2.420399	3884.015869	893.211365	798.348999	3883.933350	893.570435	
2.700000	140.792160	-14.546276	-3505.735840	140.793823	-14.530245	3454.329102	892.308594	867.993347	3454.227783	892.701904	
2.750000	157.130203	-38.210934	-3496.214111	157.135513	-38.189167	2808.382812	852.276794	1095.415649	2808.264648	852.665894	
2.800000	167.450256	-61.859173	-3476.641113	167.459808	-61.833294	2141.730469	701.210266	1230.344604	2141.622070	701.541199	
2.850000	174.317978	-81.788605	-3452.289795	174.329697	-81.763626	1667.074951	612.151733	1378.898560	1666.987183	612.390564	
2.900000	179.775833	-94.217545	-3425.029297	179.787155	-94.195915	1516.456665	844.492065	1365.721802	1516.355347	844.674377	
2.950000	191.815964	-97.353767	-3400.483154	191.826370	-97.333260	1728.588867	1056.945557	1146.489258	1728.475830	1057.130127	
3.000000	208.347900	-95.896584	-3380.514648	208.358215	-95.874176	2264.551270	1526.340576	1060.635498	2264.386963	1526.583984	
3.050000	208.095322	-90.663597	-3366.693604	208.104797	-90.641846	2814.906250	1799.740234	1033.217285	2814.718018	1800.034302	
3.100000	220.470245	-83.128807	-3364.226318	220.479095	-83.105324	3414.537842	1817.291016	1110.872437	3414.344482	1817.654541	
3.150000	227.456390	-75.249718	-3369.367676	227.464188	-75.226166	3816.174561	1798.467285	1069.316040	3815.988281	1798.862549	
3.200000	238.369064	-69.204277	-3383.676758	238.375122	-69.183372	3888.285645	1354.978027	908.089600	3888.166504	1355.318848	
3.250000	246.722824	-68.357147	-3402.013184	246.728363	-68.337151	3564.801025	899.743347	555.992615	3564.728271	900.032349	
3.300000	254.149353	-68.355194	-3423.546875	254.154419	-68.336311	3064.408936	563.402161	712.917542	3064.367188	563.629822	
3.350000	267.552246	-68.635376	-3442.160400	267.557312	-68.615791	2472.708740	387.885864	588.967041	2472.679932	388.066895	
3.400000	274.180695	-66.356216	-3457.337646	274.186188	-66.333389	1931.555298	345.697052	681.250366	1931.526733	345.857819	
3.450000	277.044922	-60.028954	-3465.256592	277.049652	-60.007420	1597.541260	262.738831	674.727478	1597.520996	262.863037	
3.500000	275.374725	-49.552250	-3467.176514	275.377075	-49.539078	1551.970459	212.310394	511.251068	1551.960205	212.384628	
3.550000	271.509552	-30.565138	-3464.291748	271.510284	-30.558725	1782.712280	-141.834915	217.132599	1782.715698	-141.792801	
3.600000	270.366333	-7.786878	-3458.109863	270.366455	-7.783180	2312.573730	-434.719086	196.023880	2312.579834	-434.687469	
3.650000	268.136414	12.921579	-3449.226318	268.136414	12.921688	2824.266113	-635.233398	111.924393	2824.266357	-635.232239	
3.700000	265.153046	32.587299	-3441.089600	265.152679	32.590225	3208.258057	-895.126831	70.151062	3208.268066	-895.091431	
3.750000	254.376236	48.195957	-3432.394043	254.373672	48.209370	3388.942383	-991.679382	233.823624	3388.994629	-991.500732	
3.800000	238.475067	60.545456	-3426.569092	238.468567	60.570980	3297.838867	-1165.093872	767.513977	3297.963623	-1164.740967	
3.850000	227.199722	65.457031	-3424.579102	227.188599	65.495689	2949.724365	-1074.589722	1186.468750	2949.907471	-1074.087891	
3.900000	217.179276	65.988136	-3425.375000	217.164078	66.038155	2484.018311	-909.367859	1744.299316	2484.227783	-908.795776	
3.950000	212.634811	67.533592	-3429.186035	212.617554	67.587906	2017.615601	-827.115051	2138.860840	2017.826904	-826.599609	
4.000000	196.141052	67.199440	-3434.638428	196.124161	67.248756	1662.820923	-834.910889	2354.461670	1663.030884	-834.492859	
4.050000	173.344376	66.734261	-3440.197266	173.329239	66.773544	1447.984375	-807.471558	2239.730957	1448.167114	-807.143311	
4.100000	173.444244	69.954056	-3446.019043	173.429672	69.990097	1591.193359	-886.271912	2072.130127	1591.377441	-885.941162	
