HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.MBD @CopyRight 赵子祯
Time	TTDspFA   	TTDspSS   	TTDspAx   	
(s)	(m)       	(m)       	(m)       	
0.000000	0.000000	-0.000000	0.000000	
0.050000	-0.000947	-0.000039	-0.000000	
0.100000	-0.002383	-0.000213	0.000000	
0.150000	-0.004315	-0.000926	0.000000	
0.200000	-0.006556	-0.002683	-0.000000	
0.250000	-0.008713	-0.005776	-0.000000	
0.300000	-0.010389	-0.010062	-0.000000	
0.350000	-0.011384	-0.015222	-0.000008	
0.400000	-0.011714	-0.021005	-0.000008	
0.450000	-0.011472	-0.027092	-0.000009	
0.500000	-0.010655	-0.032890	-0.000009	
0.550000	-0.009114	-0.037727	-0.000010	
0.600000	-0.006720	-0.041295	-0.000018	
0.650000	-0.003454	-0.043797	-0.000018	
0.700000	0.000643	-0.045678	-0.000026	
0.750000	0.005600	-0.047313	-0.000027	
0.800000	0.011532	-0.048971	-0.000019	
0.850000	0.018446	-0.050912	-0.000027	
0.900000	0.026082	-0.053356	-0.000035	
0.950000	0.033968	-0.056296	-0.000035	
1.000000	0.041649	-0.059391	-0.000043	
1.050000	0.048871	-0.062081	-0.000050	
1.100000	0.055563	-0.063792	-0.000057	
1.150000	0.061679	-0.064105	-0.000063	
1.200000	0.067098	-0.062818	-0.000068	
1.250000	0.071717	-0.059927	-0.000081	
1.300000	0.075557	-0.055585	-0.000078	
1.350000	0.078660	-0.050062	-0.000074	
1.400000	0.080922	-0.043721	-0.000079	
1.450000	0.082083	-0.036974	-0.000068	
1.500000	0.081891	-0.030175	-0.000064	
1.550000	0.080283	-0.023527	-0.000061	
1.600000	0.077417	-0.017096	-0.000051	
1.650000	0.073551	-0.010900	-0.000041	
1.700000	0.068886	-0.005027	-0.000040	
1.750000	0.063542	0.000344	-0.000032	
1.800000	0.057703	0.005008	-0.000032	
1.850000	0.051679	0.008784	-0.000025	
