HawtC2_ProjectName: 5MW_PowerProduction_Spar2 更多消息和教程请访问：http://www.hawtc.cn/
Powered By OpenWECD.HawtC2.WindL @CopyRight 赵子祯
Time	WindBVelX B_0_N_0	WindBVelX B_0_N_1	WindBVelX B_0_N_2	WindBVelX B_0_N_3	WindBVelX B_0_N_4	WindBVelX B_0_N_5	WindBVelX B_0_N_6	WindBVelX B_0_N_7	WindBVelX B_0_N_8	WindBVelX B_0_N_10	WindBVelX B_0_N_11	WindBVelX B_0_N_12	WindBVelX B_0_N_13	WindBVelX B_0_N_14	WindBVelX B_0_N_15	WindBVelX B_0_N_16	WindBVelX B_0_N_17	WindBVelX B_0_N_18	WindBVelX B_2_N_0	WindBVelX B_2_N_1	WindBVelX B_2_N_2	WindBVelX B_2_N_3	WindBVelX B_2_N_4	WindBVelX B_2_N_5	WindBVelX B_2_N_6	WindBVelX B_2_N_7	WindBVelX B_2_N_8	WindBVelX B_2_N_10	WindBVelX B_2_N_11	WindBVelX B_2_N_12	WindBVelX B_2_N_13	WindBVelX B_2_N_14	WindBVelX B_2_N_15	WindBVelX B_2_N_16	WindBVelX B_2_N_17	WindBVelX B_2_N_18	WindBVelY B_0_N_0	WindBVelY B_0_N_1	WindBVelY B_0_N_2	WindBVelY B_0_N_3	WindBVelY B_0_N_4	WindBVelY B_0_N_5	WindBVelY B_0_N_6	WindBVelY B_0_N_7	WindBVelY B_0_N_8	WindBVelY B_0_N_10	WindBVelY B_0_N_11	WindBVelY B_0_N_12	WindBVelY B_0_N_13	WindBVelY B_0_N_14	WindBVelY B_0_N_15	WindBVelY B_0_N_16	WindBVelY B_0_N_17	WindBVelY B_0_N_18	WindBVelY B_2_N_0	WindBVelY B_2_N_1	WindBVelY B_2_N_2	WindBVelY B_2_N_3	WindBVelY B_2_N_4	WindBVelY B_2_N_5	WindBVelY B_2_N_6	WindBVelY B_2_N_7	WindBVelY B_2_N_8	WindBVelY B_2_N_10	WindBVelY B_2_N_11	WindBVelY B_2_N_12	WindBVelY B_2_N_13	WindBVelY B_2_N_14	WindBVelY B_2_N_15	WindBVelY B_2_N_16	WindBVelY B_2_N_17	WindBVelY B_2_N_18	WindBVelZ B_0_N_0	WindBVelZ B_0_N_1	WindBVelZ B_0_N_2	WindBVelZ B_0_N_3	WindBVelZ B_0_N_4	WindBVelZ B_0_N_5	WindBVelZ B_0_N_6	WindBVelZ B_0_N_7	WindBVelZ B_0_N_8	WindBVelZ B_0_N_10	WindBVelZ B_0_N_11	WindBVelZ B_0_N_12	WindBVelZ B_0_N_13	WindBVelZ B_0_N_14	WindBVelZ B_0_N_15	WindBVelZ B_0_N_16	WindBVelZ B_0_N_17	WindBVelZ B_0_N_18	WindBVelZ B_2_N_0	WindBVelZ B_2_N_1	WindBVelZ B_2_N_2	WindBVelZ B_2_N_3	WindBVelZ B_2_N_4	WindBVelZ B_2_N_5	WindBVelZ B_2_N_6	WindBVelZ B_2_N_7	WindBVelZ B_2_N_8	WindBVelZ B_2_N_10	WindBVelZ B_2_N_11	WindBVelZ B_2_N_12	WindBVelZ B_2_N_13	WindBVelZ B_2_N_14	WindBVelZ B_2_N_15	WindBVelZ B_2_N_16	WindBVelZ B_2_N_17	WindBVelZ B_2_N_18	WHubVelX  	WHubVelY  	WHubVelZ  	
(s)	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	(m/s)     	
0.000000	13.120520	13.173299	13.437361	13.701423	13.965485	13.684395	13.164158	12.643923	12.123686	11.083213	10.937506	11.470362	12.003219	12.536730	13.068931	13.601786	14.123428	13.806170	12.316745	12.268538	12.048957	11.922544	11.806830	11.701802	11.607460	11.523804	11.562662	11.685013	11.767892	11.865241	11.977062	12.103518	12.166986	12.024093	11.894112	11.672762	-1.969527	-1.951019	-1.858424	-1.765829	-1.673234	-1.678661	-1.727088	-1.775515	-1.823942	-1.920796	-1.974159	-2.036468	-2.098777	-2.161162	-2.223394	-2.285702	-2.339582	-1.424427	-1.759371	-1.714466	-1.495472	-1.168050	-0.826162	-0.469822	-0.099034	0.286206	0.517783	1.017817	1.287202	1.569498	1.864707	2.173214	2.260955	1.763847	1.350950	0.777536	-0.131062	-0.233027	-0.743167	-1.253308	-1.763448	-1.926346	-1.936915	-1.947484	-1.958052	-1.979190	-1.898091	-1.650908	-1.403724	-1.156237	-0.909357	-0.662174	-0.418291	-0.330848	1.155671	1.224832	1.569691	1.529205	1.474997	1.407127	1.325597	1.230405	1.021270	0.880093	0.948904	1.110647	1.365324	1.713418	1.974463	1.725013	1.487262	1.046594	12.724422	-2.108421	0.634157	
0.050000	12.998665	13.058467	13.358541	13.660096	13.963131	13.741808	13.278326	12.814005	12.348850	11.416029	11.271992	11.771963	12.266094	12.754976	13.236820	13.713416	14.184155	13.861420	12.160045	12.113721	11.902683	11.763969	11.666320	11.587420	11.527270	11.496131	11.501146	11.504405	11.502647	11.498631	11.492357	11.483812	11.486472	11.457870	11.407293	11.370507	-1.556702	-1.548082	-1.504000	-1.458322	-1.411047	-1.476634	-1.591033	-1.701224	-1.807208	-2.006551	-2.027620	-1.905732	-1.788700	-1.676388	-1.569203	-1.466738	-1.369131	-0.687508	-1.356839	-1.324278	-1.169904	-0.987644	-0.776896	-0.555230	-0.322647	-0.077826	0.163519	0.591096	0.777327	0.945186	1.094671	1.225934	0.973606	0.664580	0.413299	0.153655	0.018924	-0.061789	-0.461254	-0.853477	-1.238458	-1.374621	-1.399210	-1.424510	-1.450522	-1.504681	-1.479331	-1.350475	-1.226730	-1.107951	-0.994569	-0.886155	-0.782856	-0.606654	1.004914	1.055186	1.309648	1.385260	1.352527	1.303187	1.237242	1.112815	0.904431	0.712803	0.729562	0.821374	0.988238	1.230498	1.334880	1.375541	1.357238	1.018267	12.551739	-1.619338	0.633879	
0.100000	12.731609	12.800230	13.143200	13.485603	13.827444	13.653817	13.209984	12.767724	12.327043	11.450409	11.270428	11.790623	12.293279	12.778977	13.245942	13.695932	14.128279	13.946828	11.901772	11.865768	11.706380	11.595100	11.560082	11.542580	11.542595	11.558301	11.566525	11.541651	11.508553	11.461677	11.401023	11.353547	11.383806	11.397187	11.393624	11.335687	-1.213537	-1.230732	-1.313601	-1.391204	-1.463541	-1.557748	-1.653381	-1.734543	-1.801228	-1.891148	-1.873697	-1.749413	-1.643198	-1.554962	-1.485006	-1.433043	-1.399190	-0.733998	-0.899001	-0.881240	-0.813797	-0.774938	-0.711618	-0.629555	-0.528751	-0.319038	-0.026914	0.442959	0.620702	0.760312	0.861787	0.832489	0.501842	0.224821	0.001874	-0.281902	0.261675	0.195572	-0.127887	-0.439258	-0.738545	-0.914934	-1.031225	-1.147996	-1.265247	-1.501188	-1.552771	-1.423903	-1.304036	-1.193043	-1.091322	-0.998482	-0.914690	-0.758671	0.987010	1.017181	1.174105	1.298452	1.259922	1.215670	1.165693	1.049848	0.898399	0.743822	0.740699	0.787026	0.882806	1.007585	1.067790	1.108153	1.128602	1.109616	12.215925	-1.077782	0.773151	
0.150000	12.136254	12.222294	12.648697	13.068338	13.481210	13.385804	12.963383	12.543409	12.125885	11.298196	11.030839	11.545695	12.029264	12.482058	12.902430	13.291966	13.649845	13.596178	11.377248	11.371060	11.367472	11.409512	11.519716	11.648314	11.768310	11.791697	11.755971	11.662237	11.604229	11.538790	11.465923	11.449759	11.469931	11.475245	11.465656	11.401776	-1.165273	-1.196910	-1.355241	-1.513656	-1.672156	-1.743707	-1.746348	-1.733945	-1.706486	-1.606359	-1.529580	-1.428430	-1.335798	-1.251593	-1.176117	-1.109083	-1.050578	-0.501428	-0.731313	-0.710405	-0.624530	-0.569878	-0.535360	-0.488764	-0.428644	-0.213958	0.069720	0.578263	0.803125	1.008377	1.194019	1.052278	0.705595	0.405199	0.151556	-0.215658	0.638906	0.568368	0.229367	-0.086461	-0.379108	-0.603072	-0.793165	-0.983799	-1.174975	-1.558951	-1.693533	-1.509895	-1.339023	-1.180740	-1.035620	-0.903113	-0.783515	-0.664882	1.304903	1.321052	1.408713	1.507805	1.508017	1.448510	1.408284	1.254344	1.052532	0.745856	0.640995	0.568458	0.528244	0.564385	0.637143	0.704502	0.766383	0.873680	11.481938	-0.927955	1.197803	
0.200000	11.727308	11.791606	12.117313	12.449714	12.788806	12.789860	12.485226	12.171015	11.847227	11.170882	10.818309	11.242329	11.637700	11.998512	12.323448	12.613736	12.868515	12.993677	11.278999	11.287921	11.351768	11.447635	11.575524	11.719756	11.856427	11.845701	11.788734	11.667818	11.603866	11.537584	11.468973	11.503460	11.546008	11.574648	11.589300	11.576683	-0.667167	-0.699685	-0.866674	-1.040833	-1.222171	-1.361966	-1.437161	-1.481220	-1.494115	-1.426296	-1.345518	-1.264152	-1.203638	-1.163926	-1.145147	-1.147219	-1.170248	-0.779478	-0.282792	-0.266507	-0.197757	-0.150223	-0.123905	-0.107666	-0.073932	0.131062	0.378902	0.852944	1.079145	1.298131	1.509904	1.148770	0.706480	0.298459	-0.074719	-0.716891	0.600783	0.549510	0.306072	0.084447	-0.115355	-0.331888	-0.568673	-0.794753	-1.010114	-1.408636	-1.591772	-1.473292	-1.371005	-1.287249	-1.222322	-1.175971	-1.148407	-1.043367	1.088492	1.100234	1.165545	1.241786	1.328960	1.341378	1.324025	1.147393	0.938316	0.582613	0.435992	0.310194	0.205220	0.227116	0.272112	0.317340	0.362758	0.454151	11.253288	-0.432257	1.013376	
0.250000	11.872912	11.927377	12.207249	12.499427	12.803915	12.854633	12.563991	12.259869	11.942254	11.266512	10.908355	11.099339	11.419575	11.711142	11.972980	12.206080	12.409634	12.595163	11.500901	11.507219	11.551125	11.615528	11.700437	11.805852	11.923504	11.853126	11.761980	11.595965	11.521098	11.451658	11.393081	11.457754	11.508080	11.544262	11.566198	11.567451	-0.444622	-0.458515	-0.537923	-0.633852	-0.746315	-0.897565	-1.059307	-1.190358	-1.290693	-1.399101	-1.407108	-1.413036	-1.442513	-1.493304	-1.565208	-1.658479	-1.773139	-1.594157	-0.193606	-0.172368	-0.070106	0.025493	0.114429	0.196700	0.276432	0.418734	0.567739	0.863084	1.009423	1.154873	1.274861	0.823290	0.389108	-0.029312	-0.431401	-1.187111	0.644659	0.600107	0.389188	0.198220	0.027212	-0.163840	-0.380142	-0.569301	-0.731291	-0.973650	-1.053959	-0.995113	-0.925192	-0.881091	-0.862954	-0.870700	-0.904434	-0.953744	1.050757	1.058027	1.099009	1.147680	1.204046	1.268105	1.316854	1.096161	0.861009	0.442951	0.260055	0.094589	-0.046694	-0.018350	0.014199	0.051068	0.092254	0.187459	11.479870	-0.361406	1.004434	
0.300000	12.037279	12.093552	12.377989	12.667257	12.961351	13.051863	12.709621	12.363428	12.013277	11.301110	10.939091	10.914054	11.188437	11.437838	11.661350	11.859823	12.032536	12.367248	11.604783	11.605648	11.620917	11.654433	11.706203	11.776238	11.864558	11.827068	11.775713	11.635238	11.567129	11.503870	11.474081	11.559754	11.633990	11.697069	11.748793	11.818626	-0.595121	-0.611715	-0.701212	-0.801516	-0.912637	-1.027266	-1.105655	-1.146698	-1.150369	-1.045471	-0.936834	-0.907938	-1.002925	-1.128558	-1.284346	-1.470840	-1.687832	-1.575822	-0.252559	-0.222341	-0.073807	0.070312	0.210014	0.345295	0.476150	0.560901	0.648111	0.836235	0.931300	1.026489	1.024801	0.620763	0.226438	-0.159632	-0.536882	-1.265672	0.470083	0.420785	0.184119	-0.035935	-0.239375	-0.413060	-0.524833	-0.592688	-0.616594	-0.532407	-0.424233	-0.345127	-0.345398	-0.374068	-0.431006	-0.516400	-0.630117	-0.693565	1.010352	1.031833	1.145821	1.270679	1.406423	1.553065	1.710614	1.474466	1.200985	0.540603	0.219928	-0.083132	-0.314921	-0.309010	-0.293962	-0.269724	-0.236188	-0.141732	11.621153	-0.484360	0.861222	
0.350000	12.290203	12.334578	12.551912	12.761452	12.963190	13.050308	12.653391	12.261415	11.874382	11.115164	10.742993	10.500318	10.775362	11.012888	11.212051	11.515123	11.802706	12.276505	11.860279	11.849851	11.802416	11.762877	11.731243	11.707535	11.691772	11.735019	11.778858	11.866460	11.910224	11.953961	12.000958	12.052423	12.097309	12.127703	12.154485	12.198258	-0.259107	-0.288120	-0.439244	-0.600334	-0.771396	-0.938709	-1.028446	-1.085151	-1.108808	-1.056899	-0.981290	-0.907106	-0.986083	-1.094326	-1.231403	-1.238857	-1.242815	-1.227925	0.137127	0.162209	0.286228	0.407803	0.526932	0.643607	0.757823	0.827967	0.901312	1.059163	1.143697	1.231990	1.184755	0.788153	0.380070	-0.027933	-0.433842	-1.240173	0.458036	0.414971	0.211089	0.026485	-0.138840	-0.293041	-0.444039	-0.540372	-0.582011	-0.501067	-0.378407	-0.238148	-0.263508	-0.334381	-0.450452	-0.621610	-0.769546	-0.950265	0.914401	0.929528	1.008838	1.094224	1.185705	1.283300	1.387031	1.100924	0.802595	0.182240	-0.139838	-0.469891	-0.710751	-0.723526	-0.746158	-0.747144	-0.744338	-0.728562	11.947282	-0.054074	0.805803	
0.400000	12.474434	12.498228	12.621014	12.750021	12.885242	13.023073	12.579260	12.147781	11.728645	10.927423	10.545354	10.175663	10.378945	10.772837	11.160112	11.519871	11.851426	12.431219	12.128954	12.105363	11.988368	11.873106	11.759588	11.647840	11.539663	11.632462	11.725526	11.912470	12.006362	12.100544	12.185741	12.250957	12.313522	12.373621	12.430965	12.538141	-0.293707	-0.331304	-0.514937	-0.691127	-0.859870	-1.020660	-1.085704	-1.132798	-1.161936	-1.166310	-1.141529	-1.098757	-1.175334	-1.186062	-1.173132	-1.173327	-1.186286	-1.252874	0.215944	0.244997	0.390108	0.534832	0.679169	0.823117	0.965733	1.002776	1.040252	1.116541	1.155374	1.194677	1.098205	0.727104	0.353523	-0.023985	-0.405186	-1.178564	0.219429	0.182643	0.012034	-0.136193	-0.262035	-0.365915	-0.501679	-0.584134	-0.613259	-0.511421	-0.380404	-0.195952	-0.167326	-0.298379	-0.434437	-0.548807	-0.641133	-0.760605	0.569361	0.575081	0.604175	0.634083	0.664817	0.696394	0.726932	0.544225	0.360753	-0.008528	-0.194364	-0.381017	-0.490920	-0.448669	-0.410388	-0.376009	-0.345913	-0.297440	12.303815	-0.002070	0.524032	
