Powered By OpenHast.WIndL @CopyRight 赵子祯
Time	NumY_11NumZ_15	NumY_12NumZ_16	NumY_13NumZ_17	NumY_14NumZ_18	NumY_15NumZ_19	NumY_16NumZ_20	NumY_17NumZ_14	NumY_18NumZ_13	NumY_19NumZ_12	NumY_20NumZ_11	
(s)	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	
Station	Y_-26.666664Z_95	Y_-20Z_101.333336	Y_-13.333336Z_107.666664	Y_-6.666664Z_114	Y_0Z_120.333336	Y_6.666664Z_126.666664	Y_13.333336Z_88.666664	Y_20Z_82.333336	Y_26.666664Z_76	Y_33.33333Z_69.666664	
0.037537	12.775000	13.516000	12.172000	14.828000	14.251000	15.474000	10.427999	11.593000	13.344000	11.645000	
0.075073	12.334000	13.342000	12.595000	14.693000	14.216000	15.528000	10.207000	11.956000	13.073000	11.521000	
0.112610	12.390000	12.911000	12.944000	14.300000	14.302999	15.300000	9.778000	12.023000	12.306000	11.359000	
0.150146	12.243000	12.842000	13.034000	13.904000	14.363000	15.599000	9.895000	11.859000	12.218000	11.513000	
0.187683	12.182000	12.951000	13.104000	13.836000	13.996000	15.217000	9.689000	11.616000	11.825000	11.518000	
0.225220	12.579000	12.602000	13.354000	13.807000	13.720000	15.397000	9.859000	11.059000	11.453000	11.575000	
0.262756	11.876000	12.645000	13.567000	13.495000	13.766000	15.066999	10.168000	11.187000	11.531000	11.388000	
0.300293	12.120000	12.966000	13.599000	13.353000	13.005000	15.213000	10.411000	11.288000	11.543000	11.627000	
0.337830	12.010000	12.649000	13.472000	13.580000	13.556000	14.896000	10.373000	11.472000	11.450000	11.663000	
0.375366	11.892000	12.578000	13.478000	13.727000	14.154000	15.102000	10.143000	11.688000	11.373000	11.739000	
0.412903	11.830000	12.399000	13.308000	13.058000	13.958000	15.106000	9.958000	11.225000	11.228000	11.490000	
0.450439	11.832000	12.339000	13.418000	13.455000	13.763000	15.266000	9.975000	10.946000	11.832000	11.791000	
0.487976	12.071000	12.447001	12.818000	13.044000	13.570000	15.404000	9.311000	10.984000	11.941000	11.563000	
0.525513	11.741000	12.889000	12.704000	13.326000	13.493000	15.498000	9.270000	11.066000	11.606000	11.091000	
0.563049	12.531000	13.076000	13.232000	13.452000	12.907000	15.422000	9.224000	11.357000	12.062000	10.970000	
0.600586	13.165000	12.641000	13.249000	13.522000	13.285000	15.509000	9.240000	11.507000	12.270000	10.918000	
0.638123	13.311000	12.600000	13.265000	14.347000	13.385000	15.718000	8.937000	11.443000	11.892000	11.148000	
0.675659	13.151000	12.386000	13.145000	14.517000	13.255000	16.031000	8.384000	10.683001	11.633000	11.309999	
0.713196	12.855000	12.363000	13.314000	14.264000	13.388000	16.019001	8.760000	10.499001	11.543000	11.485000	
0.750732	13.019000	12.704000	13.082000	14.228000	12.979000	15.614000	8.847000	10.554000	12.141000	11.591000	
0.788269	12.692000	13.069000	13.210000	14.624000	13.246000	15.364000	8.965000	10.750000	12.457000	11.626000	
0.825806	12.411000	12.896000	13.149000	14.106000	13.061000	15.228000	8.672000	11.068000	12.557000	12.027000	
0.863342	12.349000	13.159000	12.651000	13.999000	13.045000	15.030000	8.500000	11.100000	12.242000	12.440000	
0.900879	12.560000	13.312000	12.911000	13.427000	12.946000	15.250999	8.943000	11.755000	12.245000	12.012000	
0.938416	12.509000	13.507000	12.940000	13.184000	12.968000	14.705000	8.882999	11.729000	11.886000	11.815001	
0.975952	12.080000	13.498000	13.217000	13.458000	13.098000	14.700000	9.000000	11.284000	11.833000	12.171000	
1.013489	11.876000	13.410000	13.229000	13.829000	13.034000	14.252000	8.875000	11.693000	12.244000	12.196000	
1.051025	11.738000	13.276000	13.183000	13.531000	13.280000	14.290000	8.862000	11.737000	12.635000	12.569000	
1.088562	12.499000	13.096000	13.235000	13.603000	13.465000	14.270000	8.432000	11.771000	13.015000	12.447001	
1.126099	13.281000	12.842000	13.427000	13.788000	13.562000	14.568000	8.307000	11.934000	12.695000	12.193000	
1.163635	12.964000	13.094000	13.014000	13.981000	13.884000	14.930000	8.478001	12.191000	12.248000	12.277000	
1.201172	13.067000	13.018000	12.609000	14.101000	13.848000	14.790000	8.607000	12.094000	12.574000	12.463000	
1.238708	12.989000	12.869000	12.670000	14.206000	14.098000	15.066999	8.801001	12.938000	12.722000	12.086000	
1.276245	12.940000	12.882000	12.817000	14.080000	13.969000	14.828000	8.359000	12.875000	13.333000	12.298000	
1.313782	12.876000	13.291000	12.297000	14.002000	13.539000	14.856000	8.511000	12.312000	13.132000	12.703000	
1.351318	12.647000	13.631000	12.403000	13.868000	13.163000	15.114000	8.361000	12.487000	13.043000	12.569000	
1.388855	12.964000	13.587000	12.755000	14.113000	12.858000	15.142000	8.174000	12.317000	12.813000	12.123000	
1.426392	12.761000	13.248000	12.584000	13.937000	13.240000	14.713000	8.061000	12.151000	12.837000	12.290000	
1.463928	13.142000	13.153000	12.583000	14.400000	13.473000	14.579000	8.028999	12.340000	12.500000	12.560000	
1.501465	13.351000	13.268000	12.255000	14.203000	13.426000	14.047000	8.589001	12.450000	12.441000	12.459000	
1.539001	13.134000	12.736000	12.463000	13.781000	13.846000	14.181000	8.836000	12.667000	12.522000	12.177999	
1.576538	13.398000	12.448000	12.578000	13.777000	13.829000	14.411000	8.649000	12.557000	12.804000	12.673000	
1.614075	13.079000	12.732000	12.306000	13.986000	13.845000	13.934000	8.227000	12.820000	12.624000	12.332000	
1.651611	12.963000	13.081000	12.916000	14.268000	13.365000	13.832000	8.169001	13.165000	12.713000	13.018000	
1.689148	13.043000	13.035000	12.933000	14.271000	12.773000	14.075000	8.481000	13.364000	12.580000	12.628000	
1.726685	13.326000	12.968000	12.679000	13.774000	13.058000	13.743000	8.115000	13.372000	12.199000	12.752000	
1.764221	12.942000	13.534000	12.247000	13.784000	12.873000	13.471000	7.914000	13.518000	12.393000	12.707000	
1.801758	12.590000	12.865000	12.646000	14.278000	12.715000	13.536000	7.951000	13.399000	12.594000	12.607000	
1.839294	12.354000	12.934000	12.908000	14.076000	12.841000	13.943000	7.694000	13.272000	12.966000	12.571000	
1.876831	12.119000	13.293000	12.346000	13.381000	12.599000	13.745000	7.388000	13.402000	12.971000	12.680000	
1.914368	12.311000	13.540000	12.373000	13.497000	12.695000	13.496000	7.499000	13.921000	13.408000	12.721000	
1.951904	12.735000	14.120000	12.431000	13.422000	13.092000	13.786000	8.168000	13.989000	13.308000	13.051000	
1.989441	13.067000	14.398000	12.436000	13.684000	13.052000	14.232000	8.677000	13.243000	13.168000	12.414000	
2.026978	12.600000	13.966000	12.587000	13.898000	13.307000	13.915000	8.542000	13.193000	13.013000	12.144000	
2.064514	12.475000	13.600000	12.753000	13.728000	13.961000	13.956000	8.212000	13.463000	13.006000	12.064000	
2.102051	12.248000	13.644000	11.938000	13.636000	13.667000	13.896000	8.246000	12.883000	13.493000	12.096000	
2.139587	11.864000	13.327000	11.966000	13.789000	13.629000	13.646000	8.543000	12.244000	13.581000	12.107000	
2.177124	12.058000	13.025000	11.746000	13.769000	13.309000	13.448000	8.878000	12.314000	14.191000	12.444000	
2.214661	12.063000	13.242000	11.904000	13.917000	13.732000	13.585000	8.635000	12.078000	14.268000	12.475000	
2.252197	12.538000	12.771000	11.601000	13.177000	13.760000	13.763000	9.027000	12.290000	13.748000	11.996000	
2.289734	12.128000	12.897000	11.462000	13.541000	13.698000	13.808000	9.301001	12.209000	13.775000	11.887000	
2.327271	11.732000	12.898000	11.216000	13.855000	13.557000	13.631000	9.546000	12.616000	13.380000	11.910000	
2.364807	11.833000	12.651000	11.759000	14.436000	13.254000	13.336000	9.341000	12.129000	13.404000	12.028000	
2.402344	12.389000	12.754000	11.888000	14.682000	13.778000	13.800000	9.615000	12.598000	13.711000	11.902000	
2.439880	12.561000	12.317000	11.911000	14.362000	13.631000	14.031000	9.939000	12.538000	13.539000	12.295000	
2.477417	11.666000	12.445000	12.437000	14.177000	13.180000	14.061000	9.980000	12.562000	13.596000	12.416000	
2.514954	11.341000	11.909000	12.346000	14.694000	13.084000	14.225000	10.078000	12.623000	13.422000	12.405000	
2.552490	11.716000	11.417000	12.116000	14.782000	13.104000	13.832000	10.425000	12.934000	13.217000	12.956000	
2.590027	11.463000	11.521000	12.283000	14.562000	12.312000	14.042000	10.478000	13.034000	13.027000	13.041000	
2.627563	11.595000	11.628000	11.979000	14.628000	12.486000	14.766000	10.434999	13.292000	12.725000	13.377000	
2.665100	11.857000	11.207000	11.859000	14.606000	12.579000	14.344000	10.526000	13.459000	12.680000	13.269000	
2.702637	11.850000	11.503000	11.939000	14.684000	12.956000	14.487000	10.516000	13.903000	12.654000	13.926000	
2.740173	11.906000	11.823000	12.345000	14.635000	12.815000	14.552999	10.757999	13.330000	12.839000	13.807000	
2.777710	11.200000	11.398000	12.409000	13.964000	12.437000	13.967000	10.765000	13.535000	12.552000	13.542000	
2.815247	11.007000	10.855000	12.210000	13.965000	12.776000	14.297000	11.096000	13.186000	12.479000	13.193000	
2.852783	11.368000	11.217000	11.870000	14.052999	12.353000	13.978000	11.118999	13.206000	12.312000	13.037000	
2.890320	11.380000	11.873000	12.102000	13.940000	11.855000	13.745000	11.299000	13.023000	12.942000	13.245000	
2.927856	11.458000	11.586000	12.222000	13.902000	12.197001	13.665000	11.129000	12.390000	13.317000	13.119000	
2.965393	11.872000	11.559999	12.044000	13.969000	12.584000	13.862000	11.337000	12.079000	13.256000	13.183000	
3.002930	11.618000	11.493999	12.337000	13.597000	12.424000	13.372000	11.905000	12.363000	13.435000	13.277000	
3.040466	11.759000	11.505000	12.244000	13.662000	12.530000	13.677999	11.948000	12.565000	13.233000	13.246000	
3.078003	11.993000	11.601000	12.097000	13.451000	13.333000	13.931000	12.149000	12.623000	13.284000	13.381000	
3.115540	11.413000	12.015000	12.244000	13.412000	13.183000	13.896000	11.559999	12.702000	13.481000	13.439000	
3.153076	11.673000	11.811000	12.460000	13.883000	13.199000	13.996000	11.199000	12.515000	13.407000	13.509000	
3.190613	11.799000	11.516000	12.809000	13.872000	13.482000	14.097000	11.605000	12.310000	13.297000	13.345000	
3.228149	11.253000	11.136000	12.487000	14.175000	13.053000	13.918000	11.876000	12.611000	12.949000	13.279000	
3.265686	11.381001	11.152000	12.688000	14.293000	12.997000	13.873000	12.072001	12.301000	13.192000	13.102000	
3.303223	11.207000	11.272000	12.356000	14.242000	12.974000	13.829000	11.720000	11.887000	13.386000	12.747000	
3.340759	11.275000	11.625000	12.495000	13.970000	12.704000	13.842000	11.605000	11.466000	13.354000	12.407000	
3.378296	11.236000	11.738000	12.710000	13.845000	13.183000	14.068000	11.788000	11.740000	13.395000	12.337000	
3.415833	11.312000	11.473000	12.936000	13.775000	13.299000	14.451000	11.657000	11.582000	13.235000	12.901000	
3.453369	11.131001	12.051000	13.283000	13.368000	13.686000	14.456000	11.484000	11.380000	13.405000	13.035000	
3.490906	11.024000	12.205000	12.922000	13.764000	13.462000	14.716000	11.536000	11.089000	13.679000	13.062000	
3.528442	10.502000	12.370000	12.812000	13.987000	13.776000	14.622000	11.916000	10.455000	13.451000	12.669000	
3.565979	10.684000	11.981000	12.915000	13.469000	13.457000	15.079000	11.979000	10.667000	13.207000	12.500000	
3.603516	10.573000	11.628000	13.020000	13.797000	13.801000	15.589000	11.749000	10.726000	13.231000	13.007000	
3.641052	10.898000	11.175000	13.037000	13.651000	13.998000	15.465000	11.448000	11.151000	13.280000	13.015000	
3.678589	10.566000	11.884000	12.950000	13.393000	13.669000	15.143000	11.157000	11.796000	13.329000	13.583000	
3.716125	10.101000	11.838000	13.457000	13.237000	13.205000	14.990000	11.372000	12.242000	12.997000	13.614000	
3.753662	10.180000	11.654000	12.711000	13.207000	13.338000	14.898000	11.444000	12.300000	12.493000	13.573000	
3.791199	10.308001	11.401000	12.663000	13.045000	12.873000	14.756001	11.865000	12.067000	12.132000	13.417000	
