Powered By OpenHast.WIndL @CopyRight 赵子祯
Time	NumY_11NumZ_15	NumY_12NumZ_16	NumY_13NumZ_17	NumY_14NumZ_18	NumY_15NumZ_19	NumY_16NumZ_20	NumY_17NumZ_14	NumY_18NumZ_13	NumY_19NumZ_12	NumY_20NumZ_11	
(s)	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	
Station	Y_-26.666664Z_95	Y_-20Z_101.333336	Y_-13.333336Z_107.666664	Y_-6.666664Z_114	Y_0Z_120.333336	Y_6.666664Z_126.666664	Y_13.333336Z_88.666664	Y_20Z_82.333336	Y_26.666664Z_76	Y_33.33333Z_69.666664	
0.037537	-1.460000	-0.422000	0.005000	-0.636000	0.688000	1.283000	1.794000	5.031000	1.449000	1.260000	
0.075073	-1.283000	-0.298000	-0.033000	-0.071000	0.786000	1.399000	1.829000	4.712000	0.935000	0.640000	
0.112610	-1.270000	-0.361000	-0.736000	-0.138000	0.794000	1.096000	1.781000	4.919000	0.812000	0.533000	
0.150146	-0.720000	-0.352000	-1.313000	-0.489000	0.749000	1.459000	2.312000	4.299000	0.839000	0.962000	
0.187683	-0.956000	-0.586000	-1.272000	-0.050000	1.045000	1.037000	2.311000	3.945000	1.149000	1.220000	
0.225220	-0.965000	-1.199000	-0.696000	-0.009000	1.391000	0.275000	2.888000	3.961000	1.197000	1.133000	
0.262756	-0.919000	-0.841000	-1.267000	0.743000	0.830000	0.812000	2.423000	3.679000	1.597000	0.519000	
0.300293	-0.813000	-1.297000	-1.156000	1.399000	0.638000	0.467000	1.653000	3.015000	2.084000	0.264000	
0.337830	-0.771000	-0.926000	-1.003000	2.229000	0.956000	0.635000	1.286000	3.143000	1.802000	0.878000	
0.375366	-0.667000	-1.553000	-1.151000	2.227000	0.642000	0.369000	1.745000	3.242000	2.275000	0.647000	
0.412903	-1.006000	-1.734000	-0.702000	2.087000	-0.006000	0.307000	1.840000	3.566000	2.133000	0.208000	
0.450439	-0.232000	-1.929000	-0.191000	1.759000	-0.064000	0.103000	2.015000	3.207000	1.539000	0.108000	
0.487976	-0.151000	-1.387000	-0.106000	1.841000	0.001000	0.117000	1.564000	3.684000	1.180000	-0.005000	
0.525513	-0.934000	-0.740000	-0.014000	1.691000	0.878000	-0.067000	1.358000	3.712000	1.230000	-0.956000	
0.563049	-0.860000	-1.161000	0.305000	1.878000	0.915000	-0.510000	1.001000	3.151000	1.300000	-0.245000	
0.600586	-0.236000	-0.550000	0.262000	1.883000	0.292000	-0.268000	1.119000	2.635000	1.687000	0.005000	
0.638123	-0.451000	-0.876000	0.273000	1.803000	0.281000	-0.823000	1.249000	3.262000	1.529000	0.585000	
0.675659	-0.324000	-1.028000	0.310000	1.651000	-0.166000	-1.302000	1.935000	3.357000	2.416000	1.135000	
0.713196	-0.088000	-0.194000	-0.342000	1.040000	0.092000	-1.513000	1.552000	3.475000	1.625000	1.184000	
0.750732	-0.142000	-0.295000	-0.031000	1.178000	0.023000	-1.289000	1.510000	3.327000	1.348000	1.076000	
0.788269	-0.217000	-0.484000	-0.335000	0.990000	-0.604000	-0.977000	0.858000	3.727000	1.468000	1.099000	
0.825806	-0.006000	-0.388000	0.177000	0.910000	-0.526000	-0.863000	0.833000	3.090000	1.578000	0.185000	
0.863342	-0.535000	-0.315000	-0.920000	0.926000	-0.239000	-0.905000	1.066000	3.019000	1.587000	0.362000	
0.900879	-1.104000	-0.649000	-1.878000	0.892000	0.211000	-1.080000	0.701000	2.049000	1.599000	-0.080000	
0.938416	-0.376000	-1.228000	-2.120000	1.340000	-0.057000	-0.836000	0.389000	2.153000	1.931000	-0.345000	
0.975952	-0.255000	-2.070000	-1.656000	1.567000	-0.391000	-0.864000	0.325000	1.587000	1.693000	-0.058000	
1.013489	-0.182000	-2.660000	-1.782000	0.716000	-0.199000	-1.026000	0.748000	1.325000	1.377000	-0.226000	
1.051025	-0.124000	-2.880000	-1.324000	1.236000	-0.192000	0.089000	0.492000	1.991000	1.909000	0.015000	
1.088562	-0.494000	-2.402000	-1.208000	1.226000	-0.255000	0.480000	0.568000	1.478000	1.935000	0.039000	
1.126099	-0.494000	-3.343000	-1.445000	1.039000	-0.006000	0.276000	0.800000	0.955000	1.418000	0.159000	
1.163635	-0.194000	-2.910000	-1.234000	0.772000	0.430000	-0.129000	1.192000	0.361000	1.760000	-0.438000	
1.201172	-0.241000	-2.410000	-1.082000	1.318000	0.415000	-0.773000	0.962000	0.581000	1.975000	-0.693000	
1.238708	-0.760000	-2.326000	-0.983000	0.536000	-0.312000	-1.743000	0.697000	0.726000	1.850000	-0.518000	
1.276245	-1.074000	-2.608000	-0.756000	0.614000	-0.743000	-2.139000	0.772000	0.711000	1.948000	-0.542000	
1.313782	-1.019000	-2.308000	-0.774000	0.472000	-0.640000	-2.347000	0.738000	1.245000	2.146000	-1.180000	
1.351318	-1.789000	-1.844000	-0.722000	0.430000	-0.628000	-2.068000	0.448000	0.895000	2.031000	-0.149000	
1.388855	-2.091000	-2.167000	-1.015000	0.268000	-0.622000	-2.034000	0.455000	0.330000	2.026000	0.167000	
1.426392	-2.380000	-1.818000	-2.033000	-0.239000	-0.329000	-2.074000	0.435000	0.064000	1.966000	-0.177000	
1.463928	-1.852000	-1.662000	-1.612000	-0.761000	-0.080000	-2.095000	0.594000	0.271000	1.424000	0.057000	
1.501465	-2.170000	-1.486000	-2.244000	-0.804000	-0.566000	-1.742000	1.059000	0.019000	1.145000	0.023000	
1.539001	-1.988000	-1.166000	-1.633000	-1.095000	-0.542000	-1.163000	0.019000	0.383000	1.152000	-0.483000	
1.576538	-1.692000	-1.172000	-1.980000	-1.042000	-1.431000	-1.519000	0.216000	0.711000	1.534000	0.227000	
1.614075	-1.573000	-1.212000	-2.112000	-1.309000	-1.752000	-2.022000	0.436000	1.066000	1.961000	-0.035000	
1.651611	-1.805000	-1.145000	-2.600000	-1.283000	-1.472000	-1.470000	0.292000	0.458000	2.094000	-0.386000	
1.689148	-1.827000	-0.576000	-2.980000	-0.771000	-1.402000	-1.504000	0.357000	0.895000	2.456000	-0.006000	
1.726685	-1.859000	-0.805000	-3.050000	-0.685000	-1.136000	-1.750000	0.103000	0.118000	1.582000	0.688000	
1.764221	-1.438000	-0.702000	-2.510000	-0.238000	-1.594000	-1.431000	0.283000	-0.520000	1.166000	0.224000	
1.801758	-1.174000	-0.120000	-2.794000	-0.948000	-2.657000	-1.848000	0.668000	-0.885000	1.271000	0.252000	
1.839294	-1.094000	-0.554000	-2.865000	-0.720000	-2.422000	-2.265000	0.749000	-1.248000	1.311000	-0.078000	
1.876831	-0.496000	-0.724000	-2.253000	-0.749000	-2.809000	-1.828000	0.360000	-1.664000	1.006000	-0.685000	
1.914368	-0.620000	-1.354000	-2.239000	-0.229000	-2.557000	-2.040000	0.621000	-1.447000	1.128000	-0.491000	
1.951904	-0.836000	-1.660000	-2.807000	0.519000	-3.044000	-2.180000	0.236000	-1.368000	1.805000	-0.778000	
1.989441	-1.241000	-0.986000	-2.407000	0.525000	-2.257000	-2.112000	0.072000	-1.470000	2.303000	-0.068000	
2.026978	-1.347000	-1.116000	-2.324000	0.251000	-2.762000	-1.989000	-0.366000	-1.838000	2.350000	0.024000	
2.064514	-1.613000	-1.581000	-2.451000	0.625000	-3.141000	-1.727000	-0.481000	-1.740000	1.689000	0.164000	
2.102051	-1.375000	-2.163000	-1.940000	0.140000	-2.600000	-1.783000	-0.134000	-1.889000	1.428000	-0.247000	
2.139587	-1.552000	-2.163000	-2.045000	0.059000	-2.681000	-1.933000	0.035000	-1.749000	1.141000	-0.720000	
2.177124	-1.880000	-1.604000	-2.031000	-0.218000	-2.435000	-2.193000	0.661000	-1.358000	0.591000	-0.354000	
2.214661	-1.486000	-1.700000	-2.239000	-0.037000	-1.818000	-1.888000	0.738000	-0.756000	-0.066000	-0.919000	
2.252197	-1.259000	-1.511000	-1.946000	0.316000	-2.005000	-1.952000	1.250000	-0.027000	-0.248000	-0.471000	
2.289734	-1.458000	-1.449000	-0.963000	0.320000	-2.360000	-1.627000	2.043000	-0.166000	-0.522000	-0.354000	
2.327271	-1.060000	-1.439000	-1.097000	0.031000	-2.605000	-1.639000	1.965000	-0.490000	-0.722000	-0.861000	
2.364807	-0.830000	-1.217000	-2.187000	-0.102000	-2.863000	-1.359000	2.056000	-0.464000	-0.146000	0.087000	
2.402344	-1.167000	-0.828000	-1.453000	0.220000	-2.509000	-1.164000	2.113000	-0.484000	-0.413000	0.015000	
2.439880	-1.245000	-0.655000	-1.800000	0.181000	-2.384000	-0.549000	2.151000	-0.261000	-0.382000	-0.027000	
2.477417	-2.283000	-0.729000	-1.564000	0.327000	-1.309000	-1.320000	2.129000	0.079000	-0.330000	0.515000	
2.514954	-2.488000	-0.415000	-1.850000	-0.122000	-1.762000	-1.988000	2.014000	0.701000	0.062000	0.737000	
2.552490	-2.329000	-0.024000	-1.344000	-0.390000	-1.857000	-1.897000	0.924000	-0.011000	0.450000	0.989000	
2.590027	-2.493000	-0.072000	-0.744000	-0.410000	-1.565000	-2.233000	1.011000	0.348000	0.958000	0.014000	
2.627563	-2.189000	0.155000	-0.558000	-0.334000	-1.951000	-2.919000	1.592000	0.721000	0.910000	-0.013000	
2.665100	-2.271000	0.174000	-1.129000	-0.694000	-2.642000	-2.571000	1.099000	0.671000	0.899000	0.291000	
2.702637	-2.098000	0.222000	-1.802000	-0.757000	-3.047000	-1.945000	1.038000	0.174000	0.643000	0.571000	
2.740173	-1.960000	0.255000	-1.842000	-1.365000	-2.553000	-1.827000	1.744000	0.689000	0.475000	0.596000	
2.777710	-1.774000	0.692000	-1.983000	-2.066000	-2.361000	-2.158000	1.283000	0.636000	0.316000	0.167000	
2.815247	-1.173000	0.646000	-1.599000	-1.962000	-2.544000	-2.098000	1.417000	0.614000	0.440000	0.152000	
2.852783	-0.794000	0.622000	-1.659000	-1.309000	-2.695000	-2.578000	1.324000	0.756000	-0.159000	0.197000	
2.890320	-0.718000	0.680000	-1.456000	-0.525000	-1.996000	-2.149000	1.771000	1.167000	1.132000	1.014000	
2.927856	-0.356000	1.349000	-1.170000	-0.714000	-1.737000	-1.750000	1.682000	1.602000	0.381000	1.845000	
2.965393	-0.426000	1.576000	-1.251000	-0.617000	-1.838000	-1.847000	1.538000	1.483000	-0.360000	1.605000	
3.002930	-0.359000	1.400000	-1.443000	-1.148000	-2.219000	-1.526000	1.942000	1.048000	-0.242000	1.455000	
3.040466	-0.367000	0.777000	-1.440000	-1.281000	-2.443000	-0.687000	1.644000	0.798000	0.209000	1.855000	
3.078003	-0.216000	0.540000	-1.972000	-1.312000	-2.697000	-0.698000	1.021000	1.802000	0.739000	1.784000	
3.115540	-0.321000	0.089000	-1.844000	-1.299000	-2.707000	-1.081000	0.794000	2.317000	0.380000	2.094000	
3.153076	-0.152000	-0.618000	-1.961000	-1.417000	-2.776000	-1.174000	0.164000	2.074000	0.751000	1.906000	
3.190613	-0.777000	-0.360000	-1.663000	-0.696000	-2.637000	-0.586000	-0.390000	1.627000	0.674000	1.864000	
3.228149	-1.049000	0.033000	-0.849000	-1.141000	-2.260000	-0.803000	-0.263000	1.052000	0.171000	2.094000	
3.265686	-1.286000	0.049000	-1.286000	-1.249000	-2.388000	-1.427000	-0.082000	1.953000	-0.254000	1.677000	
3.303223	-0.538000	0.205000	-0.735000	-0.916000	-2.572000	-1.825000	0.264000	1.347000	0.160000	1.700000	
3.340759	-0.917000	0.440000	-0.613000	-0.585000	-3.960000	-1.996000	0.432000	2.071000	0.392000	1.227000	
3.378296	-1.146000	0.883000	-1.277000	-0.588000	-3.746000	-1.591000	0.406000	1.430000	-0.211000	1.349000	
3.415833	-0.923000	0.661000	-1.567000	-0.753000	-3.891000	-1.949000	0.836000	1.209000	-0.244000	1.328000	
3.453369	-1.768000	0.685000	-1.350000	-1.378000	-4.058000	-1.925000	0.960000	0.727000	-0.310000	0.902000	
