Powered By OpenHast.WIndL @CopyRight 赵子祯
Time	NumY_11NumZ_15	NumY_12NumZ_16	NumY_13NumZ_17	NumY_14NumZ_18	NumY_15NumZ_19	NumY_16NumZ_20	NumY_17NumZ_14	NumY_18NumZ_13	NumY_19NumZ_12	NumY_20NumZ_11	
(s)	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	
Station	Y_-26.666664Z_95	Y_-20Z_101.333336	Y_-13.333336Z_107.666664	Y_-6.666664Z_114	Y_0Z_120.333336	Y_6.666664Z_126.666664	Y_13.333336Z_88.666664	Y_20Z_82.333336	Y_26.666664Z_76	Y_33.33333Z_69.666664	
0.037537	2.041000	0.439000	-0.244000	-0.614000	0.276000	-0.966000	-0.752000	-0.201000	-0.314000	-1.001000	
0.075073	1.771000	-0.060000	-0.679000	-0.095000	0.307000	-1.047000	-0.565000	0.021000	0.107000	-1.683000	
0.112610	1.858000	0.148000	-1.518000	-0.278000	-0.459000	-1.241000	0.338000	0.036000	-0.211000	-1.306000	
0.150146	2.352000	0.247000	-1.143000	-0.349000	-0.109000	-0.977000	0.720000	0.472000	-0.075000	-1.510000	
0.187683	2.587000	-0.004000	-1.364000	-0.333000	-0.711000	-1.232000	0.300000	0.942000	-0.241000	-1.449000	
0.225220	2.385000	-0.002000	-1.409000	-0.774000	-1.178000	-0.585000	0.680000	0.809000	-0.005000	-1.439000	
0.262756	1.819000	-0.129000	-1.229000	-1.228000	-0.653000	-0.730000	0.671000	0.689000	0.256000	-0.970000	
0.300293	2.118000	-0.026000	-0.894000	-1.628000	-0.840000	-0.944000	0.499000	1.053000	-0.077000	-1.162000	
0.337830	1.861000	0.456000	-0.294000	-1.703000	-0.665000	-0.655000	0.516000	1.000000	-0.486000	-1.405000	
0.375366	1.656000	1.232000	-0.554000	-1.694000	-0.972000	-1.045000	0.690000	0.542000	-0.640000	-1.420000	
0.412903	1.869000	1.467000	-0.172000	-2.617000	-0.983000	-1.218000	0.204000	0.587000	-0.152000	-1.512000	
0.450439	1.737000	1.567000	0.347000	-2.082000	-0.317000	-0.893000	0.577000	0.738000	-0.370000	-1.460000	
0.487976	1.291000	1.795000	-0.839000	-2.304000	-0.375000	-0.383000	0.857000	0.399000	-0.639000	-1.630000	
0.525513	1.570000	2.292000	-1.019000	-2.614000	-0.707000	0.114000	0.751000	0.631000	-0.571000	-2.084000	
0.563049	1.834000	2.255000	-1.233000	-2.238000	-0.912000	-0.117000	0.677000	1.131000	-0.844000	-1.845000	
0.600586	2.332000	0.969000	-1.381000	-2.317000	-1.224000	-0.286000	0.837000	1.209000	-0.715000	-2.062000	
0.638123	2.148000	1.113000	-1.036000	-2.727000	-1.211000	-0.240000	0.985000	0.966000	-0.860000	-1.670000	
0.675659	1.993000	1.560000	-0.111000	-3.186000	-1.137000	-0.349000	0.180000	1.289000	-0.948000	-0.522000	
0.713196	2.112000	1.546000	0.240000	-3.106000	-0.440000	0.027000	0.347000	0.946000	-0.548000	-0.624000	
0.750732	1.740000	1.251000	-0.430000	-2.844000	-0.140000	0.316000	0.626000	1.002000	-0.199000	-0.486000	
0.788269	1.962000	1.449000	-0.498000	-2.316000	0.032000	-0.117000	-0.076000	1.223000	-0.191000	-0.023000	
0.825806	1.218000	1.547000	-0.539000	-2.268000	0.342000	0.084000	0.134000	1.053000	-0.800000	-0.404000	
0.863342	1.183000	1.649000	-0.659000	-2.189000	0.710000	0.458000	0.936000	1.510000	-0.025000	-0.287000	
0.900879	0.880000	0.825000	-0.424000	-2.275000	0.560000	0.655000	0.201000	1.674000	-0.089000	-0.064000	
0.938416	0.053000	0.722000	-0.565000	-2.124000	0.055000	1.032000	0.325000	0.860000	-0.147000	0.422000	
0.975952	0.071000	-0.077000	-0.765000	-1.673000	0.164000	0.513000	0.012000	0.981000	-0.075000	0.269000	
1.013489	0.355000	-0.122000	-1.151000	-1.503000	0.198000	0.611000	-0.027000	0.875000	-0.019000	-0.052000	
1.051025	1.378000	0.099000	-1.128000	-1.816000	-0.206000	1.042000	0.417000	0.946000	0.354000	-0.199000	
1.088562	1.210000	-0.094000	-1.263000	-2.175000	0.385000	0.928000	0.676000	0.782000	0.466000	0.013000	
1.126099	1.335000	-0.172000	-0.668000	-1.751000	0.114000	0.815000	0.017000	0.655000	1.010000	-0.022000	
1.163635	1.372000	0.311000	-0.609000	-1.915000	-0.463000	0.552000	0.368000	1.116000	0.390000	-0.198000	
1.201172	0.848000	0.184000	-1.208000	-2.076000	-0.105000	0.816000	0.608000	1.146000	-0.019000	-0.230000	
1.238708	0.837000	-0.365000	-1.349000	-1.958000	-0.132000	0.820000	0.140000	1.049000	0.367000	-0.278000	
1.276245	0.988000	-0.340000	-1.045000	-2.074000	-0.216000	0.515000	-0.949000	0.605000	0.615000	0.059000	
1.313782	0.821000	-0.745000	-0.961000	-1.329000	0.349000	-0.283000	-0.856000	1.135000	0.587000	0.106000	
1.351318	0.914000	-1.052000	-0.896000	-0.660000	0.170000	-0.159000	-0.568000	0.987000	0.053000	-0.153000	
1.388855	0.049000	-1.589000	-0.985000	-0.848000	0.479000	-0.655000	-0.850000	0.762000	-0.303000	0.622000	
1.426392	-0.239000	-0.852000	-1.383000	-1.480000	0.433000	-0.557000	-0.857000	0.049000	0.132000	0.776000	
1.463928	-0.308000	-0.644000	-0.959000	-1.300000	0.553000	0.013000	-0.765000	0.367000	0.041000	0.437000	
1.501465	-0.472000	-0.562000	-1.272000	-1.724000	-0.003000	-0.261000	-1.086000	0.281000	-0.420000	-0.223000	
1.539001	-0.274000	-0.969000	-0.898000	-1.219000	0.158000	-0.211000	-0.621000	0.507000	0.087000	-0.011000	
1.576538	0.412000	-0.292000	-1.534000	-1.006000	0.176000	-0.382000	-0.703000	1.112000	0.108000	0.247000	
1.614075	0.320000	-0.230000	-1.742000	-1.092000	0.133000	0.367000	-0.564000	0.959000	0.202000	-0.131000	
1.651611	0.497000	-0.125000	-2.221000	-2.026000	0.155000	0.797000	-1.123000	0.668000	0.229000	-0.367000	
1.689148	0.642000	-0.725000	-2.029000	-1.954000	-0.118000	0.887000	-0.259000	0.256000	0.624000	-0.925000	
1.726685	0.178000	-1.343000	-1.708000	-1.801000	0.173000	0.618000	0.221000	0.252000	0.822000	-0.835000	
1.764221	0.408000	-1.793000	-2.038000	-1.656000	0.190000	0.943000	-0.373000	0.491000	0.820000	-0.468000	
1.801758	0.343000	-1.699000	-1.857000	-1.026000	-0.157000	1.567000	-1.109000	0.548000	0.807000	-0.437000	
1.839294	-0.026000	-1.550000	-2.080000	-0.938000	-0.232000	1.466000	-1.365000	-0.097000	-0.039000	-0.420000	
1.876831	-1.092000	-0.863000	-2.040000	-0.537000	0.240000	1.721000	-0.843000	-0.714000	-0.252000	0.087000	
1.914368	-1.245000	-0.689000	-1.975000	-0.091000	-0.132000	1.854000	-0.716000	-0.139000	-0.883000	-0.347000	
1.951904	-1.691000	-0.287000	-1.970000	0.056000	-0.085000	1.587000	-0.448000	0.104000	-0.324000	-0.649000	
1.989441	-1.465000	-0.233000	-1.805000	0.289000	-0.032000	1.072000	-0.399000	-0.060000	-0.263000	-0.645000	
2.026978	-1.274000	-0.974000	-1.678000	0.083000	-0.355000	0.061000	-0.665000	0.272000	-0.181000	-0.263000	
2.064514	-1.558000	-0.870000	-1.934000	-0.035000	-0.244000	0.053000	-0.507000	0.263000	-0.108000	0.396000	
2.102051	-2.028000	-0.785000	-1.384000	-0.087000	0.016000	0.492000	-0.384000	0.068000	-0.320000	-0.466000	
2.139587	-1.589000	-0.851000	-0.899000	-0.407000	-0.472000	0.506000	-0.409000	-0.183000	-0.497000	-0.434000	
2.177124	-1.665000	-0.560000	-0.399000	0.132000	-0.610000	0.665000	0.032000	-0.273000	-0.097000	-0.643000	
2.214661	-1.796000	-0.249000	-0.575000	0.026000	-0.171000	0.609000	0.281000	0.116000	-0.039000	-0.409000	
2.252197	-1.758000	-0.365000	-0.804000	0.550000	-0.645000	0.645000	1.026000	0.151000	-0.450000	-0.746000	
2.289734	-1.901000	-0.809000	-0.622000	-0.090000	-0.816000	0.513000	0.621000	-0.332000	-0.073000	-0.311000	
2.327271	-1.768000	-1.260000	-0.621000	0.004000	-1.033000	0.752000	0.182000	-0.961000	0.066000	-0.388000	
2.364807	-1.689000	-1.186000	-0.592000	0.412000	-0.945000	0.783000	0.200000	-0.909000	-0.879000	-0.381000	
2.402344	-2.083000	-1.112000	-0.396000	0.739000	-0.797000	0.814000	0.044000	-0.808000	-0.682000	-0.303000	
2.439880	-1.682000	-0.927000	-1.014000	1.009000	-1.502000	0.335000	-0.075000	-0.678000	-0.254000	-0.332000	
2.477417	-1.248000	-1.066000	-1.492000	0.684000	-1.890000	0.542000	0.199000	-1.005000	-0.329000	0.173000	
2.514954	-1.681000	-1.580000	-1.692000	0.531000	-2.371000	0.676000	-0.192000	-1.272000	-0.345000	-0.027000	
2.552490	-1.706000	-1.358000	-1.717000	0.797000	-2.297000	0.852000	-0.622000	-1.365000	-0.272000	-0.761000	
2.590027	-1.912000	-1.678000	-1.219000	1.446000	-2.626000	0.630000	-0.364000	-1.829000	-0.390000	-0.486000	
2.627563	-1.579000	-1.655000	-0.664000	1.381000	-2.508000	0.665000	-0.052000	-2.165000	0.271000	-0.214000	
2.665100	-1.445000	-1.837000	-0.995000	1.194000	-2.323000	0.645000	-0.036000	-2.233000	0.293000	0.384000	
2.702637	-1.069000	-2.271000	-1.121000	1.222000	-2.384000	0.979000	-0.319000	-2.076000	0.018000	0.266000	
2.740173	-0.550000	-2.168000	-1.263000	1.034000	-2.132000	0.809000	-0.268000	-2.067000	0.073000	0.352000	
2.777710	-0.081000	-1.383000	-1.650000	0.223000	-1.995000	0.937000	0.137000	-1.797000	-0.037000	0.710000	
2.815247	-0.623000	-0.997000	-1.463000	-0.247000	-2.221000	0.469000	-0.089000	-1.651000	-0.237000	0.783000	
2.852783	-0.572000	-1.238000	-1.660000	-0.400000	-2.039000	-0.117000	-0.530000	-1.935000	0.125000	0.373000	
2.890320	-0.049000	-0.723000	-1.500000	0.328000	-1.686000	-0.489000	-0.633000	-1.417000	0.490000	0.388000	
2.927856	-0.602000	-0.782000	-1.103000	1.313000	-1.260000	-0.632000	-1.070000	-1.802000	0.461000	0.274000	
2.965393	-0.748000	-1.366000	-1.222000	1.144000	-1.286000	-0.594000	-0.583000	-1.980000	0.249000	0.304000	
3.002930	-0.724000	-1.377000	-0.739000	0.692000	-0.571000	-0.238000	-0.231000	-1.625000	0.698000	0.513000	
3.040466	-0.657000	-1.439000	-0.326000	0.363000	-0.769000	0.285000	0.213000	-1.648000	0.468000	0.588000	
3.078003	-0.520000	-1.386000	0.050000	-0.203000	-0.515000	0.121000	0.155000	-2.396000	0.837000	0.538000	
3.115540	0.370000	-1.212000	-0.373000	0.182000	-0.541000	-0.163000	0.257000	-2.241000	1.166000	0.514000	
3.153076	0.092000	-0.718000	-0.252000	-0.164000	-0.736000	-0.566000	0.245000	-2.044000	0.563000	-0.181000	
3.190613	-0.025000	-0.559000	-0.745000	-0.607000	-1.220000	-0.794000	0.240000	-1.631000	0.332000	-0.429000	
3.228149	-0.248000	-0.598000	-0.340000	0.061000	-0.679000	-1.077000	-0.185000	-1.091000	0.392000	-0.844000	
3.265686	-0.691000	-1.344000	-0.536000	0.433000	-0.521000	-1.738000	-0.040000	-0.599000	0.737000	-1.018000	
3.303223	-0.648000	-0.842000	-0.309000	0.950000	-0.299000	-1.616000	0.715000	-0.739000	1.265000	-0.935000	
3.340759	-0.440000	-0.911000	-0.012000	0.644000	-0.285000	-1.071000	0.902000	-0.461000	1.234000	-1.074000	
3.378296	-0.561000	-0.505000	-0.168000	0.417000	-0.415000	-1.473000	0.127000	-0.797000	1.586000	-1.438000	
3.415833	-0.963000	0.240000	-0.714000	0.644000	0.405000	-1.355000	0.390000	-1.026000	1.183000	-1.072000	
