Time	 FAIRTEN1	 FAIRTEN2	 ANCHTEN1	 CON2PX	 CON2PY	 CON2FZ	 
(s)	 (N)     	 (N)     	 (N)     	 (m)     	 (m)     	 (N)     	 
0	 909656	 909729	 735821	 -426.94	 739.47	 -15776.8	 
1.4013e-045	 909654	 909727	 735820	 -426.94	 739.47	 -15776.8	 
0.0333333	 910245	 909403	 735789	 -426.94	 739.47	 -15776.8	 
0.0666667	 909704	 909608	 735723	 -426.94	 739.47	 -15776.8	 
0.1	 911466	 908609	 735621	 -426.94	 739.47	 -15776.8	 
0.0833333	 908966	 909731	 735587	 -426.94	 739.47	 -15776.8	 
0.116667	 910164	 909138	 735519	 -426.94	 739.47	 -15776.8	 
0.15	 912385	 907884	 735417	 -426.94	 739.47	 -15776.8	 
0.133333	 908248	 909774	 735385	 -426.94	 739.47	 -15776.8	 
0.166667	 910519	 908643	 735335	 -426.94	 739.47	 -15776.8	 
0.2	 913003	 907198	 735341	 -426.94	 739.47	 -15776.8	 
0.183333	 908062	 909541	 735379	 -426.94	 739.47	 -15776.8	 
0.216667	 910967	 907987	 735513	 -426.94	 739.47	 -15776.8	 
0.25	 913641	 906430	 735820	 -426.94	 739.47	 -15776.8	 
0.233333	 907867	 909306	 735936	 -426.94	 739.47	 -15776.8	 
0.266667	 911440	 907296	 736167	 -426.94	 739.47	 -15776.8	 
0.3	 914294	 905688	 736477	 -426.94	 739.47	 -15776.8	 
0.283333	 907664	 909079	 736566	 -426.94	 739.47	 -15776.7	 
0.316667	 911916	 906668	 736726	 -426.94	 739.47	 -15776.7	 
0.35	 914941	 904998	 736938	 -426.94	 739.47	 -15776.7	 
0.333333	 907501	 908866	 737008	 -426.94	 739.47	 -15776.7	 
0.366667	 912433	 906063	 737151	 -426.94	 739.47	 -15776.7	 
0.4	 915724	 904245	 737377	 -426.94	 739.47	 -15776.7	 
0.383333	 907544	 908612	 737455	 -426.94	 739.47	 -15776.7	 
0.416667	 913179	 905339	 737615	 -426.94	 739.47	 -15776.7	 
0.45	 916772	 903365	 737853	 -426.94	 739.47	 -15776.7	 
0.433333	 907881	 908278	 737931	 -426.94	 739.47	 -15776.6	 
0.466667	 914139	 904531	 738084	 -426.94	 739.47	 -15776.6	 
0.5	 917917	 902501	 738304	 -426.94	 739.47	 -15776.6	 
0.483333	 908290	 907927	 738374	 -426.94	 739.47	 -15776.6	 
0.516667	 915086	 903819	 738516	 -426.94	 739.47	 -15776.6	 
0.55	 918962	 901785	 738733	 -426.94	 739.47	 -15776.6	 
0.533333	 908595	 907624	 738809	 -426.94	 739.47	 -15776.6	 
0.566667	 915908	 903270	 738972	 -426.94	 739.47	 -15776.6	 
0.6	 919860	 901199	 739244	 -426.94	 739.47	 -15776.6	 
0.583333	 908825	 907372	 739343	 -426.94	 739.47	 -15776.6	 
0.616667	 916582	 902814	 739554	 -426.94	 739.47	 -15776.6	 
0.65	 920609	 900687	 739893	 -426.94	 739.47	 -15776.5	 
0.633333	 909010	 907209	 740009	 -426.94	 739.47	 -15776.5	 
0.666667	 917094	 902428	 740244	 -426.94	 739.47	 -15776.5	 
0.7	 921176	 900271	 740587	 -426.94	 739.47	 -15776.5	 
0.683333	 909109	 907133	 740695	 -426.94	 739.47	 -15776.5	 
0.716667	 917428	 902144	 740902	 -426.94	 739.47	 -15776.5	 
0.75	 921593	 899992	 741173	 -426.94	 739.47	 -15776.5	 
0.733333	 909159	 907110	 741251	 -426.94	 739.47	 -15776.5	 
0.766667	 917687	 901990	 741392	 -426.94	 739.47	 -15776.5	 
0.8	 921986	 899820	 741559	 -426.94	 739.47	 -15776.5	 
0.783333	 909262	 907137	 741601	 -426.94	 739.47	 -15776.5	 
0.816667	 917982	 901919	 741672	 -426.94	 739.47	 -15776.5	 
0.85	 922431	 899723	 741734	 -426.94	 739.47	 -15776.5	 
0.833333	 909442	 907235	 741743	 -426.94	 739.47	 -15776.5	 
0.866667	 918330	 901931	 741747	 -426.94	 739.47	 -15776.5	 
0.9	 922853	 899730	 741720	 -426.94	 739.47	 -15776.5	 
0.883333	 909598	 907421	 741703	 -426.94	 739.47	 -15776.5	 
0.916667	 918590	 902060	 741665	 -426.94	 739.47	 -15776.5	 
0.95	 923098	 899888	 741599	 -426.94	 739.47	 -15776.5	 
0.933333	 909645	 907739	 741576	 -426.94	 739.47	 -15776.5	 
0.966667	 918615	 902350	 741534	 -426.94	 739.47	 -15776.5	 
1	 923061	 900216	 741480	 -426.94	 739.47	 -15776.6	 
0.983333	 909503	 908149	 741464	 -426.94	 739.47	 -15776.6	 
1.01667	 918349	 902788	 741438	 -426.94	 739.47	 -15776.6	 
1.05	 922743	 900673	 741399	 -426.94	 739.47	 -15776.6	 
1.03333	 909164	 908637	 741384	 -426.94	 739.47	 -15776.6	 
1.06667	 917835	 903354	 741350	 -426.94	 739.47	 -15776.6	 
1.1	 922192	 901268	 741277	 -426.94	 739.47	 -15776.6	 
1.08333	 908685	 909198	 741242	 -426.94	 739.47	 -15776.6	 
1.11667	 917148	 904043	 741162	 -426.94	 739.47	 -15776.6	 
1.15	 921492	 901988	 740998	 -426.94	 739.47	 -15776.6	 
1.13333	 908153	 909820	 740929	 -426.94	 739.47	 -15776.6	 
1.16667	 916352	 904824	 740777	 -426.94	 739.47	 -15776.7	 
1.2	 920684	 902780	 740502	 -426.94	 739.47	 -15776.7	 
1.18333	 907643	 910444	 740398	 -426.94	 739.47	 -15776.7	 
1.21667	 915497	 905632	 740175	 -426.94	 739.47	 -15776.7	 
1.25	 919813	 903569	 739802	 -426.94	 739.47	 -15776.7	 
1.23333	 907192	 911061	 739668	 -426.94	 739.47	 -15776.7	 
1.26667	 914593	 906401	 739392	 -426.94	 739.47	 -15776.7	 
1.3	 918873	 904329	 738953	 -426.94	 739.47	 -15776.8	 
1.28333	 906744	 911674	 738799	 -426.94	 739.47	 -15776.8	 
1.31667	 913638	 907142	 738488	 -426.94	 739.47	 -15776.8	 
1.35	 917851	 905086	 738008	 -426.94	 739.47	 -15776.8	 
1.33333	 906223	 912283	 737845	 -426.94	 739.47	 -15776.8	 
1.36667	 912623	 907886	 737519	 -426.94	 739.47	 -15776.8	 
1.4	 916767	 905859	 737034	 -426.94	 739.47	 -15776.8	 
1.38333	 905615	 912889	 736872	 -426.94	 739.47	 -15776.9	 
1.41667	 911591	 908617	 736555	 -426.94	 739.47	 -15776.9	 
1.45	 915668	 906578	 736093	 -426.94	 739.47	 -15776.9	 
1.43333	 904950	 913487	 735941	 -426.94	 739.47	 -15776.9	 
1.46667	 910578	 909257	 735647	 -426.94	 739.47	 -15776.9	 
1.5	 914588	 907189	 735221	 -426.94	 739.47	 -15776.9	 
1.48333	 904247	 914031	 735083	 -426.94	 739.47	 -15776.9	 
1.51667	 909584	 909775	 734815	 -426.94	 739.47	 -15776.9	 
1.55	 913488	 907689	 734430	 -426.94	 739.47	 -15776.9	 
1.53333	 903570	 914499	 734306	 -426.94	 739.47	 -15776.9	 
1.56667	 908553	 910183	 734067	 -426.94	 739.47	 -15777	 
1.6	 912348	 908094	 733727	 -426.94	 739.47	 -15777	 
1.58333	 902932	 914827	 733617	 -426.94	 739.47	 -15777	 
1.61667	 907502	 910497	 733408	 -426.94	 739.47	 -15777	 
1.65	 911238	 908386	 733111	 -426.94	 739.47	 -15777	 
1.63333	 902432	 915041	 733013	 -426.94	 739.47	 -15777	 
1.66667	 906563	 910675	 732824	 -426.94	 739.47	 -15777	 
1.7	 910288	 908508	 732543	 -426.94	 739.47	 -15777	 
1.68333	 902038	 915106	 732449	 -426.94	 739.47	 -15777	 
1.71667	 905813	 910676	 732261	 -426.94	 739.47	 -15777	 
1.75	 909511	 908492	 731978	 -426.94	 739.47	 -15777	 
1.73333	 901825	 915045	 731883	 -426.94	 739.47	 -15777	 
1.76667	 905264	 910516	 731699	 -426.94	 739.47	 -15777	 
1.8	 908911	 908293	 731440	 -426.94	 739.47	 -15777	 
1.78333	 901787	 914863	 731360	 -426.94	 739.47	 -15777	 
1.81667	 904902	 910163	 731215	 -426.94	 739.47	 -15777	 
1.85	 908477	 907914	 731039	 -426.94	 739.47	 -15777	 
1.83333	 901875	 914543	 730990	 -426.94	 739.47	 -15777	 
1.86667	 904684	 909638	 730914	 -426.94	 739.47	 -15777	 
1.9	 908176	 907384	 730845	 -426.94	 739.47	 -15776.9	 
1.88333	 902043	 914083	 730834	 -426.94	 739.47	 -15776.9	 
1.91667	 904603	 908979	 730831	 -426.94	 739.47	 -15776.9	 
1.95	 908012	 906739	 730872	 -426.94	 739.47	 -15776.9	 
