Powered By OpenHast.WIndL @CopyRight 赵子祯
Time	NumY_11NumZ_15	NumY_12NumZ_16	NumY_13NumZ_17	NumY_14NumZ_18	NumY_15NumZ_19	NumY_16NumZ_20	NumY_17NumZ_14	NumY_18NumZ_13	NumY_19NumZ_12	NumY_20NumZ_11	
(s)	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	
Station	Y_-30Z_77	Y_-25Z_82	Y_-20Z_87	Y_-15Z_92	Y_-10Z_97	Y_-5Z_102	Y_0Z_72	Y_5Z_67	Y_10Z_62	Y_15Z_57	
0.000000	9.115241	6.354687	1.840369	8.211295	-5.726796	10.024600	-2.111012	3.025784	-2.132663	4.205785	
0.050000	8.763406	4.503492	-0.725322	8.568543	-3.886427	9.093590	-3.442573	2.121838	-0.714496	1.878259	
0.100000	12.173502	3.632023	-0.995965	6.268082	-4.276152	7.745790	-2.803857	0.579175	0.866056	1.856608	
0.150000	12.779741	6.002852	-0.405964	6.977165	-5.434503	5.818815	-1.872846	4.086702	-2.240920	3.962207	
0.200000	11.350748	7.134138	1.326149	4.692942	-4.449364	7.285697	-0.995965	4.324868	-3.810647	3.161105	
0.250000	12.341300	5.807989	-1.066332	2.284223	-3.702390	5.423676	-2.311287	2.581930	-3.236885	4.822850	
0.300000	12.671484	5.829640	-2.192205	5.997439	-5.315420	4.081290	-1.954039	1.244956	-5.104319	6.500834	
0.350000	7.415606	5.396613	-2.554866	4.157070	-2.636058	7.291111	-1.910736	2.354590	-3.794409	9.412948	
0.400000	8.514415	5.813402	-4.644226	4.292391	-2.993307	8.725515	-3.853950	3.404683	-3.659087	8.389919	
0.450000	7.301936	6.906798	-2.554866	2.424957	-0.963488	10.484693	-6.241017	2.441196	-1.775415	6.457531	
0.500000	6.831018	9.212672	1.012203	0.952662	-3.404683	8.904140	-3.561656	-0.205688	-2.527802	6.446705	
0.550000	10.333133	10.132857	2.760554	-2.895875	-4.844501	10.089554	-4.189547	-1.705048	-2.067709	3.604959	
0.600000	8.530653	10.511757	4.996061	-3.994684	-6.630743	9.104415	-2.224682	-0.232753	-1.742938	2.235507	
0.650000	9.526618	10.620013	6.192302	-2.982481	-4.167895	8.232946	-0.568349	2.100186	-0.741561	3.447986	
0.700000	8.979919	9.927169	5.602301	-2.744315	-4.882391	6.127347	2.138076	3.177344	-2.181379	3.529179	
0.750000	7.913588	6.154412	5.634778	-2.500737	-6.311384	7.334413	3.956794	3.263949	-1.407341	1.374864	
0.800000	5.602301	4.947346	6.652394	-3.577894	-4.833676	8.189644	2.722664	0.898533	-2.289636	1.618442	
0.850000	5.115144	2.847160	8.048909	-3.410096	-2.159728	6.652394	4.081290	2.690187	-1.493947	2.554866	
0.900000	3.908078	0.535872	6.879734	-1.937801	-1.991929	4.936520	4.102941	2.571104	-4.151657	3.291013	
0.950000	3.410096	-0.617065	5.531934	-0.330184	-4.194960	3.404683	-0.368074	4.216611	-5.190924	3.123215	
1.000000	3.821473	0.714496	9.299278	-3.778170	-9.661939	3.193582	-1.309910	4.535969	-4.086702	5.250465	
1.050000	5.364135	0.167798	9.905518	-4.563034	-9.131479	3.691564	1.710461	1.098809	-1.683397	5.510283	
1.100000	4.736245	0.184037	8.032671	-1.905324	-9.878453	5.185511	0.173211	1.542663	-3.491289	5.759274	
1.150000	4.519731	-0.828166	8.433222	-4.027161	-10.452215	7.264046	0.600826	0.671194	-5.672668	7.410193	
1.200000	3.399271	0.286881	8.563130	0.590001	-6.657807	8.449460	2.094773	2.154315	-6.511660	5.878356	
1.250000	3.626610	0.248991	7.144963	-1.607617	-4.498079	7.550927	-0.113670	0.037890	-6.333035	6.549550	
1.300000	2.424957	-0.968900	8.243773	-1.342387	-5.412851	6.403403	0.508808	-0.525047	-6.847257	7.339826	
1.350000	2.213856	0.784863	6.901385	0.882295	-5.315420	4.508905	1.894498	-0.189450	-7.832396	7.161202	
1.400000	0.368074	2.603581	5.964962	-2.138076	-7.312762	3.166518	-0.211101	1.239543	-7.144963	7.334413	
1.450000	2.695600	0.259817	9.039461	-2.928352	-5.791750	1.807892	0.129908	-1.542663	-6.998816	8.476524	
1.500000	1.732112	1.407341	9.656527	-3.031197	-2.506150	3.128628	3.583307	-1.347800	-8.379093	8.617259	
1.550000	1.607617	1.975691	9.537443	-2.230095	-3.594133	3.902666	3.783583	0.184037	-7.502212	9.261388	
1.600000	2.246333	1.872846	5.878356	-3.101564	-4.454776	4.768722	5.201750	1.613030	-8.671388	9.732306	
