Powered By OpenHast.WIndL @CopyRight 赵子祯
Time	NumY_11NumZ_15	NumY_12NumZ_16	NumY_13NumZ_17	NumY_14NumZ_18	NumY_15NumZ_19	NumY_16NumZ_20	NumY_17NumZ_14	NumY_18NumZ_13	NumY_19NumZ_12	NumY_20NumZ_11	
(s)	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	m/s	
Station	Y_-30Z_77	Y_-25Z_82	Y_-20Z_87	Y_-15Z_92	Y_-10Z_97	Y_-5Z_102	Y_0Z_72	Y_5Z_67	Y_10Z_62	Y_15Z_57	
0.000000	-6.511660	-1.493947	2.836334	-5.461566	0.974313	5.521108	6.224779	8.525240	1.862021	1.272020	
0.050000	-2.311287	-2.982481	2.403306	-6.760651	2.738903	5.872943	5.163860	10.841941	0.692845	3.280188	
0.100000	-1.499360	-2.576517	3.826886	-7.594230	0.454679	7.594230	1.510185	11.334510	2.771380	2.094773	
0.150000	-4.985236	0.200275	4.341106	-6.923037	0.454679	5.277530	1.531837	11.762125	3.659087	2.132663	
0.200000	-3.106977	3.383032	2.083948	-6.046154	4.373584	5.586062	4.086702	11.123408	3.453399	1.050093	
0.250000	-3.615784	2.560278	2.192205	-4.720006	3.106977	3.756519	2.538627	13.786531	4.054225	1.428993	
0.300000	-3.339729	3.085325	2.203030	-5.423676	3.188169	3.956794	5.569824	11.751300	2.695600	1.521011	
0.350000	-1.158350	2.668535	4.508905	-5.651016	1.190827	3.680739	3.404683	9.569921	2.349177	0.692845	
0.400000	-0.931010	1.277433	3.150279	-8.492764	0.487157	1.943213	2.885050	10.046251	1.791654	0.838992	
0.450000	1.531837	2.316700	2.690187	-9.385883	-0.763212	2.874224	-0.460092	12.931301	3.475050	0.682019	
0.500000	2.235507	0.941836	4.157070	-8.703864	-1.066332	4.568446	0.438441	14.452312	5.136796	2.213856	
0.550000	3.572482	-1.277433	6.425054	-6.766064	-0.497982	6.760651	3.150279	13.418458	1.894498	0.974313	
0.600000	4.481841	-1.185414	8.665975	-6.425054	-1.120460	8.568543	-0.092018	10.219462	1.580552	0.503395	
0.650000	4.600924	-0.730735	10.257353	-3.453399	-1.147524	9.602398	1.244956	9.396709	0.876882	-0.887708	
0.700000	3.085325	-0.308533	8.920379	-4.086702	-2.111012	10.592950	-0.167798	9.023223	-0.752386	-0.974313	
0.750000	2.008168	2.089360	7.177441	-6.062393	-2.397893	11.415703	-2.890462	9.104415	2.820095	1.212479	
0.800000	4.259914	3.074499	8.249185	-4.622575	-2.148902	10.268178	-4.211198	8.065148	3.859363	0.849818	
0.850000	3.269362	1.997342	7.144963	-3.469637	1.017616	10.360197	-3.918904	5.169273	2.803857	2.002755	
0.900000	5.201750	-0.010826	4.600924	-7.042119	-1.347800	11.762125	-3.485876	4.054225	1.326149	1.537250	
0.950000	6.663219	-0.108257	6.652394	-5.109731	-0.433028	13.358916	-4.573859	5.429090	0.838992	0.866056	
1.000000	5.943310	1.461470	6.289733	-5.521108	-1.418167	14.105889	-3.085325	4.882391	-2.078535	2.690187	
1.050000	4.763309	1.169176	4.996061	-9.255975	-2.116425	13.001668	-4.000097	5.174685	-2.116425	5.380374	
1.100000	8.011020	-1.613030	7.269459	-8.227533	2.782205	12.639007	-0.952662	2.738903	-0.449267	4.438538	
1.150000	7.854047	-0.866056	7.805331	-7.242394	2.083948	12.844695	1.277433	2.565691	0.156973	3.507527	
1.200000	5.255878	-0.568349	9.737719	-7.020468	4.265326	12.920475	1.510185	2.392480	-0.238165	3.491289	
1.250000	5.759274	1.548075	8.167993	-6.241017	6.473770	10.760748	1.326149	4.600924	-0.730735	2.056883	
1.300000	6.571201	1.120460	8.075974	-4.947346	5.537346	10.717445	1.791654	3.209821	-0.395138	1.694222	
1.350000	6.679458	0.871469	6.787715	-6.950101	6.116522	9.845976	3.653674	1.780828	-0.806515	0.010826	
1.400000	6.565788	-1.531837	6.159824	-8.276249	6.993403	8.384506	5.131383	0.562936	-0.914772	-0.433028	
1.450000	7.518450	-1.618442	6.176063	-8.541479	8.395332	4.871566	5.537346	0.703671	-0.958075	1.033854	
1.500000	7.264046	-0.384312	7.253221	-10.381848	11.204601	4.687529	3.648262	0.638716	-1.618442	1.677984	
1.550000	7.193679	-1.396516	8.454873	-10.057077	11.215427	4.931107	3.052848	0.205688	-2.132663	1.299084	
1.600000	8.232946	-1.748351	8.714690	-9.851389	10.387261	4.395235	5.098906	-1.060919	-2.695600	0.146147	
1.650000	6.793128	-1.613030	7.031293	-10.019187	8.687626	5.180099	6.895972	-2.181379	1.136699	1.228717	
